qid,label,class_label,class_qid
Q151187,Potsdam Conference,meeting,Q2761147
Q150974,Tehran Conference,meeting,Q2761147
Q152120,Wannsee Conference,meeting,Q2761147
Q208191,Asian–African Conference,meeting,Q2761147
Q696894,Cairo Conference,meeting,Q2761147
Q751149,Earth Summit,meeting,Q2761147
Q49964,Council of Clermont,meeting,Q2761147
Q502093,Casablanca Conference,meeting,Q2761147
Q336168,E3,meeting,Q2761147
Q668984,Google I/O,meeting,Q2761147
Q405475,Constitutional Convention,meeting,Q2761147
Q619950,Council of Jerusalem,meeting,Q2761147
Q860611,International Congress of Mathematicians,meeting,Q2761147
Q795924,Mobile World Congress,meeting,Q2761147
Q1050213,Washington Naval Conference,meeting,Q2761147
Q2736155,Seneca Falls Convention,meeting,Q2761147
Q1365425,San Remo conference,meeting,Q2761147
Q1983034,Second Continental Congress,meeting,Q2761147
Q25904,Dumbarton Oaks Conference,meeting,Q2761147
Q862495,Quinisext Council,meeting,Q2761147
Q1258045,Second Council of Ephesus,meeting,Q2761147
Q392179,Quebec Conference,meeting,Q2761147
Q1888941,Congress of People's Deputies of the Soviet Union,meeting,Q2761147
Q2261995,Conference of Lausanne,meeting,Q2761147
Q726746,Asia–Europe Meeting,meeting,Q2761147
Q1781365,United Nations Conference on the Human Environment,meeting,Q2761147
Q707531,Évian Conference,meeting,Q2761147
Q1349804,Council of Pisa,meeting,Q2761147
Q884557,BlizzCon,meeting,Q2761147
Q862543,Fourth Council of Constantinople (Eastern Orthodox),meeting,Q2761147
Q665844,Zimmerwald Conference,meeting,Q2761147
Q631382,Arcadia Conference,meeting,Q2761147
Q519139,Council of Hieria,meeting,Q2761147
Q689642,World Conference on Human Rights,meeting,Q2761147
Q2994465,Conservative Political Action Conference,meeting,Q2761147
Q901769,Synod of Dort,meeting,Q2761147
Q1194993,International Meridian Conference,meeting,Q2761147
Q729280,United Nations Conference on Sustainable Development,meeting,Q2761147
Q1988224,International Ornithological Congress,meeting,Q2761147
Q702431,Greater East Asia Conference,meeting,Q2761147
Q2492984,Most Holy Synod,meeting,Q2761147
Q1262455,Synod of Elvira,meeting,Q2761147
Q2023501,MineCon,meeting,Q2761147
Q689182,World Summit on the Information Society,meeting,Q2761147
Q2993095,Council of Liubech,meeting,Q2761147
Q2470656,First Zionist Congress,meeting,Q2761147
Q1265740,Synod of Whitby,meeting,Q2761147
Q1076411,Fifth Council of Constantinople,meeting,Q2761147
Q839241,World Romani Congress,meeting,Q2761147
Q1566327,Hague Congress,meeting,Q2761147
Q2735594,British-Indian Round Table Conferences,meeting,Q2761147
Q3555004,Moscow Conference (1944),meeting,Q2761147
Q2993770,Vilnius Conference,meeting,Q2761147
Q1375322,Europa-Forum Wachau,meeting,Q2761147
Q1777483,Arctic Ocean Conference,meeting,Q2761147
Q1542601,Prague Slavic Congress,meeting,Q2761147
Q1538726,Washington Conference,meeting,Q2761147
Q1999788,Council of Piacenza,meeting,Q2761147
Q1886961,Westminster Assembly,meeting,Q2761147
Q694415,World Zionist Congress,meeting,Q2761147
Q16632173,Pan-Orthodox Council,meeting,Q2761147
Q1277136,Council of Sardica,meeting,Q2761147
Q539002,Synod of Jerusalem (1672),meeting,Q2761147
Q1814449,World Conference against Racism,meeting,Q2761147
Q1753957,Fourth World Conference on Women,meeting,Q2761147
Q677844,Congress of Erfurt,meeting,Q2761147
Q114275,Congress of Laibach,meeting,Q2761147
Q3242178,WikiConference India,meeting,Q2761147
Q1264941,Council of Laodicea,meeting,Q2761147
Q1236473,Third Council of Toledo,meeting,Q2761147
Q2985432,Synod of Ancyra,meeting,Q2761147
Q4356222,Second Cairo Conference,meeting,Q2761147
Q2745306,Synod of Hippo,meeting,Q2761147
Q2301178,Albany Congress,meeting,Q2761147
Q1291145,First Synod of Tyre,meeting,Q2761147
Q30341,Zunyi Conference,meeting,Q2761147
Q576920,International Conference on Population and Development,meeting,Q2761147
Q706817,International Conference to Review the Global Vision of the Holocaust,meeting,Q2761147
Q2992880,Moscow Conference (1941),meeting,Q2761147
Q175984,Lushan Conference,meeting,Q2761147
Q2621088,World Congress of Philosophy,meeting,Q2761147
Q4231784,Gestapo–NKVD conferences,meeting,Q2761147
Q3056596,Congress of Soviets,meeting,Q2761147
Q64908094,2019 UN Climate Action Summit,meeting,Q2761147
Q29513759,2016 international conference on Sunni Islam in Grozny,meeting,Q2761147
Q28521056,Wiki Indaba,meeting,Q2761147
Q1353929,Olympic Congress,meeting,Q2761147
Q662874,First Congress of Vienna,meeting,Q2761147
Q1817687,Combatant Clergy Association,meeting,Q2761147
Q259431,Council of Sutri,meeting,Q2761147
Q109536021,Summit for Democracy,meeting,Q2761147
Q1268643,Council of Orange,meeting,Q2761147
Q1258842,Council of Seleucia-Ctesiphon,meeting,Q2761147
Q581254,Zebrzydowski Rebellion,meeting,Q2761147
Q378293,Council of Nablus,meeting,Q2761147
Q1781371,Brazzaville Conference of 1944,meeting,Q2761147
Q17022530,Synod of Jassy,meeting,Q2761147
Q6144521,Malta Conference (1945),meeting,Q2761147
Q18536127,preliminary hearing,meeting,Q2761147
Q1451214,1934 Montreux Fascist conference,meeting,Q2761147
Q1318613,United Nations Conference on the Standardization of Geographical Names,meeting,Q2761147
Q863371,Biltmore Conference,meeting,Q2761147
Q1260419,Synod of the Oak,meeting,Q2761147
Q847056,Congress of Angostura,meeting,Q2761147
Q986719,8th National Congress of the Chinese Communist Party,meeting,Q2761147
Q637220,Council of Frankfurt,meeting,Q2761147
Q628728,Confederate States Congress,meeting,Q2761147
Q420399,Synod of Diamper,meeting,Q2761147
Q1960983,Great Seimas of Vilnius,meeting,Q2761147
Q2752595,Moscow Conference (1942),meeting,Q2761147
Q2378937,Durban Review Conference,meeting,Q2761147
Q127686492,Synods of Antioch,meeting,Q2761147
Q1281392,Council of Rome,meeting,Q2761147
Q1292787,Fourth Council of Toledo,meeting,Q2761147
Q1290650,Council of Agde,meeting,Q2761147
Q1258394,Council of Rimini,meeting,Q2761147
Q421772,Congress of Gniezno,meeting,Q2761147
Q1667563,Women at The Hague,meeting,Q2761147
Q1935175,Havana Conference,meeting,Q2761147
Q1931500,Conference on Disarmament,meeting,Q2761147
Q2918729,World Conference against Racism 2001,meeting,Q2761147
Q2915080,Stamp Act Congress,meeting,Q2761147
Q2856213,Congress of Soummam,meeting,Q2761147
Q122119,Pan-American Conference,meeting,Q2761147
Q10864514,Seven Thousand Cadres Conference,meeting,Q2761147
Q2632679,Hague Congress (1872),meeting,Q2761147
Q285070,Akademy,meeting,Q2761147
Q3401682,Congress of the Peoples of the East,meeting,Q2761147
Q825865,Pan-African Congress,meeting,Q2761147
Q4127407,World Qoroltai of the Bashkirs,meeting,Q2761147
Q2996243,Annapolis Convention,meeting,Q2761147
Q7098557,Oppenheimer security hearing,meeting,Q2761147
Q6182154,Jericho Conference,meeting,Q2761147
Q21704717,International Communist Seminar,meeting,Q2761147
Q13627635,Synod of Lviv,meeting,Q2761147
Q1230022,First Council of Toledo,meeting,Q2761147
Q1164951,Congress of Panama,meeting,Q2761147
Q1154936,Eighteenth Council of Toledo,meeting,Q2761147
Q1067465,Charlottetown Conference,meeting,Q2761147
Q835775,Nobel Laureate Meetings at Lindau,meeting,Q2761147
