qid,label,class_label,class_qid
Q1440626,Non-Inscrits,member of parliament,Q486839
Q28169287,Member of Parliament,member of parliament,Q486839
Q5261044,Deputy Marshal of the Sejm of the Republic of Poland,member of parliament,Q486839
Q10655178,member of the Swedish Riksdag,member of parliament,Q486839
Q27169,Member of the European Parliament,member of parliament,Q486839
Q13218630,member of the United States House of Representatives,member of parliament,Q486839
Q15964890,member of the House of Commons of Canada,member of parliament,Q486839
Q12311817,member of the Folketing,member of parliament,Q486839
Q3345643,Noy,member of parliament,Q486839
Q3228623,House Leader,member of parliament,Q486839
