qid,label,class_label,class_qid
Q37726,army,military unit,Q176799
Q4508,navy,military unit,Q176799
Q11208,The Pentagon,military unit,Q176799
Q212372,Boko Haram,military unit,Q176799
Q61883,air force,military unit,Q176799
Q9219,United States Military Academy,military unit,Q176799
Q153626,Waffen-SS,military unit,Q176799
Q843941,air defense,military unit,Q176799
Q188559,Foreign Legion,military unit,Q176799
Q158797,military engineering,military unit,Q176799
Q153113,Afrika Korps,military unit,Q176799
Q152529,Armia Krajowa,military unit,Q176799
Q737212,Ukrainian Insurgent Army,military unit,Q176799
Q153559,SD-Hauptamt,military unit,Q176799
Q21096224,Syrian Democratic Forces,military unit,Q176799
Q152543,Einsatzgruppen,military unit,Q176799
Q157153,Wolf's Lair,military unit,Q176799
Q210815,military police,military unit,Q176799
Q313303,grenadier,military unit,Q176799
Q311381,Quds Force,military unit,Q176799
Q636947,People's Mojahedin Organization of Iran,military unit,Q176799
Q928670,National Guard of the United States,military unit,Q176799
Q701923,German Army,military unit,Q176799
Q157912,Volkssturm,military unit,Q176799
Q692677,Jiuquan Satellite Launch Center,military unit,Q176799
Q605324,Czechoslovak Legions,military unit,Q176799
Q575618,Royal Military Academy Sandhurst,military unit,Q176799
Q389373,Auxiliaries,military unit,Q176799
Q1057292,Don Cossacks,military unit,Q176799
Q385509,Palmach,military unit,Q176799
Q1993380,Dahomey Amazons,military unit,Q176799
Q734306,Xichang Satellite Launch Center,military unit,Q176799
Q609474,Joint Chiefs of Staff,military unit,Q176799
Q860413,Streltsy,military unit,Q176799
Q1053481,mechanized infantry,military unit,Q176799
Q160552,Ordnungspolizei,military unit,Q176799
Q692886,motorized infantry,military unit,Q176799
Q1057214,private military company,military unit,Q176799
Q540951,Stavka,military unit,Q176799
Q1432908,Supreme Headquarters Allied Powers Europe,military unit,Q176799
Q63113668,Strategic Rocket Forces of the Russian Federation,military unit,Q176799
Q731647,Japan Maritime Self-Defense Force,military unit,Q176799
Q453558,Military Intelligence Directorate of Israel,military unit,Q176799
Q313440,SFOR,military unit,Q176799
Q647033,Supreme Headquarters Allied Expeditionary Force,military unit,Q176799
Q1703142,Russian Space Forces,military unit,Q176799
Q273480,École Militaire,military unit,Q176799
Q247604,Albanian Armed Forces,military unit,Q176799
Q18210867,Rapid Support Forces,military unit,Q176799
Q467249,Flying Tigers,military unit,Q176799
Q277985,1st Ukrainian Front,military unit,Q176799
Q2284765,Cavalier,military unit,Q176799
Q2083573,Royal Norwegian Navy,military unit,Q176799
Q1324245,sapper,military unit,Q176799
Q937662,Combat 18,military unit,Q176799
Q591925,Spanish Legion,military unit,Q176799
Q1141396,Swedish Navy,military unit,Q176799
Q653089,Army of the Potomac,military unit,Q176799
Q1132066,École Spéciale Militaire de Saint-Cyr,military unit,Q176799
Q1674702,Israeli Ground Forces,military unit,Q176799
Q1049334,United States Army Corps of Engineers,military unit,Q176799
Q2296614,National Liberation Army,military unit,Q176799
Q16242140,Republic of China Military Academy,military unit,Q176799
Q1246624,Wenchang Satellite Launch Center,military unit,Q176799
Q1078966,2nd Ukrainian Front,military unit,Q176799
Q113525,Swedish Air Force,military unit,Q176799
Q31901,Joint Special Operations Command,military unit,Q176799
Q1359797,Caspian Flotilla,military unit,Q176799
Q631009,Soviet Air Defence Forces,military unit,Q176799
Q2088142,1st Belorussian Front,military unit,Q176799
Q1430243,Volunteer Army,military unit,Q176799
Q113993499,Russian Volunteer Corps,military unit,Q176799
