qid,label,class_label,class_qid
Q1106213,Black Prince's Ruby,mineral,Q7946
Q4399091,Timur Ruby,mineral,Q7946
Q4308819,Samarian Spinel,mineral,Q7946
Q4166025,Dom Pedro aquamarine,mineral,Q7946
Q16960820,Light of the Desert,mineral,Q7946
Q1674249,Orphan (imperial crown),mineral,Q7946
Q114056854,Spinel of the Great Imperial Crown,mineral,Q7946
Q5457142,Flame Queen Opal,mineral,Q7946
Q118289287,Lion of Merelani,mineral,Q7946
Q212797,Koh-i-Noor,mineral,Q7946
Q374209,Cullinan Diamond,mineral,Q7946
Q640037,Hope Diamond,mineral,Q7946
Q1166975,Darya-ye Noor,mineral,Q7946
Q1467760,Orlov,mineral,Q7946
Q1475973,Regent Diamond,mineral,Q7946
Q609800,Florentine Diamond,mineral,Q7946
Q1632223,Sancy,mineral,Q7946
Q706710,Dresden Green Diamond,mineral,Q7946
Q1233174,Great Mogul Diamond,mineral,Q7946
Q664591,Shah Diamond,mineral,Q7946
Q783101,Golden Jubilee Diamond,mineral,Q7946
Q1215384,Pearl of Lao Tzu,mineral,Q7946
Q1776663,Tiffany Yellow Diamond,mineral,Q7946
Q21518299,Lesedi La Rona,mineral,Q7946
Q1383470,Excelsior Diamond,mineral,Q7946
Q2211247,Star of India,mineral,Q7946
Q2496193,Oppenheimer Diamond,mineral,Q7946
Q6684688,Lothair Crystal,mineral,Q7946
Q597528,Beau Sancy,mineral,Q7946
Q728710,Wittelsbach-Graff Diamond,mineral,Q7946
Q2037465,Star of the South,mineral,Q7946
Q4062709,Nassak Diamond,mineral,Q7946
Q1677463,Jacob Diamond,mineral,Q7946
Q2985622,He Shi Bi,mineral,Q7946
Q3473152,Logan Sapphire,mineral,Q7946
Q2703578,Taylor-Burton Diamond,mineral,Q7946
Q2814580,Black Star of Queensland,mineral,Q7946
Q15629677,Great Table diamond,mineral,Q7946
Q1841554,Spoonmaker's Diamond,mineral,Q7946
Q1841554,Spoonmaker's Diamond,mineral,Q7946
Q1830332,Vargas diamond,mineral,Q7946
Q2081036,La Peregrina pearl,mineral,Q7946
Q2445319,Akbar Shah,mineral,Q7946
Q2757039,Centenary Diamond,mineral,Q7946
Q3026055,Tavernier Blue,mineral,Q7946
Q17089312,Sergio,mineral,Q7946
Q7042098,Nizam Diamond,mineral,Q7946
Q1069357,Heart of the Ocean,mineral,Q7946
Q772466,Gachalá Emerald,mineral,Q7946
Q1361334,Star of Sierra Leone,mineral,Q7946
Q15279359,Jubilee Diamond,mineral,Q7946
Q7049788,Noor-ul-Ain,mineral,Q7946
Q7882795,Uncle Sam,mineral,Q7946
Q1750355,St Edward's Sapphire,mineral,Q7946
Q110873004,The Enigma,mineral,Q7946
Q3886040,Black Orlov,mineral,Q7946
Q4023634,Stuart Sapphire,mineral,Q7946
Q6531333,Lesotho Promise,mineral,Q7946
Q668108,Graff Pink,mineral,Q7946
Q668108,Graff Pink,mineral,Q7946
Q7601259,Star of South Africa,mineral,Q7946
Q1830137,DeLong Star Ruby,mineral,Q7946
Q2081700,Millennium Star,mineral,Q7946
Q2082144,Pink Star Diamond,mineral,Q7946
Q2789047,Eagle Diamond,mineral,Q7946
Q3140855,Hortensia,mineral,Q7946
Q4160412,The Jonker,mineral,Q7946
Q25209811,26th Congress of the Communist Party of the Soviet Union,mineral,Q7946
Q4348214,La Pelegrina pearl,mineral,Q7946
Q1295466,Archduke Joseph,mineral,Q7946
Q13567332,Heart of Eternity Diamond,mineral,Q7946
Q13567332,Heart of Eternity Diamond,mineral,Q7946
Q7232632,Portuguese Diamond,mineral,Q7946
Q85784330,Matryoshka,mineral,Q7946
Q2441631,Allnatt Diamond,mineral,Q7946
Q20656185,Saxon White Diamond,mineral,Q7946
Q4789834,Argyle Pink Jubilee,mineral,Q7946
Q4842554,Bahia Emerald,mineral,Q7946
Q5169409,Cora Sun-Drop Diamond,mineral,Q7946
Q5191439,Crystallographic defects in diamond,mineral,Q7946
Q5411168,Eureka Diamond,mineral,Q7946
Q25209812,Alexander Pushkin,mineral,Q7946
Q26695715,Pearl of Puerto,mineral,Q7946
Q12203386,Princie Diamond,mineral,Q7946
Q7240338,Premier Rose Diamond,mineral,Q7946
Q7601236,Star of Bombay,mineral,Q7946
Q8037480,Woyie River,mineral,Q7946
Q1790227,Krupp Diamond,mineral,Q7946
Q136798245,Black Falcon,mineral,Q7946
Q58685026,Pink Legacy,mineral,Q7946
Q71928920,Servilia's pearl,mineral,Q7946
Q2045039,Amsterdam Diamond,mineral,Q7946
Q3201068,Spirit of de Grisogono Diamond,mineral,Q7946
Q3644833,Briolette of India,mineral,Q7946
Q3686489,Condé Diamond,mineral,Q7946
Q3866510,Moussaieff Red Diamond,mineral,Q7946
Q24123127,Oppenheimer Blue,mineral,Q7946
Q24233900,Blue Moon of Josephine Diamond,mineral,Q7946
Q4804619,Ashberg Diamond,mineral,Q7946
Q5374515,Empress Eugénie,mineral,Q7946
Q5579388,Golden Eye Diamond,mineral,Q7946
Q25260094,The Creator,mineral,Q7946
Q6907611,Moon of Baroda,mineral,Q7946
Q12749663,Great Chrysanthemum Diamond,mineral,Q7946
Q7075981,Ocean Dream Diamond,mineral,Q7946
Q7089038,Olympic Australis,mineral,Q7946
Q7134591,paragon,mineral,Q7946
Q7259844,Pumpkin Diamond,mineral,Q7946
Q116470187,Canary Diamond,mineral,Q7946
Q136289975,Daria-i-Noor,mineral,Q7946
Q112339598,The Rock,mineral,Q7946
Q83387365,Sewelô Diamond,mineral,Q7946
Q2473122,Kazanjian Red Diamond,mineral,Q7946
Q19877879,DeYoung Red Diamond,mineral,Q7946
Q24233901,Sweet Josephine,mineral,Q7946
Q24905927,Pigot Diamond,mineral,Q7946
Q18388630,Tereshchenko diamond,mineral,Q7946
Q5068793,Chalk Emerald,mineral,Q7946
Q5250575,Deepdene,mineral,Q7946
Q5378235,English Dresden,mineral,Q7946
Q6432366,Korloff Noir,mineral,Q7946
Q25230514,The Star of Adam,mineral,Q7946
Q7622543,Strawn-Wagner Diamond,mineral,Q7946
Q7714825,The Atocha Star Emerald,mineral,Q7946
Q8021249,Williamson pink diamond,mineral,Q7946
Q106492933,Polar Star Diamond,mineral,Q7946
Q108044052,Serendipity Sapphire,mineral,Q7946
Q113302397,The Lulo Rose,mineral,Q7946
Q113561541,Idol's Eye,mineral,Q7946
Q113561541,Idol's Eye,mineral,Q7946
