qid,label,class_label,class_qid
Q16964482,Samsung REX,mobile phone,Q17517
Q131573456,Q131573456,mobile phone,Q17517
Q137800736,Motorola Edge 60 Pro,mobile phone,Q17517
Q137800735,Vivo X300 Pro,mobile phone,Q17517
Q135747965,Meizu 20 Infinity,mobile phone,Q17517
Q138545935,Vivo Y300,mobile phone,Q17517
Q138024207,Clicks Communicator,mobile phone,Q17517
Q135671455,Vivo Y400,mobile phone,Q17517
Q136193414,iPhone Air,mobile phone,Q17517
Q136386838,History of smartphones,mobile phone,Q17517
