qid,label,class_label,class_qid
Q174506,Atabeg,monarch,Q116
Q15109402,Sharif of Mecca,monarch,Q116
Q6816522,Menceyato of Tacoronte,monarch,Q116
Q6816527,Menceyato of Icode,monarch,Q116
Q6733257,Maharaja of Patiala,monarch,Q116
Q3751892,Menceyato of Daute,monarch,Q116
Q3751910,Menceyato of Abona,monarch,Q116
Q24789440,Bilqis,monarch,Q116
Q106686256,Nongda Lairen Pakhangba,monarch,Q116
Q111462354,Zasagtu khan,monarch,Q116
Q111462143,Tüsheet Khan,monarch,Q116
Q6733256,Maharaja of Alwar,monarch,Q116
Q154615,Archduke,monarch,Q116
Q2457774,Prince of Monaco,monarch,Q116
Q854642,Lugal,monarch,Q116
Q1788734,King of Romania,monarch,Q116
Q1824016,Count of Flanders,monarch,Q116
Q889891,Nebka,monarch,Q116
Q1069767,khong tayiji,monarch,Q116
Q83735546,count of Roussillon,monarch,Q116
Q112077221,Count of Habsburg,monarch,Q116
Q111670995,King of Spain,monarch,Q116
