qid,label,class_label,class_qid
Q28471,Royal Monastery of San Lorenzo de El Escorial,monastery,Q44613
Q232771,Shaolin Monastery,monastery,Q44613
Q242711,Kyiv Pechersk Lavra,monastery,Q44613
Q305044,Q305044,monastery,Q44613
Q220301,Cluny Abbey,monastery,Q44613
Q270725,Novodevichy Convent,monastery,Q44613
Q157550,Abbey and Altenmünster of Lorsch,monastery,Q44613
Q1142386,Saint Michael's Golden-Domed Monastery,monastery,Q44613
Q2209873,Paro Taktsang,monastery,Q44613
Q660082,Melk Abbey,monastery,Q44613
Q334303,St Augustine's Abbey,monastery,Q44613
Q56004,Princely Abbey of Corvey,monastery,Q44613
Q936285,Pannonhalma Archabbey,monastery,Q44613
Q740076,Nea Moni of Chios,monastery,Q44613
Q691813,Vardzia,monastery,Q44613
Q849517,Visoki Dečani,monastery,Q44613
Q838256,Ferapontov Monastery,monastery,Q44613
Q158324,St. Michael's Church,monastery,Q44613
Q1140434,Solovetsky Monastery,monastery,Q44613
Q1178627,David Gareja monastery complex,monastery,Q44613
Q540237,Fountains Abbey,monastery,Q44613
Q853354,Iviron Monastery,monastery,Q44613
Q849914,Hilandar,monastery,Q44613
Q1551419,Monastery of Stoudios,monastery,Q44613
Q691153,Glendalough,monastery,Q44613
Q283254,Royal abbey of Fontevraud,monastery,Q44613
Q546516,Great Lavra,monastery,Q44613
Q241937,Drepung Monastery,monastery,Q44613
Q744552,Basilica of Sant'Apollinare in Classe,monastery,Q44613
Q588387,Agiou Panteleimonos monastery,monastery,Q44613
Q647070,Clairvaux Abbey,monastery,Q44613
Q969047,Patriarchate of Peć,monastery,Q44613
Q843261,Cîteaux Abbey,monastery,Q44613
Q697221,Heiligenkreuz Abbey,monastery,Q44613
Q1634624,Vikramaśīla University,monastery,Q44613
Q1430211,Samye,monastery,Q44613
Q1421396,Valaam Monastery,monastery,Q44613
Q911432,Vatopedi Monastery,monastery,Q44613
Q544113,Glastonbury Abbey,monastery,Q44613
Q911413,Simonopetra monastery,monastery,Q44613
Q877445,Tashilhunpo Monastery,monastery,Q44613
Q19881,Sacra di San Michele,monastery,Q44613
Q218382,Zografou Monastery,monastery,Q44613
Q692723,Yonghe Temple,monastery,Q44613
Q658262,Danilov Monastery,monastery,Q44613
Q652981,Port-Royal-des-Champs,monastery,Q44613
Q966862,Holyrood Abbey,monastery,Q44613
Q124848,Sera Monastery,monastery,Q44613
Q1749204,Alaverdi Monastery,monastery,Q44613
Q2499012,Auberge de Castille,monastery,Q44613
Q1141010,Esphigmenou Monastery,monastery,Q44613
Q1058965,Erdene Zuu Monastery,monastery,Q44613
Q6372431,Karla Caves,monastery,Q44613
Q1242146,Donskoy Monastery,monastery,Q44613
Q1676082,Ivolginsky Datsan,monastery,Q44613
Q320543,Abhayagiri vihāra,monastery,Q44613
Q959499,Břevnov Monastery,monastery,Q44613
Q1059902,Pantokratoros monastery,monastery,Q44613
Q726733,Dochiariou monastery,monastery,Q44613
Q1585564,Sakya Monastery,monastery,Q44613
Q1469493,Whitby Abbey,monastery,Q44613
Q1439379,Tintern Abbey,monastery,Q44613
Q967055,Karakalou Monastery,monastery,Q44613
Q965633,Gandantegchinlen Monastery,monastery,Q44613
Q956741,Fleury Abbey,monastery,Q44613
Q1067065,Xenophontos monastery,monastery,Q44613
Q661240,Fulda monastery,monastery,Q44613
Q1245463,Sénanque Abbey,monastery,Q44613
Q1140986,Osiou Gregoriou monastery,monastery,Q44613
Q550064,Malmesbury Abbey,monastery,Q44613
Q253359,Ettal Abbey,monastery,Q44613
Q667615,Admont Abbey,monastery,Q44613
Q198409,Iona Abbey,monastery,Q44613
Q260108,Weltenburg Abbey,monastery,Q44613
Q375604,Yuriev Monastery,monastery,Q44613
Q2101170,Monkwearmouth-Jarrow Abbey,monastery,Q44613
Q3014390,Bellapais Abbey,monastery,Q44613
Q911428,Ravanica,monastery,Q44613
Q333980,Royal Saint-Peter's abbey of Jumièges,monastery,Q44613
Q2044924,Dunfermline Abbey,monastery,Q44613
Q1919732,Melrose Abbey,monastery,Q44613
Q4383728,Punakha Dzong,monastery,Q44613
Q810981,Battle Abbey,monastery,Q44613
Q697766,Eberbach Abbey,monastery,Q44613
Q697145,Klosterneuburg Monastery,monastery,Q44613
Q1470414,Carmo Convent,monastery,Q44613
Q4411008,Sviyazhsk Assumption Monastery,monastery,Q44613
Q2301260,Pirita Convent,monastery,Q44613
Q1775925,Monastery of San Millán de Yuso,monastery,Q44613
Q519572,Murbach Abbey,monastery,Q44613
Q334331,Tihany Abbey,monastery,Q44613
Q877136,St. Florian Monastery,monastery,Q44613
Q1000684,Emmaus Monastery,monastery,Q44613
Q1546234,Rumtek Monastery,monastery,Q44613
Q1457087,Krzeszów Abbey,monastery,Q44613
Q1410335,Ipatiev Monastery,monastery,Q44613
Q1341262,Key Monastery,monastery,Q44613
Q1858504,Abbey of St. Victor,monastery,Q44613
Q2482838,Reading Abbey,monastery,Q44613
Q1245538,Dormition Abbey,monastery,Q44613
