qid,label,class_label,class_qid
Q9141,Taj Mahal,monument,Q4989906
Q48584,Rosetta Stone,monument,Q4989906
Q45368,Mausoleum of Maussollos,monument,Q4989906
Q47672,Terracotta Army,monument,Q4989906
Q71719,Hollywood Walk of Fame,monument,Q4989906
Q178114,Washington Monument,monument,Q4989906
Q231140,Hiroshima Peace Memorial,monument,Q4989906
Q156591,Yad Vashem,monument,Q4989906
Q216344,Arlington National Cemetery,monument,Q4989906
Q191414,Lenin's Mausoleum,monument,Q4989906
Q188856,Panthéon,monument,Q4989906
Q486382,Castel Sant'Angelo,monument,Q4989906
Q213559,Lincoln Memorial,monument,Q4989906
Q615404,Anıtkabir,monument,Q4989906
Q204200,Cavern of the Patriarchs,monument,Q4989906
Q208177,Birka,monument,Q4989906
Q838359,Imam Ali Mosque,monument,Q4989906
Q321697,Juche Tower,monument,Q4989906
Q242803,Yasukuni Shrine,monument,Q4989906
Q1256223,Gur-e Amir,monument,Q4989906
Q46069,Mausoleum of Khoja Ahmed Yasawi,monument,Q4989906
Q154987,Siegessäule,monument,Q4989906
Q154498,Sachsenhausen concentration camp,monument,Q4989906
Q138388,Blue Mosque,monument,Q4989906
Q314003,Stolpersteine Project,monument,Q4989906
Q744406,Library of Celsus,monument,Q4989906
Q820002,Mamayev Kurgan,monument,Q4989906
Q495276,Royal Tombs of the Joseon Dynasty,monument,Q4989906
Q672444,Bronze Horseman,monument,Q4989906
Q321240,Walhalla memorial,monument,Q4989906
Q326193,Stutthof concentration camp,monument,Q4989906
Q4243,Sheikh Safi al-Din Khānegāh and Shrine Ensemble,monument,Q4989906
Q309484,Al-Askari Shrine,monument,Q4989906
Q165366,Anne Frank House,monument,Q4989906
Q1791841,Imam Reza Shrine,monument,Q4989906
Q606763,Gonbad-e Qabus,monument,Q4989906
Q238990,United States Holocaust Memorial Museum,monument,Q4989906
Q606069,Kumsusan Palace of the Sun,monument,Q4989906
Q754378,Merneptah Stele,monument,Q4989906
Q724954,Mesha Stele,monument,Q4989906
Q154775,Tsitsernakaberd,monument,Q4989906
Q713628,Vietnam Veterans Memorial,monument,Q4989906
Q1154819,Mausoleum of Mao Zedong,monument,Q4989906
Q874234,Ho Chi Minh Mausoleum,monument,Q4989906
Q747322,Madurodam,monument,Q4989906
Q910180,Mausoleum of the First Qin Emperor,monument,Q4989906
Q334704,Orkhon inscriptions,monument,Q4989906
Q773704,Imam Husayn Mausoleum,monument,Q4989906
Q838159,türbe,monument,Q4989906
Q725404,Pyramid of Cestius,monument,Q4989906
Q1076004,imam Khomeini Mausoleum,monument,Q4989906
Q1136137,National September 11 Memorial & Museum,monument,Q4989906
Q1106930,Le Gua,monument,Q4989906
Q470763,African Renaissance Monument,monument,Q4989906
Q48441,Soviet War Memorial,monument,Q4989906
Q20645774,Soltaniyeh Dome,monument,Q4989906
Q1356352,Victoria Memorial,monument,Q4989906
Q1074330,Qutb complex,monument,Q4989906
Q575249,Alalakh,monument,Q4989906
Q289427,Mausoleum of Theodoric,monument,Q4989906
Q145151,National Monument of Indonesia,monument,Q4989906
Q1503331,Luxor Obelisk,monument,Q4989906
Q540794,Chiang Kai-shek Memorial Hall,monument,Q4989906
Q763854,Obelisk of Theodosius,monument,Q4989906
Q198106,"St. Paul's Church, Frankfurt am Main",monument,Q4989906
Q192295,Gol Gumbaz,monument,Q4989906
Q154116,Al-Kadhimiya Mosque,monument,Q4989906
Q323420,Westerbork Transit Camp,monument,Q4989906
Q1059672,Seikilos epitaph,monument,Q4989906
Q816712,Benben,monument,Q4989906
Q1268850,Samanid Mausoleum,monument,Q4989906
Q425622,"St. Nicholas Church, Hamburg",monument,Q4989906
Q375624,Tomb of Safdar Jang,monument,Q4989906
Q1139250,Crazy Horse Memorial,monument,Q4989906
Q2571455,Mazar-e-Quaid,monument,Q4989906
Q856259,Bibi Ka Maqbara,monument,Q4989906
Q416646,Akbar's Tomb,monument,Q4989906
Q79220,Uraniborg,monument,Q4989906
Q734539,House of Flowers,monument,Q4989906
Q338834,Igel Column,monument,Q4989906
Q28769,Ming Xiaoling,monument,Q4989906
Q24024872,Alcazaba y Murallas del Cerro de San Cristóbal,monument,Q4989906
Q1581555,Tepe Sialk,monument,Q4989906
Q2308606,Obelisk of Axum,monument,Q4989906
Q1333411,Victoria Memorial,monument,Q4989906
Q607700,Monument to the Great Fire of London,monument,Q4989906
Q536955,Monument to the People's Heroes,monument,Q4989906
Q225896,Silbury Hill,monument,Q4989906
Q665266,Ninth Fort,monument,Q4989906
Q2425991,Shaheed Minar,monument,Q4989906
Q1946569,Che Guevara Mausoleum,monument,Q4989906
Q1338405,Sun Yat-sen Mausoleum,monument,Q4989906
Q516354,Tel Dan Stele,monument,Q4989906
Q1194336,Field of Mars,monument,Q4989906
Q926536,Lion of Belfort,monument,Q4989906
Q1160691,Choragic Monument of Lysicrates,monument,Q4989906
Q964745,Poverty Point,monument,Q4989906
Q152341,Neue Wache,monument,Q4989906
Q2529281,War of Independence Victory Column,monument,Q4989906
Q3631186,Tomb of Jahangir,monument,Q4989906
Q2097034,Piskaryovskoye Memorial Cemetery,monument,Q4989906
Q1403946,Marine Corps War Memorial,monument,Q4989906
Q1318766,Tomb of I'timād-ud-Daulah,monument,Q4989906
Q841388,Lapis Niger,monument,Q4989906
Q831389,Obelisco de Buenos Aires,monument,Q4989906
Q225373,Kykkos Monastery,monument,Q4989906
Q688214,Lion Monument Lucerne,monument,Q4989906
Q1258082,Arch of Galerius and Rotunda,monument,Q4989906
Q931796,Wallace Monument,monument,Q4989906
Q1760491,Philopappos Monument,monument,Q4989906
Q3127243,Alcazaba of Málaga,monument,Q4989906
Q1957722,Shah Cheragh shrine,monument,Q4989906
Q558159,Türkmenbaşy Mosque,monument,Q4989906
Q1034039,Canyon de Chelly National Monument,monument,Q4989906
Q645181,Lateran Obelisk,monument,Q4989906
Q473811,Shoes on the Danube Bank,monument,Q4989906
Q932599,Tropaeum Traiani,monument,Q4989906
Q51411,Homomonument,monument,Q4989906
Q1601019,Church of Santa Engrácia,monument,Q4989906
Q1554020,Nestorian Stele,monument,Q4989906
Q2664885,Martyrs' Lane,monument,Q4989906
Q1419777,Famine Stela,monument,Q4989906
Q1088425,Stele of the Vultures,monument,Q4989906
Q1210083,Raj Ghat and associated memorials,monument,Q4989906
Q116484,Imagine Peace Tower,monument,Q4989906
Q902957,Mevlâna Museum,monument,Q4989906
Q7818644,Tomb of Suleyman Shah,monument,Q4989906
Q2584017,Sibelius Monument,monument,Q4989906
Q1516753,Saihō-ji Temple,monument,Q4989906
Q2916596,Garden of the Missing Soldiers,monument,Q4989906
Q3397498,Green Mosque,monument,Q4989906
Q580555,Arch of Janus,monument,Q4989906
Q1287997,Pobednik,monument,Q4989906
Q219028,Mausoleum of Mohammed V,monument,Q4989906
Q212110,Fatima Masumeh Shrine,monument,Q4989906
Q991637,Ta' Ħaġrat,monument,Q4989906
Q177335,Pyramid of Tirana,monument,Q4989906
Q1177668,David's Tomb,monument,Q4989906
Q782783,Australian War Memorial,monument,Q4989906
Q937114,ghost bike (memorial),monument,Q4989906
Q936234,Stoa Poikile,monument,Q4989906
Q16831150,Vijećnica,monument,Q4989906
Q5959602,Ferdowsi Mausoleum,monument,Q4989906
Q3250647,Al Abbas Mosque,monument,Q4989906
Q1894724,Rainbow Bridge National Monument,monument,Q4989906
Q1816972,Momine Khatun Mausoleum,monument,Q4989906
Q3630998,Bara Imambara,monument,Q4989906
Q687578,Lia Fáil,monument,Q4989906
Q187499,Shrine of Bahá'u'lláh,monument,Q4989906
Q1187329,The Stone of Million,monument,Q4989906
Q1589230,Borgholm Castle,monument,Q4989906
Q2896743,the Cenotaph,monument,Q4989906
Q3437688,Tughrul Tower,monument,Q4989906
Q2622376,Nabi Habeel Mosque,monument,Q4989906
Q10904104,Jallianwala Bagh,monument,Q4989906
Q5294275,Sayyidah Zaynab Mosque,monument,Q4989906
Q1389520,Monumento a la Revolución,monument,Q4989906
Q311441,Al-Rifa'i Mosque,monument,Q4989906
Q536924,Cyrrhus,monument,Q4989906
Q257153,Mausoleum of Saladin,monument,Q4989906
Q1039186,Zincirli Höyük,monument,Q4989906
Q950653,Qianling Mausoleum,monument,Q4989906
Q969351,Kensington Runestone,monument,Q4989906
Q31752,Marx-Engels Forum,monument,Q4989906
Q1822397,Menin Gate,monument,Q4989906
Q1473630,Fuling Tomb,monument,Q4989906
Q1058720,Buzludzha monument,monument,Q4989906
Q816295,Belvoir Castle,monument,Q4989906
Q1156980,Strawberry Fields,monument,Q4989906
Q963472,Voortrekker Monument,monument,Q4989906
Q701096,Gwanggaeto Stele,monument,Q4989906
Q1187994,Monument to the Unknown Hero,monument,Q4989906
Q80374,Statue of Decebalus,monument,Q4989906
Q4189105,Memorial to Defenders of the Soviet Arctic during the Great Patriotic War,monument,Q4989906
Q4165296,Tomb of Aaron,monument,Q4989906
Q1584879,Hammouda Pacha Mosque,monument,Q4989906
Q2976528,Guanyin of Nanshan,monument,Q4989906
Q2717956,Makedonium,monument,Q4989906
Q1717939,Vatican Grotto,monument,Q4989906
Q4343335,Monument to Salavat Yulaev,monument,Q4989906
Q306978,Eastern Qing Tombs,monument,Q4989906
Q568945,Memorial to Homosexuals Persecuted Under Nazism in Berlin,monument,Q4989906
Q1116389,Memorial to the Victims of Communism,monument,Q4989906
Q1046027,Aisha Bibi,monument,Q4989906
Q421819,Wanda Mound,monument,Q4989906
Q897474,Stele of Naram-Sim,monument,Q4989906
Q641398,Kościuszko Mound,monument,Q4989906
Q95517,Gedenkstätte Berliner Mauer,monument,Q4989906
Q45687,Dream Stele,monument,Q4989906
Q119719218,Church of St. George in Topola,monument,Q4989906
Q2569026,Maqbaratoshoara,monument,Q4989906
Q2511913,Equestrian statue of Marshal Mannerheim,monument,Q4989906
Q2500125,Montjuïc Castle,monument,Q4989906
Q5964053,Murambi Genocide Memorial,monument,Q4989906
Q8077504,Çanakkale Martyrs' Memorial,monument,Q4989906
Q6431557,Kordopulov House,monument,Q4989906
Q2152745,Saadian Tombs,monument,Q4989906
Q4273784,Sultan Sanjar's mausoleum,monument,Q4989906
Q4273796,Chashma-Ayub Mausoleum,monument,Q4989906
Q5369466,Tomb of Esther and Mordechai,monument,Q4989906
Q1294833,Sarajevo Rose,monument,Q4989906
Q304555,Stones of Mora,monument,Q4989906
Q252858,Chinese pyramids,monument,Q4989906
Q786814,Aztec Ruins National Monument,monument,Q4989906
Q1195839,Muir Woods National Monument,monument,Q4989906
Q735438,unfinished obelisk,monument,Q4989906
Q959459,Monar Jonban,monument,Q4989906
Q151785,Memorial to the Sinti and Roma victims of National Socialism,monument,Q4989906
Q679124,Bismarck Memorial,monument,Q4989906
Q646012,Niederwalddenkmal,monument,Q4989906
Q890386,Nereid Monument,monument,Q4989906
Q1188062,Shabaka Stone,monument,Q4989906
Q15983527,Tomb of Shah Rukn-e-Alam,monument,Q4989906
Q1571266,Ulysses S. Grant Memorial,monument,Q4989906
Q1509145,Georgi Dimitrov Mausoleum,monument,Q4989906
Q3297266,Tomb of Daniel,monument,Q4989906
Q3250992,Harmodius and Aristogeiton,monument,Q4989906
Q2280593,Tomb of Antipope John XXIII,monument,Q4989906
Q6130080,Tiya archaeological site,monument,Q4989906
Q1444766,Vatican obelisk,monument,Q4989906
Q1435791,fontaine des Innocents,monument,Q4989906
Q5103512,Barda Tower Mausoleum,monument,Q4989906
Q1369544,Shrine of Remembrance,monument,Q4989906
Q617328,Afaq Khoja Mausoleum,monument,Q4989906
Q568194,Flaminio Obelisk,monument,Q4989906
Q180973,Tannenberg Memorial,monument,Q4989906
