qid,label,class_label,class_qid
Q428858,Al-Masjid Al-Haram,mosque,Q32815
Q12192963,Al-Aqsa Mosque,mosque,Q32815
Q486080,Prophet's Mosque,mosque,Q32815
Q33200,Mosque-Cathedral of Cordoba,mosque,Q32815
Q644677,Şehzade Mosque,mosque,Q32815
Q3679864,Moscow Cathedral Mosque,mosque,Q32815
Q1572472,Sokollu Mehmed Pasha I Mosque,mosque,Q32815
Q1137511,Rüstem Pasha Mosque,mosque,Q32815
Q1581190,Mihrimah Edirnekapı Mosque,mosque,Q32815
Q2390721,Juma-Jami Mosque,mosque,Q32815
Q1548318,Baiturrahman Grand Mosque,mosque,Q32815
Q121610806,Masjid Al-Aqsa,mosque,Q32815
Q1572395,Sinan Pasha Mosque,mosque,Q32815
Q2537376,Mihrimah Üsküdar Mosque,mosque,Q32815
Q862848,Kılıç Ali Pasha Mosque,mosque,Q32815
Q1572457,Zal Mahmud Pasha Mosque,mosque,Q32815
Q6127154,"Jama Masjid, Fatehpur Sikri",mosque,Q32815
Q15911667,Osman Shah Mosque,mosque,Q32815
Q1548310,Great Mosque of Brussels,mosque,Q32815
Q2478856,Hazratbal Shrine,mosque,Q32815
Q2031965,Jamia Masjid,mosque,Q32815
Q1572431,Şemsi Pasha Mosque,mosque,Q32815
Q1324080,Mosque of Cristo de la Luz,mosque,Q32815
Q2719788,Molla Çelebi Mosque,mosque,Q32815
Q2483550,Atik Valide Mosque,mosque,Q32815
Q4022689,Khusruwiyah Mosque,mosque,Q32815
Q2058733,Defterdar Mosque,mosque,Q32815
Q1572049,Kara Ahmed Pasha Mosque,mosque,Q32815
Q183179,Madrid Central Mosque,mosque,Q32815
Q2989415,Seven Saints Church,mosque,Q32815
Q12497335,Grand Mosque of West Sumatra,mosque,Q32815
Q38283846,Emir Zade mosque,mosque,Q32815
Q1953480,Muradie Mosque,mosque,Q32815
Q6071846,Sokollu Mehmed Pasha II Mosque,mosque,Q32815
Q113378189,Ahmed III Mosque,mosque,Q32815
Q112191098,Monemvasia Mosque,mosque,Q32815
Q3675542,Behram Pasha Mosque,mosque,Q32815
Q12497331,Great Mosque of Medan,mosque,Q32815
Q7199786,Piyale Pasha Mosque,mosque,Q32815
Q56907,Mesih Mehmed Pasha Mosque,mosque,Q32815
Q328794,Mosque in Sendling,mosque,Q32815
Q5637873,Hadim Ibrahim Pasha Mosque,mosque,Q32815
Q4119622,Mezquita de las Tornerías,mosque,Q32815
Q115917667,Veli Pasha Mosque,mosque,Q32815
Q17510476,Fethiye Mosque,mosque,Q32815
Q6049801,Sokollu Mehmed Pasha III Mosque,mosque,Q32815
Q5101457,Mecidiye Museum Mosque,mosque,Q32815
Q111632444,Parthenon mosque,mosque,Q32815
Q109934845,Aga Pasha Mosque,mosque,Q32815
Q17011687,Muradiye Mosque,mosque,Q32815
Q7415304,"San Sebastián, Toledo",mosque,Q32815
Q6104328,"İskender Pasha Mosque, Kanlıca",mosque,Q32815
Q5984273,Ibn Uthman Mosque,mosque,Q32815
Q115807219,Arap Mosque,mosque,Q32815
Q109934857,Trianon Mosque,mosque,Q32815
Q16951632,Grand Mosque of Mersin,mosque,Q32815
Q65081476,Great Mosque of al-Mansur,mosque,Q32815
Q5503502,Friday Mosque of Nouakchott,mosque,Q32815
Q113458530,"Darussalam Grand Mosque, Palangka Raya",mosque,Q32815
Q131936435,Langar Ki Masjid,mosque,Q32815
Q6056382,Nişancı Mehmed Pasha Mosque,mosque,Q32815
Q27690711,Mausoleum of Danyal,mosque,Q32815
Q48836527,Kileci Mosque,mosque,Q32815
Q127790792,Eidgah Shah-i-Hamdan,mosque,Q32815
Q125545421,Mosque of the Elephant,mosque,Q32815
Q133278531,Surau Ghim Moh,mosque,Q32815
Q136488512,Jamia Masjid Trehgam,mosque,Q32815
