qid,label,class_label,class_qid
Q302455,Yamaha YZR-M1,motorcycle,Q34493
Q1462612,Yamaha YZF-R125,motorcycle,Q34493
Q1190627,Yamaha FJR1300,motorcycle,Q34493
Q663336,Yamaha FZR1000,motorcycle,Q34493
Q48816161,Ducati Panigale V4,motorcycle,Q34493
Q2315412,Yamaha YZR 500,motorcycle,Q34493
Q1806962,Yamaha YZF600R,motorcycle,Q34493
Q576314,Yamaha RD500LC,motorcycle,Q34493
Q282289,Yamaha FZ750,motorcycle,Q34493
Q1465877,Yamaha SZR660,motorcycle,Q34493
Q1661804,Yamaha XZ 550,motorcycle,Q34493
Q11710042,Honda NSR250,motorcycle,Q34493
Q97185669,Suzuki GSX-R125,motorcycle,Q34493
Q622070,Aprilia RS4 125,motorcycle,Q34493
Q191976,Zerotracer,motorcycle,Q34493
Q96376668,Ducati Panigale V2,motorcycle,Q34493
Q8047699,Yamaha FZS600 Fazer,motorcycle,Q34493
Q8047697,Yamaha FZR400,motorcycle,Q34493
Q4022459,Yamaha YZR 250,motorcycle,Q34493
Q1282059,Ecomobile,motorcycle,Q34493
Q136913903,Concept F 450 GS,motorcycle,Q34493
Q8047766,Yamaha TD2,motorcycle,Q34493
Q6129010,James Autocycle,motorcycle,Q34493
Q217673,Vespa,motorcycle,Q34493
Q30061488,boda boda,motorcycle,Q34493
Q260345,Boss Hoss Cycles,motorcycle,Q34493
Q18387355,Kawasaki Ninja H2,motorcycle,Q34493
Q1367329,Yamaha YZF-R7,motorcycle,Q34493
Q25110975,KTM RC16,motorcycle,Q34493
Q490218,Suzuki Burgman,motorcycle,Q34493
Q4405670,Yamaha Nouvo,motorcycle,Q34493
Q164244,Ducati ST3,motorcycle,Q34493
Q1043815,Yamaha TDM,motorcycle,Q34493
Q341378,ČZ 175/501 Čezeta,motorcycle,Q34493
Q786369,Honda Dio,motorcycle,Q34493
Q16568459,KTM RC250GP,motorcycle,Q34493
Q1263361,Ducati Desmosedici RR,motorcycle,Q34493
Q107531614,BMW CE 04,motorcycle,Q34493
Q7374148,Royal Enfield Bullet,motorcycle,Q34493
Q3645403,Brough Superior SS100,motorcycle,Q34493
Q23637317,BMW G310R,motorcycle,Q34493
Q205412,Piaggio Zip,motorcycle,Q34493
Q3901847,Piaggio Liberty,motorcycle,Q34493
Q4836024,BMW C600 Sport and C650GT,motorcycle,Q34493
Q5814821,Ducati MH900e,motorcycle,Q34493
Q1345224,Peugeot Vivacity,motorcycle,Q34493
Q1935646,Millyard Viper V10,motorcycle,Q34493
Q2793613,Peugeot Kisbee,motorcycle,Q34493
Q19757761,Suzuki Gixxer,motorcycle,Q34493
Q23637358,Himalayan,motorcycle,Q34493
Q3841715,MV Agusta 125 SOHC,motorcycle,Q34493
Q14524213,Honda XRV 650 Africa Twin,motorcycle,Q34493
Q122908629,BMW R1300GS,motorcycle,Q34493
Q817102,Benelli Adiva,motorcycle,Q34493
Q4307624,Muravey,motorcycle,Q34493
Q17125933,SYM DD50,motorcycle,Q34493
Q1658995,Ilmor X3,motorcycle,Q34493
Q108490208,Malaguti Centro,motorcycle,Q34493
Q108554784,Malaguti Password,motorcycle,Q34493
Q108557696,Benelli TRK,motorcycle,Q34493
Q30975173,Tula T-200,motorcycle,Q34493
Q29424964,Honda X-ADV,motorcycle,Q34493
Q7555459,Sokół 1000,motorcycle,Q34493
Q8047732,Yamaha Mio,motorcycle,Q34493
Q8047827,Yamaha Mate,motorcycle,Q34493
Q9163594,BSA B25,motorcycle,Q34493
Q3672586,Piaggio X8,motorcycle,Q34493
Q22130101,Yamaha Bolt,motorcycle,Q34493
Q111830433,Ducati DesertX,motorcycle,Q34493
Q112181192,BMW R1250RS,motorcycle,Q34493
Q11687712,Benelli Pepe,motorcycle,Q34493
Q13862565,Moto Guzzi TriAlce,motorcycle,Q34493
Q65241415,Moto Guzzi V85 TT,motorcycle,Q34493
Q97601801,BMW F900R,motorcycle,Q34493
Q248155,Zündapp Bella,motorcycle,Q34493
Q1145796,Curtiss V8,motorcycle,Q34493
Q3978319,Suter MMX2,motorcycle,Q34493
Q4782103,Aprilia Mojito,motorcycle,Q34493
Q4836520,BSA B31,motorcycle,Q34493
Q4836535,BSA Fury,motorcycle,Q34493
Q5658758,Harley-Davidson XA,motorcycle,Q34493
Q18163039,BMW R100,motorcycle,Q34493
Q110205907,Aprilia SXR,motorcycle,Q34493
Q5892305,Honda CHF50,motorcycle,Q34493
Q5892462,Honda FC50,motorcycle,Q34493
Q6436444,Krauser Domani,motorcycle,Q34493
Q9326099,SHL M11,motorcycle,Q34493
Q2091838,Piaggio X9,motorcycle,Q34493
Q3621033,Aprilia RX,motorcycle,Q34493
Q20076361,Honda SH50,motorcycle,Q34493
Q3783376,Harley-Davidson Hummer,motorcycle,Q34493
Q111728567,Piaggio 1,motorcycle,Q34493
Q112577883,Yamaha YZF-R7 (2022),motorcycle,Q34493
Q115764224,Harley Davidson 250RR,motorcycle,Q34493
Q115804363,Kawasaki Versys-X 250/300,motorcycle,Q34493
Q11257517,Royal Enfield Thunderbird,motorcycle,Q34493
