qid,label,class_label,class_qid
Q583,Mont Blanc,mountain,Q8502
Q72303,Mount Ararat,mountain,Q8502
Q38954,Teide,mountain,Q8502
Q82019,Kanchenjunga,mountain,Q8502
Q33910,Uluru,mountain,Q8502
Q229107,Mount Kailash,mountain,Q8502
Q131230,Mauna Kea,mountain,Q8502
Q520,Olympus Mons,mountain,Q8502
Q107635,Baekdu Mountain,mountain,Q8502
Q193163,Temple Mount,mountain,Q8502
Q188982,Mount Erebus,mountain,Q8502
Q194057,Mount Rainier,mountain,Q8502
Q219986,Gangkhar Puensum,mountain,Q8502
Q194215,Île Amsterdam,mountain,Q8502
Q184975,Hekla,mountain,Q8502
Q210252,Klyuchevskaya Sopka,mountain,Q8502
Q190562,Mount Cameroon,mountain,Q8502
Q214696,Mount Nyiragongo,mountain,Q8502
Q210722,Sugarloaf Mountain,mountain,Q8502
Q231620,Parícutin,mountain,Q8502
Q193785,Mount Tabor,mountain,Q8502
Q214916,Llullaillaco,mountain,Q8502
Q209341,Musala,mountain,Q8502
Q204821,Île Saint-Paul,mountain,Q8502
Q81213,Gerlachovský štít,mountain,Q8502
Q233351,Nevado del Ruiz,mountain,Q8502
Q207284,Mount Ruapehu,mountain,Q8502
Q182913,Grímsvötn,mountain,Q8502
Q3403,Dufourspitze,mountain,Q8502
Q859376,Volcán de Fuego,mountain,Q8502
Q126804,Mount Erciyes,mountain,Q8502
Q912579,Korab,mountain,Q8502
Q201914,Katla,mountain,Q8502
Q1315012,Snæfellsjökull,mountain,Q8502
Q791652,Avachinsky,mountain,Q8502
Q235062,Galeras,mountain,Q8502
Q216035,Halti,mountain,Q8502
Q695846,Nyamuragira,mountain,Q8502
Q814113,Beerenberg,mountain,Q8502
Q255010,Parinacota,mountain,Q8502
Q15127,Finsteraarhorn,mountain,Q8502
Q312930,Copahue,mountain,Q8502
Q1754806,Mount Ontake,mountain,Q8502
Q1032440,Maja Jezercë,mountain,Q8502
Q928681,Mount Pico,mountain,Q8502
Q839630,Koryaksky,mountain,Q8502
Q48877,Shiveluch,mountain,Q8502
Q211665,Askja,mountain,Q8502
Q1018862,Bárðarbunga,mountain,Q8502
Q748040,Mount Hiei,mountain,Q8502
Q692922,Novarupta,mountain,Q8502
Q858808,Osorno,mountain,Q8502
Q513216,Kelut,mountain,Q8502
Q757314,Atlasov Island,mountain,Q8502
Q1672472,Irazú Volcano,mountain,Q8502
Q535065,Mount Kōya,mountain,Q8502
Q298119,Öræfajökull,mountain,Q8502
Q1302768,Mount Hasan,mountain,Q8502
Q753924,Pacaya,mountain,Q8502
Q1738211,Keli Mutubuurai,mountain,Q8502
Q575891,Volcán Momotombo,mountain,Q8502
Q1340711,Mehetia,mountain,Q8502
Q577700,Puyehue-Cordón Caulle,mountain,Q8502
Q152380,Chaitén,mountain,Q8502
Q1146327,Pidurutalagala,mountain,Q8502
Q841189,El Chichón,mountain,Q8502
Q778597,Puy de Sancy,mountain,Q8502
Q714605,Mount Bandai,mountain,Q8502
Q1478849,Incahuasi,mountain,Q8502
Q704936,Arsia Mons,mountain,Q8502
Q859354,Lassen Peak,mountain,Q8502
Q840735,Mount Redoubt,mountain,Q8502
Q499164,Ascraeus Mons,mountain,Q8502
Q2639098,Mount Haku,mountain,Q8502
Q408217,Santiago Island,mountain,Q8502
Q752994,Krafla,mountain,Q8502
Q735657,Pavonis Mons,mountain,Q8502
Q1140684,Vihren,mountain,Q8502
Q1064098,Pinta Island,mountain,Q8502
Q614531,Antsiferov Island,mountain,Q8502
Q1376373,Volcán Wolf,mountain,Q8502
Q1048209,Floreana Island,mountain,Q8502
Q389121,Lanín,mountain,Q8502
Q783798,Mount Cleveland,mountain,Q8502
Q1067452,Concepción,mountain,Q8502
Q1417843,Hanish Islands,mountain,Q8502
Q992791,Syrtis Major Planum,mountain,Q8502
Q1752870,Volcán Tacaná,mountain,Q8502
Q1361324,Socorro Island,mountain,Q8502
Q1301834,Mount Scenery,mountain,Q8502
Q166972,Zavodovski Island,mountain,Q8502
Q43876,Mount Batur,mountain,Q8502
Q1433508,Mount Süphan,mountain,Q8502
Q312866,Antofalla,mountain,Q8502
Q252081,"Guallatiri, Chile",mountain,Q8502
Q682455,Mount Shishaldin,mountain,Q8502
Q524954,Mount Taftan,mountain,Q8502
Q1055899,Mount Hudson,mountain,Q8502
Q1373738,Mount Suribachi,mountain,Q8502
Q1413846,Hengill,mountain,Q8502
Q862760,Kronotsky,mountain,Q8502
Q1156943,Maderas,mountain,Q8502
Q1641276,Quilotoa,mountain,Q8502
Q906358,Volcán Maipo,mountain,Q8502
Q2386185,Krasheninnikov,mountain,Q8502
Q48784,Tolbachik,mountain,Q8502
Q392766,Mount Yasur,mountain,Q8502
Q338192,Acatenango,mountain,Q8502
Q1478283,Maat Mons,mountain,Q8502
Q713619,Mount Yōtei,mountain,Q8502
Q607196,Volcán San Cristóbal,mountain,Q8502
Q169924,Biblical Mount Sinai,mountain,Q8502
Q27015522,Fagradalsfjall,mountain,Q8502
Q288403,Sarychev Peak,mountain,Q8502
Q1062516,Española Island,mountain,Q8502
Q1327687,Volcán de Agua,mountain,Q8502
Q937167,Rano Raraku,mountain,Q8502
Q1631727,Ofu-Olosega,mountain,Q8502
Q1675325,Ichinsky,mountain,Q8502
Q422765,Socompa,mountain,Q8502
Q422737,Pomerape,mountain,Q8502
Q374841,Maxwell Montes,mountain,Q8502
Q762945,Rukatunturi,mountain,Q8502
Q1422715,Rangitoto Island,mountain,Q8502
Q991004,Broutona,mountain,Q8502
Q1052758,Llano Estacado,mountain,Q8502
Q1193964,Augustine Volcano,mountain,Q8502
Q2620173,Mount Tokachi,mountain,Q8502
Q414577,Akademia Nauk,mountain,Q8502
Q794264,Volcán Azufral,mountain,Q8502
Q337644,Acamarachi,mountain,Q8502
Q1435038,Kverkfjöll,mountain,Q8502
Q1432927,Tindfjallajökull,mountain,Q8502
Q1790072,Mount Okmok,mountain,Q8502
Q1784850,Korvatunturi,mountain,Q8502
Q1547142,Nea Kameni,mountain,Q8502
Q1147502,Marchena Island,mountain,Q8502
Q924119,Elysium Mons,mountain,Q8502
Q2422217,Aeolis Mons,mountain,Q8502
Q2977103,Mount Tate,mountain,Q8502
Q1474799,Torfajökull,mountain,Q8502
Q280822,Brennisteinsalda,mountain,Q8502
Q1542451,Ylläs,mountain,Q8502
Q1053880,Central Island,mountain,Q8502
Q1157658,Daisetsuzan Volcanic Group,mountain,Q8502
Q1330927,Puracé,mountain,Q8502
Q185847,Mount Wrangell,mountain,Q8502
Q2744214,Mount Ishizuchi,mountain,Q8502
Q2742687,San Pedro,mountain,Q8502
Q2340739,Gunung Dukono,mountain,Q8502
Q1964765,Mount Nantai,mountain,Q8502
Q2154758,Mount Rishiri,mountain,Q8502
Q2019666,Cumbal,mountain,Q8502
Q804039,Mount Bisoke,mountain,Q8502
Q375398,Irruputuncu,mountain,Q8502
Q713836,Mount Iwate,mountain,Q8502
Q271149,Åreskutan,mountain,Q8502
Q1513696,Kolumbo,mountain,Q8502
Q312862,Aracar,mountain,Q8502
Q609982,Antuco,mountain,Q8502
Q668594,Piz Kesch,mountain,Q8502
Q978441,Jabal al-Tair Island,mountain,Q8502
Q1329959,Mount Takao,mountain,Q8502
Q422807,Tipas,mountain,Q8502
Q415251,Mount Akagi,mountain,Q8502
Q358755,Mount Takahe,mountain,Q8502
Q758574,Aucanquilcha,mountain,Q8502
Q713857,Mount Iwaki,mountain,Q8502
Q1442812,Blå Jungfrun,mountain,Q8502
Q1535333,Marmolejo,mountain,Q8502
Q312770,Domuyo,mountain,Q8502
Q1424979,Alcedo Volcano,mountain,Q8502
Q701516,Kaiserstuhl,mountain,Q8502
Q605355,Rábida Island,mountain,Q8502
Q1377333,Mount Osore,mountain,Q8502
Q1552026,Tacora,mountain,Q8502
Q1324394,Cerro El Muerto,mountain,Q8502
Q1672337,Menengai,mountain,Q8502
Q578799,Malinche,mountain,Q8502
Q943045,Tupungatito,mountain,Q8502
Q889637,Mutnovsky,mountain,Q8502
Q2282091,Chikurachki,mountain,Q8502
Q2208162,Shiprock,mountain,Q8502
Q2150879,Azhdahak,mountain,Q8502
Q760819,Mount Popomanaseu,mountain,Q8502
Q1880965,Volcán Tolimán,mountain,Q8502
Q713826,Mount Chōkai,mountain,Q8502
Q279915,Mount Kusatsu-Shirane,mountain,Q8502
Q978785,Mount Kanaga,mountain,Q8502
Q1637507,Saana,mountain,Q8502
Q1715041,Jólnir,mountain,Q8502
Q952552,Ritničohkka,mountain,Q8502
Q890658,Bogoslof Island,mountain,Q8502
Q547770,Tyatya,mountain,Q8502
Q538601,Terevaka,mountain,Q8502
Q1195352,Pinzón Island,mountain,Q8502
Q3155409,Isluga,mountain,Q8502
Q2664586,Golovnin,mountain,Q8502
Q788723,Tarso Toussidé,mountain,Q8502
Q713847,Mount Kaimon,mountain,Q8502
Q1125445,Mount Tendürek,mountain,Q8502
Q1945447,Mont Ross,mountain,Q8502
Q1891390,San Félix Island,mountain,Q8502
Q1141849,Helgafell,mountain,Q8502
Q248276,Corcovado Volcano,mountain,Q8502
Q1374413,Teneguía,mountain,Q8502
Q999791,Buckle Island,mountain,Q8502
