qid,label,class_label,class_qid
Q191333,Khyber Pass,mountain pass,Q133056
Q204774,Bernina Pass,mountain pass,Q133056
Q666628,Furka Pass,mountain pass,Q133056
Q632335,Dzungarian Gate,mountain pass,Q133056
Q665676,Jungfraujoch,mountain pass,Q133056
Q869540,Kleine Scheidegg,mountain pass,Q133056
Q661013,Oberalp Pass,mountain pass,Q133056
Q369093,Brünig Pass,mountain pass,Q133056
Q675571,Monte Ceneri,mountain pass,Q133056
Q2982127,Snoqualmie Pass,mountain pass,Q133056
Q392154,Kicking Horse Pass,mountain pass,Q133056
Q383051,Rogers Pass,mountain pass,Q133056
Q178031,Yellowhead Pass,mountain pass,Q133056
Q4902044,Bhor Ghat,mountain pass,Q133056
Q15191430,Arthur's Pass,mountain pass,Q133056
Q631365,White Pass,mountain pass,Q133056
Q391854,Col de la Givrine,mountain pass,Q133056
Q385232,Wolfgang Pass,mountain pass,Q133056
Q667483,Sattel Pass,mountain pass,Q133056
Q1897056,Marias Pass,mountain pass,Q133056
Q1886676,Cajon Pass,mountain pass,Q133056
Q569988,Raton Pass,mountain pass,Q133056
Q680120,Saanenmöser Pass,mountain pass,Q133056
Q3494853,Stevens Pass,mountain pass,Q133056
Q513223,Crowsnest Pass,mountain pass,Q133056
Q1276806,Eagle Pass,mountain pass,Q133056
Q6374022,Kasara ghat,mountain pass,Q133056
Q4961975,col de Bretaye,mountain pass,Q133056
Q434305,Altamont Pass,mountain pass,Q133056
Q2981964,Rollins Pass,mountain pass,Q133056
Q7694821,Tehachapi Pass,mountain pass,Q133056
Q7597484,Stampede Pass,mountain pass,Q133056
Q3897453,San Gorgonio Pass,mountain pass,Q133056
Q2916895,Glorieta Pass,mountain pass,Q133056
Q1511853,Tennessee Pass,mountain pass,Q133056
Q1455208,Fremont Pass,mountain pass,Q133056
Q5371098,Emigrant Gap,mountain pass,Q133056
Q5102581,Chivela Pass,mountain pass,Q133056
Q6900132,Monida Pass,mountain pass,Q133056
Q6391316,Kenosha Pass,mountain pass,Q133056
Q5194020,Cumbres Pass,mountain pass,Q133056
Q4944792,Boreas Pass,mountain pass,Q133056
Q3021487,Delaware Water Gap,mountain pass,Q133056
Q20616626,Outeniqua Railroad Pass,mountain pass,Q133056
Q7055872,North La Veta Pass,mountain pass,Q133056
Q4972716,Brock Gap,mountain pass,Q133056
Q14705952,Campbell Pass,mountain pass,Q133056
Q212946,Brenner Pass,mountain pass,Q133056
Q25233,Gotthard Pass,mountain pass,Q133056
Q623424,Great St Bernard Pass,mountain pass,Q133056
Q499714,Nathu La,mountain pass,Q133056
Q471166,Simplon Pass,mountain pass,Q133056
Q24456,El Pas de la Casa,mountain pass,Q133056
Q891257,Bolan Pass,mountain pass,Q133056
Q934803,Transfăgărășan,mountain pass,Q133056
Q671415,Waidring,mountain pass,Q133056
Q1137017,Khunjerab Pass,mountain pass,Q133056
Q629324,San Bernardino Pass,mountain pass,Q133056
Q664978,Maloja Pass,mountain pass,Q133056
Q1334855,Stelvio Pass,mountain pass,Q133056
Q128884,Cilician Gates,mountain pass,Q133056
Q784798,Karakoram Pass,mountain pass,Q133056
Q605243,Splügen Pass,mountain pass,Q133056
Q1345705,Little St Bernard Pass,mountain pass,Q133056
Q666668,Grimsel Pass,mountain pass,Q133056
Q866388,Khardung La,mountain pass,Q133056
Q1143302,Torugart Pass,mountain pass,Q133056
Q940332,Trollstigen,mountain pass,Q133056
Q1193122,Jiayuguan,mountain pass,Q133056
Q1194223,Salang Pass,mountain pass,Q133056
Q732143,Col du Galibier,mountain pass,Q133056
Q942322,Col du Tourmalet,mountain pass,Q133056
Q1333807,Shipka Pass,mountain pass,Q133056
Q666004,Lukmanier Pass,mountain pass,Q133056
Q1193166,Pordoi Pass,mountain pass,Q133056
Q685235,Albula Pass,mountain pass,Q133056
Q1330063,Juyongguan,mountain pass,Q133056
Q2299685,Wakhjir Pass,mountain pass,Q133056
Q491829,Qacha's Nek,mountain pass,Q133056
Q318277,Gates of Alexander,mountain pass,Q133056
Q1324562,Yumen Pass,mountain pass,Q133056
Q911014,Dukla Pass,mountain pass,Q133056
Q222860,Reschen Pass,mountain pass,Q133056
Q665026,Umbrail Pass,mountain pass,Q133056
Q570647,Nufenen Pass,mountain pass,Q133056
Q1305618,Roncevaux Pass,mountain pass,Q133056
Q2611798,North Col,mountain pass,Q133056
Q443610,Alto de L'Angliru,mountain pass,Q133056
Q63600,Semmering Pass,mountain pass,Q133056
Q867075,Zojila Pass,mountain pass,Q133056
Q2098121,Planche des Belles Filles,mountain pass,Q133056
Q633415,Rohtang Pass,mountain pass,Q133056
Q372467,Flüela Pass,mountain pass,Q133056
Q389859,Somport,mountain pass,Q133056
Q2981976,Mamison Pass,mountain pass,Q133056
