qid,label,class_label,class_qid
Q17252,Tibet,mountain range,Q46831
Q4204,Black Forest,mountain range,Q46831
Q151985,Ardennes,mountain range,Q46831
Q152356,Eifel,mountain range,Q46831
Q152131,Sudetes,mountain range,Q46831
Q4198,Ore Mountains,mountain range,Q46831
Q119206,Julian Alps,mountain range,Q46831
Q109773,Teutoburg Forest,mountain range,Q46831
Q157290,Bohemian Forest,mountain range,Q46831
Q118899,Brazilian Highlands,mountain range,Q46831
Q158884,Taunus,mountain range,Q46831
Q1270,Pennine Alps,mountain range,Q46831
Q208807,Guiana Highlands,mountain range,Q46831
Q159589,Swabian Jura,mountain range,Q46831
Q4207,Bavarian Forest,mountain range,Q46831
Q251246,Vienna Woods,mountain range,Q46831
Q679359,High Tauern,mountain range,Q46831
Q203241,Marmolada,mountain range,Q46831
Q4210,Thuringian Forest,mountain range,Q46831
Q327221,Bernese Alps,mountain range,Q46831
Q74259,Western Alps,mountain range,Q46831
Q63817,Eastern Alps,mountain range,Q46831
Q2451856,Maritime Alps,mountain range,Q46831
Q198007,Karawanks,mountain range,Q46831
Q317074,Vogelsberg,mountain range,Q46831
Q163919,Watzmann,mountain range,Q46831
Q148988,Rhön Mountains,mountain range,Q46831
Q7411906,Bavarian Alps,mountain range,Q46831
Q8359,Odenwald,mountain range,Q46831
Q1274,Lepontine Alps,mountain range,Q46831
Q1251,Cottian Alps,mountain range,Q46831
Q157728,Fichtel Mountains,mountain range,Q46831
Q315298,Elbe Sandstone Mountains,mountain range,Q46831
Q291004,Highlands of Iceland,mountain range,Q46831
Q190348,Central Eastern Alps,mountain range,Q46831
Q609634,Southern Limestone Alps,mountain range,Q46831
Q1262,Graian Alps,mountain range,Q46831
Q1241230,Donets Ridge,mountain range,Q46831
Q427415,Bernina Range,mountain range,Q46831
Q264223,Wetterstein,mountain range,Q46831
Q743382,Dauphiné Alps,mountain range,Q46831
Q679384,Berchtesgaden Alps,mountain range,Q46831
Q592910,Kitzbühel Alps,mountain range,Q46831
Q660390,Carnic Alps,mountain range,Q46831
Q327218,Glarus Alps,mountain range,Q46831
Q203151,Zillertal Alps,mountain range,Q46831
Q655747,Allgäu Alps,mountain range,Q46831
Q640966,Westerwald,mountain range,Q46831
Q671207,Karwendel,mountain range,Q46831
Q704453,Bohemian Massif,mountain range,Q46831
Q1134424,Ligurian Alps,mountain range,Q46831
Q312118,Glarus thrust,mountain range,Q46831
Q1538487,Gorski kotar,mountain range,Q46831
Q182470,Spessart,mountain range,Q46831
Q679261,Stubai Alps,mountain range,Q46831
Q153464,Bergisches Land,mountain range,Q46831
Q671343,Mont Blanc massif,mountain range,Q46831
Q618528,Aphrodite Terra,mountain range,Q46831
Q669883,Franconian Jura,mountain range,Q46831
Q1220857,Dieng,mountain range,Q46831
