qid,label,class_label,class_qid
Q174555,Madagascar,movie,Q11424
Q40302,The Fox and the Hound,movie,Q11424
Q36479,The Lion King,movie,Q11424
Q11252497,Bad Cat,movie,Q11424
Q134430,Snow White and the Seven Dwarfs,movie,Q11424
Q171048,Toy Story,movie,Q11424
Q43051,Bambi,movie,Q11424
Q190135,The Little Mermaid,movie,Q11424
Q483815,Shrek,movie,Q11424
Q246283,Frozen,movie,Q11424
Q40895,Dumbo,movie,Q11424
Q215518,Aladdin,movie,Q11424
Q191753,Cinderella,movie,Q11424
Q172284,Lady and the Tramp,movie,Q11424
Q216929,Oliver & Company,movie,Q11424
Q179673,Beauty and the Beast,movie,Q11424
Q4341553,Pinocchio,movie,Q11424
Q39722,The Rescuers,movie,Q11424
Q15270647,Zootopia,movie,Q11424
Q104905,WALL-E,movie,Q11424
Q37785,Charlotte's Web,movie,Q11424
Q103372692,Encanto,movie,Q11424
Q199839,The Jungle Book,movie,Q11424
Q132863,Finding Nemo,movie,Q11424
Q165512,One Hundred and One Dalmatians,movie,Q11424
Q188439,Tangled,movie,Q11424
Q170035,Ratatouille,movie,Q11424
Q129193,Kung Fu Panda,movie,Q11424
Q187266,Toy Story 2,movie,Q11424
Q19090,Robin Hood,movie,Q11424
Q18647981,Moana,movie,Q11424
Q6144664,Inside Out,movie,Q11424
Q537407,Mulan,movie,Q11424
Q187726,"Monsters, Inc.",movie,Q11424
Q187278,Toy Story 3,movie,Q11424
Q215617,Sleeping Beauty,movie,Q11424
Q174811,Up,movie,Q11424
Q13091172,Big Hero 6,movie,Q11424
Q305250,Ice Age,movie,Q11424
Q943192,Fantasia,movie,Q11424
Q213326,The Incredibles,movie,Q11424
Q20751338,Rock Dog,movie,Q11424
Q184701,The Aristocats,movie,Q11424
Q271189,Hercules,movie,Q11424
Q182153,Cars,movie,Q11424
Q171300,The Princess and the Frog,movie,Q11424
Q18517638,Toy Story 4,movie,Q11424
Q215365,Brother Bear,movie,Q11424
Q189875,Alice in Wonderland,movie,Q11424
Q126796,Brave,movie,Q11424
Q334132,The Great Mouse Detective,movie,Q11424
Q24733929,Frozen 2,movie,Q11424
Q28891,Wreck-It Ralph,movie,Q11424
Q188474,Madagascar: Escape 2 Africa,movie,Q11424
Q182254,The Simpsons Movie,movie,Q11424
Q4447,Despicable Me,movie,Q11424
Q5815826,Coco,movie,Q11424
Q213787,The Hunchback of Notre Dame,movie,Q11424
Q218894,Pocahontas,movie,Q11424
Q202371,The Rescuers Down Under,movie,Q11424
Q208696,Tarzan,movie,Q11424
Q270470,Peter Pan,movie,Q11424
Q179503,Ice Age: Dawn of the Dinosaurs,movie,Q11424
Q223359,Rio,movie,Q11424
Q756238,Robots,movie,Q11424
Q190910,Ice Age: The Meltdown,movie,Q11424
Q36092,Lilo & Stitch,movie,Q11424
Q204662,The Sword in the Stone,movie,Q11424
Q485983,Shrek 2,movie,Q11424
Q212792,Bolt,movie,Q11424
Q39571,My Neighbor Totoro,movie,Q11424
Q55436290,Barbie,movie,Q11424
Q216153,A Bug's Life,movie,Q11424
Q318975,Atlantis: The Lost Empire,movie,Q11424
Q83161,Charlotte's Web 2: Wilbur's Great Adventure,movie,Q11424
Q47075,Scarface,movie,Q11424
Q29588607,Spider-Man: Into the Spider-Verse,movie,Q11424
Q13619743,Minions,movie,Q11424
Q9321426,Finding Dory,movie,Q11424
Q223163,The Emperor's New Groove,movie,Q11424
Q1201853,Thor: The Dark World,movie,Q11424
Q156401,Chicken Run,movie,Q11424
Q637212,Despicable Me 2,movie,Q11424
Q76479,A Fistful of Dollars,movie,Q11424
Q14772351,Batman v Superman: Dawn of Justice,movie,Q11424
Q322328,The Nightmare Before Christmas,movie,Q11424
Q641362,Monsters University,movie,Q11424
Q498434,The Many Adventures of Winnie the Pooh,movie,Q11424
Q863963,The Adventures of Ichabod and Mr. Toad,movie,Q11424
Q191803,The Lion King II: Simba's Pride,movie,Q11424
Q270940,Chicken Little,movie,Q11424
Q35951,Ice Age: Continental Drift,movie,Q11424
Q104845027,Turning Red,movie,Q11424
Q495850,The Croods,movie,Q11424
Q610502,Antz,movie,Q11424
Q193577,Kramer vs. Kramer,movie,Q11424
Q465275,Fantastic Mr. Fox,movie,Q11424
Q392530,Treasure Planet,movie,Q11424
Q373096,How to Train Your Dragon,movie,Q11424
Q245227,The Prince of Egypt,movie,Q11424
Q221679,Meet the Robinsons,movie,Q11424
Q329316,The Black Cauldron,movie,Q11424
Q76448600,Spider-Man: Across the Spider-Verse,movie,Q11424
Q66738105,Raya and the Last Dragon,movie,Q11424
Q22997984,Despicable Me 3,movie,Q11424
Q7737199,The Good Dinosaur,movie,Q11424
Q486609,Anastasia,movie,Q11424
Q213081,Star Trek,movie,Q11424
Q192212,Cars 2,movie,Q11424
Q207659,Space Jam,movie,Q11424
Q980041,The Adventures of Tintin: The Secret of the Unicorn,movie,Q11424
Q53110,High School Musical,movie,Q11424
Q45602,Modern Times,movie,Q11424
Q116764712,Zootopia 2,movie,Q11424
Q60997779,Minions: The Rise of Gru,movie,Q11424
Q27044293,The Lion King,movie,Q11424
Q486588,Shrek the Third,movie,Q11424
Q208131,Shrek Forever After,movie,Q11424
Q754736,Make Mine Music,movie,Q11424
Q191543,Terminator Salvation,movie,Q11424
Q244247,Madagascar 3: Europe's Most Wanted,movie,Q11424
Q24832112,Incredibles 2,movie,Q11424
Q20762698,Sing,movie,Q11424
Q18703062,The Angry Birds Movie,movie,Q11424
Q213012,Open Season,movie,Q11424
Q249967,Hotel Transylvania,movie,Q11424
Q171711,Star Trek Into Darkness,movie,Q11424
Q108671102,The Super Mario Bros. Movie,movie,Q11424
Q18844656,The Secret Life of Pets,movie,Q11424
Q18619153,The Boss Baby,movie,Q11424
Q786594,The Lorax,movie,Q11424
Q1743785,Jimmy Neutron: Boy Genius,movie,Q11424
Q632668,Coraline,movie,Q11424
Q200889,Bambi II,movie,Q11424
Q126800,Happy Feet,movie,Q11424
Q188899,The Fox and the Hound 2,movie,Q11424
Q374172,The Kid,movie,Q11424
Q244971,A Trip to the Moon,movie,Q11424
Q30937,Fantasia 2000,movie,Q11424
Q487447,Kung Fu Panda 2,movie,Q11424
Q275432,Rango,movie,Q11424
Q164417,Corpse Bride,movie,Q11424
Q64744044,Soul,movie,Q11424
Q8885676,Nausicaä of the Valley of the Wind,movie,Q11424
Q498375,Porco Rosso,movie,Q11424
Q922193,Winnie the Pooh,movie,Q11424
Q476329,Dinosaur,movie,Q11424
Q275167,Bee Movie,movie,Q11424
Q324262,Puss in Boots,movie,Q11424
Q97288428,The Bad Guys,movie,Q11424
Q65921361,Tom & Jerry,movie,Q11424
Q31271382,Spies in Disguise,movie,Q11424
Q25167044,Ralph Breaks the Internet,movie,Q11424
Q245366,Over the Hedge,movie,Q11424
Q113373276,Despicable Me 4,movie,Q11424
Q104409060,Lightyear,movie,Q11424
Q59690895,Onward,movie,Q11424
Q936194,Home on the Range,movie,Q11424
Q637169,Cloudy with a Chance of Meatballs,movie,Q11424
Q633053,Surf's Up,movie,Q11424
Q221236,Star Trek: First Contact,movie,Q11424
Q318428,Wallace & Gromit: The Curse of the Were-Rabbit,movie,Q11424
Q244434,Lady and the Tramp II: Scamp's Adventure,movie,Q11424
Q53113,High School Musical 2,movie,Q11424
Q20979182,Captain Underpants: The First Epic Movie,movie,Q11424
Q22970530,How to Train Your Dragon: The Hidden World,movie,Q11424
Q15055043,Kung Fu Panda 3,movie,Q11424
Q15632949,The Grinch,movie,Q11424
Q15616479,Penguins of Madagascar,movie,Q11424
Q10298666,How to Train Your Dragon 2,movie,Q11424
Q2089577,The Pebble and the Penguin,movie,Q11424
Q630032,Horton Hears a Who!,movie,Q11424
Q223217,The Lion King 1½,movie,Q11424
Q579928,The SpongeBob SquarePants Movie,movie,Q11424
Q113877606,Inside Out 2,movie,Q11424
Q15965953,Ice Age: Collision Course,movie,Q11424
Q221947,The Jungle Book 2,movie,Q11424
Q190575,Un Chien Andalou,movie,Q11424
Q107940,Star Trek: The Motion Picture,movie,Q11424
Q113883193,Wish,movie,Q11424
Q30933418,Sing 2,movie,Q11424
Q21079862,Cars 3,movie,Q11424
Q2608065,The LEGO Movie,movie,Q11424
Q681918,Monsters vs. Aliens,movie,Q11424
Q465478,Star Trek II: The Wrath of Khan,movie,Q11424
Q81205,Megamind,movie,Q11424
Q97925311,Luca,movie,Q11424
Q31271384,Puss in Boots: The Last Wish,movie,Q11424
Q15929448,Star Trek Beyond,movie,Q11424
Q6296387,Rio 2,movie,Q11424
Q4499813,Home,movie,Q11424
Q1043425,Sinbad: Legend of the Seven Seas,movie,Q11424
Q153886,The Cabinet of Dr. Caligari,movie,Q11424
Q55087665,Abominable,movie,Q11424
Q18722273,The Angry Birds Movie 2,movie,Q11424
Q6929072,Mr. Peabody & Sherman,movie,Q11424
Q641315,Spirit: Stallion of the Cimarron,movie,Q11424
Q941262,Planet 51,movie,Q11424
Q471842,Star Trek IV: The Voyage Home,movie,Q11424
Q752301,Flushed Away,movie,Q11424
Q23013169,The LEGO Batman Movie,movie,Q11424
Q15270775,Hotel Transylvania 2,movie,Q11424
Q221305,Star Trek III: The Search for Spock,movie,Q11424
Q862197,The Polar Express,movie,Q11424
Q470329,The Great Train Robbery,movie,Q11424
Q120367,Shark Tale,movie,Q11424
Q124457266,Moana 2,movie,Q11424
Q65973230,Hotel Transylvania: Transformania,movie,Q11424
Q56850065,Space Jam: A New Legacy,movie,Q11424
Q28840385,Hotel Transylvania 3: Summer Vacation,movie,Q11424
Q24832743,The Croods: A New Age,movie,Q11424
Q18740903,Ferdinand,movie,Q11424
Q15985075,Smurfs: The Lost Village,movie,Q11424
Q11640531,The Boss Baby: Family Business,movie,Q11424
Q1523217,Turbo,movie,Q11424
Q866358,The Road to El Dorado,movie,Q11424
Q1657080,Planes,movie,Q11424
Q431093,Sunrise: A Song of Two Humans,movie,Q11424
Q579757,Star Trek VI: The Undiscovered Country,movie,Q11424
Q15982441,The Peanuts Movie,movie,Q11424
Q192403,The Land Before Time,movie,Q11424
Q1051023,Frankenweenie,movie,Q11424
Q850159,The General,movie,Q11424
Q725842,Monster House,movie,Q11424
Q136625,Rise of the Guardians,movie,Q11424
Q192206,Intolerance,movie,Q11424
Q382289,Star Wars: The Clone Wars,movie,Q11424
Q388319,Star Trek: Nemesis,movie,Q11424
Q112801489,Elemental,movie,Q11424
Q108628759,Joker: Folie à Deux,movie,Q11424
Q59692464,Weathering with You,movie,Q11424
Q15293047,Stand by Me Doraemon,movie,Q11424
Q673198,Star Trek: Insurrection,movie,Q11424
Q217392,Open Season 2,movie,Q11424
Q1090697,Tom and Jerry: The Movie,movie,Q11424
Q241218,Star Trek V: The Final Frontier,movie,Q11424
Q125622088,Flow,movie,Q11424
Q114707487,Kung Fu Panda 4,movie,Q11424
Q117457809,Migration,movie,Q11424
Q28065409,Isle of Dogs,movie,Q11424
Q17278086,Descendants,movie,Q11424
Q7845294,Trolls,movie,Q11424
Q679679,House of Wax,movie,Q11424
Q817261,The Return of Jafar,movie,Q11424
Q640979,Hoodwinked!,movie,Q11424
Q869993,A Goofy Movie,movie,Q11424
Q477365,101 Dalmatians II: Patch's London Adventure,movie,Q11424
Q381758,Open Season 3,movie,Q11424
Q107473453,Strange World,movie,Q11424
Q30607974,Smallfoot,movie,Q11424
Q15631322,Planes: Fire & Rescue,movie,Q11424
Q817003,Aladdin and the King of Thieves,movie,Q11424
Q816857,Happy Feet Two,movie,Q11424
Q487612,Innocence of Muslims,movie,Q11424
Q723679,Star Trek Generations,movie,Q11424
Q477965,Persepolis,movie,Q11424
Q829250,Man with a Movie Camera,movie,Q11424
Q757250,The Wild,movie,Q11424
Q1905968,Akira,movie,Q11424
Q277157,Cloudy with a Chance of Meatballs 2,movie,Q11424
Q55188,Earth,movie,Q11424
Q124125148,Smurfs,movie,Q11424
Q130268157,KPop Demon Hunters,movie,Q11424
Q124378349,The Wild Robot,movie,Q11424
Q114242678,Mufasa: The Lion King,movie,Q11424
Q113641997,Toy Story 5,movie,Q11424
Q21450480,Storks,movie,Q11424
Q17030810,Sausage Party,movie,Q11424
Q16386722,The Little Prince,movie,Q11424
Q213683,Pink Floyd – The Wall,movie,Q11424
Q217250,Camp Rock,movie,Q11424
Q622758,The Ant Bully,movie,Q11424
Q1465155,Joseph: King of Dreams,movie,Q11424
Q86791,A Christmas Carol,movie,Q11424
Q51520,The Passion of Joan of Arc,movie,Q11424
Q124806421,The Super Mario Galaxy Movie,movie,Q11424
Q73895818,Guillermo del Toro's Pinocchio,movie,Q11424
Q61740797,Wish Dragon,movie,Q11424
Q23999279,Scoob!,movie,Q11424
Q946562,Home Alone 4,movie,Q11424
Q198028,ParaNorman,movie,Q11424
Q1129308,Barnyard,movie,Q11424
Q1216146,The Swan Princess,movie,Q11424
Q1764174,Quest for Camelot,movie,Q11424
Q467678,The Little Mermaid II: Return to the Sea,movie,Q11424
Q113879962,Elio,movie,Q11424
Q113244839,Avengers: Doomsday,movie,Q11424
Q67208596,Klaus,movie,Q11424
Q22131901,The Lego Ninjago Movie,movie,Q11424
Q23796643,The LEGO Movie 2: The Second Part,movie,Q11424
Q23013713,Loving Vincent,movie,Q11424
Q18786471,Kubo and the Two Strings,movie,Q11424
Q14451258,Justin and the Knights of Valour,movie,Q11424
Q15545272,Shaun the Sheep Movie,movie,Q11424
Q1199692,The Brave Little Toaster,movie,Q11424
Q610262,Return to Never Land,movie,Q11424
Q1137359,The Pirates! In an Adventure with Scientists!,movie,Q11424
Q1128756,Mary and Max,movie,Q11424
Q837847,Mulan II,movie,Q11424
Q764116,Balto,movie,Q11424
Q1045889,Only Yesterday,movie,Q11424
Q368451,Seventh Heaven,movie,Q11424
Q54825652,The Addams Family,movie,Q11424
Q685785,9,movie,Q11424
Q711918,Arthur Christmas,movie,Q11424
Q753677,Gnomeo & Juliet,movie,Q11424
Q1156836,October: Ten Days That Shook the World,movie,Q11424
Q1847868,Everyone's Hero,movie,Q11424
Q378913,The Lord of the Rings,movie,Q11424
Q8665,Workers Leaving the Lumière Factory,movie,Q11424
Q116638627,Transformers One,movie,Q11424
Q106953528,DC League of Super-Pets,movie,Q11424
Q23999306,The Emoji Movie,movie,Q11424
Q26154237,Descendants 2,movie,Q11424
Q22350801,Open Season: Scared Silly,movie,Q11424
Q930134,Cats Don't Dance,movie,Q11424
Q888136,The Tale of the Princess Kaguya,movie,Q11424
Q1067080,All Dogs Go to Heaven,movie,Q11424
Q778755,Safety Last!,movie,Q11424
Q59781,Titan A.E.,movie,Q11424
Q124464619,Dog Man,movie,Q11424
Q118847776,The SpongeBob Movie: Search for SquarePants,movie,Q11424
Q97609238,PAW Patrol: The Movie,movie,Q11424
Q12103758,The Boxtrolls,movie,Q11424
Q641310,Brother Bear 2,movie,Q11424
Q1525034,Home Alone: The Holiday Heist,movie,Q11424
Q429557,Gia,movie,Q11424
Q1140317,Shoulder Arms,movie,Q11424
Q160793,Waltz with Bashir,movie,Q11424
Q44447,Michael Jackson's This Is It,movie,Q11424
Q131547207,The Odyssey,movie,Q11424
Q22674122,Duck Duck Goose,movie,Q11424
Q15303590,Beyoncé,movie,Q11424
Q6402953,Khumba,movie,Q11424
Q1199301,The Powerpuff Girls Movie,movie,Q11424
Q645405,Alpha and Omega,movie,Q11424
Q659725,The Little Mermaid: Ariel's Beginning,movie,Q11424
Q937486,Kronk's New Groove,movie,Q11424
Q238681,Prayers for Bobby,movie,Q11424
Q1070484,A Dog's Life,movie,Q11424
Q852391,Cinderella II: Dreams Come True,movie,Q11424
Q470895,A Woman of Paris,movie,Q11424
Q466816,The Last Command,movie,Q11424
Q967661,Pinocchio 3000,movie,Q11424
Q276279,Camp Rock 2: The Final Jam,movie,Q11424
Q167206,Pom Poko,movie,Q11424
Q127605787,Minions & Monsters,movie,Q11424
Q107210110,The Lord of the Rings: The War of the Rohirrim,movie,Q11424
Q96506972,Vivo,movie,Q11424
Q97289392,Spirit Untamed,movie,Q11424
Q46392313,Teen Titans Go! To the Movies,movie,Q11424
Q20051329,Ivan the Terrible,movie,Q11424
Q16248866,The Book of Life,movie,Q11424
Q965266,Thumbelina,movie,Q11424
Q1263501,DuckTales the Movie: Treasure of the Lost Lamp,movie,Q11424
Q1135816,Frankenstein,movie,Q11424
Q1134678,An American Tail,movie,Q11424
Q203108,TMNT,movie,Q11424
Q779517,The Triplets of Belleville,movie,Q11424
Q1349588,Pocahontas II: Journey to a New World,movie,Q11424
Q570271,Yogi Bear,movie,Q11424
Q245063,Fitna,movie,Q11424
Q117188308,"Ruby Gillman, Teenage Kraken",movie,Q11424
Q117323743,Trolls Band Together,movie,Q11424
Q28869533,Wonder Park,movie,Q11424
Q24904727,Gnomeo and Juliet 2: Sherlock Gnomes,movie,Q11424
Q20942819,Anomalisa,movie,Q11424
Q2369324,The Mystery of the Third Planet,movie,Q11424
Q622763,Legend of the Guardians: The Owls of Ga'Hoole,movie,Q11424
Q1092313,Cinderella III: A Twist in Time,movie,Q11424
Q1198333,L'Arroseur Arrosé,movie,Q11424
Q451434,La Jetée,movie,Q11424
Q1192082,The Adventurer,movie,Q11424
Q1141431,Making a Living,movie,Q11424
Q549859,Princess Protection Program,movie,Q11424
Q56417123,UglyDolls,movie,Q11424
Q25136586,Early Man,movie,Q11424
Q21647697,Capture the Flag,movie,Q11424
Q678334,Beauty and the Beast: The Enchanted Christmas,movie,Q11424
Q810858,Batman: Mask of the Phantasm,movie,Q11424
Q522754,The Golem: How He Came into the World,movie,Q11424
Q1131791,Yellow Submarine,movie,Q11424
Q1768520,Twenty Minutes of Love,movie,Q11424
Q1569918,"Sherlock, Jr.",movie,Q11424
