qid,label,class_label,class_qid
Q932883,extensor indicis muscle,muscle,Q7365
Q1446138,extensor hallucis longus muscle,muscle,Q7365
Q135107081,musculus retractor bulbi,muscle,Q7365
Q204113,trapezius muscle,muscle,Q7365
Q239972,ciliary muscle,muscle,Q7365
Q643928,medial pterygoid muscle,muscle,Q7365
Q545030,corrugator supercilii muscle,muscle,Q7365
Q834781,external intercostal muscles,muscle,Q7365
Q266980,vertical muscle of tongue,muscle,Q7365
Q4681420,adductor minimus muscle,muscle,Q7365
Q17141257,sphenomandibularis,muscle,Q7365
Q5054402,musculus caudofemoralis,muscle,Q7365
