qid,label,class_label,class_qid
Q19675,Louvre Museum,museum,Q33506
Q10285,Colosseum,museum,Q33506
Q39671,Stonehenge,museum,Q33506
Q23402,Musée d'Orsay,museum,Q33506
Q6373,British Museum,museum,Q33506
Q2946,Palace of Versailles,museum,Q33506
Q42182,Buckingham Palace,museum,Q33506
Q46815,Israel Museum,museum,Q33506
Q62378,Tower of London,museum,Q33506
Q42646,Windsor Castle,museum,Q33506
Q160236,Metropolitan Museum of Art,museum,Q33506
Q160112,Museo del Prado,museum,Q33506
Q99309,Pantheon,museum,Q33506
Q51252,Uffizi Gallery,museum,Q33506
Q180788,National Gallery,museum,Q33506
Q190804,Rijksmuseum,museum,Q33506
Q188740,Museum of Modern Art,museum,Q33506
Q82941,São Paulo Museum of Art,museum,Q33506
Q156591,Yad Vashem,museum,Q33506
Q182955,Vatican Museums,museum,Q33506
Q36698440,Château de Montsoreau-Museum of Contemporary Art,museum,Q33506
Q201219,Egyptian Museum,museum,Q33506
Q200642,Palatine Hill,museum,Q33506
Q193375,Tate Modern,museum,Q33506
Q213322,Victoria and Albert Museum,museum,Q33506
Q224124,Van Gogh Museum,museum,Q33506
Q183334,Tretyakov Gallery,museum,Q33506
Q157298,Pergamon Museum,museum,Q33506
Q8012,Derby Museum and Art Gallery,museum,Q33506
Q463179,Fallingwater,museum,Q33506
Q201469,Solomon R. Guggenheim Museum,museum,Q33506
Q189883,Doge's Palace,museum,Q33506
Q623578,National Library of Australia,museum,Q33506
Q29286,Palazzo Pitti,museum,Q33506
Q214867,National Gallery of Art,museum,Q33506
Q215897,Castel del Monte,museum,Q33506
Q309388,Natural History Museum,museum,Q33506
Q207385,Kensington Palace,museum,Q33506
Q131617,Deutsches Museum,museum,Q33506
Q327983,Palace of Caserta,museum,Q33506
Q1538826,Musée des Arts et Métiers,museum,Q33506
Q205666,Hampton Court Palace,museum,Q33506
Q615404,Anıtkabir,museum,Q33506
Q208181,Blenheim Palace,museum,Q33506
Q653433,Tokyo National Museum,museum,Q33506
Q95569,Kunsthistorisches Museum,museum,Q33506
Q221092,Mauritshuis,museum,Q33506
Q211043,Russian Museum,museum,Q33506
Q4872,Pushkin Museum of Fine Arts,museum,Q33506
Q2559128,National Art Museum of Azerbaijan,museum,Q33506
Q271928,Palazzo Vecchio,museum,Q33506
Q540668,National Palace Museum,museum,Q33506
Q632682,Brooklyn Museum,museum,Q33506
Q505617,Villa Romana del Casale,museum,Q33506
Q820892,Petit Palais,museum,Q33506
Q873769,Grand Palace,museum,Q33506
Q371908,Albertina,museum,Q33506
Q154568,Alte Pinakothek,museum,Q33506
Q746063,Villa d'Este,museum,Q33506
Q841506,Galleria Borghese,museum,Q33506
Q674773,Science Museum,museum,Q33506
Q333906,Capitoline Museums,museum,Q33506
Q49133,Museum of Fine Arts Boston,museum,Q33506
Q752266,Durham Castle,museum,Q33506
Q460889,Museo Nacional Centro de Arte Reina Sofía,museum,Q33506
Q238587,National Portrait Gallery,museum,Q33506
Q1850416,Museu Nacional,museum,Q33506
Q636400,Ashmolean Museum,museum,Q33506
Q143463,Palais des Papes,museum,Q33506
Q1074318,National Museum of China,museum,Q33506
Q156722,Altes Museum,museum,Q33506
Q502098,Baths of Caracalla,museum,Q33506
Q952173,Selinunte,museum,Q33506
Q157825,Bode Museum,museum,Q33506
Q641556,Verona Arena,museum,Q33506
Q506234,Altare della Patria,museum,Q33506
Q508815,Carnuntum,museum,Q33506
Q338330,Gallerie dell'Accademia,museum,Q33506
Q524249,National Museum of Anthropology,museum,Q33506
Q857276,Musée d'art moderne de Paris,museum,Q33506
Q838691,Muséum national d'histoire naturelle,museum,Q33506
Q1140429,State Historical Museum,museum,Q33506
Q388448,Bargello National Museum,museum,Q33506
Q270920,Royal Academy of Arts,museum,Q33506
Q935116,Sandringham House,museum,Q33506
Q162077,Glyptothek,museum,Q33506
Q188112,National Museum in Prague,museum,Q33506
Q731635,Mount Vernon,museum,Q33506
Q731126,J. Paul Getty Museum,museum,Q33506
Q1327886,Musée Marmottan Monet,museum,Q33506
Q844926,Munch Museum,museum,Q33506
Q637187,National Archaeological Museum of Athens,museum,Q33506
Q165631,Gemäldegalerie Berlin,museum,Q33506
Q636774,Valle dei Templi,museum,Q33506
Q605185,Blue Grotto,museum,Q33506
Q505574,Villa Almerico Capra (La Rotonda),museum,Q33506
Q4890,Gemäldegalerie Alte Meister,museum,Q33506
Q51175,Basilica of Santa Maria Novella,museum,Q33506
Q754322,Museum of Anatolian Civilizations,museum,Q33506
Q743206,Musée Picasso,museum,Q33506
Q725108,Skansen,museum,Q33506
Q842858,Nationalmuseum,museum,Q33506
Q1895953,Musée National d'Art Moderne,museum,Q33506
Q963954,Scrovegni Chapel,museum,Q33506
Q1419555,National Gallery Prague,museum,Q33506
Q414219,Academy of Fine Arts Vienna,museum,Q33506
Q942713,Scottish National Gallery,museum,Q33506
Q165366,Anne Frank House,museum,Q33506
Q162111,Alte Nationalgalerie,museum,Q33506
Q650519,Musée Rodin,museum,Q33506
Q19877,Museo Egizio,museum,Q33506
Q3075489,Louis Vuitton Foundation,museum,Q33506
Q692847,Segesta,museum,Q33506
Q840886,"Museum of Fine Arts, Budapest",museum,Q33506
Q494407,National Museum of Korea,museum,Q33506
Q176251,Thyssen-Bornemisza Museum,museum,Q33506
Q155921,Bletchley Park,museum,Q33506
Q622438,Domus Aurea,museum,Q33506
Q150066,Pinacoteca di Brera,museum,Q33506
Q649250,Royal Ontario Museum,museum,Q33506
Q62364,Royal Pavilion,museum,Q33506
Q749808,Imperial War Museum London,museum,Q33506
Q2087788,National Gallery of Armenia,museum,Q33506
Q950970,Dover Castle,museum,Q33506
Q914231,Rietveld Schröder House,museum,Q33506
Q195436,Tate Britain,museum,Q33506
Q636978,Istanbul Archaeology Museums,museum,Q33506
Q167863,Musée du quai Branly,museum,Q33506
Q170152,Neue Pinakothek,museum,Q33506
Q653858,Barbican Centre,museum,Q33506
Q3176133,Louvre Abu Dhabi,museum,Q33506
Q726781,Musée de l'Orangerie,museum,Q33506
Q700764,Ambras Castle,museum,Q33506
Q860994,Guimet Museum,museum,Q33506
Q1135392,Museo Nazionale Romano,museum,Q33506
Q1199924,National Maritime Museum,museum,Q33506
Q1189955,Musée de l'Air,museum,Q33506
Q1362629,National Museum of Western Art,museum,Q33506
Q941276,Warwick Castle,museum,Q33506
Q521251,National Museum of Iraq,museum,Q33506
Q153306,National Museum in Warsaw,museum,Q33506
Q290549,Museo di Capodimonte,museum,Q33506
Q757178,HMS Belfast,museum,Q33506
Q725404,Pyramid of Cestius,museum,Q33506
Q1126723,Villa Farnesina,museum,Q33506
Q1189277,National Art Museum of Ukraine,museum,Q33506
Q169542,Hamburger Kunsthalle,museum,Q33506
Q648166,National Museum of Denmark,museum,Q33506
Q832278,Basilica of Sant'Apollinare Nuovo,museum,Q33506
Q1631008,National Museum of Iran,museum,Q33506
Q746333,Casa Vicens,museum,Q33506
Q861608,National Museum of Women in the Arts,museum,Q33506
Q1068063,National Gallery of Canada,museum,Q33506
Q1061094,Kelvingrove Art Gallery and Museum,museum,Q33506
Q233098,Museum für Naturkunde - Leibniz Institute for Evolution and Biodiversity Science,museum,Q33506
Q1672830,National Library of Ireland,museum,Q33506
Q915603,Museum of New Zealand Te Papa Tongarewa,museum,Q33506
Q913672,San Francisco Museum of Modern Art,museum,Q33506
Q888825,Boboli Gardens,museum,Q33506
Q671384,Statens Museum for Kunst,museum,Q33506
Q565155,Osborne House,museum,Q33506
Q564981,Queen's House,museum,Q33506
Q666063,National Library of Wales,museum,Q33506
Q1304121,Kremlin Armoury,museum,Q33506
Q1467125,National Museum of Indonesia,museum,Q33506
Q1051928,Kröller-Müller Museum,museum,Q33506
Q1145261,Basilica of Superga,museum,Q33506
Q1142142,Nordic Museum,museum,Q33506
Q1420103,Swedish Museum of Natural History,museum,Q33506
Q1352282,National Archaeological Museum,museum,Q33506
Q914141,Hungarian National Museum,museum,Q33506
