qid,label,class_label,class_qid
Q30973589,Eurovision Song Contest 2020,music festival,Q868557
Q153998,Love Parade,music festival,Q868557
Q157596,Bayreuth Festival,music festival,Q868557
Q669118,Montreux Jazz Festival,music festival,Q868557
Q1298953,Latvian Song and Dance Festival,music festival,Q868557
Q203348,Glyndebourne Festival Opera,music festival,Q868557
Q577042,Newport Jazz Festival,music festival,Q868557
Q614639,Montreal International Jazz Festival,music festival,Q868557
Q1284748,Royal Edinburgh Military Tattoo,music festival,Q868557
Q954628,Maggio Musicale Fiorentino,music festival,Q868557
Q917300,Savonlinna Opera Festival,music festival,Q868557
Q2745177,National Eisteddfod of Wales,music festival,Q868557
Q2278025,Festival Puccini,music festival,Q868557
Q2738153,Festival dei Due Mondi,music festival,Q868557
Q1543514,Graspop Metal Meeting,music festival,Q868557
Q1185941,Arena di Verona Festival,music festival,Q868557
Q219474,Pori Jazz,music festival,Q868557
Q1592865,Rossini Opera Festival,music festival,Q868557
Q259936,Ruisrock,music festival,Q868557
Q2111102,San Sebastian Jazz Festival,music festival,Q868557
Q65135837,Eurovision Young Musicians 2020,music festival,Q868557
Q1276997,Leopolis Jazz Fest,music festival,Q868557
Q1131047,Copenhagen Jazz Festival,music festival,Q868557
Q670324,Street Parade,music festival,Q868557
Q2079699,Rock en Seine,music festival,Q868557
Q7536290,Skopje Jazz Festival,music festival,Q868557
Q1151186,Fuji Rock Festival,music festival,Q868557
Q1463492,Wexford Festival Opera,music festival,Q868557
Q1155490,Benidorm International Song Festival,music festival,Q868557
Q494487,Ilosaarirock,music festival,Q868557
Q6423066,Knotfest,music festival,Q868557
Q2733686,Rock'n Coke,music festival,Q868557
Q1997447,Tbilisi Rock Festival,music festival,Q868557
Q6837810,Michigan Womyn's Music Festival,music festival,Q868557
Q923398,Vitoria-Gasteiz jazz festival,music festival,Q868557
Q822390,Munich Opera Festival,music festival,Q868557
Q642761,Chicago Jazz Festival,music festival,Q868557
Q557327,Ankkarock,music festival,Q868557
Q546381,Umbria Jazz Festival,music festival,Q868557
Q483759,Pentaport Rock Festival,music festival,Q868557
Q470650,JazzFest Berlin,music festival,Q868557
Q6106606,Resurrection Fest,music festival,Q868557
Q10536244,Llangollen International Musical Eisteddfod,music festival,Q868557
Q2497917,Opera Theatre of Saint Louis,music festival,Q868557
Q55614319,Ilidža Folk Music Festival,music festival,Q868557
Q1177777,Miskolc Opera Festival,music festival,Q868557
Q4875855,Beaches International Jazz Festival,music festival,Q868557
Q4349755,Kaustinen Folk Music Festival,music festival,Q868557
Q3330959,MUTEK,music festival,Q868557
Q465040,Sildajazz,music festival,Q868557
Q266260,Jazz in Marciac,music festival,Q868557
Q6723253,Macerata Opera,music festival,Q868557
Q2934694,Cambridge Folk Festival,music festival,Q868557
Q2697695,GAIA Chamber Music Festival,music festival,Q868557
Q1684444,Ascona Jazz Festival,music festival,Q868557
Q7354804,Rock for People,music festival,Q868557
Q7336176,Rising Sun Rock Festival,music festival,Q868557
Q7249657,PromFest,music festival,Q868557
Q7142713,Passion Conferences,music festival,Q868557
Q1134106,Cornerstone Festival,music festival,Q868557
Q18627053,Viru Folk,music festival,Q868557
Q17486095,Qstock,music festival,Q868557
Q3163354,Jazz sous les pommiers,music festival,Q868557
Q835411,Deutsches Jazzfestival,music festival,Q868557
Q337666,Jazz Jamboree,music festival,Q868557
Q5524282,Garsington Opera,music festival,Q868557
Q5445760,Festival della Valle d'Itria,music festival,Q868557
Q56379015,Rock-kola,music festival,Q868557
Q9359311,Nano-Mugen Festival,music festival,Q868557
Q6980362,Nattjazz,music festival,Q868557
Q11994226,Oslo Jazzfestival,music festival,Q868557
Q4852710,Baltic Jazz,music festival,Q868557
Q4848796,Baja Prog,music festival,Q868557
Q3513935,Sarajevo Jazz Festival,music festival,Q868557
Q809923,Basel Tattoo,music festival,Q868557
Q685607,Freakstock,music festival,Q868557
Q5569634,Glimmerglass Festival,music festival,Q868557
Q5357205,Gent Jazz Festival,music festival,Q868557
Q5174678,Cosquín Festival,music festival,Q868557
Q176102,Munich Biennale,music festival,Q868557
Q130058,Jersey Eisteddfod,music festival,Q868557
Q2494617,Union Move,music festival,Q868557
Q65079273,Juno Awards of 2020,music festival,Q868557
Q65078102,Flurry Festival,music festival,Q868557
Q58370240,Spannungen,music festival,Q868557
Q1642215,Händel-Festspiele Karlsruhe,music festival,Q868557
Q6811812,Melbourne International Jazz Festival,music festival,Q868557
Q20046366,Sky River Rock Festival,music festival,Q868557
Q18214747,Port-au-Prince International Jazz Festival,music festival,Q868557
Q16984887,BOOM Festival,music festival,Q868557
Q15296456,Kuhmo Chamber Music Festival,music festival,Q868557
Q12601317,Seoul Jazz Festival,music festival,Q868557
Q129263652,Rave The Planet,music festival,Q868557
Q4807866,Aspendos International Opera and Ballet Festival,music festival,Q868557
Q4727447,Alive Festival,music festival,Q868557
Q3995827,Flevo Festival,music festival,Q868557
Q821329,Berlin Tattoo,music festival,Q868557
Q300881,Aalener Jazzfest,music festival,Q868557
Q6721277,Maata Näkyvissä Festival,music festival,Q868557
Q6673617,Longborough Festival Opera,music festival,Q868557
Q6159549,Jarasum International Jazz Festival,music festival,Q868557
Q5893209,HeavenFest,music festival,Q868557
Q5603707,Greenbelt Festival,music festival,Q868557
Q5208194,Daegu International Opera Festival,music festival,Q868557
Q5183459,Creation Festival,music festival,Q868557
Q10971509,Eisteddfod of 1176,music festival,Q868557
Q2902155,Big Boss' Festival,music festival,Q868557
Q76416235,Kelly Clarkson: Invincible,music festival,Q868557
Q109229506,London International Festival of Early Music,music festival,Q868557
Q1684503,Jazz in der Kirche,music festival,Q868557
Q1408537,Festival Europäische Kirchenmusik,music festival,Q868557
Q48774278,Amsterdam Metalfest,music festival,Q868557
Q7414062,San Francisco LovEvolution,music festival,Q868557
Q7374927,Royal Tournament,music festival,Q868557
Q7109156,Ottawa Chamberfest,music festival,Q868557
Q7107022,Oslo International Church Music Festival,music festival,Q868557
Q6941620,Music Mountain Summer Chamber Music Festival,music festival,Q868557
Q29091629,North Sumatra Jazz Festival,music festival,Q868557
Q24341647,The International Chamber Music Festival in Plovdiv,music festival,Q868557
Q23303378,Opera in the Ozarks at Inspiration Point,music festival,Q868557
Q20990677,Folk music festival of Siglufjordur,music festival,Q868557
Q19386679,Risør Kammermusikkfest,music festival,Q868557
Q17082971,New England Folk Festival,music festival,Q868557
Q16843332,Hevy Music Festival,music festival,Q868557
Q119791445,Akut-Festival,music festival,Q868557
Q3437750,Rock Eisteddfod Challenge,music festival,Q868557
Q676303,The Hague Jazz,music festival,Q868557
Q6545471,Lifest,music festival,Q868557
Q5548566,Ichthus Music Festival,music festival,Q868557
Q5445697,Festival Amazonas de Ópera,music festival,Q868557
Q5329929,Easterfest,music festival,Q868557
Q5323352,EMA 2007,music festival,Q868557
Q5323350,EMA 2004,music festival,Q868557
Q96405029,Savannah Jazz Festival,music festival,Q868557
Q96374043,Bruno Mars at Park Theater at Park MGM,music festival,Q868557
Q85791314,Oscar Peterson International Jazz Festival,music festival,Q868557
Q85719744,15th Canadian Folk Music Awards,music festival,Q868557
Q60763343,ABU Song Contest 2019,music festival,Q868557
Q137258627,Belfast International Tattoo,music festival,Q868557
Q55632564,Sarajevo Chamber Music Festival,music festival,Q868557
Q48783571,Tobago Jazz Festival,music festival,Q868557
Q8059232,Youth Of The Nation Conference,music festival,Q868557
Q8026267,Winter Jam Tour Spectacular,music festival,Q868557
Q8000649,Wild Goose Festival,music festival,Q868557
Q7902358,Utah Festival Opera,music festival,Q868557
Q7893777,Unity Christian Music Festival,music festival,Q868557
Q7851031,Tuckamore Festival,music festival,Q868557
Q7659910,Sydney Eisteddfod,music festival,Q868557
Q7577925,Spirit West Coast,music festival,Q868557
Q7564469,Soulfest,music festival,Q868557
Q7562388,Sonshine Festival,music festival,Q868557
Q7508885,Sidmouth Folk Festival,music festival,Q868557
Q7503671,Shrewsbury Folk Festival,music festival,Q868557
Q7502778,Shout Fest,music festival,Q868557
Q7438907,Scream the Prayer Tour,music festival,Q868557
Q7419510,Santa Fe Chamber Music Festival,music festival,Q868557
Q7414057,San Francisco Jazz Festival,music festival,Q868557
Q7374856,Royal South Street Eisteddfod,music festival,Q868557
Q7354905,Rock the Universe,music festival,Q868557
Q7354887,Rock the Desert,music festival,Q868557
Q7354885,Rock the Coast,music festival,Q868557
Q7354841,Rock of Ages Festival,music festival,Q868557
Q7317815,Revelation Generation,music festival,Q868557
Q7231892,Portland Chamber Music Festival,music festival,Q868557
Q7133942,Parachute music festival,music festival,Q868557
Q7130068,Panasonic Village Jazz Festival,music festival,Q868557
Q7096574,Opera Barga Festival,music festival,Q868557
Q7089405,"Omaha Blues, Jazz, & Gospel Festival",music festival,Q868557
Q7064859,Novi Sad Jazz Festival,music festival,Q868557
Q7064857,Novi Rock,music festival,Q868557
Q7050998,Norfolk Chamber Music Festival,music festival,Q868557
Q6941965,Music in the Rockies,music festival,Q868557
Q6879502,Missouri Chamber Music Festival,music festival,Q868557
Q6842144,Middlewich Folk and Boat Festival,music festival,Q868557
Q24196595,West Cork Chamber Music Festival,music festival,Q868557
Q22080352,FolkEast,music festival,Q868557
Q1084181,Christmas Rock Night,music festival,Q868557
Q17108534,San Antonio Grand Opera Festival,music festival,Q868557
Q17012454,Night of Joy,music festival,Q868557
Q17003376,Fun in the Son,music festival,Q868557
Q16988981,Dorset Opera Festival,music festival,Q868557
Q16955187,Canada Jam,music festival,Q868557
Q16909705,Berkeley Folk Music Festival,music festival,Q868557
Q4904860,BigChurchDayOut,music festival,Q868557
Q4824143,Australian Festival of Chamber Music,music festival,Q868557
Q4691231,Agape Music Festival,music festival,Q868557
Q6800870,McDonald's Gospelfest,music festival,Q868557
Q6682379,Los Angeles Women's Music Festival,music festival,Q868557
Q6665425,Lockenhaus Chamber Music Festival,music festival,Q868557
Q6544616,LifeLight Music Festival,music festival,Q868557
