qid,label,class_label,class_qid
Q170384,operetta,music genre,Q188451
Q335101,Peking opera,music genre,Q188451
Q208080,opera buffa,music genre,Q188451
Q148163,zarzuela,music genre,Q188451
Q210675,opera seria,music genre,Q188451
Q674493,kunqu,music genre,Q188451
Q377258,singspiel,music genre,Q188451
Q781470,intermezzo,music genre,Q188451
Q737994,Chinese opera,music genre,Q188451
Q599099,grand opera,music genre,Q188451
Q785479,opéra comique,music genre,Q188451
Q221290,monodrama,music genre,Q188451
Q119272,ballad opera,music genre,Q188451
Q1084127,opéra-ballet,music genre,Q188451
Q908705,tragédie en musique,music genre,Q188451
Q1190662,opera semiseria,music genre,Q188451
Q2708318,Cantonese opera,music genre,Q188451
Q976634,sevillanas,music genre,Q188451
Q785522,Italian opera,music genre,Q188451
Q2140240,semi-opera,music genre,Q188451
Q3883891,verismo,music genre,Q188451
Q915591,chamber opera,music genre,Q188451
Q1617757,Soleá,music genre,Q188451
Q674448,pasticcio,music genre,Q188451
Q1457556,Henan opera,music genre,Q188451
Q2572946,Zambra,music genre,Q188451
Q662073,French opera,music genre,Q188451
Q574646,Malagueñas,music genre,Q188451
Q1255726,dramma giocoso,music genre,Q188451
Q1194292,Yue opera,music genre,Q188451
Q2164055,alegrías,music genre,Q188451
Q930910,zaju,music genre,Q188451
Q1003594,bulería,music genre,Q188451
Q31918,Taiwanese opera,music genre,Q188451
Q2571666,Huangmei opera,music genre,Q188451
Q2260479,Savoy opera,music genre,Q188451
Q13220650,comic opera,music genre,Q188451
Q3274976,chuanqi,music genre,Q188451
Q3084465,opéra bouffe,music genre,Q188451
Q602708,Sichuan opera,music genre,Q188451
Q1397144,farsa,music genre,Q188451
Q958982,saeta,music genre,Q188451
Q6417435,Azerbaijani opera,music genre,Q188451
Q834885,Pingju,music genre,Q188451
Q24255634,Ukrainian opera,music genre,Q188451
Q3321920,rumba flamenca,music genre,Q188451
Q2557688,Farruca,music genre,Q188451
Q1001165,tango,music genre,Q188451
Q717080,Changgeuk,music genre,Q188451
Q2340023,Peteneras,music genre,Q188451
Q10830180,tuồng,music genre,Q188451
Q17084138,comédie en vaudevilles,music genre,Q188451
Q3140617,pastorale héroïque,music genre,Q188451
Q2900800,Bian lian,music genre,Q188451
Q2895961,Dramma per musica,music genre,Q188451
Q583236,género chico,music genre,Q188451
Q470610,German opera,music genre,Q188451
Q717846,nanxi,music genre,Q188451
Q2522999,Russian opera,music genre,Q188451
Q2339999,siguiriyas,music genre,Q188451
Q1476187,rescue opera,music genre,Q188451
Q10564857,Min opera,music genre,Q188451
Q196077,Korean revolutionary opera,music genre,Q188451
Q248771,burletta,music genre,Q188451
Q1393917,fairy-tale opera,music genre,Q188451
Q4397400,Romantische Oper,music genre,Q188451
Q23832,Shanghai opera,music genre,Q188451
Q756324,revolutionary opera,music genre,Q188451
Q2572933,Verdiales,music genre,Q188451
Q1617418,Garrotín,music genre,Q188451
Q1616758,Martinete,music genre,Q188451
Q18689772,Finnish opera,music genre,Q188451
Q1106129,Cantiñas,music genre,Q188451
Q834867,Hebei bangzi,music genre,Q188451
Q7691051,tea-picking opera,music genre,Q188451
Q13575322,Hakka opera,music genre,Q188451
Q3269061,Gaojia opera,music genre,Q188451
Q1457481,Spieloper,music genre,Q188451
Q1106122,Alboreá,music genre,Q188451
Q4901674,Bhendi Bazaar gharana,music genre,Q188451
Q873493,qinqiang,music genre,Q188451
Q843927,Teochew opera,music genre,Q188451
Q2855967,Nuo theatre,music genre,Q188451
Q7110358,Ouju,music genre,Q188451
Q13928684,ritual opera,music genre,Q188451
Q3528222,Tientos,music genre,Q188451
Q3141818,Huaguxi,music genre,Q188451
Q3993333,Toná,music genre,Q188451
Q3941098,Rondeña,music genre,Q188451
Q1162494,Hungarian opera,music genre,Q188451
Q1106095,Bambera,music genre,Q188451
Q6813418,melodramma,music genre,Q188451
Q6675784,Xi Opera,music genre,Q188451
Q5935001,Huiju,music genre,Q188451
