qid,label,class_label,class_qid
Q4534600,Juno and Avos,musical,Q2743
Q723254,"Stephen, The King",musical,Q2743
Q7758619,The Protomen,musical,Q2743
Q3596099,!Hero,musical,Q2743
Q3238392,Lifehouse,musical,Q2743
Q3061780,Excalibur,musical,Q2743
Q7443169,Second Chance,musical,Q2743
Q5090430,Chemical Warfare Brigade,musical,Q2743
Q2910617,El Leila El Kebira,musical,Q2743
Q135746545,Sesame Street: The Musical,musical,Q2743
Q136451150,Wicked Frozen,musical,Q2743
Q138019908,Spokesong,musical,Q2743
