qid,label,class_label,class_qid
Q49617,The Internationale,musical work,Q2188189
Q44696,The Star-Spangled Banner,musical work,Q2188189
Q40807,God Save the King,musical work,Q2188189
Q44042,Deutschlandlied,musical work,Q2188189
Q130865,Hatikvah,musical work,Q2188189
Q156136,March of the Volunteers,musical work,Q2188189
Q170601,Advance Australia Fair,musical work,Q2188189
Q83099,Jana Gana Mana,musical work,Q2188189
Q482988,Poland Is Not Yet Lost,musical work,Q2188189
Q187,Il Canto degli Italiani,musical work,Q2188189
Q172152,Stille Nacht Heilige Nacht,musical work,Q2188189
Q199739,Amar Sonar Bangla,musical work,Q2188189
Q159633,Bella ciao,musical work,Q2188189
Q130940,Marcha Real,musical work,Q2188189
Q166350,My Belarusy,musical work,Q2188189
Q199506,El gran Carlemany,musical work,Q2188189
Q187745,Bohemian Rhapsody,musical work,Q2188189
Q11989,Symphony No. 9,musical work,Q2188189
Q142260,Indonesia Raya,musical work,Q2188189
Q199786,Swan Lake,musical work,Q2188189
Q18288,Katyusha,musical work,Q2188189
Q11980,Für Elise,musical work,Q2188189
Q28572509,Despacito,musical work,Q2188189
Q188709,Symphony No. 5,musical work,Q2188189
Q12016,The Four Seasons,musical work,Q2188189
Q211939,Auld Lang Syne,musical work,Q2188189
Q200809,Magnificat,musical work,Q2188189
Q193319,Billie Jean,musical work,Q2188189
Q207990,Turandot,musical work,Q2188189
Q202230,Nabucco,musical work,Q2188189
Q202166,Ons Heemecht,musical work,Q2188189
Q193873,Oben am jungen Rhein,musical work,Q2188189
Q167545,Happy Birthday to You,musical work,Q2188189
Q238564,We Are the Champions,musical work,Q2188189
Q17195494,Putin khuylo!,musical work,Q2188189
Q864979,National Anthem of the Republic of China,musical work,Q2188189
Q210211,Amazing Grace,musical work,Q2188189
Q207875,Requiem,musical work,Q2188189
Q1971,Imagine,musical work,Q2188189
Q154059,Horst-Wessel-Lied,musical work,Q2188189
Q485907,Smells Like Teen Spirit,musical work,Q2188189
Q205891,'O Sole Mio,musical work,Q2188189
Q406845,Jingle Bells,musical work,Q2188189
Q202698,Yesterday,musical work,Q2188189
Q336321,Hymne monégasque,musical work,Q2188189
Q326487,We Will Rock You,musical work,Q2188189
Q192023,Stairway to Heaven,musical work,Q2188189
Q253716,Carmina Burana,musical work,Q2188189
Q206015,The Rite of Spring,musical work,Q2188189
Q131718,Hava Nagila,musical work,Q2188189
Q22913800,1944,musical work,Q2188189
Q391180,Bésame Mucho,musical work,Q2188189
Q970573,Allahu Akbar,musical work,Q2188189
Q482621,The Blue Danube,musical work,Q2188189
Q301934,Salve Regina,musical work,Q2188189
Q212776,1812 Overture,musical work,Q2188189
Q32503,Waterloo,musical work,Q2188189
Q780394,Hotel California,musical work,Q2188189
Q356486,Adeste Fideles,musical work,Q2188189
Q327331,Boléro,musical work,Q2188189
Q207732,Messiah,musical work,Q2188189
Q211971,The Well-Tempered Clavier,musical work,Q2188189
Q607742,Hey Jude,musical work,Q2188189
Q1025916,Paparazzi,musical work,Q2188189
Q1318118,Last Christmas,musical work,Q2188189
Q478928,The House of the Rising Sun,musical work,Q2188189
Q157489,Symphony No. 3,musical work,Q2188189
Q153029,Poker Face,musical work,Q2188189
Q192174,Euphoria,musical work,Q2188189
Q189002,Born This Way,musical work,Q2188189
Q747869,Gloomy Sunday,musical work,Q2188189
Q605031,Radio Ga Ga,musical work,Q2188189
Q653991,All I Want for Christmas Is You,musical work,Q2188189
Q12008,Piano Sonata No. 14,musical work,Q2188189
Q15282326,Let It Go,musical work,Q2188189
Q215729,"Rule, Britannia!",musical work,Q2188189
Q214430,Like a Rolling Stone,musical work,Q2188189
Q213728,Goldberg Variations,musical work,Q2188189
Q156562,Satellite,musical work,Q2188189
Q210218,Beat It,musical work,Q2188189
Q12025,Eine kleine Nachtmusik,musical work,Q2188189
Q748583,Hard Rock Hallelujah,musical work,Q2188189
Q837310,Caminemos pisando las sendas de nuestra inmensa felicidad,musical work,Q2188189
Q161402,Over the Rainbow,musical work,Q2188189
Q634111,Nashid as-Salaam as-Sultani,musical work,Q2188189
Q462313,Symphonie fantastique,musical work,Q2188189
Q752873,Waltzing Matilda,musical work,Q2188189
Q825728,Frère Jacques,musical work,Q2188189
Q331969,Farewell of Slavianka,musical work,Q2188189
Q155577,My Heart Will Go On,musical work,Q2188189
Q184259,Let It Be,musical work,Q2188189
Q57,Never Gonna Give You Up,musical work,Q2188189
Q1046985,O Tannenbaum,musical work,Q2188189
Q246433,Symphony No. 6,musical work,Q2188189
Q925657,My Way,musical work,Q2188189
Q580010,Light My Fire,musical work,Q2188189
Q728692,You'll Never Walk Alone,musical work,Q2188189
Q322631,"Fair Antigua, We Salute Thee",musical work,Q2188189
Q213718,Strawberry Fields Forever,musical work,Q2188189
Q203048,National anthem of Yemen,musical work,Q2188189
Q141005,La Espero,musical work,Q2188189
Q12001,Radetzky March,musical work,Q2188189
Q15958943,Rise Like a Phoenix,musical work,Q2188189
Q3739483,Only Teardrops,musical work,Q2188189
Q931481,Johnny B. Goode,musical work,Q2188189
Q380825,Thriller,musical work,Q2188189
Q700867,Erika,musical work,Q2188189
Q836667,Under Pressure,musical work,Q2188189
Q815342,Nessun dorma,musical work,Q2188189
Q674738,Greensleeves,musical work,Q2188189
Q1131761,White Christmas,musical work,Q2188189
Q890692,Bogurodzica,musical work,Q2188189
Q714119,The Sacred War,musical work,Q2188189
Q158553,(I Can't Get No) Satisfaction,musical work,Q2188189
Q157355,Wind of Change,musical work,Q2188189
Q154968,Lili Marleen,musical work,Q2188189
Q147409,Single Ladies (Put a Ring on It),musical work,Q2188189
Q12030,4′33″,musical work,Q2188189
Q50134759,Toy,musical work,Q2188189
Q21172725,Hello,musical work,Q2188189
Q28132505,Shape of You,musical work,Q2188189
Q567940,Another Brick in the Wall,musical work,Q2188189
Q626490,Viva la Vida,musical work,Q2188189
Q607773,Running Scared,musical work,Q2188189
