qid,label,class_label,class_qid
Q123991,steppe,natural region,Q1970725
Q145165,Great Victoria Desert,natural region,Q1970725
Q194263,Tatra Mountains,natural region,Q1970725
Q72499,Mediterranean Basin,natural region,Q1970725
Q106447,Palearctic realm,natural region,Q1970725
Q14118,Savoy,natural region,Q1970725
Q4198,Ore Mountains,natural region,Q1970725
Q214644,Giant Mountains,natural region,Q1970725
Q208347,Gran Chaco,natural region,Q1970725
Q206221,Languedoc,natural region,Q1970725
Q326896,Great Sandy Desert,natural region,Q1970725
Q217151,Neotropical realm,natural region,Q1970725
Q157290,Bohemian Forest,natural region,Q1970725
Q757081,Indomalayan realm,natural region,Q1970725
Q737742,Nearctic realm,natural region,Q1970725
Q218151,Camargue,natural region,Q1970725
Q847051,Holarctic realm,natural region,Q1970725
Q388614,Afrotropical realm,natural region,Q1970725
Q1050483,Loire Valley,natural region,Q1970725
Q755001,Paris Basin,natural region,Q1970725
Q1077944,Australasian realm,natural region,Q1970725
Q828329,tepui,natural region,Q1970725
Q1547309,Indo-Pacific,natural region,Q1970725
Q558893,Low Tatras,natural region,Q1970725
Q1991326,Wallacea,natural region,Q1970725
Q157728,Fichtel Mountains,natural region,Q1970725
Q523671,Malá Fatra,natural region,Q1970725
Q695368,Lusatian Mountains,natural region,Q1970725
Q315298,Elbe Sandstone Mountains,natural region,Q1970725
Q426712,Little Carpathians,natural region,Q1970725
Q778954,Greater Fatra,natural region,Q1970725
Q166004,North German Plain,natural region,Q1970725
Q1345416,Jizera Mountains,natural region,Q1970725
Q1784223,Coral Triangle,natural region,Q1970725
Q571337,Antarctic realm,natural region,Q1970725
Q1338173,White Carpathians,natural region,Q1970725
Q1475441,MacDonnell Ranges,natural region,Q1970725
Q633849,Silesian Beskids,natural region,Q1970725
Q1128483,Cascadia,natural region,Q1970725
Q12717804,Puna grassland,natural region,Q1970725
Q4026866,Rann of Kutch,natural region,Q1970725
Q649125,Forest of Argonne,natural region,Q1970725
Q1435063,Vercors Massif,natural region,Q1970725
Q1426627,Inner Niger Delta,natural region,Q1970725
Q910335,Bresse,natural region,Q1970725
Q1067900,Chartreuse Mountains,natural region,Q1970725
Q685984,Upper Palatine Forest,natural region,Q1970725
Q3290315,Mesopotamian Marshes,natural region,Q1970725
Q1242274,Maurienne,natural region,Q1970725
Q765881,Moravian Gate,natural region,Q1970725
Q1387301,Maple Mountains,natural region,Q1970725
Q1115037,Corbières,natural region,Q1970725
Q1365195,Moravian-Silesian Beskids,natural region,Q1970725
Q1509963,Montagne Noire,natural region,Q1970725
Q260225,Highveld,natural region,Q1970725
Q280987,Hrubý Jeseník,natural region,Q1970725
Q358361,Orlické hory,natural region,Q1970725
Q2155625,Riverina,natural region,Q1970725
Q15481,Fenolheda,natural region,Q1970725
Q1640051,Pays de Caux,natural region,Q1970725
Q1476089,Vexin,natural region,Q1970725
Q264667,České Středohoří,natural region,Q1970725
Q303045,Oceanian realm,natural region,Q1970725
Q914050,Brie,natural region,Q1970725
Q1529966,Śnieżnik Mountains,natural region,Q1970725
Q3736104,Żuławy Wiślane,natural region,Q1970725
Q1437284,Forez,natural region,Q1970725
Q1538251,Gorges du Tarn,natural region,Q1970725
Q642490,Bugey,natural region,Q1970725
Q811362,Bauges Mountains,natural region,Q1970725
Q1069966,Tribeč,natural region,Q1970725
Q1859297,Strážov Mountains,natural region,Q1970725
Q707090,Charolais,natural region,Q1970725
Q3048983,restinga,natural region,Q1970725
Q2981644,Magellanic subpolar forests,natural region,Q1970725
Q1437075,Kremnica Mountains,natural region,Q1970725
Q1236944,Dombes,natural region,Q1970725
Q3851721,Sudanian savanna,natural region,Q1970725
Q1588777,Velay,natural region,Q1970725
Q1529959,Kłodzko Valley,natural region,Q1970725
Q595178,Považský Inovec,natural region,Q1970725
Q2993072,Landes de Gascogne,natural region,Q1970725
Q163009,Lusatian Highlands,natural region,Q1970725
Q3128625,Central Highlands,natural region,Q1970725
Q3078747,Boreal forest of Canada,natural region,Q1970725
Q1266609,Doupov Mountains,natural region,Q1970725
Q1357166,Limagne,natural region,Q1970725
Q2151255,Handroanthus serratifolius,natural region,Q1970725
Q758500,Aubrac,natural region,Q1970725
Q1500011,Lauragais,natural region,Q1970725
Q228131,Opawskie Mountains,natural region,Q1970725
Q1076846,Choč Mountains,natural region,Q1970725
Q937427,Oisans,natural region,Q1970725
Q3474468,West Sudanian savanna,natural region,Q1970725
Q500703,Pindus Mountains mixed forests,natural region,Q1970725
Q3078792,Forêt d'Orléans,natural region,Q1970725
Q286993,Larzac,natural region,Q1970725
Q23582867,Rodope montane mixed forests,natural region,Q1970725
Q63604,Boulonnais,natural region,Q1970725
Q28658718,Central European mixed forests,natural region,Q1970725
Q28658671,Baltic mixed forests,natural region,Q1970725
Q1935661,Golden Mountains,natural region,Q1970725
Q17167342,Papuasia,natural region,Q1970725
Q3889412,Tibesti-Jebel Uweinat montane xeric woodlands,natural region,Q1970725
Q3850748,East Saharan montane xeric woodlands,natural region,Q1970725
Q3845967,Dinaric Mountains mixed forests,natural region,Q1970725
Q3373432,Pays de Bray,natural region,Q1970725
Q3323161,Monts du Forez,natural region,Q1970725
Q1413814,Kaiserwald,natural region,Q1970725
Q3079226,Guinean montane forests,natural region,Q1970725
Q846464,Vizovice Highlands,natural region,Q1970725
Q4736806,Alto Paraná Atlantic forests,natural region,Q1970725
Q1787739,Staré Hory Mountains,natural region,Q1970725
Q3893326,Sundaland heath forests,natural region,Q1970725
Q1543660,Gratzen Mountains,natural region,Q1970725
