qid,label,class_label,class_qid
Q186029,optic nerve,nerve,Q9620
Q242160,facial nerve,nerve,Q9620
Q334143,glossopharyngeal nerve,nerve,Q9620
Q1420571,ophthalmic nerve,nerve,Q9620
Q1978103,medial pectoral nerve,nerve,Q9620
Q2575284,Lateral pectoral nerve,nerve,Q9620
Q189763,trigeminal nerve,nerve,Q9620
Q209704,olfactory nerve,nerve,Q9620
Q319584,trochlear nerve,nerve,Q9620
Q271987,accessory nerve,nerve,Q9620
Q319577,hypoglossal nerve,nerve,Q9620
Q307869,sciatic nerve,nerve,Q9620
Q592726,terminal nerve,nerve,Q9620
Q1978198,tibial nerve,nerve,Q9620
Q1758126,musculocutaneous nerve,nerve,Q9620
Q1460988,ilioinguinal nerve,nerve,Q9620
Q750130,nerve plexus,nerve,Q9620
Q510755,lateral cutaneous nerve of thigh,nerve,Q9620
Q1761014,superior gluteal nerve,nerve,Q9620
Q1523307,genitofemoral nerve,nerve,Q9620
Q6135922,sural nerve,nerve,Q9620
Q478619,iliohypogastric nerve,nerve,Q9620
Q1978134,medial cutaneous nerve of arm,nerve,Q9620
Q1978150,inferior gluteal nerve,nerve,Q9620
Q498798,greater occipital nerve,nerve,Q9620
Q568799,ansa cervicalis,nerve,Q9620
Q1515961,set of intercostal nerves,nerve,Q9620
Q1817831,lingual nerve,nerve,Q9620
Q2795262,splanchnic nerves,nerve,Q9620
Q1477923,posterior cutaneous nerve of thigh,nerve,Q9620
Q2241227,Nerve to obturator internus,nerve,Q9620
Q5065351,second cervical nerve,nerve,Q9620
Q1134638,anococcygeal nerve,nerve,Q9620
Q4771357,anterior interosseous nerve,nerve,Q9620
Q7234230,posterior ramus of spinal nerve,nerve,Q9620
Q241865,transverse cervical nerve,nerve,Q9620
Q286437,nerve to the piriformis,nerve,Q9620
Q441704,lesser occipital nerve,nerve,Q9620
Q604987,medial plantar nerve,nerve,Q9620
Q1978117,saphenous nerve,nerve,Q9620
Q5298796,dorsal nerve of the clitoris,nerve,Q9620
Q6495668,lateral plantar nerve,nerve,Q9620
Q7168576,perineal nerve,nerve,Q9620
Q597400,nerve to quadratus femoris,nerve,Q9620
Q7643637,superior lateral cutaneous nerve of arm,nerve,Q9620
Q6703062,lumbar nerve,nerve,Q9620
Q7234206,posterior labial nerves,nerve,Q9620
Q376687,dorsal nerve of the penis,nerve,Q9620
Q3548125,white ramus communicans,nerve,Q9620
Q7785073,third occipital nerve,nerve,Q9620
Q7234204,posterior interosseous nerve,nerve,Q9620
Q7234234,posterior scrotal nerves,nerve,Q9620
Q7630977,subcostal nerve,nerve,Q9620
Q6045954,intercostobrachial nerve,nerve,Q9620
Q5250368,deep branch of lateral plantar nerve,nerve,Q9620
Q5250372,deep branch of radial nerve,nerve,Q9620
Q5250373,muscular branches of perineal nerve,nerve,Q9620
Q5298765,dorsal branch of ulnar nerve,nerve,Q9620
Q16872983,Levator ani nerve,nerve,Q9620
Q6031461,infrapatellar branch of saphenous nerve,nerve,Q9620
Q6806024,medial calcaneal branches of the tibial nerve,nerve,Q9620
Q7128135,palmar branch of the median nerve,nerve,Q9620
Q7234170,posterior branch of obturator nerve,nerve,Q9620
Q7234190,posterior cutaneous nerve of forearm,nerve,Q9620
Q7396635,saccular nerve,nerve,Q9620
Q5153596,common plantar digital nerves of lateral plantar nerve,nerve,Q9620
Q5196689,cutaneous branch of the obturator nerve,nerve,Q9620
Q10599280,Nervus intermediofacialis,nerve,Q9620
Q16947406,lateral dorsal cutaneous nerve,nerve,Q9620
Q17119890,Perforating cutaneous nerve,nerve,Q9620
Q7643300,superficial branch of radial nerve,nerve,Q9620
Q6703135,lumboinguinal nerve,nerve,Q9620
Q6806033,medial crural cutaneous branches of saphenous nerve,nerve,Q9620
Q6806087,Medial sural cutaneous nerve,nerve,Q9620
Q6940379,muscular branches of the radial nerve,nerve,Q9620
Q7168571,perineal branches of posterior femoral cutaneous nerve,nerve,Q9620
Q7502021,short ciliary nerves,nerve,Q9620
Q7643297,superficial branch of lateral plantar nerve,nerve,Q9620
Q65041040,furcal nerve,nerve,Q9620
