qid,label,class_label,class_qid
Q186162,La traviata,opera,Q1344
Q375063,Adriana Lecouvreur,opera,Q1344
Q2299902,Bajazet,opera,Q1344
Q452523,Amahl and the Night Visitors,opera,Q1344
Q1362653,Erwartung,opera,Q1344
Q4401101,Rustam and Zohrab,opera,Q1344
Q12837132,Ashiq Qarib,opera,Q1344
Q7750400,The Marriage,opera,Q1344
Q628536,Monna Vanna,opera,Q1344
Q7991326,What Men Live By,opera,Q1344
Q6691850,Love in a Village,opera,Q1344
Q5608755,Griffelkin,opera,Q1344
Q1514155,Germanico,opera,Q1344
Q136175036,Enguerrande,opera,Q1344
Q7770294,The Triumph of St. Joan,opera,Q1344
Q65084678,Nurmahal,opera,Q1344
Q4684048,Adolf,opera,Q1344
Q130751511,The Maid of Cashmere,opera,Q1344
Q2910617,El Leila El Kebira,opera,Q1344
Q4305798,Husband and Wife,opera,Q1344
