qid,label,class_label,class_qid
Q1320874,Tipu's Tiger,organ,Q1444
Q2030166,Wanamaker Organ,organ,Q1444
Q316302,Organ of the Basilica of St. Martin,organ,Q1444
Q6492411,Las Piñas Bamboo Organ,organ,Q1444
Q767201,Organ of Poblet,organ,Q1444
Q751669,Salt Lake Tabernacle organ,organ,Q1444
Q323720,Rysum organ,organ,Q1444
Q2030281,Organ in the Martinikerk at Groningen,organ,Q1444
Q7373645,Royal Albert Hall Organ,organ,Q1444
Q13537119,Great organ of Nancy Cathedral,organ,Q1444
Q878694,Schnitger organ of St. Jacobi Hamburg,organ,Q1444
Q624359,Boardwalk Hall Auditorium Organ,organ,Q1444
Q587497,Organ of St. Ludgeri in Norden,organ,Q1444
Q2000115,Sydney Opera House Grand Organ,organ,Q1444
Q123384315,London Bridge station organ,organ,Q1444
Q2030180,Arp Schnitger organ in St. Pankratius church in Hamburg-Neuenfelde,organ,Q1444
Q1242793,Hazel Wright Organ,organ,Q1444
Q1721869,Schnitger organ (Grasberg Church),organ,Q1444
Q1486381,Organ of St. Peter and Paul in Cappel,organ,Q1444
Q2030261,Schnitger organ in the Der Aa-kerk,organ,Q1444
Q7333328,Riga Cathedral pipe organ,organ,Q1444
Q6434407,Kotzschmar Memorial Organ,organ,Q1444
Q5195842,Curtis Organ,organ,Q1444
Q15837705,Organ in the Jacobikerk at Uithuizen,organ,Q1444
Q15837706,Schnitger organ in the church of Noordbroek,organ,Q1444
Q1537033,Organs of St. Martin,organ,Q1444
Q18394023,The six organs in the Palace of Mafra,organ,Q1444
Q3506846,Sydney Town Hall Grand Organ,organ,Q1444
Q134449121,Auckland Town Hall Organ,organ,Q1444
Q55887463,Galston Congregational Church Pipe Organ,organ,Q1444
Q55316257,Davis-Ferris Organ,organ,Q1444
Q7580302,Spreckels Organ Pavilion,organ,Q1444
Q6429232,Kongsberg Gloger organ,organ,Q1444
Q17126113,Newberry Memorial Organ,organ,Q1444
Q15853233,Vox Maris,organ,Q1444
Q137299003,Decap organ,organ,Q1444
Q7580301,Spreckels Organ,organ,Q1444
Q7055486,North German baroque organ in Örgryte Nya Kyrka,organ,Q1444
Q6981682,Naval Academy Chapel Organ,organ,Q1444
Q6784617,Massey Memorial Organ,organ,Q1444
Q25223134,Casavant Frères Ltée. Opus 1841,organ,Q1444
Q133506,telharmonium,organ,Q1444
Q1427524,Philicorda,organ,Q1444
Q2030163,Compenius organ,organ,Q1444
Q48817576,Hydraulis of Dion,organ,Q1444
Q122975027,Caha di orgel,organ,Q1444
Q124293305,Organ of Alexander VI,organ,Q1444
Q125706583,Milton Organ,organ,Q1444
Q122699475,BBC Theatre Organ,organ,Q1444
