qid,label,class_label,class_qid
Q8889,European Parliament,parliament,Q35749
Q47423,United Nations General Assembly,parliament,Q35749
Q133396,The Knesset,parliament,Q35749
Q272930,Parliament of Sweden,parliament,Q35749
Q176296,Verkhovna Rada,parliament,Q35749
Q131279,Althing,parliament,Q35749
Q274918,Grand National Assembly of Turkey,parliament,Q35749
Q19211,National People's Congress,parliament,Q35749
Q109016,Stortinget,parliament,Q35749
Q330600,National Assembly of Azerbaijan,parliament,Q35749
Q217799,Riigikogu,parliament,Q35749
Q206171,Scottish Parliament,parliament,Q35749
Q378605,Islamic Consultative Assembly,parliament,Q35749
Q209151,Folketing,parliament,Q35749
Q26718,Continental Congress,parliament,Q35749
Q643412,Parliament of Finland,parliament,Q35749
Q374152,Seimas,parliament,Q35749
Q822919,Saeima,parliament,Q35749
Q477089,Hellenic Parliament,parliament,Q35749
Q135630,Parliament of Catalonia,parliament,Q35749
Q648716,National Assembly,parliament,Q35749
Q1417210,Parliament of Georgia,parliament,Q35749
Q493517,Senedd,parliament,Q35749
Q939743,Parliamentary Assembly of the Council of Europe,parliament,Q35749
Q371576,Parliament of Croatia,parliament,Q35749
Q920222,National Assembly of Serbia,parliament,Q35749
Q669970,Imperial Diet,parliament,Q35749
Q494162,National Assembly,parliament,Q35749
Q1135960,Parliament of Albania,parliament,Q35749
Q157638,Frankfurt National Assembly,parliament,Q35749
Q714698,Supreme People's Assembly,parliament,Q35749
Q1337463,National Assembly of Armenia,parliament,Q35749
Q1246562,Assembly of the Republic of Kosovo,parliament,Q35749
Q578193,Supreme Council,parliament,Q35749
Q1817866,Parliament of Malta,parliament,Q35749
Q639704,National Assembly of Bulgaria,parliament,Q35749
Q555809,Parliament of the Republic of Moldova,parliament,Q35749
Q1579497,Parliament of Montenegro,parliament,Q35749
Q285714,Northern Ireland Assembly,parliament,Q35749
Q509668,Løgting,parliament,Q35749
Q1520966,New Zealand Parliament,parliament,Q35749
Q1135593,London Assembly,parliament,Q35749
Q740564,Assembly of the Republic,parliament,Q35749
Q715869,Legislative Yuan,parliament,Q35749
Q24824,General Council of Andorra,parliament,Q35749
Q1983034,Second Continental Congress,parliament,Q35749
Q1684080,Jatiya Sangsad,parliament,Q35749
Q339033,Palestinian Legislative Council,parliament,Q35749
Q1139204,National Council of the Slovak Republic,parliament,Q35749
Q1585014,National Assembly,parliament,Q35749
Q1149644,Landtag of Liechtenstein,parliament,Q35749
Q7478146,Pontifical Commission for the Vatican City State,parliament,Q35749
Q1973075,Council of Representatives of Iraq,parliament,Q35749
Q1357543,Congress of the Republic of Peru,parliament,Q35749
Q1258164,Assembly of North Macedonia,parliament,Q35749
Q817979,Grand and General Council,parliament,Q35749
Q517449,Chamber of Deputies,parliament,Q35749
Q1765001,National Assembly of Vietnam,parliament,Q35749
Q1112381,House of Representatives,parliament,Q35749
Q190704,Central Rada,parliament,Q35749
Q1372196,People's Assembly of Syria,parliament,Q35749
Q1544714,State Great Khural,parliament,Q35749
Q1127198,National Council,parliament,Q35749
Q720753,National Assembly of People's Power,parliament,Q35749
Q19208,Legislative Council of Hong Kong,parliament,Q35749
Q630145,Assembly of Turkmenistan,parliament,Q35749
Q1450753,Parliament of Sri Lanka,parliament,Q35749
Q1340659,Pan-African Parliament,parliament,Q35749
Q1091494,Parliament of Åland,parliament,Q35749
Q63685,National Assembly of Republic of Srpska,parliament,Q35749
Q1422275,Parliament of Lebanon,parliament,Q35749
Q780457,Legislative Assembly,parliament,Q35749
Q1517231,Parliament of Singapore,parliament,Q35749
Q2034424,House of Representatives,parliament,Q35749
Q1650523,Parliament of Scotland,parliament,Q35749
Q1292,Flemish Parliament,parliament,Q35749
Q1415847,National Congress of Honduras,parliament,Q35749
Q1319595,National Assembly,parliament,Q35749
Q1188525,National Assembly,parliament,Q35749
Q641439,Landtag of Bavaria,parliament,Q35749
Q1969479,National Assembly of Angola,parliament,Q35749
Q1287831,Legislative Assembly of Tonga,parliament,Q35749
Q1807513,Parliament of Ghana,parliament,Q35749
Q2656777,Parliament of Transnistria,parliament,Q35749
Q1972029,Parliament of Nauru,parliament,Q35749
Q680806,National Parliament,parliament,Q35749
Q2052850,Parliament of Uganda,parliament,Q35749
Q128852,Parliament of Gibraltar,parliament,Q35749
Q1760847,National Assembly,parliament,Q35749
Q1253965,Basque Parliament,parliament,Q35749
Q1138299,National Assembly,parliament,Q35749
Q996610,Nebraska Legislature,parliament,Q35749
Q859658,National Assembly of Botswana,parliament,Q35749
Q17443556,House of Representatives,parliament,Q35749
Q1139228,National Assembly of Kuwait,parliament,Q35749
Q1969527,National Assembly,parliament,Q35749
Q1812873,Legislative Assembly of El Salvador,parliament,Q35749
Q1577811,National Assembly,parliament,Q35749
Q1195929,Congress of the Confederation,parliament,Q35749
Q764201,Parliament of Vanuatu,parliament,Q35749
Q740533,National People's Assembly,parliament,Q35749
Q1138071,National Assembly,parliament,Q35749
Q1853640,National Assembly,parliament,Q35749
Q1848595,Assembly of the Republic,parliament,Q35749
Q1514096,People's Assembly of Abkhazia,parliament,Q35749
Q1512579,National Assembly,parliament,Q35749
Q2449493,Parliament of Wallonia,parliament,Q35749
Q2063555,Parliament of South Ossetia,parliament,Q35749
Q1784088,National Assembly,parliament,Q35749
Q1368588,National Assembly of Panama,parliament,Q35749
Q4345425,Parliament of Fiji,parliament,Q35749
Q1969591,National Assembly of Nicaragua,parliament,Q35749
Q818708,Consultative Assembly of Saudi Arabia,parliament,Q35749
Q650066,People's Majlis,parliament,Q35749
Q619238,National Assembly of Burkina Faso,parliament,Q35749
Q624390,Arab Parliament,parliament,Q35749
Q1515950,Assembly of the Republic,parliament,Q35749
Q1386962,Legislative Assembly of Costa Rica,parliament,Q35749
Q166619,National Assembly of Artsakh,parliament,Q35749
Q1297237,House of Assembly of Dominica,parliament,Q35749
Q2041767,Moscow City Duma,parliament,Q35749
Q1267064,Asamblea Nacional de Santo Tomé y Príncipe,parliament,Q35749
