qid,label,class_label,class_qid
Q2,Earth,planet,Q634
Q1159913,Luna 1,planet,Q634
Q47304,Kepler-22 b,planet,Q634
Q26692445,Proxima Centauri b,planet,Q634
Q170347,Gliese 581 c,planet,Q634
Q1053432,Theia,planet,Q634
Q242309,51 Pegasi b,planet,Q634
Q16389397,Kepler-186 f,planet,Q634
Q275444,Hayabusa,planet,Q634
Q272085,HD 209458 b,planet,Q634
Q50668,55 Cancri e,planet,Q634
Q630272,COROT-Exo-7b,planet,Q634
Q512396,Q512396,planet,Q634
Q695224,HD 189733 b,planet,Q634
Q73561,PSR B1257+12 c,planet,Q634
Q275966,Gliese 581 e,planet,Q634
Q47268,Q47268,planet,Q634
Q192834,WASP-12b,planet,Q634
Q735690,2M1207b,planet,Q634
Q824260,OGLE-2005-BLG-390Lb,planet,Q634
Q817196,Gliese 581 b,planet,Q634
Q11394346,Kepler-62 f,planet,Q634
Q660787,Kepler-16 b,planet,Q634
Q637135,Gliese 667 Cc,planet,Q634
Q1152983,Ditsö̀,planet,Q634
Q838536,TrES-4 b,planet,Q634
Q28822659,TRAPPIST-1 e,planet,Q634
Q50666,55 Cancri c,planet,Q634
Q50665,55 Cancri b,planet,Q634
Q24026071,TRAPPIST-1 b,planet,Q634
Q5087075,Kepler-37 b,planet,Q634
Q4041588,TrES-2b,planet,Q634
Q869944,Gliese 876 d,planet,Q634
Q18747892,Kepler-442b,planet,Q634
Q43196041,Ross 128 b,planet,Q634
Q3069401,Q3069401,planet,Q634
Q11406005,Kepler-62 e,planet,Q634
Q1418146,PSR 1257+12 b,planet,Q634
Q842110,Gliese 436 b,planet,Q634
Q50663,55 Cancri f,planet,Q634
Q50667,55 Cancri d,planet,Q634
Q88501253,OTS 44,planet,Q634
Q17057997,Q17057997,planet,Q634
Q2908228,Kepler-69 c,planet,Q634
Q1814013,Kepler-20 f,planet,Q634
Q867906,PSR B1620-26 b,planet,Q634
Q867895,Epsilon Eridani b,planet,Q634
Q90657516,KELT-9 b,planet,Q634
Q24055837,TRAPPIST-1 d,planet,Q634
Q81306020,TOI-700 d,planet,Q634
Q910617,HAT-P-1b,planet,Q634
Q28822661,TRAPPIST-1 g,planet,Q634
Q28822660,TRAPPIST-1 f,planet,Q634
Q860312,MOA-2007-BLG-192Lb,planet,Q634
Q1061391,Gliese 876 b,planet,Q634
Q74181,PSR B1257+12 d,planet,Q634
Q90878012,Kepler-1649c,planet,Q634
Q24908933,TRAPPIST-1 c,planet,Q634
Q597170,HD 28185 b,planet,Q634
Q583903,Gliese 876 e,planet,Q634
Q1205949,HAT-P-11 b,planet,Q634
Q574524,CoRoT-1 b,planet,Q634
Q1153626,Kepler-4 b,planet,Q634
Q931620,Mu Arae c,planet,Q634
Q1061955,WASP-18b,planet,Q634
Q1152531,Gliese 876 c,planet,Q634
Q2409422,Kepler-20 e,planet,Q634
Q1075334,HD 149026 b,planet,Q634
Q28822662,TRAPPIST-1 h,planet,Q634
Q97181179,Proxima Centauri d,planet,Q634
Q29509314,LHS 1140 b,planet,Q634
Q591815,Kepler-7 b,planet,Q634
Q1140454,HD 80606 b,planet,Q634
Q1044861,Gliese 667 Cb,planet,Q634
Q429779,Gamma Cephei Ab,planet,Q634
Q1189267,Mu Arae b,planet,Q634
Q21755512,Wolf 1061c,planet,Q634
Q21467917,GJ 1132b,planet,Q634
Q1153700,Tau Boötis b,planet,Q634
Q676715,WASP-1b,planet,Q634
Q1328150,HAT-P-7 b,planet,Q634
Q1376998,XO-1b,planet,Q634
Q1072379,Mu Arae d,planet,Q634
Q1154013,TrES-1b,planet,Q634
Q552425,Upsilon Andromedae d,planet,Q634
Q14418873,Q14418873,planet,Q634
Q236661,47 Ursae Majoris b,planet,Q634
Q854599,Beta Pictoris b,planet,Q634
Q1327976,CoRoT-4 b,planet,Q634
Q1327018,CoRoT-2 b,planet,Q634
Q1072024,Upsilon Andromedae b,planet,Q634
Q1205308,Pollux b,planet,Q634
Q43440038,Luyten b,planet,Q634
Q28857545,Kepler-1625 b,planet,Q634
Q71725394,Teegarden’s star b,planet,Q634
Q34848979,Tylos,planet,Q634
Q58642744,Barnard's Star b,planet,Q634
Q613348,XO-3b,planet,Q634
