qid,label,class_label,class_qid
Q156921,Centaurea cyanus,plant,Q756
Q190489,evergreen plant,plant,Q756
Q36940,sugarcane,plant,Q756
Q186101,aquatic plant,plant,Q756
Q189939,succulent plant,plant,Q756
Q1131316,deciduous plant,plant,Q756
Q206912,extremophile,plant,Q756
Q33913,Cymbopogon citratus,plant,Q756
Q212337,xerophyte,plant,Q756
Q332788,halophyte,plant,Q756
Q18421053,Reynoutria japonica,plant,Q756
Q380279,Vigna angularis,plant,Q756
Q162137,Aloe arborescens,plant,Q756
Q646660,marine flowering plant,plant,Q756
Q161361,Trifolium incarnatum,plant,Q756
Q1321691,lithophyte,plant,Q756
Q506040,Malus domestica 'Granny Smith',plant,Q756
Q927110,ephemeral plant,plant,Q756
Q1422006,hygrophytes,plant,Q756
Q669652,mesophile,plant,Q756
Q3215980,thyme,plant,Q756
Q2301991,Heliophyte,plant,Q756
Q980491,xerophile,plant,Q756
Q2885646,mistletoe,plant,Q756
Q766271,sclerophyll,plant,Q756
Q1922484,mesophyte,plant,Q756
Q1858004,periphyton,plant,Q756
Q1754865,pyrophyte,plant,Q756
Q1515130,zha cai,plant,Q756
Q487367,Braeburn,plant,Q756
Q45279,oligotroph,plant,Q756
Q1188805,macrophyte,plant,Q756
Q2397381,Thousand-year Rose,plant,Q756
Q1924919,Metallophyte,plant,Q756
Q1823274,shade-tolerant plant,plant,Q756
Q2295931,Sphenophyllum,plant,Q756
Q11564204,Pandanus fascicularis,plant,Q756
Q738961,semi-deciduous plant,plant,Q756
Q1993986,nitrophyte,plant,Q756
Q1785217,Wintergreen,plant,Q756
Q5131212,Clematis hirsutissima,plant,Q756
Q10888066,Maojian tea,plant,Q756
Q7498825,Shirley Poppy,plant,Q756
Q16988115,jimbu,plant,Q756
Q4692858,Aglaophotis,plant,Q756
Q25057861,Genetically modified sugar beet,plant,Q756
Q3141856,Huáng bǎi,plant,Q756
Q112632535,freshwater plant,plant,Q756
Q133808921,Oval Office Swedish ivy,plant,Q756
Q117389920,Sierra Madre Wistaria,plant,Q756
Q5370767,Emergent plant,plant,Q756
Q16968887,ombrophobe,plant,Q756
Q18156661,Cympoterus terebinthinus,plant,Q756
Q11575,maize,plant,Q756
Q23501,tomato,plant,Q756
Q11577,Hordeum vulgare,plant,Q756
Q81,carrot,plant,Q756
Q12099,Secale cereale,plant,Q756
Q43084,Piper nigrum,plant,Q756
Q1277255,Lagenaria siceraria,plant,Q756
Q131517,Q131517,plant,Q756
Q165145,Quercus robur,plant,Q756
Q157819,Valeriana oficina los,plant,Q756
Q158482,Diospyros kaki,plant,Q756
Q151964,sugar beet,plant,Q756
Q139925,Chenopodium quinoa,plant,Q756
Q158610,Chenopodium album,plant,Q756
Q147064,Populus nigra,plant,Q756
Q3391243,Saccharum officinarum,plant,Q756
Q157307,Morus alba,plant,Q756
Q158767,Triticum spelta,plant,Q756
Q161098,Triticum aestivum,plant,Q756
Q218155,Quercus ilex,plant,Q756
Q159570,Ailanthus altissima,plant,Q756
Q162171,Melia azedarach,plant,Q756
Q117068,yerba mate,plant,Q756
Q111185,Ferula assa-foetida,plant,Q756
Q147513,Cupressus sempervirens,plant,Q756
Q47161,Malus sylvestris,plant,Q756
Q147388,Cryptomeria japonica,plant,Q756
Q161105,Plantanus orientalis,plant,Q756
Q2157176,bamboo shoots,plant,Q756
Q207310,Cabernet Sauvignon,plant,Q756
Q161421,Q161421,plant,Q756
Q618324,Triticum durum,plant,Q756
Q255375,Q255375,plant,Q756
Q45989,kale,plant,Q756
Q223701,Pinot noir,plant,Q756
Q321437,Bodhi Tree,plant,Q756
Q213332,Chardonnay,plant,Q756
Q213338,Merlot,plant,Q756
Q44542,Sauvignon blanc,plant,Q756
Q504133,jalapeño,plant,Q756
Q456471,Riesling,plant,Q756
Q1649635,basmati,plant,Q756
Q148939,Corylus colurna,plant,Q756
Q757262,Brugmansia,plant,Q756
Q158783,Q158783,plant,Q756
Q203834,houseplant,plant,Q756
Q152482,General Sherman,plant,Q756
Q630678,Tree of Ténéré,plant,Q756
Q332720,Syrah,plant,Q756
Q153697,coffee bean,plant,Q756
Q771101,Diospyros lotus,plant,Q756
Q1148692,Lagerstroemia indica,plant,Q756
Q690098,pu'er,plant,Q756
Q756654,Gewürztraminer,plant,Q756
Q303669,blood orange,plant,Q756
Q426850,bhut jolokia,plant,Q756
Q6598,cayenne pepper,plant,Q756
Q63591,Cabernet Franc,plant,Q756
Q778601,Pinot gris,plant,Q756
Q930814,Betula utilis,plant,Q756
Q425608,Hyperion,plant,Q756
Q15427475,Carolina Reaper,plant,Q756
Q764375,habanero,plant,Q756
Q390242,Grenache,plant,Q756
Q358375,agarwood,plant,Q756
Q1301863,Old Tjikko,plant,Q756
Q1330391,Thujopsis dolabrata,plant,Q756
Q3286876,Pinus armandii,plant,Q756
Q519874,Tempranillo,plant,Q756
Q281405,Tabasco pepper,plant,Q756
Q766133,Acer cappadocicum,plant,Q756
Q512580,piri piri,plant,Q756
Q516233,Acacia pycnantha,plant,Q756
Q201996,Golden Delicious,plant,Q756
Q204433,Zinfandel,plant,Q756
Q3565069,Quercus infectoria,plant,Q756
Q1250033,Prunus salicina,plant,Q756
Q919957,Gernikako Arbola,plant,Q756
Q1070101,Chenin blanc,plant,Q756
Q202290,Nebbiolo,plant,Q756
Q2285767,Phoenix sylvestris,plant,Q756
Q1133517,Silvaner,plant,Q756
Q28933284,Toxicodendron vernicifluum,plant,Q756
Q311361,Juglans mandshurica,plant,Q756
Q590039,Methuselah,plant,Q756
Q182756,Populus simonii,plant,Q756
Q1367359,Quercus mongolica,plant,Q756
Q681670,Müller-Thurgau,plant,Q756
Q180175,Grüner Veltliner,plant,Q756
Q180175,Grüner Veltliner,plant,Q756
Q3736402,Tamme-Lauri oak,plant,Q756
Q252182,Árbol del Tule,plant,Q756
Q1743596,Malus baccata,plant,Q756
Q1570745,silphium,plant,Q756
Q1414045,Malbec,plant,Q756
Q12982,Gamay,plant,Q756
Q504893,Fuji,plant,Q756
Q509162,Sangiovese,plant,Q756
Q391558,Sémillon,plant,Q756
Q657935,Acer davidii,plant,Q756
Q1898118,sultana,plant,Q756
Q45824,pineberry,plant,Q756
Q251054,Carignan,plant,Q756
Q967934,Trebbiano,plant,Q756
Q1043868,Carménère,plant,Q756
Q1073968,Pinus tabuliformis,plant,Q756
Q1446649,Saperavi,plant,Q756
Q576472,Rkatsiteli,plant,Q756
