qid,label,class_label,class_qid
Q249769,Oresteia,play,Q25379
Q1226593,Dinner for One,play,Q25379
Q1189332,Volpone,play,Q25379
Q525580,Wallenstein,play,Q25379
Q125672,Solaris,play,Q25379
Q2065511,Kyiv National Academic Molodyi Theatre,play,Q25379
Q4817786,Atsumori,play,Q25379
Q3179266,Kanjinchō,play,Q25379
Q3125720,Hagoromo,play,Q25379
Q2706664,Kanadehon Chūshingura,play,Q25379
Q11672594,Takasago,play,Q25379
Q1187415,The Hobbit,play,Q25379
Q3821885,Shibaraku,play,Q25379
Q4208087,Musirepov Kazhak Children's and Youth Theatre,play,Q25379
Q4778623,Aoi no Ue,play,Q25379
Q892307,The Love Suicides at Amijima,play,Q25379
Q581678,Alceste,play,Q25379
Q6897284,Momijigari,play,Q25379
Q6788112,Matsukaze,play,Q25379
Q3007824,Dōjōji,play,Q25379
Q2963554,Chikubushima,play,Q25379
Q2813851,Funa Benkei,play,Q25379
Q2008913,The Passion Play of Oberammergau,play,Q25379
Q1058884,Who's on First?,play,Q25379
Q1052028,Yoshitsune Senbon Zakura,play,Q25379
Q4220222,Kyiv Municipal Academic Opera and Ballet Theatre for Children and Youth,play,Q25379
Q6344413,Kabuki Jūhachiban,play,Q25379
Q6102466,Izutsu,play,Q25379
Q4830789,Aya no Tsuzumi,play,Q25379
Q15128660,Turkmen National Theatre of Youth Alp Arslan,play,Q25379
Q7903795,Uwanari,play,Q25379
Q11675751,Ukai,play,Q25379
Q11663908,Kurama Tengu,play,Q25379
Q1153710,Sugawara Denju Tenarai Kagami,play,Q25379
Q4890375,Benten Kozō,play,Q25379
Q4812656,Ataka,play,Q25379
Q12746749,Novi Sad Youth Theatre,play,Q25379
Q11447676,Musume Dōjōji,play,Q25379
Q11354342,Sannin Kichisa Kuruwa no Hatsugai,play,Q25379
Q8047877,Yamanba,play,Q25379
Q7563715,"Sorry, Right Number",play,Q25379
Q7295036,Rashōmon,play,Q25379
Q2910617,El Leila El Kebira,play,Q25379
Q24894445,Sotoba Komachi,play,Q25379
Q11675406,Narukami,play,Q25379
Q11623783,Fuji Musume,play,Q25379
Q18338825,Hashi Benkei,play,Q25379
Q17990232,Kayoi Komachi,play,Q25379
Q17054237,Sekidera Komachi,play,Q25379
Q11610440,Okina,play,Q25379
Q11399803,Sukeroku,play,Q25379
Q673381,Bánk bán,play,Q25379
Q672759,Arkansas Museum of Fine Arts,play,Q25379
Q15265616,"representation of the passion, death and resurrection of Christ in Iztapalapa",play,Q25379
Q7505089,Shunkan,play,Q25379
Q7064872,Novi asistent,play,Q25379
Q11629489,Saigyō-zakura,play,Q25379
Q107404975,The Woman-Killer and the Hell of Oil,play,Q25379
