qid,label,class_label,class_qid
Q727413,Rigveda,poem,Q5185279
Q41545,Ode to Joy,poem,Q5185279
Q200809,Magnificat,poem,Q5185279
Q211979,Gloria in excelsis Deo,poem,Q5185279
Q383102,Psalm 23,poem,Q5185279
Q2353039,Ruslan and Ludmila,poem,Q5185279
Q41898,Sator Square,poem,Q5185279
Q369961,Darwin Awards,poem,Q5185279
Q890692,Bogurodzica,poem,Q5185279
Q163797,Heil dir im Siegerkranz,poem,Q5185279
Q215174,Sanctus,poem,Q5185279
Q1453101,UEFA Champions League Anthem,poem,Q5185279
Q1916296,Benedictus,poem,Q5185279
Q756768,Regina Coeli,poem,Q5185279
Q1130291,Akathist,poem,Q5185279
Q684469,Der Erlkönig,poem,Q5185279
Q1811253,Psalm 1,poem,Q5185279
Q1329536,Gathas,poem,Q5185279
Q725548,Nunc dimittis,poem,Q5185279
Q1148469,Nkosi Sikelel' iAfrika,poem,Q5185279
Q3945671,Psalm 2,poem,Q5185279
Q2663608,Hanuman Chalisha,poem,Q5185279
Q1384913,Exsultet,poem,Q5185279
Q1341179,Herr Mannelig,poem,Q5185279
Q656769,Zadok the Priest,poem,Q5185279
Q1968076,Psalm 22,poem,Q5185279
Q764027,Psalm 91,poem,Q5185279
Q256615,Bayernhymne,poem,Q5185279
Q1479763,Psalm 4,poem,Q5185279
Q1360101,Cant del Barça,poem,Q5185279
Q617656,O Virgin Pure,poem,Q5185279
Q1628521,Psalm 3,poem,Q5185279
Q685313,Ave Maris Stella,poem,Q5185279
Q1887181,Psalm 8,poem,Q5185279
Q1628502,Psalm 5,poem,Q5185279
Q2508201,Psalm 150,poem,Q5185279
Q1431602,Psalm 16,poem,Q5185279
Q678866,Psalm 20,poem,Q5185279
Q2600184,Purusha sukta,poem,Q5185279
Q1628514,Psalm 7,poem,Q5185279
Q531646,How Great Thou Art,poem,Q5185279
Q1660736,In dulci jubilo,poem,Q5185279
Q388837,Psalm 13,poem,Q5185279
Q3409474,Psalm 14,poem,Q5185279
Q947063,Vishnu Sahasranama,poem,Q5185279
Q1629213,Psalm 9,poem,Q5185279
Q1451217,Psalm 12,poem,Q5185279
Q1357262,Psalm 25,poem,Q5185279
Q1325954,Psalm 21,poem,Q5185279
Q1888863,Psalm 27,poem,Q5185279
Q618055,Tantum ergo,poem,Q5185279
Q1785547,Psalm 30,poem,Q5185279
Q601090,Psalm 29,poem,Q5185279
Q1629226,Psalm 15,poem,Q5185279
Q366438,Adoro te devote,poem,Q5185279
Q763041,Es ist ein Ros entsprungen,poem,Q5185279
Q3067303,Psalm 149,poem,Q5185279
Q1628774,Psalm 11,poem,Q5185279
Q4216015,Psalm 148,poem,Q5185279
Q2115607,Psalm 90,poem,Q5185279
Q2309592,Axion Estin,poem,Q5185279
Q2664606,Molla Nasreddin,poem,Q5185279
Q2662024,Psalm 141,poem,Q5185279
Q2993196,Cherubikon,poem,Q5185279
Q1628546,Psalm 26,poem,Q5185279
Q1628536,Psalm 24,poem,Q5185279
Q1313790,Orphic hymns,poem,Q5185279
Q1630080,Psalm 28,poem,Q5185279
Q3409469,Psalm 142,poem,Q5185279
Q3409459,Psalm 10,poem,Q5185279
Q1617048,Lacrimosa,poem,Q5185279
