qid,label,class_label,class_qid
Q7320,Nazi Party,political party,Q7278
Q17427,Chinese Communist Party,political party,Q7278
Q79854,Communist Party of the Soviet Union,political party,Q7278
Q49762,Christian Democratic Union,political party,Q7278
Q6721203,Alternative for Germany,political party,Q7278
Q49766,Alliance '90/The Greens,political party,Q7278
Q13124,Free Democratic Party,political party,Q7278
Q208242,European People's Party,political party,Q7278
Q105112,Swedish Social Democratic Party,political party,Q7278
Q139596,National Fascist Party,political party,Q7278
Q371402,Communist Party of Cuba,political party,Q7278
Q138198,Spanish Socialist Workers' Party,political party,Q7278
Q185088,People's Party,political party,Q7278
Q192821,French Communist Party,political party,Q7278
Q427325,Communist Party of Vietnam,political party,Q7278
Q220945,Party of European Socialists,political party,Q7278
Q190219,Norwegian Labour Party,political party,Q7278
Q153401,Communist Party of Germany,political party,Q7278
Q156019,Die Heimat,political party,Q7278
Q207854,Shining Path,political party,Q7278
Q200314,Democratic Party of Japan,political party,Q7278
Q504069,Sweden Democrats,political party,Q7278
Q461886,Italian Communist Party,political party,Q7278
Q9669,Green Party of England and Wales,political party,Q7278
Q308714,Communist Party of the United States of America,political party,Q7278
Q837159,Communist Party of India,political party,Q7278
Q161118,Communist Party of Austria,political party,Q7278
Q13129,Pirate Party Germany,political party,Q7278
Q950179,European Green Party,political party,Q7278
Q725173,Peoples' Equality and Democracy Party,political party,Q7278
Q192406,Communist Party of Greece,political party,Q7278
Q506591,Centre Party,political party,Q7278
Q641600,Japanese Communist Party,political party,Q7278
Q256121,Romanian Communist Party,political party,Q7278
Q212101,Social Democrats,political party,Q7278
Q727724,Communist Party of Czechoslovakia,political party,Q7278
Q43093,Basque Nationalist Party,political party,Q7278
Q25079,Alliance of Liberals and Democrats for Europe Party,political party,Q7278
Q642562,Communist League,political party,Q7278
Q15630787,Vox,political party,Q7278
Q667680,GroenLinks,political party,Q7278
Q202649,Party of the European Left,political party,Q7278
Q499029,Social Democratic Party of Finland,political party,Q7278
Q123121346,Sahra Wagenknecht Alliance,political party,Q7278
Q639383,European Free Alliance,political party,Q7278
Q595575,Social Democratic Party,political party,Q7278
Q213451,Green Party,political party,Q7278
Q155000,Bulgarian Communist Party,political party,Q7278
Q110832,Centre Party,political party,Q7278
Q4362,Social Democratic Party of Lithuania,political party,Q7278
Q303745,Social Democratic Party of Switzerland,political party,Q7278
Q217321,Venstre,political party,Q7278
Q1393123,Ciudadanos,political party,Q7278
Q157537,Centre Party,political party,Q7278
Q752435,Social Democratic Party,political party,Q7278
Q209546,Batasuna,political party,Q7278
Q208602,Pirate Party,political party,Q7278
Q478811,Communist Party of Spain,political party,Q7278
Q1559352,Committee of Union and Progress,political party,Q7278
Q133968,Citizens for European Development of Bulgaria,political party,Q7278
Q668699,Workers' Party of Marxist Unification,political party,Q7278
Q781486,Australian Greens,political party,Q7278
Q738439,Croatian Democratic Union,political party,Q7278
Q161545,South Schleswig Voter Federation,political party,Q7278
Q1577483,European Conservatives and Reformists Party,political party,Q7278
Q504000,Communist Party of Brazil,political party,Q7278
Q752259,Bulgarian Socialist Party,political party,Q7278
Q750116,Party of Communists of the Republic of Moldova,political party,Q7278
Q506537,Communist Party of Nepal (Maoist Centre),political party,Q7278
Q493685,Centre Party,political party,Q7278
Q148861,German Communist Party,political party,Q7278
Q426963,Communist Party of Nepal (Unified Marxist–Leninist),political party,Q7278
Q305317,South African Communist Party,political party,Q7278
Q196695,Green League,political party,Q7278
Q1122797,Communist Party of Ukraine,political party,Q7278
Q16412,Hungarian Socialist Workers' Party,political party,Q7278
Q341085,Czech Pirate Party,political party,Q7278
Q592068,Communist Party of Great Britain,political party,Q7278
Q198403,Pirate Party,political party,Q7278
Q769829,Portuguese Communist Party,political party,Q7278
Q49624,Korean Social Democratic Party,political party,Q7278
Q18907386,Patriots.eu,political party,Q7278
Q831015,Green Party,political party,Q7278
Q164242,Movement for Rights and Freedoms,political party,Q7278
Q24039754,Unidos Podemos,political party,Q7278
Q1518568,Green Party,political party,Q7278
Q327389,Free Voters,political party,Q7278
Q1256956,Scottish Green Party,political party,Q7278
Q513521,Groen,political party,Q7278
Q920343,British Union of Fascists,political party,Q7278
Q49755,Liberal Democratic Party of Germany,political party,Q7278
Q2055003,Socialists' Party of Catalonia,political party,Q7278
Q659739,Green Party of Switzerland,political party,Q7278
Q743390,The Greens,political party,Q7278
Q734792,European Democratic Party,political party,Q7278
Q1144342,"Union, Progress and Democracy",political party,Q7278
Q1130754,Left-Green Movement,political party,Q7278
Q708012,Socialist Reich Party,political party,Q7278
Q269316,The Republicans,political party,Q7278
Q1046777,Progressive Party,political party,Q7278
Q835109,Social Democratic Party,political party,Q7278
Q49754,Christian Democratic Union (GDR),political party,Q7278
Q49626,Chondoist Chongu Party,political party,Q7278
Q691730,Green Party of Canada,political party,Q7278
Q285817,Lithuanian Peasant and Greens Union,political party,Q7278
Q587803,Communist Party of Norway,political party,Q7278
Q885433,Galician Nationalist Bloc,political party,Q7278
Q549209,Union of the Democratic Centre,political party,Q7278
Q1268048,League of Communists of Croatia,political party,Q7278
Q841253,Union of Democratic Forces,political party,Q7278
Q3078734,Black Front,political party,Q7278
Q1507295,Zveno,political party,Q7278
Q574701,Anti-Masonic Party,political party,Q7278
Q1348513,China Democratic League,political party,Q7278
Q777074,Communist Party of Burma,political party,Q7278
Q1029761,Euskal Herria Bildu,political party,Q7278
Q178049,Attack,political party,Q7278
Q166027,Labour and Social Justice – The Electoral Alternative,political party,Q7278
Q53700514,Nepal Communist Party,political party,Q7278
Q368067,Alliance of European National Movements,political party,Q7278
Q627213,Workers' Party of Ethiopia,political party,Q7278
Q1249448,Croatian Social Liberal Party,political party,Q7278
Q1325836,Communist Party of Slovakia,political party,Q7278
Q81517,Order and Justice,political party,Q7278
Q1780620,Communist Party of Tajikistan,political party,Q7278
Q6410325,Komala Party of Iranian Kurdistan,political party,Q7278
Q385543,Communist Party of the Netherlands,political party,Q7278
Q631218,Green Party,political party,Q7278
Q1377279,European Christian Political Party,political party,Q7278
Q1633891,Communist Party of Estonia,political party,Q7278
Q23055252,Democratic Party,political party,Q7278
Q1563709,League of Communists of Macedonia,political party,Q7278
Q207308,Falange Española de las JONS,political party,Q7278
Q197765,China Zhi Gong Party,political party,Q7278
Q1104327,Canarian Coalition,political party,Q7278
Q499632,Marxist–Leninist Party of Germany,political party,Q7278
Q1327761,Green Party of Aotearoa New Zealand,political party,Q7278
Q545900,Green Liberal Party of Switzerland,political party,Q7278
Q2160378,Communist Party of Canada,political party,Q7278
Q25713876,Catalan European Democratic Party,political party,Q7278
Q2453048,Fatherland Front,political party,Q7278
Q705368,Rikken Seiyūkai,political party,Q7278
Q662502,Federation of the Greens,political party,Q7278
Q294989,Ecological Democratic Party,political party,Q7278
Q605468,Communist Party of Poland,political party,Q7278
Q1650110,Movement of Ecologists — Citizens' Cooperation,political party,Q7278
Q1359816,Communist Party of Thailand,political party,Q7278
Q1058121,Chongryon,political party,Q7278
Q1261401,Independent Democratic Serb Party,political party,Q7278
Q788345,Democratic and Social Centre,political party,Q7278
Q2166484,People's Party of Kazakhstan,political party,Q7278
Q49758,National Democratic Party of Germany,political party,Q7278
Q18042964,The Alternative,political party,Q7278
Q1672366,Iraqi Communist Party,political party,Q7278
Q682280,Armenian Communist Party,political party,Q7278
Q1428001,Party of Italian Communists,political party,Q7278
