qid,label,class_label,class_qid
Q6296418,President of South Korea,politician,Q82955
Q273884,President of South Africa,politician,Q82955
Q218014,President of Latvia,politician,Q82955
Q27169,Member of the European Parliament,politician,Q82955
Q688230,President of the Swiss Confederation,politician,Q82955
Q495877,President of Slovenia,politician,Q82955
Q322459,President of Portugal,politician,Q82955
Q500282,President of Nigeria,politician,Q82955
Q1255261,President of the Soviet Union,politician,Q82955
Q853475,President of Colombia,politician,Q82955
Q848786,General Secretary of the Communist Party of Vietnam,politician,Q82955
Q13207321,Räis of Tatarstan,politician,Q82955
Q2479497,write-in candidate,politician,Q82955
Q25906534,President of Somaliland,politician,Q82955
Q3473690,Sarpanch,politician,Q82955
Q30727487,Mayor-President of the Autonomous City of Melilla,politician,Q82955
Q13218630,member of the United States House of Representatives,politician,Q82955
Q15964890,member of the House of Commons of Canada,politician,Q82955
Q1937123,Chief Minister of Sabah,politician,Q82955
Q11061610,Youzhou Jiedushi,politician,Q82955
Q55616682,leader of the Christian Democratic Union,politician,Q82955
Q6666168,Jinghai Jiedushi,politician,Q82955
Q12311817,member of the Folketing,politician,Q82955
Q11074559,Chengde Jiedushi,politician,Q82955
Q31766791,Mukhtiyar,politician,Q82955
Q65313539,Manap,politician,Q82955
Q55628388,Pakistan Secretary of Economic Affairs,politician,Q82955
Q110856826,President of Cambodia,politician,Q82955
Q5663906,alcalde-mayor,politician,Q82955
Q10877821,Yiwu Prefecture,politician,Q82955
Q31754863,Intendant of Montevideo,politician,Q82955
Q17091919,None of These Candidates,politician,Q82955
Q61905410,President of the Puntland,politician,Q82955
Q7245055,Principal Chief of the Cherokee Nation,politician,Q82955
Q123693224,Uncommitted,politician,Q82955
Q3228623,House Leader,politician,Q82955
Q181765,Holy Roman Emperor,politician,Q82955
Q192711,Prime Minister of India,politician,Q82955
Q154615,Archduke,politician,Q82955
Q473984,President of Pakistan,politician,Q82955
Q2375533,Custodian of the Two Holy Mosques,politician,Q82955
Q174506,Atabeg,politician,Q82955
Q174506,Atabeg,politician,Q82955
Q153756,President of Nepal,politician,Q82955
Q2081829,Amir al-Mu'minin,politician,Q82955
Q889817,President of Iraq,politician,Q82955
Q2618625,Emperor of all the Russias,politician,Q82955
Q647198,President of the Republic of Namibia,politician,Q82955
Q756265,President of Mongolia,politician,Q82955
Q887010,Governor of California,politician,Q82955
Q2457774,Prince of Monaco,politician,Q82955
Q1370482,President of Cuba,politician,Q82955
Q1064106,Prime Minister of Tunisia,politician,Q82955
Q854642,Lugal,politician,Q82955
Q18996,First Minister of Wales,politician,Q82955
Q887117,Governor of Massachusetts,politician,Q82955
Q2347975,Governor of New York,politician,Q82955
Q785304,Mayor of New York City,politician,Q82955
Q7627362,Stubbs,politician,Q82955
Q15109402,Sharif of Mecca,politician,Q82955
Q1440626,Non-Inscrits,politician,Q82955
Q1788734,King of Romania,politician,Q82955
Q9373006,Grand Master of the Teutonic Knights,politician,Q82955
Q878942,Governor of Virginia,politician,Q82955
Q2639920,Grand Duke of Lithuania,politician,Q82955
Q5190572,Mayor of the District of Columbia,politician,Q82955
Q1824016,Count of Flanders,politician,Q82955
Q66578996,Sovereignty Council,politician,Q82955
Q5589725,Governor of Texas,politician,Q82955
Q889891,Nebka,politician,Q82955
Q1069767,khong tayiji,politician,Q82955
Q5589682,Governor of Minnesota,politician,Q82955
Q3240735,King of Prussia,politician,Q82955
Q4151335,Governor of Kentucky,politician,Q82955
Q456951,Governor of Puerto Rico,politician,Q82955
Q3112719,Governor of Illinois,politician,Q82955
Q135215773,Chairman of the Presidium of the Supreme Soviet of the Soviet Union,politician,Q82955
Q3773745,Governor of Vermont,politician,Q82955
Q5589655,Governor of Hawaii,politician,Q82955
Q5589680,Governor of Michigan,politician,Q82955
Q693032,Governor of Maryland,politician,Q82955
Q17089908,Governor of New Mexico,politician,Q82955
Q939566,United Nations Messenger of Peace,politician,Q82955
Q1085260,1969 Provisional Governing Board of Brazil,politician,Q82955
Q29514606,Governor of Arizona,politician,Q82955
Q29514964,Governor of Colorado,politician,Q82955
Q3773741,Governor of North Dakota,politician,Q82955
Q16202700,Governor of North Carolina,politician,Q82955
Q4374313,Permanent Representative of Russia to the United Nations,politician,Q82955
Q5589724,Governor of Tennessee,politician,Q82955
Q501831,Namiestnik of Poland,politician,Q82955
Q20765611,Governor of Rhode Island,politician,Q82955
Q880198,Governor of Georgia,politician,Q82955
Q1540336,Governor of Arkansas,politician,Q82955
