qid,label,class_label,class_qid
Q79797,Armenians,population,Q33829
Q42884,Germans,population,Q33829
Q84072,Turks,population,Q33829
Q121842,French,population,Q33829
Q44806,Ukrainians,population,Q33829
Q50001,Italians,population,Q33829
Q126756,Basque people,population,Q33829
Q133032,Hungarians,population,Q33829
Q201190,Palestinians,population,Q33829
Q160894,Spaniards,population,Q33829
Q170217,Czechs,population,Q33829
Q846570,Americans,population,Q33829
Q188779,Norwegians,population,Q33829
Q200569,Dutch,population,Q33829
Q164714,Danes,population,Q33829
Q179248,Albanians,population,Q33829
Q11188,world population,population,Q33829
Q178630,Portuguese,population,Q33829
Q191356,Icelanders,population,Q33829
Q186192,Lithuanians,population,Q33829
Q49540,Latvians,population,Q33829
Q6501380,Chinese people,population,Q33829
Q237534,Austrians,population,Q33829
Q842438,British,population,Q33829
Q1276073,Chileans,population,Q33829
Q862086,Indians,population,Q33829
Q244504,Catalans,population,Q33829
Q873625,Brazilians,population,Q33829
Q1061510,Egyptians,population,Q33829
Q170355,Indigenous Australians,population,Q33829
Q223179,Faroese,population,Q33829
Q1209676,Mexicans,population,Q33829
Q124216,Swiss,population,Q33829
Q1318423,Australians,population,Q33829
Q310983,Malagasy people,population,Q33829
Q1196645,Canadians,population,Q33829
Q875556,Israelis,population,Q33829
Q878607,Syrians,population,Q33829
Q1286876,Maltese people,population,Q33829
Q4224,demographics of Russia,population,Q33829
Q939691,Swazi people,population,Q33829
Q1377716,Belgians,population,Q33829
Q2365041,Argentines,population,Q33829
Q165235,Bosnians,population,Q33829
Q1092641,Luxembourgers,population,Q33829
Q1195125,Cubans,population,Q33829
Q220379,Adriatic Veneti,population,Q33829
Q844570,Pomors,population,Q33829
Q752526,Galicians,population,Q33829
Q2140968,Sardinians,population,Q33829
Q1651392,Romans,population,Q33829
Q2997267,Colombians,population,Q33829
Q3310017,Pakistanis,population,Q33829
Q1762752,Melanesians,population,Q33829
Q509590,Corsicans,population,Q33829
Q2606511,Lebanese people,population,Q33829
Q379636,Torres Strait Islanders,population,Q33829
Q2996826,Venezuelans,population,Q33829
Q16007968,Afghans,population,Q33829
Q1567862,Iraqis,population,Q33829
Q1891793,Moroccans,population,Q33829
Q4317274,Nepalis,population,Q33829
Q1135531,Samoans,population,Q33829
Q394067,European people,population,Q33829
Q4200853,Indonesians,population,Q33829
Q794439,Fijians,population,Q33829
Q1266280,Nauruans,population,Q33829
Q893594,Puerto Ricans,population,Q33829
Q4131845,Católica,population,Q33829
Q4359289,Peruvians,population,Q33829
Q871904,New Zealanders,population,Q33829
Q2459831,Tunisians,population,Q33829
Q7901501,Uruguayans,population,Q33829
Q13048507,Bavarians,population,Q33829
Q16799549,Latin Americans,population,Q33829
Q1562783,Maldivians,population,Q33829
Q40554819,Sicilians,population,Q33829
Q6127469,Jamaicans,population,Q33829
Q397297,Iranians,population,Q33829
Q1075929,African people,population,Q33829
Q2624833,Sart,population,Q33829
Q4855428,Bangladeshis,population,Q33829
Q12480578,Algerians,population,Q33829
Q18600381,Saudis,population,Q33829
Q1290668,ni-Vanuatu,population,Q33829
Q2035264,Hondurans,population,Q33829
Q3247924,Dominicans,population,Q33829
Q2918061,Ethiopian,population,Q33829
Q4205820,Yemenis,population,Q33829
Q4357542,Bolivians,population,Q33829
Q2698746,Liechtensteiners,population,Q33829
Q3573453,Asturian people,population,Q33829
