qid,label,class_label,class_qid
Q12514,Three Gorges Dam,power station,Q159719
Q38891,Aswan Dam,power station,Q159719
Q172822,Hoover Dam,power station,Q159719
Q114295,Fukushima Daiichi Nuclear Power Plant,power station,Q159719
Q244169,Itaipu Dam,power station,Q159719
Q215419,Chernobyl Nuclear Power Plant,power station,Q159719
Q909477,Zaporizhzhia Nuclear Power Plant,power station,Q159719
Q1542454,Grand Ethiopian Renaissance Dam,power station,Q159719
Q913334,Norak Dam,power station,Q159719
Q930391,Grand Coulee Dam,power station,Q159719
Q738619,Dnipro Hydroelectric Station,power station,Q159719
Q1282314,Akosombo Dam,power station,Q159719
Q3379049,Kakhovka Hydroelectric Power Plant,power station,Q159719
Q847687,Ignalina Nuclear Power Plant,power station,Q159719
Q946058,Armenian Nuclear Power Plant,power station,Q159719
Q1551258,Tarbela Dam,power station,Q159719
Q1367609,Kariba Dam,power station,Q159719
Q1412996,Olkiluoto Nuclear Power Plant,power station,Q159719
Q204637,Bushehr Nuclear Power Plant,power station,Q159719
Q862589,Three Mile Island Nuclear Generating Station,power station,Q159719
Q725100,Kashiwazaki-Kariwa Nuclear Power Plant,power station,Q159719
Q810953,Battersea Power Station,power station,Q159719
Q143529,Guri Dam,power station,Q159719
Q753776,Atatürk Dam,power station,Q159719
Q838816,Fukushima Daini Nuclear Power Plant,power station,Q159719
Q1061884,Loviisa Nuclear Power Plant,power station,Q159719
Q162887,Enguri hydroelectric power plant,power station,Q159719
Q474551,Sayano–Shushenskaya Dam,power station,Q159719
Q1891844,Rogun Dam,power station,Q159719
Q1739453,Obninsk Nuclear Power Plant,power station,Q159719
Q372823,Euphrates Dam,power station,Q159719
Q301915,Rivne Nuclear Power Plant,power station,Q159719
Q1037144,Khmelnytskyi Nuclear Power Plant,power station,Q159719
Q1630042,Akkuyu Nuclear Power Plant,power station,Q159719
Q3279825,Leningrad Nuclear Power Plant,power station,Q159719
Q1739436,Kursk Nuclear Power Plant,power station,Q159719
Q606561,Mosul Dam,power station,Q159719
Q593463,Zwentendorf Nuclear Power Plant,power station,Q159719
Q816119,Belo Monte Dam,power station,Q159719
Q687033,Dukovany Nuclear Power Station,power station,Q159719
Q1085951,Mochovce Nuclear Power Plant,power station,Q159719
Q186223,South Ukraine Nuclear Power Plant,power station,Q159719
Q1502091,Temelín Nuclear Power Station,power station,Q159719
Q152556,Karakaya Dam,power station,Q159719
Q1188635,Paks Nuclear Power Plant,power station,Q159719
Q1286541,Mangla Dam,power station,Q159719
Q337376,Kudankulam Nuclear Power Plant,power station,Q159719
Q1201465,Ikata Nuclear Power Plant,power station,Q159719
Q1032792,Kozloduy Nuclear Power Plant,power station,Q159719
Q474478,Krško Nuclear Power Plant,power station,Q159719
Q1530724,Glen Canyon Dam,power station,Q159719
Q2639309,Belarusian nuclear power plant,power station,Q159719
Q1494266,Gariep Dam,power station,Q159719
Q1475210,Tucuruí Dam,power station,Q159719
Q1739474,Smolensk Nuclear Power Plant,power station,Q159719
Q1739463,Rostov Nuclear Power Plant,power station,Q159719
Q1737672,Keban Dam,power station,Q159719
Q154006,Tricastin nuclear power plant,power station,Q159719
Q1248956,Cernavodă Nuclear Power Plant,power station,Q159719
Q1067623,Onagawa Nuclear Power Plant,power station,Q159719
Q795104,Bruce Nuclear Generating Stationc,power station,Q159719
Q83436,Bhakra Dam,power station,Q159719
Q740586,Angra Nuclear Power Plant,power station,Q159719
Q1120899,Krasnoyarsk Dam,power station,Q159719
Q833602,Bohunice Nuclear Power Plant,power station,Q159719
Q1431041,Almaraz Nuclear Power Plant,power station,Q159719
Q921582,Aswan Low Dam,power station,Q159719
Q1640751,Kola Nuclear Power Plant,power station,Q159719
Q1965517,Bratsk Hydroelectric Power Station,power station,Q159719
Q2505221,Mingechevir Hydro Power Plant,power station,Q159719
Q1739481,Tihange Nuclear Power Station,power station,Q159719
Q1515445,Rance Tidal Power Station,power station,Q159719
Q1739448,Novovoronezh Nuclear Power Plant,power station,Q159719
Q1432818,Yacyretá Dam,power station,Q159719
Q1739418,Kalinin Nuclear Power Plant,power station,Q159719
Q1739407,Gravelines Nuclear Power Station,power station,Q159719
Q1739359,Beloyarsk Nuclear Power Station,power station,Q159719
Q1739356,Balakovo Nuclear Power Plant,power station,Q159719
Q496260,Hanbit Nuclear Power Plant,power station,Q159719
Q496248,Hanul Nuclear Power Plant,power station,Q159719
Q594024,Tishrin Dam,power station,Q159719
Q19959586,Barakah nuclear power plant,power station,Q159719
Q1659316,Ilısu Dam,power station,Q159719
Q1539046,Oskarshamn Nuclear Power Plant,power station,Q159719
Q2885177,Capanda Dam,power station,Q159719
Q1940209,Hirakud Dam,power station,Q159719
Q1519910,Taishan Nuclear Power Plant,power station,Q159719
Q1756456,Atucha Nuclear Power Plant,power station,Q159719
Q1371612,Cattenom Nuclear Power Plant,power station,Q159719
Q486898,Kori Nuclear Power Plant,power station,Q159719
Q738945,Tōkai Nuclear Power Plant,power station,Q159719
Q1289417,Iron Gate I Hydroelectric Power Station,power station,Q159719
Q205774,Ringhals Nuclear Power Plant,power station,Q159719
Q390252,Flamanville Nuclear Power Plant,power station,Q159719
Q367676,Tomari Nuclear Power Plant,power station,Q159719
Q915359,Xiluodu Dam,power station,Q159719
Q16002749,Amager Bakke,power station,Q159719
Q1575435,Forsmark Nuclear Power Plant,power station,Q159719
Q1743883,Volga Hydroelectric Station,power station,Q159719
Q1465285,Golfech Nuclear Power Plant,power station,Q159719
Q1739422,Kaliningrad Nuclear Power Plant,power station,Q159719
Q1739399,Doel Nuclear Power Station,power station,Q159719
Q1739375,Civaux Nuclear Power Plant,power station,Q159719
Q1739377,Chooz Nuclear Power Plant,power station,Q159719
Q1739363,Blayais Nuclear Power Plant,power station,Q159719
Q708579,Sup'ung Dam,power station,Q159719
Q995979,Hamaoka Nuclear Power Plant,power station,Q159719
Q488033,Jinping-I Hydropower Station,power station,Q159719
Q1112896,Nagarjuna Sagar Dam,power station,Q159719
Q384685,Mihama Nuclear Power Plant,power station,Q159719
Q676411,Fessenheim Nuclear Power Plant,power station,Q159719
Q1377548,Riga Hydroelectric Power Plant,power station,Q159719
Q1207298,Dez Dam,power station,Q159719
Q941797,Koeberg Nuclear Power Station,power station,Q159719
Q32243,Gansu Wind Farm,power station,Q159719
Q1555047,Sanmenxia Dam,power station,Q159719
Q1530519,Paluel Nuclear Power Plant,power station,Q159719
Q1633906,Ōi Nuclear Power Plant,power station,Q159719
Q1623116,Tsuruga Nuclear Power Plant,power station,Q159719
Q2885439,Mansoura Dam,power station,Q159719
Q2008105,Higashidōri Nuclear Power Plant,power station,Q159719
Q2116393,Salto Grande Dam,power station,Q159719
Q1520384,Lemoniz Nuclear Power Plant,power station,Q159719
Q1739484,Trillo Nuclear Power Plant,power station,Q159719
Q1739478,Tianwan Nuclear Power Plant,power station,Q159719
Q1739471,Shimane Nuclear Power Plant,power station,Q159719
Q1739455,Pickering Nuclear Generating Station,power station,Q159719
Q1513575,Genkai Nuclear Power Plant,power station,Q159719
Q1739416,Kaiga Atomic Power Station..,power station,Q159719
Q764289,Ekibastuz GRES-2 Power Station,power station,Q159719
Q507704,Vandellòs Nuclear Power Plant,power station,Q159719
Q843524,Kossou Dam,power station,Q159719
Q288334,Cruas Nuclear Power Plant,power station,Q159719
Q688190,Emsland Nuclear Power Plant,power station,Q159719
Q583804,Manantali Dam,power station,Q159719
Q803757,Baihetan Dam,power station,Q159719
Q15264697,Ouarzazate solar power station,power station,Q159719
Q3380358,Aras Dam,power station,Q159719
Q1640098,Ascó Nuclear Power Plant,power station,Q159719
Q1567496,Haditha Dam,power station,Q159719
Q2984983,Pļaviņas Hydroelectric Power Plant,power station,Q159719
Q2415389,Monticello Dam,power station,Q159719
Q1739475,Tarapur Atomic Power Station,power station,Q159719
Q1785742,Koyna Dam,power station,Q159719
Q1739415,Kakrapar Atomic Power Station,power station,Q159719
Q1029375,Yangjiang Nuclear Power Station,power station,Q159719
Q484896,Wolseong Nuclear Power Plant,power station,Q159719
Q1265064,Roseires Dam,power station,Q159719
Q656534,Barsebäck Nuclear Power Plant,power station,Q159719
Q644493,Saint-Laurent Nuclear Power Plant,power station,Q159719
Q1312991,Narora Atomic Power Station,power station,Q159719
Q692897,Kárahnjúkar Hydropower Plant,power station,Q159719
Q687422,Gösgen Nuclear Power Plant,power station,Q159719
Q1715858,Cofrentes Nuclear Power Plant,power station,Q159719
Q94805,Biblis Nuclear Power Plant,power station,Q159719
Q3443779,Kyiv Hydroelectric Power Plant,power station,Q159719
Q1645882,Belleville Nuclear Power Plant,power station,Q159719
Q1552235,Srisailam Dam,power station,Q159719
Q2662755,Ķegums Hydroelectric Power Plant,power station,Q159719
Q1921988,Merowe Dam,power station,Q159719
Q1972924,Shasta Dam,power station,Q159719
Q2165228,Alqueva Dam,power station,Q159719
Q1521211,Gezhouba Dam,power station,Q159719
Q1869608,Longtan Dam,power station,Q159719
Q1331046,Monju Nuclear Power Plant,power station,Q159719
Q908346,Wudongde Hydropower Station,power station,Q159719
Q656869,Grafenrheinfeld Nuclear Power Plant,power station,Q159719
Q1318977,Penly Nuclear Power Plant,power station,Q159719
Q1426242,Fort Peck Dam,power station,Q159719
Q686800,Beznau Nuclear Power Plant,power station,Q159719
Q657029,Gundremmingen Nuclear Power Plant,power station,Q159719
Q918661,Dampierre Nuclear Power Plant,power station,Q159719
Q712574,Jinshan Nuclear Power Plant,power station,Q159719
