qid,label,class_label,class_qid
Q1490,Tokyo,prefecture,Q515716
Q80434,Aichi Prefecture,prefecture,Q515716
Q766445,Okinawa Prefecture,prefecture,Q515716
Q71707,Fukushima Prefecture,prefecture,Q515716
Q47896,Miyagi Prefecture,prefecture,Q515716
Q127513,Kanagawa Prefecture,prefecture,Q515716
Q71699,Aomori Prefecture,prefecture,Q515716
Q48326,Iwate Prefecture,prefecture,Q515716
Q80011,Chiba Prefecture,prefecture,Q515716
Q122723,Osaka Prefecture,prefecture,Q515716
Q120730,Kyoto Prefecture,prefecture,Q515716
Q128186,Saitama Prefecture,prefecture,Q515716
Q131287,Nara Prefecture,prefecture,Q515716
Q81863,Akita Prefecture,prefecture,Q515716
Q83273,Ibaraki Prefecture,prefecture,Q515716
Q125863,Yamagata Prefecture,prefecture,Q515716
Q15701,Kagoshima Prefecture,prefecture,Q515716
Q131320,Shizuoka Prefecture,prefecture,Q515716
Q617375,Hiroshima Prefecture,prefecture,Q515716
Q169376,Nagasaki Prefecture,prefecture,Q515716
Q123258,Fukuoka Prefecture,prefecture,Q515716
Q130290,Hyōgo Prefecture,prefecture,Q515716
Q129499,Gunma Prefecture,prefecture,Q515716
Q127877,Nagano Prefecture,prefecture,Q515716
Q131281,Ishikawa Prefecture,prefecture,Q515716
Q128196,Mie Prefecture,prefecture,Q515716
Q133879,Fukui Prefecture,prefecture,Q515716
Q132705,Niigata Prefecture,prefecture,Q515716
Q123376,Ehime Prefecture,prefecture,Q515716
Q131277,Gifu Prefecture,prefecture,Q515716
Q131314,Wakayama Prefecture,prefecture,Q515716
Q130300,Miyazaki Prefecture,prefecture,Q515716
Q131358,Shiga Prefecture,prefecture,Q515716
Q44843,Tochigi Prefecture,prefecture,Q515716
Q161454,Kagawa Prefecture,prefecture,Q515716
Q133924,Oita Prefecture,prefecture,Q515716
Q134093,Kōchi Prefecture,prefecture,Q515716
Q133935,Tottori Prefecture,prefecture,Q515716
Q160734,Tokushima Prefecture,prefecture,Q515716
Q160420,Saga Prefecture,prefecture,Q515716
Q132936,Okayama Prefecture,prefecture,Q515716
Q132929,Toyama Prefecture,prefecture,Q515716
Q132720,Yamanashi Prefecture,prefecture,Q515716
Q127264,Yamaguchi Prefecture,prefecture,Q515716
Q130308,Kumamoto Prefecture,prefecture,Q515716
Q132751,Shimane Prefecture,prefecture,Q515716
Q170054,Arcadia Regional Unit,prefecture,Q515716
Q8257871,Boeotia Regional Unit,prefecture,Q515716
Q190216,Laconia prefecture,prefecture,Q515716
Q202624,Aetolia-Acarnania Regional Unit,prefecture,Q515716
Q200315,Messenia Prefecture,prefecture,Q515716
Q207554,Phthiotis Regional Unit,prefecture,Q515716
Q212921,Ioannina Regional Unit,prefecture,Q515716
Q210487,Chania Regional Unit,prefecture,Q515716
Q210450,Lasithi Regional Unit,prefecture,Q515716
Q211319,Serres Regional Unit,prefecture,Q515716
Q1063649,Elis Regional Unit,prefecture,Q515716
Q7780449,Preveza Regional Unit,prefecture,Q515716
Q578879,Larissa Regional Unit,prefecture,Q515716
Q649484,Pella Regional Unit,prefecture,Q515716
Q207552,Thesprotia Prefecture,prefecture,Q515716
Q201945,Evritania Prefecture,prefecture,Q515716
Q211934,East Attica Regional Unit,prefecture,Q515716
Q211878,West Attica Regional Unit,prefecture,Q515716
Q26915,Phocis Prefecture,prefecture,Q515716
Q211732,Kozani Regional Unit,prefecture,Q515716
Q209385,Grevena Regional Unit,prefecture,Q515716
Q207840,Imathia Regional Unit,prefecture,Q515716
Q210097,Kilkis Regional Unit,prefecture,Q515716
Q1080115,Kastoria Regional Unit,prefecture,Q515716
Q205668,Magnesia Prefecture,prefecture,Q515716
Q842235,Corfu Regional Unit,prefecture,Q515716
Q509078,Athens Prefecture,prefecture,Q515716
Q214208,Samos Prefecture,prefecture,Q515716
Q670126,Euboea regional unit,prefecture,Q515716
Q214219,Lesbos Prefecture,prefecture,Q515716
Q1248071,Lefkada Regional Unit,prefecture,Q515716
Q213623,Kavala Prefecture,prefecture,Q515716
Q845827,Piraeus Prefecture,prefecture,Q515716
Q209149,Arta Prefecture,prefecture,Q515716
Q208604,Rhodope Prefecture,prefecture,Q515716
Q206186,Evros Prefecture,prefecture,Q515716
Q696736,Karafuto Prefecture,prefecture,Q515716
Q1189121,Tokyo Prefecture,prefecture,Q515716
Q208846,Pieria Prefecture,prefecture,Q515716
Q208303,Xanthi Prefecture,prefecture,Q515716
Q210446,Rethymno Prefecture,prefecture,Q515716
Q1037393,Hokkaido,prefecture,Q515716
Q216482,Trikala Prefecture,prefecture,Q515716
Q210457,Heraklion Prefecture,prefecture,Q515716
Q838993,Kefalonia Prefecture,prefecture,Q515716
Q1662264,Inezgane-Aït Melloul Prefecture,prefecture,Q515716
Q620130,Apostolic Prefecture of Ulaanbaatar,prefecture,Q515716
Q620059,Apostolic Prefecture of Azerbaijan,prefecture,Q515716
Q389976,Agadir-Ida-Ou-Tanane Prefecture,prefecture,Q515716
Q2392485,Tangier-Assilah Prefecture,prefecture,Q515716
Q1734717,Oujda-Angad Prefecture,prefecture,Q515716
Q874192,Chios Prefecture,prefecture,Q515716
Q3408890,Meknès Prefecture,prefecture,Q515716
Q3408887,M'diq-Fnideq Prefecture,prefecture,Q515716
Q870883,Roman Catholic Diocese of La Paz en la Baja California Sur,prefecture,Q515716
Q844543,Chalkidiki Prefecture,prefecture,Q515716
Q737483,Skhirat-Témara Prefecture,prefecture,Q515716
Q620093,Apostolic Prefecture of Kompong Cham,prefecture,Q515716
Q338168,Apostolic Prefecture of Juzno-Sachalinsk,prefecture,Q515716
Q620064,Apostolic Prefecture of Battambang,prefecture,Q515716
Q620108,Roman Catholic Apostolic Prefecture of the Marshall Islands,prefecture,Q515716
Q620111,Apostolic Prefecture of Misurata,prefecture,Q515716
Q620115,Apostolic prefecture of Robe,prefecture,Q515716
Q591374,Apostolic Prefecture of Qiqihar,prefecture,Q515716
Q620119,Apostolic Prefecture of Shaowu,prefecture,Q515716
Q662617,Apostolic Prefecture of the Falkland Islands,prefecture,Q515716
Q620103,Apostolic Prefecture of Lintong,prefecture,Q515716
Q620091,Apostolic Prefecture of Xinjiang,prefecture,Q515716
Q1187226,Jiaozhou,prefecture,Q515716
