qid,label,class_label,class_qid
Q6296418,President of South Korea,president,Q30461
Q273884,President of South Africa,president,Q30461
Q153756,President of Nepal,president,Q30461
Q322459,President of Portugal,president,Q30461
Q889817,President of Iraq,president,Q30461
Q647198,President of the Republic of Namibia,president,Q30461
Q756265,President of Mongolia,president,Q30461
Q1370482,President of Cuba,president,Q30461
Q9373006,Grand Master of the Teutonic Knights,president,Q30461
Q25906534,President of Somaliland,president,Q30461
Q20856048,Grand Master of the Legion of Honour,president,Q30461
Q685145,Grand Master of the Sacred Apostolic Hospice,president,Q30461
Q5594797,Grand Master of the Order of the Golden Fleece,president,Q30461
Q5594800,Grand Master of the Order of the British Empire,president,Q30461
Q218014,President of Latvia,president,Q30461
Q688230,President of the Swiss Confederation,president,Q30461
Q495877,President of Slovenia,president,Q30461
Q500282,President of Nigeria,president,Q30461
Q1255261,President of the Soviet Union,president,Q30461
Q853475,President of Colombia,president,Q30461
Q13207321,Räis of Tatarstan,president,Q30461
Q1085260,1969 Provisional Governing Board of Brazil,president,Q30461
Q110856826,President of Cambodia,president,Q30461
