qid,label,class_label,class_qid
Q212943,pontifex maximus,priest,Q42603
Q125482,imam,priest,Q42603
Q29282,Archbishop of Canterbury,priest,Q42603
Q29282,Archbishop of Canterbury,priest,Q42603
Q9373006,Grand Master of the Teutonic Knights,priest,Q42603
Q334124,Remiremont Abbey,priest,Q42603
Q1157025,Daduchos,priest,Q42603
Q12151190,Hieromartyrs of Cherson,priest,Q42603
Q1502743,Bishop of Orkney,priest,Q42603
Q1502743,Bishop of Orkney,priest,Q42603
Q1502743,Bishop of Orkney,priest,Q42603
Q1502743,Bishop of Orkney,priest,Q42603
Q2629163,Elder (Latter Day Saints),priest,Q42603
Q20856048,Grand Master of the Legion of Honour,priest,Q42603
Q4985847,Pai-de-santo,priest,Q42603
Q685145,Grand Master of the Sacred Apostolic Hospice,priest,Q42603
Q746462,high priest,priest,Q42603
Q3620760,apostle,priest,Q42603
Q16150153,Seventy,priest,Q42603
Q4785678,Archbishop of New Zealand,priest,Q42603
Q4917975,Bishop of Singapore,priest,Q42603
Q7145251,Patriarch,priest,Q42603
Q113163040,bishop of Wilmington,priest,Q42603
Q114397371,Bishop of Oswestry,priest,Q42603
Q16205759,Román Catholic Bishop of Ross (Ireland),priest,Q42603
Q25172096,Bishop of Wakefield,priest,Q42603
Q5594800,Grand Master of the Order of the British Empire,priest,Q42603
Q5594797,Grand Master of the Order of the Golden Fleece,priest,Q42603
Q7104448,Greek Orthodox Metropolitan of Beirut,priest,Q42603
