qid,label,class_label,class_qid
Q357,Guantanamo Bay detention camp,prison,Q40357
Q334740,Baghdad Central Prison,prison,Q40357
Q220385,Devil's Island,prison,Q40357
Q168700,Spandau Prison,prison,Q40357
Q764049,Sing Sing,prison,Q40357
Q912407,San Quentin Rehabilitation Center,prison,Q40357
Q1780114,Van Diemen's Land,prison,Q40357
Q1018222,Butyrka prison,prison,Q40357
Q165142,SS Cap Arcona,prison,Q40357
Q75721,"United States Penitentiary, Florence ADMAX",prison,Q40357
Q1202492,Black Hole of Calcutta,prison,Q40357
Q1049842,Kilmainham Gaol,prison,Q40357
Q1346321,Lefortovo Prison,prison,Q40357
Q693653,Plötzensee Prison,prison,Q40357
Q116608704,Terrorism Confinement Center,prison,Q40357
Q3345501,Cellular Jail,prison,Q40357
Q290432,La Santé Prison,prison,Q40357
Q2512830,Kresty Prison,prison,Q40357
Q758034,Attica Correctional Facility,prison,Q40357
Q1435594,Folsom State Prison,prison,Q40357
Q2969640,Lancaster Castle,prison,Q40357
Q488571,Seodaemun Prison,prison,Q40357
Q1732216,Louisiana State Penitentiary,prison,Q40357
Q2426741,Piombi,prison,Q40357
Q18348382,Colony of New South Wales,prison,Q40357
Q1427716,Fleet Prison,prison,Q40357
Q674722,Munich Prison,prison,Q40357
Q2603875,Marshalsea,prison,Q40357
Q2982559,Santa Cruz Palace,prison,Q40357
Q881001,Camp Ashcan,prison,Q40357
Q686494,Huntsville Unit in Texas,prison,Q40357
Q489740,Camp Bucca,prison,Q40357
Q258932,Florida State Prison,prison,Q40357
Q124217927,Sde Teiman detention camp,prison,Q40357
Q2879088,Côn Đảo Prison,prison,Q40357
Q1267555,Prince Rupert's Tower,prison,Q40357
Q642270,United States Disciplinary Barracks,prison,Q40357
Q135116882,Q135116882,prison,Q40357
Q3299316,Matrosskaya Tishina,prison,Q40357
Q2898265,Ohio State Reformatory,prison,Q40357
Q190595,Oryol Prison,prison,Q40357
Q16056534,Parwan Detention Facility,prison,Q40357
Q882153,Rheinwiesenlager,prison,Q40357
Q3403995,HM Prison Belmarsh,prison,Q40357
Q6440918,Ktzi'ot Prison,prison,Q40357
Q557700,Camp 1391,prison,Q40357
Q553435,Sonnenburg concentration camp,prison,Q40357
Q1602019,Justizvollzugsanstalt Tegel,prison,Q40357
Q1144760,Darlington Probation Station,prison,Q40357
Q10986155,Horsens Statsfængsel,prison,Q40357
Q7078867,Ofer Prison,prison,Q40357
Q3535950,Ebrat Museum,prison,Q40357
Q386707,HM Prison Wandsworth,prison,Q40357
Q1504639,HM Prison Pentonville,prison,Q40357
Q1453493,Utah State Prison,prison,Q40357
Q1026863,"California State Prison, Corcoran",prison,Q40357
Q851710,Sultanahmet Jail,prison,Q40357
Q843093,Dretelj camp,prison,Q40357
Q2120320,Síyáh-Chál,prison,Q40357
Q25531805,Bukhara Prison,prison,Q40357
Q24694947,La Tumba,prison,Q40357
Q2719058,Cherche-Midi prison,prison,Q40357
Q4712525,Kerobokan Prison,prison,Q40357
Q4325144,New Russia,prison,Q40357
Q3398177,HMP Wormwood Scrubs,prison,Q40357
Q1670936,Pelican Bay State Prison,prison,Q40357
Q1669561,Brandenburg Euthanasia Centre,prison,Q40357
Q381356,HM Prison Holloway,prison,Q40357
Q1637388,Clinton Correctional Facility,prison,Q40357
Q1460467,Rasphuis,prison,Q40357
Q20110355,Qarchak Prison,prison,Q40357
Q1141887,Allan B. Polunsky Unit,prison,Q40357
Q5635157,HM Prison Dartmoor,prison,Q40357
Q7326718,Richard J. Donovan Correctional Facility,prison,Q40357
Q7001044,Neve Tirtza,prison,Q40357
Q1868900,London District Cage,prison,Q40357
Q1764624,HM Prison Brixton,prison,Q40357
Q1672795,Thorberg Castle with outbuildings,prison,Q40357
Q2517337,Vernon C. Bain Correctional Center,prison,Q40357
Q2495408,"Federal Correctional Institution, Atlanta",prison,Q40357
Q4083139,White Swan,prison,Q40357
Q3676018,Serbia Prison,prison,Q40357
Q3403971,Bordeaux Prison,prison,Q40357
Q2945991,Makala Central Prison,prison,Q40357
Q2944395,Central California Women's Facility,prison,Q40357
Q1669926,Nebojša Tower,prison,Q40357
Q1661308,Indiana State Prison,prison,Q40357
Q5149667,Columbia Correctional Institution,prison,Q40357
Q5020632,California Institution for Women,prison,Q40357
Q1128882,Sukhanovo Prison,prison,Q40357
Q1029866,Camp King,prison,Q40357
Q926372,Libby Prison,prison,Q40357
Q5440110,"Federal Correctional Institution, Dublin",prison,Q40357
Q5351176,El Dorado Correctional Facility,prison,Q40357
Q5287852,Dodge Correctional Institution,prison,Q40357
Q617208,The State Prison in Vridsløselille,prison,Q40357
Q84430074,Kolpino Prison,prison,Q40357
Q3930959,HM Prison Reading,prison,Q40357
Q3816586,Christmas Island Immigration Reception and Processing Centre,prison,Q40357
Q3403968,East Jersey State Prison,prison,Q40357
Q3247898,HM Prison Pentridge,prison,Q40357
Q2984272,Mettray Penal Colony,prison,Q40357
Q2879093,Prison of St-Laurent-du-Maroni,prison,Q40357
Q6826716,Mezzeh prison,prison,Q40357
Q5166904,Cook County Jail,prison,Q40357
Q5033345,Canongate Tolbooth,prison,Q40357
Q4993140,Gohardasht Prison,prison,Q40357
Q1451724,Frauengefängnis Barnimstraße,prison,Q40357
Q6083811,Islas Marías Federal Prison,prison,Q40357
Q5749007,Hexham Old Gaol,prison,Q40357
Q5635276,HM Prison Wakefield,prison,Q40357
Q5635221,HM Prison Lincoln,prison,Q40357
Q14683674,Pleasant Valley State Prison,prison,Q40357
Q12404530,Moscovia Detention Centre,prison,Q40357
Q5632930,HMS Jersey,prison,Q40357
Q5471049,Fort Delaware,prison,Q40357
Q5440342,"Federal Prison Camp, Alderson",prison,Q40357
Q5180082,Coyote Ridge Corrections Center,prison,Q40357
Q4874844,Bayside State Prison,prison,Q40357
Q8040212,Wynne Unit,prison,Q40357
Q7972269,Washington State Penitentiary,prison,Q40357
Q7769509,Tolbooth Museum,prison,Q40357
Q10936085,Tai Lam Centre for Women,prison,Q40357
Q10800918,Phu Quoc Prison,prison,Q40357
Q10333699,Museu da Inconfidência,prison,Q40357
Q7700172,Tennessee State Prison,prison,Q40357
Q7619200,Stonehaven Tolbooth,prison,Q40357
Q7404666,Salinas Valley State Prison,prison,Q40357
Q7393316,SS Cantabria,prison,Q40357
Q7245762,Prison Six,prison,Q40357
Q7245747,Prison Four,prison,Q40357
Q6984788,Nebraska State Penitentiary,prison,Q40357
Q120868586,IK-6 Penal Colony,prison,Q40357
Q1714388,Hakenfelde Prison,prison,Q40357
Q2400929,Green Haven Correctional Facility,prison,Q40357
Q2308223,Regional Reception Centre,prison,Q40357
Q2241578,Hindelbank Castle,prison,Q40357
Q3403975,King's Bench Prison,prison,Q40357
Q3403982,HM Prison Parkhurst,prison,Q40357
Q3403972,HM Prison Crumlin Road,prison,Q40357
Q2945312,Cebu Provincial Detention and Rehabilitation Center,prison,Q40357
Q2935208,Camp Crique Anguille,prison,Q40357
Q2879078,Penal colony of New Caledonia,prison,Q40357
Q2879092,Bagne of Toulon,prison,Q40357
Q6825074,"Metropolitan Detention Center, Los Angeles",prison,Q40357
Q6413577,Kingston Penitentiary,prison,Q40357
Q6394162,Kern Valley State Prison,prison,Q40357
Q108830348,Litoral Penitentiary,prison,Q40357
Q5148969,Colorado Territorial Correctional Facility,prison,Q40357
Q5142086,Colchester Garrison,prison,Q40357
Q5121278,Cipinang Penitentiary Institution,prison,Q40357
Q5092079,Chernokozovo detention center,prison,Q40357
Q5084228,Charlestown State Prison,prison,Q40357
Q5027702,Camp X-Ray,prison,Q40357
Q5021371,Calipatria State Prison,prison,Q40357
Q5021059,"California State Prison, Solano",prison,Q40357
Q154019,Little Ease,prison,Q40357
Q6073362,Ironwood State Prison,prison,Q40357
Q5755327,High Desert State Prison,prison,Q40357
Q5722333,Henry Gurney Prisoners School,prison,Q40357
Q5635285,HM Prison Whitemoor,prison,Q40357
Q19946309,Wehrmacht prison Anklam,prison,Q40357
Q19904221,HM Prison Berwyn,prison,Q40357
Q19721098,"Tolbooth, High Street, Musselburgh",prison,Q40357
Q1049518,Castle Thunder,prison,Q40357
Q15783611,Hindelbank correctional facility,prison,Q40357
Q15734478,"Tolbooth, Main Street, Kilmaurs",prison,Q40357
Q15121203,Port Glasgow town buildings,prison,Q40357
Q14705125,High Desert State Prison (Nevada),prison,Q40357
Q1001520,Houghton County Courthouse,prison,Q40357
Q30161860,Investigator custody in Kraków,prison,Q40357
Q28230369,Virginia State Penitentiary,prison,Q40357
Q5635169,HM Prison Edinburgh,prison,Q40357
Q5635170,HM Prison Durham,prison,Q40357
Q5635137,HM Prison Birmingham,prison,Q40357
Q5635132,HM Prison Barlinnie,prison,Q40357
Q5631395,HMS Argenta,prison,Q40357
Q5595221,Grand Valley Institution for Women,prison,Q40357
Q5440083,"Federal Correctional Complex, Florence",prison,Q40357
Q5440081,"Federal Correctional Complex, Allenwood",prison,Q40357
Q4879160,Bedford Hills Correctional Facility for Women,prison,Q40357
Q4828037,Avenal State Prison,prison,Q40357
Q4712966,Alcatraz Citadel,prison,Q40357
Q113961872,Aynaghar,prison,Q40357
Q7975211,Waupun Correctional Institution,prison,Q40357
Q7890881,"United States Penitentiary, Lewisburg",prison,Q40357
Q7858315,Twin Towers Correctional Facility,prison,Q40357
Q11287625,Indiana Women's Prison,prison,Q40357
Q7413623,Otay Mesa Detention Center,prison,Q40357
Q7223263,"Taipei Detention Center, Agency of Corrections, Ministry of Justice",prison,Q40357
Q7191788,Pierce County Jail,prison,Q40357
Q7163034,National Penitentiary of Argentina,prison,Q40357
Q7055774,North Kern State Prison,prison,Q40357
Q6981790,"Naval Consolidated Brig, Miramar",prison,Q40357
Q125585156,Penal colony of Clevelândia,prison,Q40357
Q136567350,Broadview ICE Facility,prison,Q40357
Q134366322,SIZO-2,prison,Q40357
Q42599356,Karaka fort,prison,Q40357
Q55264742,Town Hall and Prison of Santo Amaro,prison,Q40357
Q51499217,Town Hall and Prison of Cachoeira,prison,Q40357
Q48816627,Hartford Correctional Center,prison,Q40357
Q2168400,Roter Ochse,prison,Q40357
Q1756121,Macquarie Harbour Penal Station,prison,Q40357
Q56278651,Dickens County Courthouse and Jail,prison,Q40357
Q56033086,Former Yilan Prison,prison,Q40357
Q1714448,JVA Waldheim,prison,Q40357
Q25491501,Neve Tzedek,prison,Q40357
Q2405257,"Federal Correctional Complex, Terre Haute",prison,Q40357
Q2386344,Louisiana Correctional Institute for Women,prison,Q40357
Q4371595,Polyarnaya Sova ('Arctic Owl') prison,prison,Q40357
Q3529169,Tinfouchy,prison,Q40357
Q3404020,Prison Saint-Paul,prison,Q40357
Q3050471,Elayn Hunt Correctional Center,prison,Q40357
Q2946005,Centre pénitentiaire de Rennes,prison,Q40357
Q2879067,Brest Prison,prison,Q40357
Q6933880,Mule Creek State Prison,prison,Q40357
Q6925397,Mountain View Unit,prison,Q40357
Q6739556,Makindye Prison,prison,Q40357
Q6100302,Iwahig Prison and Penal Farm,prison,Q40357
Q17576089,Crail Tolbooth,prison,Q40357
Q17572150,Stirling Tolbooth,prison,Q40357
Q17568884,"Tolbooth, High Street, Sanquhar",prison,Q40357
Q17571685,"Parish Church and Tolbooth Steeple, High Street, Pittenweem",prison,Q40357
Q17571267,"Town House, High Street, Lochmaben",prison,Q40357
Q17569938,Kirkcudbright Tolbooth,prison,Q40357
Q17568276,"Tolbooth, High Street, Forres",prison,Q40357
Q17572184,"Tolbooth and Town Hall, 14 Victoria Street, Dysart",prison,Q40357
Q17567819,Culross Town House,prison,Q40357
Q17505383,Dalkeith Tolbooth,prison,Q40357
Q16718940,Black Eagle (prison),prison,Q40357
Q5172796,Correctional Training Facility,prison,Q40357
Q5140908,Coffee Creek Correctional Facility,prison,Q40357
Q5047304,Carthage Jail,prison,Q40357
Q5020684,California Men's Colony,prison,Q40357
Q5020680,California Medical Facility,prison,Q40357
Q5020631,California Institution for Men,prison,Q40357
Q5020362,California Correctional Institution,prison,Q40357
Q4936674,Bodmin Jail,prison,Q40357
Q1552052,Aachen Prison,prison,Q40357
Q1530818,Glen Mills Schools,prison,Q40357
Q6020588,Metris Prison,prison,Q40357
Q5689627,Headingley Correctional Institution,prison,Q40357
Q5635257,HM Prison Shepton Mallet,prison,Q40357
Q5635248,HM Prison Portland,prison,Q40357
Q5635244,HM Prison Peterborough,prison,Q40357
Q5635205,HM Prison Isle of Wight,prison,Q40357
Q5635204,HM Prison Isis,prison,Q40357
Q5635181,HM Prison Frankland,prison,Q40357
Q20859322,Correctional Institution for Women,prison,Q40357
Q18706174,Phillips County Penal Farm Historic District,prison,Q40357
Q18706126,Douglas County Correctional Center,prison,Q40357
Q18158518,Strafford County Farm,prison,Q40357
Q17852031,Lerwick Old Tolbooth,prison,Q40357
Q17841308,"Town Hall, Market Place, Lauder",prison,Q40357
Q17836536,"Town Hall, High Street, Crieff",prison,Q40357
Q17825396,Airdrie Town House,prison,Q40357
Q17810185,"Tolbooth, Main Street, West Wemyss",prison,Q40357
Q17809721,"Town Hall, High Street, Langholm",prison,Q40357
Q17791807,"Tolbooth, High Street, New Galloway",prison,Q40357
Q17777910,"Tolbooth, Main Street, Clackmannan",prison,Q40357
