qid,label,class_label,class_qid
Q33999,actor,profession,Q28640
Q39631,physician,profession,Q28640
Q53268,Toyota,profession,Q28640
Q40348,lawyer,profession,Q28640
Q36834,composer,profession,Q28640
Q16533,judge,profession,Q28640
Q131512,farmer,profession,Q28640
Q4991371,soldier,profession,Q28640
Q246,Volkswagen,profession,Q28640
Q483501,artist,profession,Q28640
Q26678,Q26678,profession,Q28640
Q639669,musician,profession,Q28640
Q23317,Audi AG,profession,Q28640
Q44294,Q44294,profession,Q28640
Q42973,architect,profession,Q28640
Q6686,Renault,profession,Q28640
Q9584,Honda,profession,Q28640
Q2526255,film director,profession,Q28640
Q1639825,blacksmith,profession,Q28640
Q27586,Ferrari,profession,Q28640
Q7358,clown,profession,Q28640
Q214917,playwright,profession,Q28640
Q40993,Porsche,profession,Q28640
Q20165,Nissan,profession,Q28640
Q81965,General Motors,profession,Q28640
Q40966,Opel,profession,Q28640
Q28389,screenwriter,profession,Q28640
Q3282637,film producer,profession,Q28640
Q130857,disc jockey,profession,Q28640
Q27597,Fiat,profession,Q28640
Q1028181,painter,profession,Q28640
Q482999,gladiator,profession,Q28640
Q35886,Lamborghini,profession,Q28640
Q27571,Donkervoort,profession,Q28640
Q193391,diplomat,profession,Q28640
Q35996,Mazda,profession,Q28640
Q181642,Suzuki Motor Corporation,profession,Q28640
Q242468,tailor,profession,Q28640
Q484876,chief executive officer,profession,Q28640
Q29637,Škoda Auto,profession,Q28640
Q35349,Kia,profession,Q28640
Q183945,record producer,profession,Q28640
Q26921,Alfa Romeo,profession,Q28640
Q6746,Citroën,profession,Q28640
Q245068,comedian,profession,Q28640
Q55931,Hyundai Motor Company,profession,Q28640
Q27530,Mercedes-Benz Group,profession,Q28640
Q189290,military officer,profession,Q28640
Q185196,midwife,profession,Q28640
Q6039733,Togg,profession,Q28640
Q185351,jurist,profession,Q28640
Q186360,nurse,profession,Q28640
Q158852,conductor,profession,Q28640
Q105186,pharmacist,profession,Q28640
Q30055,Jaguar Cars,profession,Q28640
Q188514,Tata Motors Ltd,profession,Q28640
Q27349,dentist,profession,Q28640
Q329737,butcher,profession,Q28640
Q131081,druid,profession,Q28640
Q156578,Volkswagen Group,profession,Q28640
Q30113,Q30113,profession,Q28640
Q27074,Aston Martin Lagonda,profession,Q28640
Q27436,Cadillac,profession,Q28640
Q186370,troubadour,profession,Q28640
Q175249,hoplite,profession,Q28640
Q35907,Land Rover,profession,Q28640
Q486748,pianist,profession,Q28640
Q111837,marshal,profession,Q28640
Q3455803,director,profession,Q28640
Q181114,Stellantis North America,profession,Q28640
Q333634,translator,profession,Q28640
Q160131,baker,profession,Q28640
Q600751,prosecutor,profession,Q28640
Q154549,carpenter,profession,Q28640
Q3750514,sophist,profession,Q28640
Q234803,Rolls-Royce Motor Cars,profession,Q28640
Q35962,Maserati,profession,Q28640
Q36033,Mitsubishi Motors,profession,Q28640
Q35896,Lancia,profession,Q28640
Q27224,Bentley,profession,Q28640
Q189010,notary,profession,Q28640
Q488205,singer-songwriter,profession,Q28640
Q172741,Subaru,profession,Q28640
Q35919,Lexus,profession,Q28640
Q222344,cinematographer,profession,Q28640
Q822146,lyricist,profession,Q28640
Q753110,songwriter,profession,Q28640
Q188217,SEAT,profession,Q28640
