qid,label,class_label,class_qid
Q1039,São Tomé and Príncipe,protected area,Q473972
Q351,Yellowstone National Park,protected area,Q473972
Q80344,Mount Olympus,protected area,Q473972
Q6383,Lake Balaton,protected area,Q473972
Q180402,Yosemite National Park,protected area,Q473972
Q199551,Urmia Lake,protected area,Q473972
Q223589,Virunga National Park,protected area,Q473972
Q192764,Kaziranga National Park,protected area,Q473972
Q11812902,Serengeti National Park,protected area,Q473972
Q41858,Banff National Park,protected area,Q473972
Q274131,Everglades National Park,protected area,Q473972
Q6059,Krk,protected area,Q473972
Q187843,Vosges Mountains,protected area,Q473972
Q6396,Neusiedl Lake,protected area,Q473972
Q220289,Grand Canyon National Park,protected area,Q473972
Q192666,Białowieża Forest,protected area,Q473972
Q715124,Teide National Park,protected area,Q473972
Q309276,Northeast Greenland National Park,protected area,Q473972
Q4516,Lorentz National Park,protected area,Q473972
Q237128,Mesa Verde National Park,protected area,Q473972
Q219562,Bryce Canyon National Park,protected area,Q473972
Q215992,Los Glaciares National Park,protected area,Q473972
Q457304,Okapi Wildlife Reserve,protected area,Q473972
Q1075023,Chitwan National Park,protected area,Q473972
Q679891,Niokolo-Koba National Park,protected area,Q473972
Q2211959,Sagarmatha National Park,protected area,Q473972
Q268729,Vichada Department,protected area,Q473972
Q501344,Comoé National Park,protected area,Q473972
Q308893,Garamba National Park,protected area,Q473972
Q328488,Salonga National Park,protected area,Q473972
Q201843,Khanka,protected area,Q473972
Q373567,Glacier National Park,protected area,Q473972
Q207724,Masai Mara,protected area,Q473972
Q205711,Solovetsky Islands,protected area,Q473972
Q205325,Zion National Park,protected area,Q473972
Q532440,Sundarbans National Park,protected area,Q473972
Q4111,Jiuzhaigou Valley,protected area,Q473972
Q834893,Kinabalu Park,protected area,Q473972
Q235878,Kevladev National Park,protected area,Q473972
Q14554,Minho River,protected area,Q473972
Q4121,IJsselmeer,protected area,Q473972
Q1244337,Canaima National Park,protected area,Q473972
Q2268839,Selous Game Reserve,protected area,Q473972
Q504315,Simien Mountains National Park,protected area,Q473972
Q503835,Manovo-Gounda St. Floris National Park,protected area,Q473972
Q372093,Olympic National Park,protected area,Q473972
Q328072,Köpet Dag,protected area,Q473972
Q457324,Kahuzi-Biéga National Park,protected area,Q473972
Q81150,Uvs Lake,protected area,Q473972
Q61757,Hortobágy National Park,protected area,Q473972
Q4521,Tropical Rainforest Heritage of Sumatra,protected area,Q473972
Q726863,W National Park,protected area,Q473972
Q217136,Denali National Park and Preserve,protected area,Q473972
Q205952,Hawaiʻi Volcanoes National Park,protected area,Q473972
Q242681,Mammoth Cave National Park,protected area,Q473972
Q391338,Wood Buffalo National Park,protected area,Q473972
Q222695,Grand Teton National Park,protected area,Q473972
Q273195,Carlsbad Caverns National Park,protected area,Q473972
Q506511,Manas National Park,protected area,Q473972
Q379217,La Amistad International Park,protected area,Q473972
Q223969,Arches National Park,protected area,Q473972
Q503429,Jasper National Park,protected area,Q473972
Q332381,Jaú National Park,protected area,Q473972
Q464942,Garajonay National Park,protected area,Q473972
Q464004,Great Smoky Mountains National Park,protected area,Q473972
Q328577,Taï National Park,protected area,Q473972
Q724367,Belukha Mountain,protected area,Q473972
Q901646,Torres del Paine National Park,protected area,Q473972
Q593870,Virgin Komi Forests,protected area,Q473972
Q463141,Doñana National and Natural Park,protected area,Q473972
Q318181,Gobustan National Park,protected area,Q473972
Q605657,Gates of the Arctic National Park and Preserve,protected area,Q473972
Q539518,Banc d'Arguin National Park,protected area,Q473972
Q61535,Gunung Mulu National Park,protected area,Q473972
Q679568,Purnululu National Park,protected area,Q473972
Q675633,Etosha National Park,protected area,Q473972
Q647777,Lençóis Maranhenses National Park,protected area,Q473972
Q824602,Puerto Princesa Subterranean River National Park,protected area,Q473972
Q924276,Mount Nimba Strict Nature Reserve,protected area,Q473972
Q605897,Valley of Flowers National Park,protected area,Q473972
Q379080,Fort Jesus Museum,protected area,Q473972
Q501833,Wadi Al-Hitan,protected area,Q473972
Q465811,National Mall,protected area,Q473972
Q202845,Tongariro National Park,protected area,Q473972
Q122082,Srebarna Nature Reserve,protected area,Q473972
Q305949,Petrified Forest National Park,protected area,Q473972
Q749556,Yasnaya Polyana,protected area,Q473972
Q839603,Sangay National Park,protected area,Q473972
Q267394,Serra da Capivara National Park,protected area,Q473972
Q257598,Gros Morne National Park,protected area,Q473972
Q152660,Sequoia National Park,protected area,Q473972
Q217109,Teletskoe,protected area,Q473972
Q86486,Great Blue Hole,protected area,Q473972
Q391391,Nahanni National Park Reserve,protected area,Q473972
Q752181,Río Plátano Biosphere Reserve,protected area,Q473972
Q873358,Mount Sanqing,protected area,Q473972
