qid,label,class_label,class_qid
Q50265665,insulin,protein,Q8054
Q185690,corticotropin,protein,Q8054
Q50265477,glyco-Lutropin [extracellular region],protein,Q8054
Q315860,calcitonin,protein,Q8054
Q27261089,semaglutide,protein,Q8054
Q200774,human follitropin,protein,Q8054
Q379764,lactase,protein,Q8054
Q422269,ghrelin,protein,Q8054
Q305481,glutamic-pyruvic transaminase,protein,Q8054
Q424611,glucagon-like peptide-1,protein,Q8054
Q416833,methemoglobin,protein,Q8054
Q417667,Beta amyloid,protein,Q8054
Q414964,vasoactive intestinal peptide,protein,Q8054
Q66360952,brain natriuretic peptide,protein,Q8054
Q424512,melittin,protein,Q8054
Q419107,C-peptide,protein,Q8054
Q418896,proopiomelanocortin,protein,Q8054
Q2282887,HBsAg,protein,Q8054
Q422297,beta-lipotropin,protein,Q8054
Q83586,cholera toxin,protein,Q8054
Q2496436,fetal hemoglobin,protein,Q8054
Q331451,abrin,protein,Q8054
Q420510,glutamate receptor,protein,Q8054
Q786600,procalcitonin,protein,Q8054
Q2539644,thyroid hormone receptor,protein,Q8054
Q267200,angiotensinogen,protein,Q8054
Q610647,Translocon [phagocytic vesicle membrane],protein,Q8054
Q2838685,retinoic acid receptor,protein,Q8054
Q416781,ryanodine receptor,protein,Q8054
Q409796,Erythrocruorin,protein,Q8054
Q381068,aequorin,protein,Q8054
Q905680,obestatin,protein,Q8054
Q642462,gastrin releasing peptide,protein,Q8054
Q426173,proinsulin,protein,Q8054
Q418917,"inositol 1,4,5-trisphosphate receptors",protein,Q8054
Q412728,Lactoperoxidase,protein,Q8054
Q171604,hydroxysteroid 11-beta dehydrogenase 1,protein,Q8054
Q408566,neurokinin A,protein,Q8054
Q179145,chlorocruorin,protein,Q8054
Q1703648,N-terminal prohormone of brain natriuretic peptide,protein,Q8054
Q3698322,Chromogranin A,protein,Q8054
Q30315101,cenegermin,protein,Q8054
Q110757700,tebentafusp,protein,Q8054
Q60666292,tagraxofusp-erzs,protein,Q8054
Q2386988,Apelin,protein,Q8054
Q2043632,p38 mitogen-activated protein kinases,protein,Q8054
Q1092156,Fel d 1,protein,Q8054
Q7670065,TEV protease,protein,Q8054
Q5971673,IL-2 receptor,protein,Q8054
Q5044071,carnitine palmitoyltransferase 2,protein,Q8054
Q907730,oxyntomodulin,protein,Q8054
Q575416,Yellow fluorescent protein,protein,Q8054
Q8074021,Zonulin,protein,Q8054
Q50263416,interleukin 27,protein,Q8054
Q21122290,VGF nerve growth factor inducible,protein,Q8054
Q4216919,complement component 4,protein,Q8054
Q3775177,M-phase inducer phosphatase,protein,Q8054
Q5572288,glucagon-like peptide-2,protein,Q8054
Q390566,endothelin 1,protein,Q8054
Q50269527,Gustducin [plasma membrane],protein,Q8054
Q21789862,sebelipase alfa,protein,Q8054
Q12804047,tetanolysin,protein,Q8054
Q4653198,AP-2 complex,protein,Q8054
Q4118278,complement component 5a,protein,Q8054
Q30314143,luspatercept,protein,Q8054
Q105361026,prepro-interferon alpha-2,protein,Q8054
Q59771128,micropeptide,protein,Q8054
Q1935986,anthrax toxin,protein,Q8054
Q1188794,heteroreceptor,protein,Q8054
Q7444455,secretory component,protein,Q8054
Q7115077,Oxaloacetase,protein,Q8054
Q6881880,mitochondrial permeability transition pore,protein,Q8054
Q50259618,F-actin capping protein [cytosol],protein,Q8054
Q50263283,RAG1:RAG2 recombinase [nucleoplasm],protein,Q8054
Q21123080,Tachykinin precursor 1,protein,Q8054
Q12905982,endothiapepsin,protein,Q8054
Q3645271,Fruit bromelain,protein,Q8054
Q5135499,Clostridium perfringens alpha toxin,protein,Q8054
Q5008394,C8 [extracellular region],protein,Q8054
Q103815273,sotatercept,protein,Q8054
Q108841452,Cyclic GMP-AMP synthase,protein,Q8054
Q66310097,proglucagon,protein,Q8054
Q50254584,integrin alphaVbeta3 [plasma membrane],protein,Q8054
Q7278003,RVD-Hpα,protein,Q8054
Q6591711,Neuromedin S,protein,Q8054
Q6546700,lignin-modifying enzyme,protein,Q8054
Q50257813,ITGA4:ITGB1 [plasma membrane],protein,Q8054
Q21428408,Kallikrein 1-related peptidase b16,protein,Q8054
Q16893278,thermosomes,protein,Q8054
Q12646446,Scutelarin,protein,Q8054
Q5008166,C3a anaphylatoxin,protein,Q8054
Q4734881,Alpha-1-microglobulin,protein,Q8054
Q5940878,recombinant factor VIIa,protein,Q8054
Q5263414,Des-gamma carboxyprothrombin,protein,Q8054
Q410625,Tre recombinase,protein,Q8054
Q30315131,trafermin,protein,Q8054
Q126265029,Cytochrome P450,protein,Q8054
Q7957566,exopolysaccharide glucosyl ketal-pyruvate-transferase,protein,Q8054
Q7251427,Protein A/G,protein,Q8054
