qid,label,class_label,class_qid
Q207808,Circus Maximus,race track,Q1777138
Q171417,Monza Circuit,race track,Q1777138
Q172851,Spa-Francochamps Circuit,race track,Q1777138
Q171313,Imola Circuit,race track,Q1777138
Q152207,Nürburgring,race track,Q1777138
Q171402,Silverstone Circuit,race track,Q1777138
Q174170,Suzuka Circuit,race track,Q1777138
Q171404,Circuit de Barcelona-Catalunya,race track,Q1777138
Q171332,Bahrain International Circuit,race track,Q1777138
Q172738,Sepang International Circuit,race track,Q1777138
Q174004,Sirius Autodrom,race track,Q1777138
Q171356,Hungaroring,race track,Q1777138
Q172732,Indianapolis Motor Speedway,race track,Q1777138
Q152408,Hockenheimring,race track,Q1777138
Q171566,Red Bull Ring,race track,Q1777138
Q171387,Autódromo José Carlos Pace,race track,Q1777138
Q172869,Yas Marina Circuit,race track,Q1777138
Q172743,Istanbul Park,race track,Q1777138
Q171399,Fuji Speedway,race track,Q1777138
Q171358,Shanghai International Circuit,race track,Q1777138
Q172906,Buddh International Circuit,race track,Q1777138
Q173083,Circuit Zandvoort,race track,Q1777138
Q59626,Circuit of the Americas,race track,Q1777138
Q171424,Circuit Paul Ricard,race track,Q1777138
Q172860,Circuit Gilles Villeneuve,race track,Q1777138
Q173099,Autódromo Hermanos Rodríguez,race track,Q1777138
Q173202,Donington Park,race track,Q1777138
Q172884,Jerez-Ángel Nieto Circuit,race track,Q1777138
Q172876,Circuit de Nevers Magny-Cours,race track,Q1777138
Q172880,Brands Hatch,race track,Q1777138
Q173116,Oscar and Juan Gálvez Race Track,race track,Q1777138
Q171385,Korean International Circuit,race track,Q1777138
Q172890,Circuito do Estoril,race track,Q1777138
Q547535,Losail International Circuit,race track,Q1777138
Q173217,Ain-Diab Circuit,race track,Q1777138
Q174090,Circuit de la Sarthe,race track,Q1777138
Q789427,Autódromo Internacional do Algarve,race track,Q1777138
Q782455,Mugello Circuit,race track,Q1777138
Q172894,Anderstorp Raceway,race track,Q1777138
Q155810,AVUS,race track,Q1777138
Q171667,Kyalami,race track,Q1777138
Q1423481,WeatherTech Raceway Laguna Seca,race track,Q1777138
Q173185,Okayama International Circuit,race track,Q1777138
Q171437,Autódromo Internacional Nelson Piquet,race track,Q1777138
Q786577,Circuit Ricardo Tormo,race track,Q1777138
Q172888,Dijon-Prenois,race track,Q1777138
Q172868,Circuit Zolder,race track,Q1777138
Q172895,Circuit Bremgarten,race track,Q1777138
Q12221467,Aintree Motor Racing Circuit,race track,Q1777138
Q172883,Sebring International Raceway,race track,Q1777138
Q172865,Prince George Circuit,race track,Q1777138
Q1321650,MotorLand Aragón,race track,Q1777138
Q222686,Masaryk Circuit,race track,Q1777138
Q172879,Charade Circuit,race track,Q1777138
Q1420895,Mobility Resort Motegi,race track,Q1777138
Q522987,Fiorano Circuit,race track,Q1777138
Q1179250,Daytona International Speedway,race track,Q1777138
Q174062,Monsanto Park Circuit,race track,Q1777138
Q171449,Watkins Glen International,race track,Q1777138
Q843925,TT Circuit Assen,race track,Q1777138
Q929193,Brooklands,race track,Q1777138
Q172897,Jarama Circuit,race track,Q1777138
Q699372,EuroSpeedway Lausitz,race track,Q1777138
Q1347804,Misano World Circuit Marco Simoncelli,race track,Q1777138
Q172878,Nivelles-Baulers,race track,Q1777138
Q571271,Phillip Island Grand Prix Circuit,race track,Q1777138
Q172873,Circuit Mont-Tremblant,race track,Q1777138
Q171570,Canadian Tire Motorsport Park,race track,Q1777138
Q567770,Sachsenring,race track,Q1777138
Q676074,circus of Nero,race track,Q1777138
Q588356,Dubai Autodrome,race track,Q1777138
Q172871,Riverside International Raceway,race track,Q1777138
Q836417,Motorsport Arena Oschersleben,race track,Q1777138
Q16307503,Chang International Circuit,race track,Q1777138
Q1092967,Circus Flaminius,race track,Q1777138
Q1949053,Moscow Raceway,race track,Q1777138
Q723336,Ascot Racecourse,race track,Q1777138
Q1520286,Sentul International Circuit,race track,Q1777138
Q4827242,Autódromo Termas de Río Hondo,race track,Q1777138
Q1547320,Talladega Superspeedway,race track,Q1777138
Q105061873,Mandalika International Street Circuit,race track,Q1777138
