qid,label,class_label,class_qid
Q207808,Circus Maximus,racecourse,Q1777138
Q171417,Monza Circuit,racecourse,Q1777138
Q172851,Spa-Francochamps Circuit,racecourse,Q1777138
Q171313,Imola Circuit,racecourse,Q1777138
Q152207,Nürburgring,racecourse,Q1777138
Q171402,Silverstone Circuit,racecourse,Q1777138
Q174170,Suzuka Circuit,racecourse,Q1777138
Q171404,Circuit de Barcelona-Catalunya,racecourse,Q1777138
Q171332,Bahrain International Circuit,racecourse,Q1777138
Q172738,Sepang International Circuit,racecourse,Q1777138
Q174004,Sirius Autodrom,racecourse,Q1777138
Q171356,Hungaroring,racecourse,Q1777138
Q172732,Indianapolis Motor Speedway,racecourse,Q1777138
Q152408,Hockenheimring,racecourse,Q1777138
Q171566,Red Bull Ring,racecourse,Q1777138
Q171387,Autódromo José Carlos Pace,racecourse,Q1777138
Q172869,Yas Marina Circuit,racecourse,Q1777138
Q172743,Istanbul Park,racecourse,Q1777138
Q171399,Fuji Speedway,racecourse,Q1777138
Q171358,Shanghai International Circuit,racecourse,Q1777138
Q172906,Buddh International Circuit,racecourse,Q1777138
Q173083,Circuit Zandvoort,racecourse,Q1777138
Q59626,Circuit of the Americas,racecourse,Q1777138
Q171424,Circuit Paul Ricard,racecourse,Q1777138
Q172860,Circuit Gilles Villeneuve,racecourse,Q1777138
Q173099,Autódromo Hermanos Rodríguez,racecourse,Q1777138
Q173202,Donington Park,racecourse,Q1777138
Q172884,Jerez-Ángel Nieto Circuit,racecourse,Q1777138
Q172876,Circuit de Nevers Magny-Cours,racecourse,Q1777138
Q172880,Brands Hatch,racecourse,Q1777138
Q173116,Oscar and Juan Gálvez Race Track,racecourse,Q1777138
Q171385,Korean International Circuit,racecourse,Q1777138
Q172890,Circuito do Estoril,racecourse,Q1777138
Q547535,Losail International Circuit,racecourse,Q1777138
Q173217,Ain-Diab Circuit,racecourse,Q1777138
Q174090,Circuit de la Sarthe,racecourse,Q1777138
Q789427,Autódromo Internacional do Algarve,racecourse,Q1777138
Q782455,Mugello Circuit,racecourse,Q1777138
Q172894,Anderstorp Raceway,racecourse,Q1777138
Q155810,AVUS,racecourse,Q1777138
Q171667,Kyalami,racecourse,Q1777138
Q1423481,WeatherTech Raceway Laguna Seca,racecourse,Q1777138
Q173185,Okayama International Circuit,racecourse,Q1777138
Q171437,Autódromo Internacional Nelson Piquet,racecourse,Q1777138
Q786577,Circuit Ricardo Tormo,racecourse,Q1777138
Q172888,Dijon-Prenois,racecourse,Q1777138
Q172868,Circuit Zolder,racecourse,Q1777138
Q172895,Circuit Bremgarten,racecourse,Q1777138
Q12221467,Aintree Motor Racing Circuit,racecourse,Q1777138
Q172883,Sebring International Raceway,racecourse,Q1777138
Q172865,Prince George Circuit,racecourse,Q1777138
Q1321650,MotorLand Aragón,racecourse,Q1777138
Q222686,Masaryk Circuit,racecourse,Q1777138
Q172879,Charade Circuit,racecourse,Q1777138
Q1420895,Mobility Resort Motegi,racecourse,Q1777138
Q522987,Fiorano Circuit,racecourse,Q1777138
Q1179250,Daytona International Speedway,racecourse,Q1777138
Q174062,Monsanto Park Circuit,racecourse,Q1777138
Q171449,Watkins Glen International,racecourse,Q1777138
Q843925,TT Circuit Assen,racecourse,Q1777138
Q929193,Brooklands,racecourse,Q1777138
Q172897,Jarama Circuit,racecourse,Q1777138
Q699372,EuroSpeedway Lausitz,racecourse,Q1777138
Q1347804,Misano World Circuit Marco Simoncelli,racecourse,Q1777138
Q172878,Nivelles-Baulers,racecourse,Q1777138
Q571271,Phillip Island Grand Prix Circuit,racecourse,Q1777138
Q172873,Circuit Mont-Tremblant,racecourse,Q1777138
Q171570,Canadian Tire Motorsport Park,racecourse,Q1777138
Q567770,Sachsenring,racecourse,Q1777138
Q676074,circus of Nero,racecourse,Q1777138
Q588356,Dubai Autodrome,racecourse,Q1777138
Q172871,Riverside International Raceway,racecourse,Q1777138
Q836417,Motorsport Arena Oschersleben,racecourse,Q1777138
Q16307503,Chang International Circuit,racecourse,Q1777138
Q1092967,Circus Flaminius,racecourse,Q1777138
Q1949053,Moscow Raceway,racecourse,Q1777138
Q723336,Ascot Racecourse,racecourse,Q1777138
Q1520286,Sentul International Circuit,racecourse,Q1777138
Q4827242,Autódromo Termas de Río Hondo,racecourse,Q1777138
Q1547320,Talladega Superspeedway,racecourse,Q1777138
Q105061873,Mandalika International Street Circuit,racecourse,Q1777138
Q1585125,Snetterton Motor Racing Circuit,racecourse,Q1777138
Q700121,Salzburgring,racecourse,Q1777138
Q1457351,Circus of Maxentius,racecourse,Q1777138
Q427654,Automotodróm Slovakia Ring,racecourse,Q1777138
Q1950645,Mount Panorama Circuit,racecourse,Q1777138
Q2662150,Portland International Raceway,racecourse,Q1777138
Q1542489,Longchamp Racecourse,racecourse,Q1777138
Q112563,Sonoma Raceway,racecourse,Q1777138
Q648512,Road America,racecourse,Q1777138
Q69825171,Igora Drive,racecourse,Q1777138
Q374058,Atlanta Motor Speedway,racecourse,Q1777138
Q367389,Adria International Raceway,racecourse,Q1777138
Q1067286,Charlotte Motor Speedway,racecourse,Q1777138
Q173627,Port Imperial Street Circuit,racecourse,Q1777138
Q953716,Goodwood Circuit,racecourse,Q1777138
Q1636819,Texas Motor Speedway,racecourse,Q1777138
Q787936,Automotodrom Grobnik,racecourse,Q1777138
Q786432,ACI Vallelunga Circuit,racecourse,Q1777138
Q1723946,Kansas Speedway,racecourse,Q1777138
Q1702512,Johor Circuit,racecourse,Q1777138
Q917398,Sportsland SUGO,racecourse,Q1777138
Q1781298,Rustavi International Motorpark,racecourse,Q1777138
Q1278165,Sydney Motorsport Park,racecourse,Q1777138
Q786418,Autodrom Most,racecourse,Q1777138
Q786167,Autodromo di Pergusa,racecourse,Q1777138
Q2465788,Thruxton Circuit,racecourse,Q1777138
Q1748785,Autopolis,racecourse,Q1777138
Q928721,Bugatti Circuit,racecourse,Q1777138
Q867548,Circuit Paul Armagnac,racecourse,Q1777138
Q735277,Autodrome de Linas-Montlhéry,racecourse,Q1777138
Q605644,Iowa Speedway,racecourse,Q1777138
Q1166378,Darlington Raceway,racecourse,Q1777138
Q198213,Zhuhai International Circuit,racecourse,Q1777138
Q1092902,Circuito de Navarra,racecourse,Q1777138
Q1931770,Mid-Ohio Sports Car Course,racecourse,Q1777138
Q997133,Oulton Park,racecourse,Q1777138
Q964148,Road Atlanta,racecourse,Q1777138
Q1626077,Homestead-Miami Speedway,racecourse,Q1777138
Q1726602,Phakisa Freeway,racecourse,Q1777138
Q807806,Barber Motorsports Park,racecourse,Q1777138
Q4059392,Akbuzat Racecourse,racecourse,Q1777138
Q867557,Circuito de Albacete,racecourse,Q1777138
Q1815381,Martinsville Speedway,racecourse,Q1777138
Q1523618,Las Vegas Motor Speedway,racecourse,Q1777138
Q118511681,Balaton Park Circuit,racecourse,Q1777138
Q691587,Utah Motorsports Campus,racecourse,Q1777138
Q1362127,World Wide Technology Raceway at Gateway,racecourse,Q1777138
Q1284224,Milwaukee Mile,racecourse,Q1777138
Q537078,Autódromo Internacional de Curitiba,racecourse,Q1777138
Q383490,Bristol Motor Speedway,racecourse,Q1777138
Q1252953,Dover Motor Speedway,racecourse,Q1777138
Q1055592,Tokyo Racecourse,racecourse,Q1777138
Q1660757,Kentucky Speedway,racecourse,Q1777138
Q3244588,Sha Tin Racecourse,racecourse,Q1777138
Q2382815,Central Moscow Hippodrome,racecourse,Q1777138
Q1723278,Michigan International Speedway,racecourse,Q1777138
Q1815356,New Hampshire Motor Speedway,racecourse,Q1777138
Q1813430,Pocono Raceway,racecourse,Q1777138
Q1803538,Phoenix Raceway,racecourse,Q1777138
Q57204547,Circuito San Juan Villicum,racecourse,Q1777138
Q7836567,Meydan Racecourse,racecourse,Q1777138
Q524404,Knockhill Racing Circuit,racecourse,Q1777138
Q940069,Lime Rock Park,racecourse,Q1777138
Q3135951,hippodrome de Vincennes,racecourse,Q1777138
Q789407,Autódromo Internacional Ayrton Senna,racecourse,Q1777138
Q784899,Auto Club Speedway,racecourse,Q1777138
Q1700358,Richmond Raceway,racecourse,Q1777138
Q837662,Happy Valley Racecourse,racecourse,Q1777138
Q2712373,Sandown Raceway,racecourse,Q1777138
Q2654550,Rockingham Motor Speedway,racecourse,Q1777138
Q2033478,Rockingham Speedway,racecourse,Q1777138
Q1423492,Pikes Peak International Raceway,racecourse,Q1777138
Q2199981,Walt Disney World Speedway,racecourse,Q1777138
Q2166626,Winton Motor Raceway,racecourse,Q1777138
Q30314,Shanghai Tianma Circuit,racecourse,Q1777138
Q1221287,People's Park,racecourse,Q1777138
Q327689,Lucius D. Clay Kaserne,racecourse,Q1777138
Q173835,Autódromo Internacional Nelson Piquet,racecourse,Q1777138
Q1965810,Nashville Superspeedway,racecourse,Q1777138
Q1888287,Mondello Park,racecourse,Q1777138
Q1620086,Zarzuela race track,racecourse,Q1777138
Q789428,Autódromo Miguel E. Abed,racecourse,Q1777138
Q1690744,Shah Alam Circuit,racecourse,Q1777138
Q2663312,Ontario Motor Speedway,racecourse,Q1777138
Q2097263,Tsukuba Circuit,racecourse,Q1777138
Q2000483,Oran Park Raceway,racecourse,Q1777138
Q1984155,Roman Circus Maximus of Mérida,racecourse,Q1777138
Q764291,Chicagoland Speedway,racecourse,Q1777138
Q123411911,Cremona Circuit,racecourse,Q1777138
Q11287388,Inje Speedium,racecourse,Q1777138
