qid,label,class_label,class_qid
Q19891,Metropolitan line,railway line,Q728937
Q203030,Victoria line,railway line,Q728937
Q205355,Central line,railway line,Q728937
Q19892,Bakerloo line,railway line,Q728937
Q210321,Circle line,railway line,Q728937
Q961290,Jubilee line,railway line,Q728937
Q207699,Waterloo & City line,railway line,Q728937
Q207689,Piccadilly line,railway line,Q728937
Q214793,Northern line,railway line,Q728937
Q211270,Hammersmith & City line,railway line,Q728937
Q211265,District line,railway line,Q728937
Q13224,Paris Métro Line 1,railway line,Q728937
Q729631,Sokolnicheskaya line,railway line,Q728937
Q463874,Darjeeling Himalayan Railway,railway line,Q728937
Q626941,Arbatsko-Pokrovskaya Line,railway line,Q728937
Q834482,Zamoskvoretskaya Line,railway line,Q728937
Q831673,Koltsevaya line,railway line,Q728937
Q50718,Paris Métro Line 2,railway line,Q728937
Q50719,Amsterdam Central station,railway line,Q728937
Q834540,Filyovskaya Line,railway line,Q728937
Q50741,Paris Métro Line 3,railway line,Q728937
Q175271,Kaluzhsko-Rizhskaya Line,railway line,Q728937
Q50761,Paris Métro Line 14,railway line,Q728937
Q7171560,Kalka–Shimla Railway,railway line,Q728937
Q582194,Lyublinsko-Dmitrovskaya Line,railway line,Q728937
Q739170,Serpukhovsko-Timiryazevskaya Line,railway line,Q728937
Q50759,Paris Métro Line 13,railway line,Q728937
Q50757,Paris Métro Line 12,railway line,Q728937
Q50748,Paris Métro Line 7,railway line,Q728937
Q50745,Paris Métro Line 5,railway line,Q728937
Q50743,Paris Métro Line 4,railway line,Q728937
Q50742,Paris Métro Line 3bis,railway line,Q728937
Q924028,Tagansko-Krasnopresnenskaya Line,railway line,Q728937
Q693036,Yamanote Line,railway line,Q728937
Q463735,Nilgiri Mountain Railway,railway line,Q728937
Q50756,Paris Métro Line 11,railway line,Q728937
Q50751,Paris Métro Line 8,railway line,Q728937
Q50754,Paris Métro Line 10,railway line,Q728937
Q50746,Paris Métro Line 6,railway line,Q728937
Q843869,High Line,railway line,Q728937
Q806501,BTS Skytrain,railway line,Q728937
Q678759,Butovskaya Line,railway line,Q728937
Q50753,Paris Métro Line 9,railway line,Q728937
Q1753108,First Transcontinental Railroad,railway line,Q728937
Q769591,Shanghai maglev train,railway line,Q728937
Q617574,Bolshaya Koltsevaya Line,railway line,Q728937
Q387264,Tünel,railway line,Q728937
Q50749,Paris Métro Line 7bis,railway line,Q728937
Q1853218,Moscow Monorail,railway line,Q728937
Q1073046,Ginza Line,railway line,Q728937
Q1510414,Coast Tram,railway line,Q728937
Q99697,U2,railway line,Q728937
Q1147028,Marunouchi Line,railway line,Q728937
Q1201703,Cape to Cairo Railway,railway line,Q728937
Q519861,Line 1,railway line,Q728937
Q99702,U3,railway line,Q728937
Q99691,U1,railway line,Q728937
Q1196223,Hibiya Line,railway line,Q728937
Q4226438,Nekrasovskaya Line,railway line,Q728937
Q842463,Trans-Asian Railway,railway line,Q728937
Q139738,Lima and Callao Subway,railway line,Q728937
Q99708,U4,railway line,Q728937
Q1147054,Tōzai Line,railway line,Q728937
Q648932,Talyllyn Railway,railway line,Q728937
Q99711,U5,railway line,Q728937
Q1190152,Tōkaidō Main Line,railway line,Q728937
Q1078111,Budapest Metro Line 1,railway line,Q728937
Q1348946,Barcelona Metro line 1,railway line,Q728937
Q585986,Kalininsko-Solntsevskaya line,railway line,Q728937
Q649965,Panama Canal Railway,railway line,Q728937
Q99744,U9,railway line,Q728937
Q99725,U7,railway line,Q728937
Q99720,U6,railway line,Q728937
Q17501,Seoul Subway Line 2,railway line,Q728937
Q924052,Kakhovskaya Line,railway line,Q728937
Q759229,North–South MRT line,railway line,Q728937
Q99729,U8,railway line,Q728937
Q19889,West Coast Main Line,railway line,Q728937
Q1075089,Chiyoda Line,railway line,Q728937
Q1895425,East–West MRT line,railway line,Q728937
Q1459627,Line 2,railway line,Q728937
Q1348921,Barcelona Metro line 2,railway line,Q728937
Q1579583,Line 5,railway line,Q728937
Q762347,Karasuma Line,railway line,Q728937
Q720653,Asakusa Line,railway line,Q728937
Q948458,Salekhard–Igarka Railway,railway line,Q728937
Q126163,4,railway line,Q728937
Q20280,Seoul Metropolitan Subway Line 1,railway line,Q728937
Q1419762,Barcelona Metro line 11,railway line,Q728937
Q1348939,Barcelona Metro line 5,railway line,Q728937
Q1332908,Fukutoshin Line,railway line,Q728937
Q1509576,Line 3,railway line,Q728937
Q787305,Yūrakuchō Line,railway line,Q728937
Q525056,Berlin Ringbahn,railway line,Q728937
Q385168,Barcelona Metro line 3,railway line,Q728937
Q391211,Šargan Eight,railway line,Q728937
Q1292805,Line A,railway line,Q728937
Q1135434,Northern Pacific Railway,railway line,Q728937
Q2666571,Line B,railway line,Q728937
Q989358,Tung Chung line,railway line,Q728937
Q961384,Barcelona Metro line 4,railway line,Q728937
Q1826675,Madrid Metro Line 1,railway line,Q728937
Q1826673,Madrid Metro Line 3,railway line,Q728937
Q1376030,Hanzōmon Line,railway line,Q728937
Q1460442,Line B,railway line,Q728937
Q1326478,Line 1,railway line,Q728937
Q2334153,Sviatoshynsko-Brovarska Line,railway line,Q728937
Q1725116,North East MRT line,railway line,Q728937
Q572544,Line A,railway line,Q728937
Q520772,Namboku Line,railway line,Q728937
Q514227,Madrid Metro Line 6,railway line,Q728937
Q126203,7,railway line,Q728937
Q168571,Line C,railway line,Q728937
Q99715,U55,railway line,Q728937
Q20393,Seoul Metropolitan Subway Line 3,railway line,Q728937
Q1197028,Keihin-Tōhoku Line,railway line,Q728937
Q1078110,Chūō Main Line,railway line,Q728937
Q989316,Island line,railway line,Q728937
Q989330,Disneyland Resort line,railway line,Q728937
Q1826683,Madrid Metro Line 7,railway line,Q728937
Q1826677,Madrid Metro Line 4,railway line,Q728937
Q1826679,Madrid Metro Line 2,railway line,Q728937
Q1784097,Line 4,railway line,Q728937
Q2420584,Syretsko-Pecherska Line,railway line,Q728937
Q2154003,Circle MRT line,railway line,Q728937
Q2193330,Red Line,railway line,Q728937
Q2204296,Obolonsko–Teremkivska Line,railway line,Q728937
Q1577033,Barcelona Metro line 9,railway line,Q728937
Q489253,Seoul Metropolitan Subway Line 4,railway line,Q728937
Q701311,U-Bahn Serfaus,railway line,Q728937
Q126177,5,railway line,Q728937
Q126151,3,railway line,Q728937
Q126142,2,railway line,Q728937
Q666898,Furka Cogwheel Steam Railway,railway line,Q728937
Q678390,Barcelona Metro line 7,railway line,Q728937
Q1144130,Utsunomiya Line,railway line,Q728937
Q1194568,Tsuen Wan line,railway line,Q728937
Q1071156,Budapest Metro Line 2,railway line,Q728937
Q2043730,PATCO Speedline,railway line,Q728937
Q989339,East Rail line,railway line,Q728937
Q1374506,Mita Line,railway line,Q728937
Q3333799,New Athos Cave Railway,railway line,Q728937
Q1597847,Yellow Line,railway line,Q728937
Q1577019,Barcelona Metro line 6,railway line,Q728937
Q1568028,Madrid Metro Line 5,railway line,Q728937
Q1558864,Madrid Metro Line 12,railway line,Q728937
Q763319,Barcelona Metro line 8,railway line,Q728937
Q736412,Kwun Tong line,railway line,Q728937
Q200704,Den Haag Centraal railway station,railway line,Q728937
Q875251,Mariazell Railway,railway line,Q728937
Q672271,East Coast Main Line,railway line,Q728937
Q678233,Northeast Corridor,railway line,Q728937
