qid,label,class_label,class_qid
Q193002,Gotthard Base Tunnel,railway tunnel,Q1311958
Q207699,Waterloo & City line,railway tunnel,Q1311958
Q660310,Lötschberg Base Tunnel,railway tunnel,Q1311958
Q666767,Ceneri Base Tunnel,railway tunnel,Q1311958
Q681016,Guadarrama high-speed rail tunnel,railway tunnel,Q1311958
Q954467,Pajares Base Tunnel,railway tunnel,Q1311958
Q4641726,60th Street Tunnel,railway tunnel,Q1311958
Q821230,Shiziyang Tunnel,railway tunnel,Q1311958
Q174022,Risa tunnels,railway tunnel,Q1311958
Q10989,Mont d'Ambin base tunnel,railway tunnel,Q1311958
Q9090910,Montague Street Tunnel,railway tunnel,Q1311958
Q2634761,Joralemon Street Tunnel,railway tunnel,Q1311958
Q2623189,Daishimizu Tunnel,railway tunnel,Q1311958
Q1360037,Steinway Tunnel,railway tunnel,Q1311958
Q950950,Túnel de Provença,railway tunnel,Q1311958
Q5153500,Common Tunnel,railway tunnel,Q1311958
Q12221103,53rd Street Tunnel,railway tunnel,Q1311958
Q17226481,Nakayama Tunnel,railway tunnel,Q1311958
Q1688982,Transbay Tube,railway tunnel,Q1311958
Q1650340,Katzenberg Tunnel,railway tunnel,Q1311958
Q1630789,Soumagne Tunnel,railway tunnel,Q1311958
Q1437400,Saverne Tunnel,railway tunnel,Q1311958
Q55538762,Shiozawa Tunnel,railway tunnel,Q1311958
Q27949466,Stammstrecke 2,railway tunnel,Q1311958
Q7641367,Sunset Tunnel,railway tunnel,Q1311958
Q7309029,Regional Connector,railway tunnel,Q1311958
Q6770767,Market Street Subway,railway tunnel,Q1311958
Q5061882,Central Subway,railway tunnel,Q1311958
Q12061013,Kingsway tramway subway,railway tunnel,Q1311958
Q2451368,Tremont Street Subway,railway tunnel,Q1311958
Q2360986,Piet Hein Tunnel,railway tunnel,Q1311958
Q1909333,North–South Axis,railway tunnel,Q1311958
Q1826147,Lindentunnel,railway tunnel,Q1311958
Q827686,Stammstrecke 1 (U-Bahn München),railway tunnel,Q1311958
Q5329392,East Side Trolley Tunnel,railway tunnel,Q1311958
Q5176002,Cougal Spiral,railway tunnel,Q1311958
Q4892034,Berkeley Hills Tunnel,railway tunnel,Q1311958
Q23802325,Pwll Du Tunnel,railway tunnel,Q1311958
Q11507760,Nihonzaka Tunnel,railway tunnel,Q1311958
Q107564527,Northolt tunnel,railway tunnel,Q1311958
Q64868064,Sandilands Tunnel,railway tunnel,Q1311958
Q10257,Channel Tunnel,railway tunnel,Q1311958
Q99250,Seikan Tunnel,railway tunnel,Q1311958
Q688618,Gotthard Tunnel,railway tunnel,Q1311958
Q18541,Fehmarn Belt fixed link,railway tunnel,Q1311958
Q599515,Simplon Tunnel,railway tunnel,Q1311958
Q1035202,Helsinki-to-Tallinn Tunnel,railway tunnel,Q1311958
Q697347,Brenner Base Tunnel,railway tunnel,Q1311958
Q537800,Fréjus Rail Tunnel,railway tunnel,Q1311958
Q1190691,Thames Tunnel,railway tunnel,Q1311958
Q1520900,Severomuysky Tunnel,railway tunnel,Q1311958
Q674802,Arlberg Railway Tunnel,railway tunnel,Q1311958
Q803216,Sakhalin Tunnel,railway tunnel,Q1311958
Q483151,Japan–Korea Undersea Tunnel,railway tunnel,Q1311958
Q665158,Furka Base Tunnel,railway tunnel,Q1311958
Q691069,Albula Tunnel,railway tunnel,Q1311958
Q689092,Karawanks Tunnel,railway tunnel,Q1311958
Q1031867,City Tunnel,railway tunnel,Q1311958
Q564188,Berlin Nord-Süd Tunnel,railway tunnel,Q1311958
Q668000,Vereina Tunnel,railway tunnel,Q1311958
Q672167,Lötschberg Tunnel,railway tunnel,Q1311958
Q867717,Stockholm City Line,railway tunnel,Q1311958
Q1365717,Semmering Base Tunnel,railway tunnel,Q1311958
Q4217605,Kaunas Railway Tunnel,railway tunnel,Q1311958
Q1807481,Oslo Tunnel,railway tunnel,Q1311958
Q1093804,Leipzig City Tunnel,railway tunnel,Q1311958
Q203596,Zimmerberg Base Tunnel,railway tunnel,Q1311958
Q284705,Hakkōda Tunnel,railway tunnel,Q1311958
Q3632361,Khojak Tunnel,railway tunnel,Q1311958
Q1280569,Severn Tunnel,railway tunnel,Q1311958
Q4085614,Beskidzka tunnel,railway tunnel,Q1311958
Q266243,Furka Summit Tunnel,railway tunnel,Q1311958
Q444771,Koralm Tunnel,railway tunnel,Q1311958
Q493063,Hallandsås Tunnel,railway tunnel,Q1311958
Q697537,Tauern Railway Tunnel,railway tunnel,Q1311958
Q48768542,Marmaray Tunnel,railway tunnel,Q1311958
Q7197614,Pir Panjal Railway Tunnel,railway tunnel,Q1311958
Q1888632,Sakhalin–Hokkaidō Tunnel,railway tunnel,Q1311958
Q3318219,Moffat Tunnel,railway tunnel,Q1311958
Q383972,Iwate-Ichinohe Tunnel,railway tunnel,Q1311958
Q546869,Frankfurt City Tunnel,railway tunnel,Q1311958
Q599128,Savio Rail Tunnel,railway tunnel,Q1311958
Q900727,Fenghuoshan Tunnel,railway tunnel,Q1311958
Q20445483,Yulhyeon Tunnel,railway tunnel,Q1311958
Q1046880,Cascade Tunnel,railway tunnel,Q1311958
Q618197,Apennine Base Tunnel,railway tunnel,Q1311958
Q848315,Box Tunnel,railway tunnel,Q1311958
Q985359,Eastern Harbour Crossing,railway tunnel,Q1311958
Q1125518,Kennedytunnel,railway tunnel,Q1311958
Q1466913,Hoosac Tunnel,railway tunnel,Q1311958
Q19610870,Great Istanbul Tunnel,railway tunnel,Q1311958
Q2834432,Meridiana Tunnel,railway tunnel,Q1311958
Q2728238,Anton Anderson Memorial Tunnel,railway tunnel,Q1311958
Q318228,Landrücken Tunnel,railway tunnel,Q1311958
Q9090887,Aragó Tunnel,railway tunnel,Q1311958
Q738764,Lieråsen Tunnel,railway tunnel,Q1311958
Q917795,Perthus Tunnel,railway tunnel,Q1311958
Q963923,Lainz Tunnel,railway tunnel,Q1311958
Q7056533,North River Tunnels,railway tunnel,Q1311958
Q1345158,Schuman-Josaphat tunnel,railway tunnel,Q1311958
Q10718173,Västlänken,railway tunnel,Q1311958
Q4641994,63rd Street Tunnel,railway tunnel,Q1311958
Q2464248,Tunel do Rossio,railway tunnel,Q1311958
Q8016189,Shin-Kanmon Tunnel,railway tunnel,Q1311958
Q1769246,Romerike Tunnel,railway tunnel,Q1311958
Q1769930,Ulriken tunnel,railway tunnel,Q1311958
Q341621,Harmanec Tunnel,railway tunnel,Q1311958
Q384584,Spiral Tunnels,railway tunnel,Q1311958
Q572012,Wushaoling Tunnel,railway tunnel,Q1311958
Q685159,Grenchenberg Tunnel,railway tunnel,Q1311958
Q873414,Wienerwald Tunnel,railway tunnel,Q1311958
Q5329282,East River Tunnels,railway tunnel,Q1311958
Q6402982,Khun Tan Tunnel,railway tunnel,Q1311958
Q7334532,Remutaka Tunnel,railway tunnel,Q1311958
Q2441091,Barendrecht railway station,railway tunnel,Q1311958
Q15972411,Kanmon Railway Tunnel,railway tunnel,Q1311958
Q21683332,Ejpovice Tunnel,railway tunnel,Q1311958
Q22996928,Qamchiq Tunnel,railway tunnel,Q1311958
Q4787948,Metro Tunnel,railway tunnel,Q1311958
Q1683336,Albis Tunnel,railway tunnel,Q1311958
Q2585297,Wipkingen Tunnel,railway tunnel,Q1311958
Q7675971,Taihang Tunnel,railway tunnel,Q1311958
Q7683603,Tanna Tunnel,railway tunnel,Q1311958
Q7858257,Twin Peaks Tunnel,railway tunnel,Q1311958
Q203602,Zimmerberg Tunnel,railway tunnel,Q1311958
Q1795289,Käferberg Tunnel,railway tunnel,Q1311958
Q3437045,Gevingåsen tunnel,railway tunnel,Q1311958
Q871099,Verbindungsbahn,railway tunnel,Q1311958
Q878176,Münden Tunnel,railway tunnel,Q1311958
Q898054,Brandleite Tunnel,railway tunnel,Q1311958
Q949840,Tunnel Maurice-Lemaire,railway tunnel,Q1311958
Q3714809,Downtown Seattle Transit Tunnel,railway tunnel,Q1311958
Q5377451,Engaña Tunnel,railway tunnel,Q1311958
Q11404391,Hokuriku,railway tunnel,Q1311958
Q11543709,Tarusawa Tunnel,railway tunnel,Q1311958
Q964435,Mount Royal Tunnel,railway tunnel,Q1311958
Q11839406,Whitrope Tunnel,railway tunnel,Q1311958
Q5500657,Freedom Tunnel,railway tunnel,Q1311958
Q5713889,Drogden Tunnel,railway tunnel,Q1311958
Q7438942,Screaming Tunnel,railway tunnel,Q1311958
Q1243375,Tyholt tunnel,railway tunnel,Q1311958
Q38398,La voie des Fêtes et la voie navette,railway tunnel,Q1311958
Q15232543,Kaimai Tunnel,railway tunnel,Q1311958
Q2037030,Otira Tunnel,railway tunnel,Q1311958
Q15853219,New Guanjiao Tunnel,railway tunnel,Q1311958
Q2337566,Downtown Hudson Tubes,railway tunnel,Q1311958
Q20743578,Ligerz Tunnel,railway tunnel,Q1311958
Q4460569,Amur River Tunnel,railway tunnel,Q1311958
Q1588606,Townline Tunnel,railway tunnel,Q1311958
Q1620405,Hirschengraben Tunnel,railway tunnel,Q1311958
Q1620603,Weinberg Tunnel,railway tunnel,Q1311958
Q2460046,Rastatt Tunnel,railway tunnel,Q1311958
Q2556537,Weissenstein Tunnel,railway tunnel,Q1311958
Q4875966,Beacon Hill Tunnel,railway tunnel,Q1311958
Q4986729,Bujanov Tunnel,railway tunnel,Q1311958
Q4992697,HH Tunnel,railway tunnel,Q1311958
Q5116620,Church Hill Tunnel,railway tunnel,Q1311958
Q7675778,Tai Lam Tunnel,railway tunnel,Q1311958
Q7899436,Uptown Hudson Tubes,railway tunnel,Q1311958
