qid,label,class_label,class_qid
Q38903,Universal Music Group,record label,Q18127
Q56760250,Sony Music,record label,Q18127
Q1228431,Dischord Records,record label,Q18127
Q295794,Anti-,record label,Q18127
Q1207856,Harmonia Mundi,record label,Q18127
Q126039,Beggars Banquet Records,record label,Q18127
Q2291171,DCD2 Records,record label,Q18127
Q815776,Bella Union,record label,Q18127
Q1750746,Stiff Records,record label,Q18127
Q366630,Pink (Serbia),record label,Q18127
Q2740367,Because Music,record label,Q18127
Q3080929,K Records,record label,Q18127
Q5245342,Dead Oceans,record label,Q18127
Q1254522,Drag City,record label,Q18127
Q56160091,Cactus Jack Records,record label,Q18127
Q1115992,Commodore Records,record label,Q18127
Q1023161,CD Baby,record label,Q18127
Q16860506,Gramola,record label,Q18127
Q2142601,Track Record,record label,Q18127
Q1503081,Shanachie Records,record label,Q18127
Q653349,Arhoolie Records,record label,Q18127
Q3541062,Tru Thoughts,record label,Q18127
Q3104967,Ghostly International,record label,Q18127
Q1035129,Captain Oi! Records,record label,Q18127
Q3933535,Restless Records,record label,Q18127
Q2714369,Red Girl Records,record label,Q18127
Q1882866,Mack Avenue Records,record label,Q18127
Q5037096,Captured Tracks,record label,Q18127
Q12339705,Transatlantic Records,record label,Q18127
Q45088877,YEAR0001,record label,Q18127
Q2079912,Dine Alone Records,record label,Q18127
Q1718083,K-tel,record label,Q18127
Q3459974,SPY Records,record label,Q18127
Q3023582,Derby Records,record label,Q18127
Q2883714,Bar/None Records,record label,Q18127
Q2796975,Plainisphare,record label,Q18127
Q14474862,TEN Music Group,record label,Q18127
Q124482953,Kawaii Lab.,record label,Q18127
Q2476036,Compass Records,record label,Q18127
Q1953930,Crammed Discs,record label,Q18127
Q8052513,Yep Roc Records,record label,Q18127
Q7192476,Pierre Verany,record label,Q18127
Q5754809,HighTone Records,record label,Q18127
Q1270552,Mons Records,record label,Q18127
Q105438445,Artist Partner Group,record label,Q18127
Q3570099,Wrasse Records,record label,Q18127
Q3016370,Darla Records,record label,Q18127
Q16939004,Quadrant Records,record label,Q18127
Q15835364,Mital-U,record label,Q18127
Q2303105,Venus Records,record label,Q18127
Q7909338,Valcour Records,record label,Q18127
Q7248324,Profound Lore Records,record label,Q18127
Q7130059,Panart Records,record label,Q18127
Q5494088,Dualtone Records,record label,Q18127
Q5324176,ESL Music,record label,Q18127
Q5254648,Delta Groove Productions,record label,Q18127
Q5176725,Count Your Lucky Stars Records,record label,Q18127
Q5069785,Chamillitary Entertainment,record label,Q18127
Q1707705,Sonar Kollektiv,record label,Q18127
Q1280145,Ebullition Records,record label,Q18127
Q762306,Stockfisch Records,record label,Q18127
Q166413,Black Hen Music,record label,Q18127
Q1004358,Bullet Records,record label,Q18127
Q4451213,Vene Music,record label,Q18127
Q3127073,Hanson Records,record label,Q18127
Q3126163,Hallmark Records,record label,Q18127
Q3057854,Escape Artist Records,record label,Q18127
Q17143551,Secretly Group,record label,Q18127
Q15842790,RockCandy Music,record label,Q18127
Q10301418,Image Entertainment,record label,Q18127
Q28018403,SNOtone,record label,Q18127
Q23055035,Red Eye Records,record label,Q18127
Q22101807,Smoke On Records,record label,Q18127
Q22031824,Electro-Fi Records,record label,Q18127
Q20850663,Setola di Maiale,record label,Q18127
Q20822966,Kalawa Jazmee Records,record label,Q18127
Q20657354,Mixpak Records,record label,Q18127
Q18168093,Subliminal Groove Records,record label,Q18127
Q124454993,RLJ Entertainment,record label,Q18127
Q2533371,Voodoo Rhythm,record label,Q18127
Q7765838,The Spicy Effect,record label,Q18127
Q7691534,Team Love Records,record label,Q18127
Q7451344,Sentinel Records,record label,Q18127
Q6941798,Music for Pleasure,record label,Q18127
Q6865304,Minimal Wave Records,record label,Q18127
Q5189456,Crown Records,record label,Q18127
Q4914899,Biohazzard Records,record label,Q18127
Q1060070,Challenge Records,record label,Q18127
Q110078187,Anti Fade Records,record label,Q18127
Q56872369,Music from Memory,record label,Q18127
Q55616429,La Vida Es Un Mus,record label,Q18127
Q65090550,GroundUPmusic,record label,Q18127
Q65072652,Double Double Whammy,record label,Q18127
Q63038103,Milk! Records,record label,Q18127
