qid,label,class_label,class_qid
Q8646,Hong Kong,region,Q3455524
Q3769,French Guiana,region,Q3455524
Q3624,Addis Ababa,region,Q3455524
Q16635,Guam,region,Q3455524
Q17054,Martinique,region,Q3455524
Q14112,Corsica,region,Q3455524
Q17070,Réunion,region,Q3455524
Q17012,Guadeloupe,region,Q3455524
Q1273,Tuscany,region,Q3455524
Q17063,Mayotte,region,Q3455524
Q1210,Lombardy,region,Q3455524
Q1282,Lazio,region,Q3455524
Q1458,Calabria,region,Q3455524
Q1216,Piedmont,region,Q3455524
Q1447,Apulia,region,Q3455524
Q1243,Veneto,region,Q3455524
Q1263,Emilia-Romagna,region,Q3455524
Q13917,Île-de-France,region,Q3455524
Q1284,Abruzzo,region,Q3455524
Q1438,Campania,region,Q3455524
Q1256,Liguria,region,Q3455524
Q7779,Commonwealth of Independent States,region,Q3455524
Q1280,Umbria,region,Q3455524
Q1452,Basilicata,region,Q3455524
Q1279,Marche,region,Q3455524
Q1443,Molise,region,Q3455524
Q16994,Pays de la Loire,region,Q3455524
Q15104,Provence-Alpes-Côte d'Azur,region,Q3455524
Q13947,Centre-Val de Loire,region,Q3455524
Q1179,Aquitaine,region,Q3455524
Q17005,Languedoc-Roussillon,region,Q3455524
Q18338206,Auvergne-Rhône-Alpes,region,Q3455524
Q1173,Burgundy,region,Q3455524
Q16987,Nord-Pas-de-Calais,region,Q3455524
Q12130,Brittany,region,Q3455524
Q16394,Franche-Comté,region,Q3455524
Q18678082,Nouvelle-Aquitaine,region,Q3455524
Q18677983,Grand Est,region,Q3455524
Q16961,Upper Normandy,region,Q3455524
Q16954,Lower Normandy,region,Q3455524
Q1190,Limousin,region,Q3455524
Q14103,Champagne-Ardenne,region,Q3455524
Q17009,Poitou-Charentes,region,Q3455524
Q18677767,Hauts-de-France,region,Q3455524
Q463,Rhône-Alpes,region,Q3455524
Q18678265,Occitania,region,Q3455524
Q16393,Midi-Pyrénées,region,Q3455524
Q18578267,Bourgogne-Franche-Comté,region,Q3455524
Q18677875,Normandy,region,Q3455524
Q193486,Dire Dawa,region,Q3455524
Q24082791,Auvergne,region,Q3455524
Q141810,Laval,region,Q3455524
Q13580,Metro Manila,region,Q3455524
Q200127,Tigray Region,region,Q3455524
Q202107,Oromia Region,region,Q3455524
Q193494,Afar Region,region,Q3455524
Q202800,Somali Region,region,Q3455524
Q203009,Amhara Region,region,Q3455524
Q207638,Gambela Region,region,Q3455524
Q203193,"Southern Nations, Nationalities, and Peoples' Region",region,Q3455524
Q207635,Benishangul-Gumuz Region,region,Q3455524
