qid,label,class_label,class_qid
Q323481,Programme for International Student Assessment,research project,Q1298668
Q815614,Project MKUltra,research project,Q1298668
Q16958215,iNaturalist,research project,Q1298668
Q1420011,Tuskegee Syphilis Experiment,research project,Q1298668
Q5322614,eBird,research project,Q1298668
Q585175,Great Internet Mersenne Prime Search,research project,Q1298668
Q748216,Eurobarometer,research project,Q1298668
Q8043516,Xeno-Canto,research project,Q1298668
Q1316242,World Values Survey,research project,Q1298668
Q18645653,Mars Oxygen In-Situ Resource Utilization Experiment,research project,Q1298668
Q905745,Galaxy Zoo,research project,Q1298668
Q14965,Apollo Lunar Surface Experiments Package,research project,Q1298668
Q585511,Genographic Project,research project,Q1298668
Q581771,Foldit,research project,Q1298668
Q1578956,Guatemala syphilis experiment,research project,Q1298668
Q4986057,BugGuide,research project,Q1298668
Q2656157,Zooniverse,research project,Q1298668
Q640043,EyeWire,research project,Q1298668
Q3517247,Tela Botanica,research project,Q1298668
Q1359119,Planet Hunters,research project,Q1298668
Q2920162,Observation.org,research project,Q1298668
Q2079101,Stardust@home,research project,Q1298668
Q3741966,building science,research project,Q1298668
Q1376959,European Social Survey,research project,Q1298668
Q4690236,Afrobarometer,research project,Q1298668
Q1050138,Quarterly Tankan survey of business sentiment,research project,Q1298668
Q8036477,World Water Monitoring Day,research project,Q1298668
Q15992000,Comparative Study of Electoral Systems,research project,Q1298668
Q6467417,Labour Force Survey,research project,Q1298668
Q695286,"Cluster of Excellence ""Asia and Europe in a Global Context""",research project,Q1298668
Q586313,Tauros Programme,research project,Q1298668
Q3354769,Operation Midnight Climax,research project,Q1298668
Q7249017,Project CHATTER,research project,Q1298668
Q463769,American Community Survey,research project,Q1298668
Q836563,Christmas Bird Count,research project,Q1298668
Q5513637,GLOBE at Night,research project,Q1298668
Q65147897,Pl@ntNet project,research project,Q1298668
Q1666895,International Social Survey Programme,research project,Q1298668
Q29097126,Backyard Worlds,research project,Q1298668
Q18121178,Disk Detective,research project,Q1298668
Q2368722,"Survey of Health, Ageing and Retirement in Europe",research project,Q1298668
Q5384198,EteRNA,research project,Q1298668
Q25488439,Warsaw Ghetto Hunger Study,research project,Q1298668
Q1591067,Hausdorff Center for Mathematics,research project,Q1298668
Q11781268,The Milky Way Project,research project,Q1298668
Q7248970,Project 4.1,research project,Q1298668
Q506335,German General Social Survey,research project,Q1298668
Q210748,Clickworkers,research project,Q1298668
Q56293987,Athribis Project,research project,Q1298668
Q55608407,Cooperative Observer Program,research project,Q1298668
Q30325107,Aurorasaurus,research project,Q1298668
Q1053594,Center for Integrated Protein Science Munich,research project,Q1298668
Q24577210,Radio Galaxy Zoo,research project,Q1298668
Q24038990,Q24038990,research project,Q1298668
Q22908747,Great Backyard Bird Count,research project,Q1298668
Q22906762,Billion Oyster Project,research project,Q1298668
Q21427321,Fireball Recovery and InterPlanetary Observation Network,research project,Q1298668
Q20311580,Arab Barometer,research project,Q1298668
Q2043072,The Future Ocean,research project,Q1298668
Q1946763,Operation Moonwatch,research project,Q1298668
Q4118918,General Social Survey,research project,Q1298668
Q15809078,CliSAP,research project,Q1298668
Q7388434,SABAP2,research project,Q1298668
Q7130814,Panel Study of Income Dynamics,research project,Q1298668
Q6496630,Latinobarómetro,research project,Q1298668
Q5383172,Phylo,research project,Q1298668
Q108487258,Unifying Systems in Catalysis,research project,Q1298668
Q108083558,PRIME-1,research project,Q1298668
Q106511909,Traverse Gravimeter Experiment,research project,Q1298668
Q130643630,Copenhagen General Population Study,research project,Q1298668
Q56318583,eButterfly,research project,Q1298668
Q35284714,Werner Reichardt Centre for Integrative Neuroscience,research project,Q1298668
Q30324217,Spring Grove Experiment,research project,Q1298668
Q30315146,Dog Aging Project,research project,Q1298668
Q28169992,All India Survey on Higher Education,research project,Q1298668
Q28134888,Great Cocky Count,research project,Q1298668
Q28135096,Decodoku,research project,Q1298668
Q28134917,Carbon Mineral Challenge,research project,Q1298668
Q1385585,Integrative Production Technology for High-Wage Countries,research project,Q1298668
Q1241201,Cluster of Excellence Frankfurt Macromolecular Complexes,research project,Q1298668
Q1123669,QUEST,research project,Q1298668
Q23807953,Manta Matcher,research project,Q1298668
Q19595955,Asteroid Zoo,research project,Q1298668
Q18388429,Aussie Ark,research project,Q1298668
Q17370622,The Asian Barometer Survey,research project,Q1298668
Q17087863,UBiome,research project,Q1298668
Q124753616,LifE-Study,research project,Q1298668
Q1977857,NEPTUNE,research project,Q1298668
Q1964702,Nanosystems Initiative Munich,research project,Q1298668
Q5185222,Crime Survey for England and Wales,research project,Q1298668
Q5154684,"Community Collaborative Rain, Hail and Snow Network",research project,Q1298668
Q4744030,American Housing Survey,research project,Q1298668
Q9063434,Latin American Public Opinion Project,research project,Q1298668
Q8068162,Zea Harbour Project,research project,Q1298668
Q7569577,Southern African Bird Atlas Project,research project,Q1298668
Q7389886,SETILive,research project,Q1298668
Q7095938,Open Air Laboratories Network,research project,Q1298668
Q6905283,Monterey Accelerated Research System,research project,Q1298668
Q5915774,"Household, Income and Labour Dynamics in Australia Survey",research project,Q1298668
Q5690755,Health and Retirement Study,research project,Q1298668
Q5378318,English Longitudinal Study of Ageing,research project,Q1298668
Q98380337,GHGA,research project,Q1298668
Q108576951,Active Asteroids,research project,Q1298668
Q108430320,Community Wishlist Survey,research project,Q1298668
Q107284626,Strong Heart Study,research project,Q1298668
Q121076430,Mosquito Alert,research project,Q1298668
Q136995596,Gallup World Poll,research project,Q1298668
Q136723088,Project Third Chance,research project,Q1298668
Q134302763,English and Romanian Adoptees (ERA) Study,research project,Q1298668
Q55647628,Aussie Bird Count,research project,Q1298668
Q49001535,Ahi Pepe MothNet,research project,Q1298668
Q39046479,Atlas of Hillforts of Britain and Ireland,research project,Q1298668
Q30314617,Baltimore Lead Paint Study,research project,Q1298668
Q28130247,iSpot,research project,Q1298668
Q23918791,BirdTrack,research project,Q1298668
Q22080605,Tracking the Wild,research project,Q1298668
Q22080425,HerpMapper,research project,Q1298668
Q20858341,Smithsonian Transcription Center,research project,Q1298668
Q17512985,Butterfly count,research project,Q1298668
Q17088505,Victoria Experimental Network Under the Sea,research project,Q1298668
Q17071893,Caucasus Research Resource Centers,research project,Q1298668
Q17050804,Common Bird Monitoring of India,research project,Q1298668
Q5133629,Climatological observers link,research project,Q1298668
Q5054301,Caucasus Research Resource Centers-Armenia,research project,Q1298668
Q4971037,British Social Attitudes Survey,research project,Q1298668
Q4960290,Breeding programs at Zoo Basel,research project,Q1298668
Q4816853,Atlas of Australian Birds,research project,Q1298668
Q16949116,Lost Ladybug Project,research project,Q1298668
Q16254894,Quantum Moves,research project,Q1298668
Q7851145,Tucson Bird Count,research project,Q1298668
Q7731306,The EBCC Atlas of European Breeding Birds,research project,Q1298668
Q7389939,SFB 874,research project,Q1298668
Q7241687,PressureNET,research project,Q1298668
Q7085394,Old Weather,research project,Q1298668
Q7053724,North American Bird Phenology Program,research project,Q1298668
Q6972001,National Crime Victimization Survey,research project,Q1298668
Q6049978,International Crime Victims Survey,research project,Q1298668
Q155311,Voyager program,research project,Q1298668
Q191788,ITER,research project,Q1298668
Q192446,Human Genome Project,research project,Q1298668
Q49958,opinion poll,research project,Q1298668
Q213563,Spacewatch,research project,Q1298668
Q735603,Lincoln Near-Earth Asteroid Research,research project,Q1298668
Q741255,Hubble Deep Field,research project,Q1298668
Q523716,2010 United States Census,research project,Q1298668
Q429670,Hubble Ultra-Deep Field,research project,Q1298668
Q825745,exit poll,research project,Q1298668
Q515838,Catalina Sky Survey,research project,Q1298668
Q166998,2000 United States Census,research project,Q1298668
Q1454942,2MASS,research project,Q1298668
Q840332,Sloan Digital Sky Survey,research project,Q1298668
Q845735,Durchmusterung,research project,Q1298668
Q23766566,2020 United States Census,research project,Q1298668
Q1140499,Near-Earth Asteroid Tracking,research project,Q1298668
Q867668,multiple choice questionnaire,research project,Q1298668
Q9724,Pentagon Papers,research project,Q1298668
Q1075600,Pan-STARRS,research project,Q1298668
Q622434,Alpha Magnetic Spectrometer,research project,Q1298668
Q1654374,Tiangong program,research project,Q1298668
Q1702534,Joint European Torus,research project,Q1298668
Q1165635,Lowell Observatory Near-Earth-Object Search,research project,Q1298668
Q787182,2010 Russian census,research project,Q1298668
Q607552,Project Daedalus,research project,Q1298668
Q572830,SuperWASP,research project,Q1298668
Q279148,Pioneer Venus project,research project,Q1298668
Q2004345,1790 United States Census,research project,Q1298668
Q1861882,2011 census of India,research project,Q1298668
Q814731,Beijing Schmidt CCD Asteroid Program,research project,Q1298668
Q1182368,Deep Ecliptic Survey,research project,Q1298668
Q862577,1990 United States Census,research project,Q1298668
Q17002475,Asteroid Terrestrial-impact Last Alert System,research project,Q1298668
Q286590,1940 United States Census,research project,Q1298668
Q1730452,1970 United States Census,research project,Q1298668
Q3042056,1920 United States Census,research project,Q1298668
Q1137385,Tube Alloys,research project,Q1298668
Q2121694,1960 United States Census,research project,Q1298668
Q2121710,1980 United States Census,research project,Q1298668
Q3085671,1930 United States Census,research project,Q1298668
Q2348116,2002 Russian census,research project,Q1298668
Q1311513,1900 United States Census,research project,Q1298668
Q585978,1950 United States Census,research project,Q1298668
Q23808109,Breakthrough Starshot,research project,Q1298668
Q1032158,Optical Gravitational Lensing Experiment,research project,Q1298668
Q2732933,1840 United States Census,research project,Q1298668
Q2975555,1870 United States Census,research project,Q1298668
Q2977254,1880 United States Census,research project,Q1298668
Q3042032,1910 United States Census,research project,Q1298668
Q2095711,1890 United States Census,research project,Q1298668
Q492918,Siding Spring Survey,research project,Q1298668
Q2421024,Project Ozma,research project,Q1298668
Q2621042,1989 Soviet census,research project,Q1298668
Q1548493,Great Trigonometric Survey,research project,Q1298668
Q62917,Hubble eXtreme Deep Field,research project,Q1298668
Q1045815,Carte du Ciel,research project,Q1298668
Q965136,Shuttle Radar Topography Mission,research project,Q1298668
Q2975543,1850 United States Census,research project,Q1298668
Q1759008,OCA-DLR Asteroid Survey,research project,Q1298668
Q2975563,1860 United States Census,research project,Q1298668
Q1785454,Uppsala–ESO Survey of Asteroids and Comets,research project,Q1298668
Q1217517,census of Quirinius,research project,Q1298668
Q2163579,Russian Empire census,research project,Q1298668
Q2163579,Russian Empire census,research project,Q1298668
Q2526899,1800 United States Census,research project,Q1298668
Q2659785,1830 United States Census,research project,Q1298668
Q1117262,Hubble Deep Field South,research project,Q1298668
Q1976830,2001 Ukraine Census,research project,Q1298668
Q1277644,Earth Observing System,research project,Q1298668
Q2659500,1820 United States Census,research project,Q1298668
Q777914,Campo Imperatore Near-Earth Object Survey,research project,Q1298668
Q2661559,1810 United States Census,research project,Q1298668
Q3108976,Global Volcanism Program,research project,Q1298668
Q1281398,Gustav III of Sweden's coffee experiment,research project,Q1298668
Q2592575,Neanderthal genome project,research project,Q1298668
Q1147294,Cyc,research project,Q1298668
Q1375995,E. coli long-term evolution experiment,research project,Q1298668
Q57573219,2021 Russian census,research project,Q1298668
Q7728930,The Dark Energy Survey,research project,Q1298668
Q2815842,2dF Galaxy Redshift Survey,research project,Q1298668
Q1135179,Corpus vasorum antiquorum,research project,Q1298668
Q1275655,European Project for Ice Coring in Antarctica,research project,Q1298668
Q2533592,Spaceguard,research project,Q1298668
Q1322029,Project HARP,research project,Q1298668
Q1425489,National Geographic Society – Palomar Observatory Sky Survey,research project,Q1298668
Q673341,Inscriptiones Graecae,research project,Q1298668
Q1546872,Rat Park,research project,Q1298668
Q928254,Asiago-DLR Asteroid Survey,research project,Q1298668
Q20706262,Breakthrough Listen,research project,Q1298668
Q131379199,Stop Killing Games,research project,Q1298668
Q481516,Volksliste,research project,Q1298668
Q3631634,Geological Survey of India,research project,Q1298668
Q2540648,MEarth Project,research project,Q1298668
Q1440693,Framingham Heart Study,research project,Q1298668
Q1440693,Framingham Heart Study,research project,Q1298668
Q919304,British Geological Survey,research project,Q1298668
Q89914376,Solidarity Trial,research project,Q1298668
Q1661301,Indiana Asteroid Program,research project,Q1298668
Q962178,Planet-Crossing Asteroid Survey,research project,Q1298668
Q4350766,1926 Soviet census,research project,Q1298668
Q4561240,1922 census of Palestine,research project,Q1298668
Q4562894,1931 census of Palestine,research project,Q1298668
Q1053465,Census of Marine Life,research project,Q1298668
Q387749,Human Connectome Project,research project,Q1298668
Q1262676,UAO-DLR Asteroid Survey,research project,Q1298668
Q3143116,Human Brain Project,research project,Q1298668
Q609443,United Kingdom Census 2001,research project,Q1298668
Q1760581,Microlensing Observations in Astrophysics,research project,Q1298668
Q2048368,Palomar–Leiden survey,research project,Q1298668
Q3393257,21 grams experiment,research project,Q1298668
Q2366778,1937 Soviet census,research project,Q1298668
Q795475,BATTeRS,research project,Q1298668
Q20706947,KRUSTY,research project,Q1298668
Q13582654,Neutron Star Interior Composition Explorer,research project,Q1298668
Q1130922,Great Observatories Origins Deep Survey,research project,Q1298668
Q1225100,Digitized Sky Survey,research project,Q1298668
Q2131030,Thesaurus Linguae Graecae,research project,Q1298668
Q2400383,Project Grudge,research project,Q1298668
Q598937,Third Cambridge Catalogue of Radio Sources,research project,Q1298668
Q613946,Ocean Drilling Program,research project,Q1298668
Q1474855,Kuafu,research project,Q1298668
Q43401707,Zwicky Transient Facility,research project,Q1298668
Q16156304,2001 census of India,research project,Q1298668
Q29641481,2017 Census in Pakistan,research project,Q1298668
Q65059106,Seventh National Population Census of the People's Republic of China,research project,Q1298668
Q65117149,2021 census of India,research project,Q1298668
Q1666783,International Near-Earth Asteroid Survey,research project,Q1298668
Q4350767,1970 Soviet census,research project,Q1298668
Q1431975,Living Planet Programme,research project,Q1298668
Q758562,Rembrandt Research Project,research project,Q1298668
Q3813754,Human proteome project,research project,Q1298668
Q855531,United Kingdom Census 2011,research project,Q1298668
Q42317745,Canada 2021 Census,research project,Q1298668
Q5029304,Canada 2011 Census,research project,Q1298668
Q15055247,Programme for the International Assessment of Adult Competencies,research project,Q1298668
Q17088615,Kilodegree Extremely Little Telescope,research project,Q1298668
Q25101226,All Sky Automated Survey for SuperNovae,research project,Q1298668
Q25248071,Search for habitable Planets EClipsing ULtra-cOOl Stars,research project,Q1298668
Q25452666,Minority SafePack,research project,Q1298668
Q6554024,The Linguistic Survey of India,research project,Q1298668
Q110300621,2023 Pakistani census,research project,Q1298668
Q145082,British Doctors Study,research project,Q1298668
Q1578884,Sixth National Population Census of the People's Republic of China,research project,Q1298668
Q1654181,INDECT,research project,Q1298668
Q1040040,computation tree logic,research project,Q1298668
Q931575,Project Manhigh,research project,Q1298668
Q2665313,Sagittarius Window Eclipsing Extrasolar Planet Search,research project,Q1298668
Q454849,Judenzählung,research project,Q1298668
Q478482,Praileaitz Cave,research project,Q1298668
Q1182403,Deep Sea Drilling Project,research project,Q1298668
Q2383558,TALIS,research project,Q1298668
Q2429675,Project BLUEBIRD,research project,Q1298668
Q3468382,2011 Nepal census,research project,Q1298668
Q3638583,Berkeley RISC,research project,Q1298668
Q638056,Arctic Climate Impact Assessment,research project,Q1298668
Q3643194,Bouri Formation,research project,Q1298668
Q4053138,WikiAfrica,research project,Q1298668
Q7210015,Polish census of 1921,research project,Q1298668
Q19730903,Avatar,research project,Q1298668
Q12181933,2011 Romanian census,research project,Q1298668
Q16955163,Canada 2016 Census,research project,Q1298668
Q11804721,The Greatest Indian,research project,Q1298668
Q115826714,The Galileo Project,research project,Q1298668
Q4350764,1959 Soviet census,research project,Q1298668
Q4350770,2011 Population and Housing Census,research project,Q1298668
Q2948586,Chandra Deep Field South,research project,Q1298668
Q4642551,6dF Galaxy Survey,research project,Q1298668
Q2005375,Nurses' Health Study,research project,Q1298668
Q463590,Schweizerisches Idiotikon,research project,Q1298668
Q469610,WIDE Project,research project,Q1298668
