qid,label,class_label,class_qid
Q686544,Donauturm,restaurant,Q11707
Q48592,Noma,restaurant,Q11707
Q2109109,Pret a Manger,restaurant,Q11707
Q1189695,Denny's,restaurant,Q11707
Q4849042,Bakdash,restaurant,Q11707
Q1065819,Mister Donut,restaurant,Q11707
Q1049423,Castle Clinton,restaurant,Q11707
Q6310904,Jumbo Kingdom,restaurant,Q11707
Q4819026,Auberge Ravoux,restaurant,Q11707
Q1445889,La Coupole,restaurant,Q11707
Q1025688,Café de la Nouvelle Athènes,restaurant,Q11707
Q590744,Alexander von Humboldt,restaurant,Q11707
Q523117,Auerbachs Keller,restaurant,Q11707
Q263359,Lipp,restaurant,Q11707
Q1441258,Closerie des Lilas,restaurant,Q11707
Q1113879,La Cigale,restaurant,Q11707
Q10846129,The Halal Guys,restaurant,Q11707
Q4449392,Kolu Inn,restaurant,Q11707
Q123702743,CosMc's,restaurant,Q11707
Q1328052,Jamaica Inn,restaurant,Q11707
Q11266830,Ichiran,restaurant,Q11707
Q2441394,Tom's Restaurant,restaurant,Q11707
Q506946,Würstelstand,restaurant,Q11707
Q321168,Baraque Michel,restaurant,Q11707
Q20688,Moshulu,restaurant,Q11707
Q1620922,Regensburg Sausage Kitchen,restaurant,Q11707
Q2894672,La Belle Alliance,restaurant,Q11707
Q1125324,Confitería del Molino,restaurant,Q11707
Q586599,Peter Luger Steak House,restaurant,Q11707
Q17006015,The Brazen Head,restaurant,Q11707
Q16695855,Seventh Heaven,restaurant,Q11707
Q4726773,Alinea,restaurant,Q11707
Q7085574,Oldest McDonald's restaurant,restaurant,Q11707
Q3223818,Le Jules Verne,restaurant,Q11707
Q2932997,Café du Croissant,restaurant,Q11707
Q2656330,Tokatliyan Hotels,restaurant,Q11707
Q2173549,De Librije,restaurant,Q11707
Q955488,Mr Bigg's,restaurant,Q11707
Q89801975,Café Kranzler (Mitte),restaurant,Q11707
Q17072525,Heladería Coromoto,restaurant,Q11707
Q4661426,Aam Khas Bagh,restaurant,Q11707
Q7354613,Rock N Roll McDonald's,restaurant,Q11707
Q113758075,Karen's Diner,restaurant,Q11707
Q2894308,Carnegie Deli,restaurant,Q11707
Q2870499,Au roi de la bière,restaurant,Q11707
Q7993556,Which Wich?,restaurant,Q11707
Q7717822,The Big Texan Steak Ranch,restaurant,Q11707
Q1114368,Gran Caffé Doney,restaurant,Q11707
Q134127119,Olympic Park McDonald's,restaurant,Q11707
Q5766176,Hindoostane Coffee House,restaurant,Q11707
Q5353673,Elbasan Inn,restaurant,Q11707
Q5049812,Castelo de Palmela,restaurant,Q11707
Q884013,Bremen Ratskeller,restaurant,Q11707
Q880338,Hofbräukeller,restaurant,Q11707
Q12317571,Hvidsten Inn,restaurant,Q11707
Q4920422,Black Boy Inn,restaurant,Q11707
Q17853549,"Taigh Chearsabhagh, Lochmaddy, North Uist",restaurant,Q11707
Q78307682,Will Rogers Archway,restaurant,Q11707
Q125972447,Taquería El Califa de León,restaurant,Q11707
Q6720697,Ma Bourgogne,restaurant,Q11707
Q6455605,L'As du Fallafel,restaurant,Q11707
Q6455533,L'Ambroisie,restaurant,Q11707
Q1602508,Simpl,restaurant,Q11707
Q4358835,The Cube,restaurant,Q11707
Q4355256,Wäiski,restaurant,Q11707
Q7751082,The Mermaid Inn,restaurant,Q11707
Q7563766,Sorte Hest,restaurant,Q11707
Q18706018,Sci-Fi Dine-In Theater Restaurant,restaurant,Q11707
Q30246758,Espilä restaurant in Vyborg,restaurant,Q11707
Q23017137,Little Pine,restaurant,Q11707
Q2201739,Koek-en-zopie,restaurant,Q11707
Q5516134,Gabroveni Inn,restaurant,Q11707
Q4992897,Hard Times Cafe,restaurant,Q11707
Q900427,Brauerei zur Malzmühle,restaurant,Q11707
Q14928177,Wycliffe Well,restaurant,Q11707
Q65247692,Robot Restaurant,restaurant,Q11707
Q56615471,Whistlefield Inn,restaurant,Q11707
Q130719430,Q130719430,restaurant,Q11707
Q126367250,Two Roosters Ice Cream,restaurant,Q11707
Q102324215,Byways Cafe,restaurant,Q11707
Q4911400,The Wilson House,restaurant,Q11707
Q4876450,Bear Inn,restaurant,Q11707
Q4835826,BK Whopper Bar,restaurant,Q11707
Q7404089,Salem Diner,restaurant,Q11707
Q7284607,Rainbow Coffee House,restaurant,Q11707
Q7102584,Original Spanish Kitchen,restaurant,Q11707
Q113840997,Soup kitchen for children,restaurant,Q11707
Q55633370,Smyth,restaurant,Q11707
Q85816202,World's Largest Entertainment McDonald's,restaurant,Q11707
Q6898005,Owl Diner,restaurant,Q11707
