qid,label,class_label,class_qid
Q1653,Danube,river,Q4022
Q5089,Ganges,river,Q4022
Q40855,Dnieper,river,Q4022
Q40059,Jordan River,river,Q4022
Q548,Vistula,river,Q4022
Q43106,Zambezi River,river,Q4022
Q552,Oder,river,Q4022
Q1469,Loire,river,Q4022
Q131792,Orinoco River,river,Q4022
Q14294,Tagus River,river,Q4022
Q8197,Daugava,river,Q4022
Q2251,Columbia River,river,Q4022
Q160636,Rio Grande,river,Q4022
Q127892,Paraná River,river,Q4022
Q14299,Douro,river,Q4022
Q35827,Río de la Plata,river,Q4022
Q134350,Tisza,river,Q4022
Q18278,Uruguay River,river,Q4022
Q5622,Neman,river,Q4022
Q14309,Guadalquivir,river,Q4022
Q171009,Drava,river,Q4022
Q115457,Arno,river,Q4022
Q200239,Lake Biwa,river,Q4022
Q191524,Ishim,river,Q4022
Q317899,Ravi River,river,Q4022
Q216239,Kaveri,river,Q4022
Q155841,Lech,river,Q4022
Q37646,River Somme,river,Q4022
Q207903,Neris,river,Q4022
Q206694,Onon River,river,Q4022
Q204040,Mur,river,Q4022
Q14554,Minho River,river,Q4022
Q202760,Soča,river,Q4022
Q19724,River Mersey,river,Q4022
Q207493,Mureș River,river,Q4022
Q207928,Gauja,river,Q4022
Q123362,Charente,river,Q4022
Q849470,Yarmouk River,river,Q4022
Q524206,Chu River,river,Q4022
Q215397,Venta,river,Q4022
Q18612,Segura,river,Q4022
Q842462,Vilaine,river,Q4022
Q182138,Rába,river,Q4022
Q748195,Ruzizi River,river,Q4022
Q18451,Ariège,river,Q4022
Q2464,Allier,river,Q4022
Q331162,Tana River,river,Q4022
Q849693,Madre de Dios River,river,Q4022
Q829866,Tana,river,Q4022
Q23145,Segre,river,Q4022
Q844041,Vorskla,river,Q4022
Q14311,Júcar,river,Q4022
Q214240,Aude,river,Q4022
Q501454,Psou,river,Q4022
Q20118,Turia,river,Q4022
Q17760,Genil,river,Q4022
Q859548,Río Negro,river,Q4022
Q1250532,Sanaga,river,Q4022
Q933979,Var,river,Q4022
Q736600,Sarthe,river,Q4022
Q14352,Bidasoa,river,Q4022
Q31482,Ter,river,Q4022
Q14353,Nervión,river,Q4022
Q837208,Muonio River,river,Q4022
Q341057,Akhtuba,river,Q4022
Q765483,Besòs,river,Q4022
Q425,Betsiboka River,river,Q4022
Q715361,Sungacha,river,Q4022
Q1127173,Rance,river,Q4022
Q2028483,Orb,river,Q4022
Q1352569,Nemunėlis,river,Q4022
Q937294,Little Danube,river,Q4022
Q2414411,Uzboy,river,Q4022
Q2368048,Tes,river,Q4022
Q20380,Jalón River,river,Q4022
Q2385642,Reprua River,river,Q4022
Q1288223,Mangoky River,river,Q4022
Q745809,Blavet,river,Q4022
Q169766,Barcău River,river,Q4022
Q1111259,Shagan,river,Q4022
Q111852,Razdolnaya,river,Q4022
Q17956,Guadalhorce,river,Q4022
Q14516,Nalón,river,Q4022
Q2699957,Bemarivo River,river,Q4022
Q1682047,Reka River,river,Q4022
Q1479250,Wadi Hammamat,river,Q4022
Q1422244,River Fleet,river,Q4022
Q1346326,Vire,river,Q4022
Q1344617,Chilia branch,river,Q4022
Q466699,American River,river,Q4022
Q5566,Sile,river,Q4022
Q1973550,Pededze,river,Q4022
Q978743,Bassac River,river,Q4022
Q1094808,Salat,river,Q4022
Q1194505,Edo River,river,Q4022
Q632961,Couesnon,river,Q4022
Q633801,Ivalo River,river,Q4022
Q14529,Eo,river,Q4022
Q14526,Navia,river,Q4022
Q1669018,Ludza,river,Q4022
Q753931,Atchafalaya River,river,Q4022
Q1166701,Darro,river,Q4022
Q3696512,Neelum River,river,Q4022
Q293570,Õhne River,river,Q4022
Q203369,Zilupe,river,Q4022
Q4785721,Sofia River,river,Q4022
Q1287599,Neglinnaya,river,Q4022
Q610187,Bārta,river,Q4022
Q660435,Arieș River,river,Q4022
Q2573357,Nyong River,river,Q4022
Q2465863,Onilahy River,river,Q4022
Q1244834,Livenza,river,Q4022
Q20142,Mijares River,river,Q4022
Q1369180,Sulina branch,river,Q4022
Q3470706,Sambirano River,river,Q4022
Q14520,Narcea River,river,Q4022
Q3445860,Lika,river,Q4022
Q2573766,Chondon,river,Q4022
Q1668781,Sfântu Gheorghe branch,river,Q4022
Q1633982,Könkämäeno,river,Q4022
Q1419861,Tsiribihina River,river,Q4022
Q3086717,Campo River,river,Q4022
Q767374,Vlie,river,Q4022
Q3285958,Maningory River,river,Q4022
Q3277634,Mahavavy River,river,Q4022
Q2580889,Barima River,river,Q4022
Q1780830,Nun River,river,Q4022
Q773906,Oust,river,Q4022
Q153683,Breitach,river,Q4022
Q609096,Goulburn River,river,Q4022
Q455063,Amargosa River,river,Q4022
Q3285771,Mangoro River,river,Q4022
Q1659942,Lofa River,river,Q4022
Q3277506,Mahajamba River,river,Q4022
Q3776142,Kolenté River,river,Q4022
Q562302,Blau,river,Q4022
Q669907,Arize,river,Q4022
Q640606,Mana River,river,Q4022
Q18041,Almanzora,river,Q4022
Q17993,Guadalfeo,river,Q4022
Q2834409,Noun River,river,Q4022
Q2290344,Sistema Sac Actun,river,Q4022
Q2091306,Araguari River,river,Q4022
Q4785692,Mananjary River,river,Q4022
Q4249818,Kukhva,river,Q4022
Q1227888,Penfeld,river,Q4022
Q3935839,Rima River,river,Q4022
Q3277206,Rianila River,river,Q4022
Q3138020,Ikopa River,river,Q4022
Q965828,Lemmenjoki River,river,Q4022
Q15273757,Ruhwa River,river,Q4022
Q14955711,Reiu River,river,Q4022
Q522893,Big Krka,river,Q4022
Q636174,River Goulbi de Maradi,river,Q4022
Q3335479,Namorona River,river,Q4022
Q2630564,Nyamiha River,river,Q4022
Q2424383,Šventoji,river,Q4022
Q3919552,Mereya,river,Q4022
Q3154506,Irodo River,river,Q4022
Q14934682,Fanambana River,river,Q4022
Q625603,Pedeli River,river,Q4022
Q612234,Manambolo River,river,Q4022
Q499797,Trinity River,river,Q4022
Q2376201,Faraony River,river,Q4022
Q2852543,Antainambalana River,river,Q4022
Q22639522,Slims River,river,Q4022
Q1118582,Eridanos,river,Q4022
Q549450,Loup,river,Q4022
Q35494495,Natuf River,river,Q4022
Q2650411,Sinnamary,river,Q4022
Q2616554,Vadakste,river,Q4022
Q1813684,Leiblach,river,Q4022
Q3211418,Sakaleona River,river,Q4022
Q3071722,Fiherenana River,river,Q4022
Q2893684,River Effra,river,Q4022
Q724188,Stilaro,river,Q4022
Q14934679,Lokoho River,river,Q4022
Q21480978,Tamanrasset River,river,Q4022
Q3738634,Vaidava River,river,Q4022
Q3523794,Kollidam River,river,Q4022
Q1822696,Liane,river,Q4022
Q3176918,Zelter,river,Q4022
Q956566,Dienvidsusēja,river,Q4022
Q22583130,Brass River,river,Q4022
Q1129193,Meu,river,Q4022
Q3744927,Peetri River,river,Q4022
Q3547925,Ulindi River,river,Q4022
Q3541688,Rūja,river,Q4022
Q3489822,Dabikinė River,river,Q4022
Q3483438,Sienne,river,Q4022
Q3458820,Táchira River,river,Q4022
Q3285196,Manambaho River,river,Q4022
Q2784618,Tiền River,river,Q4022
Q6857272,Lycus,river,Q4022
Q4786615,Ekuma River,river,Q4022
Q4739005,Amakura River,river,Q4022
Q4255256,Laucesa,river,Q4022
Q4098333,Buzan,river,Q4022
Q3258746,Lokia,river,Q4022
Q3196092,Khasa River,river,Q4022
Q2879305,Bahr el-Ghazal,river,Q4022
Q951147,Lay,river,Q4022
Q15955470,Tanos,river,Q4022
Q1100682,Híjar River,river,Q4022
Q599741,Yères,river,Q4022
Q432508,Cagne,river,Q4022
Q79592966,Ivondro River,river,Q4022
Q48782424,Muvumba river,river,Q4022
Q3285215,Manampatrana River,river,Q4022
Q2366022,Onibe,river,Q4022
Q6674591,Longá River,river,Q4022
Q2066745,Härjapea,river,Q4022
Q2035886,Ostrach,river,Q4022
Q1791584,Trettach,river,Q4022
Q6359956,Kamyzyak,river,Q4022
Q4782691,Nkam River,river,Q4022
Q337625,Rubicon,river,Q4022
Q254940,Vermilion River,river,Q4022
Q15111636,Gilbert River,river,Q4022
Q14934664,Manajeba River,river,Q4022
Q12958551,Morondava River,river,Q4022
Q645291,Argentina,river,Q4022
Q3486539,Čeriaukštė,river,Q4022
Q10362166,Longa River,river,Q4022
Q130012,Ogeechee River,river,Q4022
Q5568,Botteniga,river,Q4022
Q55533968,Ankavanana,river,Q4022
Q2349519,Stillach,river,Q4022
Q7252469,Providence River,river,Q4022
Q6976867,Śmiała Wisła,river,Q4022
Q6946517,My Tho River,river,Q4022
Q4786653,Oshigambo River,river,Q4022
Q4786637,Ovambo River,river,Q4022
Q4211973,Kamyshlov Log,river,Q4022
Q1567922,Caño Manamo,river,Q4022
Q2910790,Tyburn Brook,river,Q4022
Q956719,Keiskamma River,river,Q4022
Q281053,Liakanjoki,river,Q4022
Q14934647,Sakanila River,river,Q4022
Q18354641,Sandrananta River,river,Q4022
Q581696,Channel River,river,Q4022
