qid,label,class_label,class_qid
Q550,avenue des Champs-Élysées,road,Q34442
Q11690,Wall Street,road,Q34442
Q11260,Broadway,road,Q34442
Q189417,Appian Way,road,Q34442
Q204871,Charles Bridge,road,Q34442
Q160899,Unter den Linden,road,Q34442
Q192687,Downing Street,road,Q34442
Q465811,National Mall,road,Q34442
Q214820,Whitehall,road,Q34442
Q46232,Vienna Ring Road,road,Q34442
Q273783,Via Egnatia,road,Q34442
Q850593,La Rambla,road,Q34442
Q846686,Fleet Street,road,Q34442
Q804402,Baker Street,road,Q34442
Q745608,Las Vegas Strip,road,Q34442
Q862312,Oregon Trail,road,Q34442
Q756819,Strand,road,Q34442
Q655172,Via Sacra,road,Q34442
Q374149,Via Flaminia,road,Q34442
Q344348,İstiklal Avenue,road,Q34442
Q868616,Hollywood Boulevard,road,Q34442
Q732597,Via Aemilia,road,Q34442
Q109849,Madison Avenue,road,Q34442
Q925808,Moscow Ring Road,road,Q34442
Q74046,Great Ocean Road,road,Q34442
Q860442,Sunset Boulevard,road,Q34442
Q549998,Via Salaria,road,Q34442
Q1849491,Promenade des Anglais,road,Q34442
Q756816,Via Aurelia,road,Q34442
Q141747,rue de Rivoli,road,Q34442
Q160272,Kurfürstendamm,road,Q34442
Q958299,via del Corso,road,Q34442
Q1076911,Khreshchatyk,road,Q34442
Q109711,Park Avenue,road,Q34442
Q3976,Reeperbahn,road,Q34442
Q2072409,Freedom Square,road,Q34442
Q930276,Lombard Street,road,Q34442
Q925349,Pall Mall,road,Q34442
Q849300,Via Cassia,road,Q34442
Q863935,Binnenhof,road,Q34442
Q1324163,Gran Vía,road,Q34442
Q1535529,Golden Lane,road,Q34442
Q1146645,Via Domitia,road,Q34442
Q677447,Road of Life,road,Q34442
Q140673,Bur Dubai,road,Q34442
Q311252,Romantic Road,road,Q34442
Q804877,Baldwin Street,road,Q34442
Q1424697,Highway of Death,road,Q34442
Q849777,Boulevard Périphérique of Paris,road,Q34442
Q1230599,Via Latina,road,Q34442
Q1455053,Pennsylvania Avenue,road,Q34442
Q786254,Via Postumia,road,Q34442
Q763100,Via Labicana,road,Q34442
Q2723969,Place du Carrousel,road,Q34442
Q620182,Aldwych,road,Q34442
Q429672,A4 autostrada,road,Q34442
Q38778,Carnaby Street,road,Q34442
Q1754726,Shota Rustaveli Avenue,road,Q34442
Q2079615,Paseo del Prado,road,Q34442
Q1554353,Golden Circle,road,Q34442
Q1631609,Savile Row,road,Q34442
Q316893,Friedrichstraße,road,Q34442
Q685132,Via Claudia Augusta,road,Q34442
Q683226,Karl-Marx-Allee,road,Q34442
Q20725,Yonge Street,road,Q34442
Q1754499,Vía de la Plata,road,Q34442
Q961888,Garden Ring,road,Q34442
Q1203550,Khaosan Road,road,Q34442
Q1972305,Sukhumvit Road,road,Q34442
Q1012707,Karlova Ves,road,Q34442
Q2253418,Manezhnaya Square,road,Q34442
Q2664885,Martyrs' Lane,road,Q34442
Q1375832,European route E24,road,Q34442
Q120192,Stuart Highway,road,Q34442
Q109926,Seventh Avenue,road,Q34442
Q1241197,Via Augusta,road,Q34442
Q844426,Sergels torg,road,Q34442
Q1154479,Nakasendō,road,Q34442
Q1434239,Watling Street,road,Q34442
Q895076,boulevard Haussmann,road,Q34442
Q1375862,European route E32,road,Q34442
Q716640,Ledo Road,road,Q34442
Q694270,Grossglockner High Alpine Road,road,Q34442
Q432579,Via Traiana,road,Q34442
Q110061,42nd Street,road,Q34442
Q2344439,Ebenezer Place,road,Q34442
Q1194528,Brick Lane,road,Q34442
Q1156726,Rodeo Drive,road,Q34442
Q1490775,Karl Johans gate,road,Q34442
Q1518029,Yaowarat Road,road,Q34442
