qid,label,class_label,class_qid
Q323310,Mont Blanc Tunnel,road tunnel,Q2354973
Q644421,Great St Bernard Tunnel,road tunnel,Q2354973
Q1968580,Fréjus Road Tunnel,road tunnel,Q2354973
Q125635,Brooklyn–Battery Tunnel,road tunnel,Q2354973
Q3003753,Cross-Harbour Tunnel,road tunnel,Q2354973
Q3542174,Cadí Tunnel,road tunnel,Q2354973
Q985359,Eastern Harbour Crossing,road tunnel,Q2354973
Q837063,Western Harbour Crossing,road tunnel,Q2354973
Q4993604,Huguenot Tunnel,road tunnel,Q2354973
Q15972446,Kanmon Roadway Tunnel,road tunnel,Q2354973
Q194707,Qingdao Jiaozhou Bay tunnel,road tunnel,Q2354973
Q1233662,Mosi Tunnel,road tunnel,Q2354973
Q1141062,Cross City Tunnel,road tunnel,Q2354973
Q82069719,Bargagli–Ferriere Tunnel,road tunnel,Q2354973
Q1231658,Lane Cove Tunnel,road tunnel,Q2354973
Q7703182,Terrace Motorway Tunnel,road tunnel,Q2354973
Q6517269,Legacy Way,road tunnel,Q2354973
Q5329392,East Side Trolley Tunnel,road tunnel,Q2354973
Q5131179,Clem Jones Tunnel,road tunnel,Q2354973
Q28220138,Hereke Tunnel,road tunnel,Q2354973
Q106520630,Las Vegas Convention Center Loop,road tunnel,Q2354973
Q135742135,Music City Loop,road tunnel,Q2354973
Q96391184,M8 Motorway,road tunnel,Q2354973
Q48814132,Coatzacoalcos Underwater Tunnel,road tunnel,Q2354973
Q28220178,Çakıt Tunnel,road tunnel,Q2354973
Q303563,Lærdal Tunnel,road tunnel,Q2354973
Q18541,Fehmarn Belt fixed link,road tunnel,Q2354973
Q932910,Roki Tunnel,road tunnel,Q2354973
Q1917594,Salang Tunnel,road tunnel,Q2354973
Q684927,Gotthard Road Tunnel,road tunnel,Q2354973
Q5411040,Eurasia Tunnel,road tunnel,Q2354973
Q125753,Holland Tunnel,road tunnel,Q2354973
Q125805,Lincoln Tunnel,road tunnel,Q2354973
Q593029,Hvalfjörður Tunnel,road tunnel,Q2354973
Q684130,Karawanks Tunnel,road tunnel,Q2354973
Q1077968,North Cape Tunnel,road tunnel,Q2354973
Q1389309,Eiksund Tunnel,road tunnel,Q2354973
Q240079,Sveti Rok Tunnel,road tunnel,Q2354973
Q2610244,Folgefonna Tunnel,road tunnel,Q2354973
Q1288187,Učka Tunnel,road tunnel,Q2354973
Q589504,Mala Kapela Tunnel,road tunnel,Q2354973
Q135210,Anzob Tunnel,road tunnel,Q2354973
Q197883,Zhongnanshan Tunnel,road tunnel,Q2354973
Q1149567,Lefortovo Tunnel,road tunnel,Q2354973
Q1285749,Western Scheldt Tunnel,road tunnel,Q2354973
Q609324,Ahmed Hamdi Tunnel,road tunnel,Q2354973
Q2559131,San Bernardino Tunnel,road tunnel,Q2354973
Q1028829,Guoliang Tunnel,road tunnel,Q2354973
Q1671584,Sozina Tunnel,road tunnel,Q2354973
Q262312,SMART Tunnel,road tunnel,Q2354973
Q309891,Hsuehshan Tunnel,road tunnel,Q2354973
Q1557870,Vestfjarðagöng,road tunnel,Q2354973
Q828688,Tromsøysund Tunnel,road tunnel,Q2354973
Q20751227,Ryfylke Tunnel,road tunnel,Q2354973
Q7359842,Rohtang Tunnel,road tunnel,Q2354973
Q125138,Queens–Midtown Tunnel,road tunnel,Q2354973
Q284274,Sasago Tunnel,road tunnel,Q2354973
Q663740,Elbe Tunnel,road tunnel,Q2354973
Q669602,Arlberg Road Tunnel,road tunnel,Q2354973
Q1810050,Almannaskarðsgöng,road tunnel,Q2354973
Q460264,Elbe Tunnel,road tunnel,Q2354973
Q520985,Branisko Tunnel,road tunnel,Q2354973
Q677837,Belchen Tunnel,road tunnel,Q2354973
Q2118911,Vrmac Tunnel,road tunnel,Q2354973
Q15700972,Hvalbiartunnilin,road tunnel,Q2354973
Q15922786,Chenani-Nashri Tunnel,road tunnel,Q2354973
Q175144,Hai Van Tunnel,road tunnel,Q2354973
Q203244,Traforo del Gran Sasso,road tunnel,Q2354973
Q3182428,Vielha Tunnel,road tunnel,Q2354973
Q3379232,Envalira Tunnel,road tunnel,Q2354973
Q374533,Oslofjord Tunnel,road tunnel,Q2354973
Q642606,Seelisberg Tunnel,road tunnel,Q2354973
Q646091,Warnow Tunnel,road tunnel,Q2354973
Q724687,Kvalsund Tunnel,road tunnel,Q2354973
Q870086,Munt la Schera Tunnel,road tunnel,Q2354973
Q1020216,Bømlafjord Tunnel,road tunnel,Q2354973
Q924978,Dublin Port Tunnel,road tunnel,Q2354973
Q143294,Felbertauerntunnel,road tunnel,Q2354973
Q1107322,Col de Tende Road Tunnel,road tunnel,Q2354973
Q1132136,Gudvanga Tunnel,road tunnel,Q2354973
Q1146065,Limfjordstunnelen,road tunnel,Q2354973
Q314159,Rennsteig Tunnel,road tunnel,Q2354973
Q893053,Gimry Tunnel,road tunnel,Q2354973
Q30688545,Zoji-la Tunnel,road tunnel,Q2354973
Q28675191,Świnoujście Tunnel,road tunnel,Q2354973
Q1786046,North-Western Tunnel,road tunnel,Q2354973
Q177292,Fáskrúðsfjarðargöng,road tunnel,Q2354973
Q1125518,Kennedytunnel,road tunnel,Q2354973
Q1146032,Drammen Spiral,road tunnel,Q2354973
Q255644,Sigmundstor,road tunnel,Q2354973
Q1312959,Eisenhower Tunnel,road tunnel,Q2354973
Q2301859,Sonnenberg Tunnel,road tunnel,Q2354973
Q575011,Arnardalshamar Tunnel,road tunnel,Q2354973
Q1558711,Gásadalstunnilin,road tunnel,Q2354973
Q771536,Héðinsfjarðargöng,road tunnel,Q2354973
Q12008888,Vallavik Tunnel,road tunnel,Q2354973
Q11979234,Jondal Tunnel,road tunnel,Q2354973
Q6165957,Jawahar Tunnel,road tunnel,Q2354973
Q19610870,Great Istanbul Tunnel,road tunnel,Q2354973
Q7061686,Norðfjarðargöng,road tunnel,Q2354973
Q7915578,Vardøtunnelen,road tunnel,Q2354973
Q1106704,Coen Tunnel,road tunnel,Q2354973
Q1256043,Sandoy tunnel,road tunnel,Q2354973
Q1296213,Sitina Tunnel,road tunnel,Q2354973
Q4262863,Al Shindagha Tunnel,road tunnel,Q2354973
Q2312502,Korgfjell Tunnel,road tunnel,Q2354973
Q2330516,Sierre Tunnel,road tunnel,Q2354973
Q2373640,Sydney Harbour Tunnel,road tunnel,Q2354973
Q1516093,Södra länken,road tunnel,Q2354973
Q4578996,Atlantic Ocean Tunnel,road tunnel,Q2354973
Q4584773,Honningsvåg Tunnel,road tunnel,Q2354973
Q1569823,Liefkenshoektunnel,road tunnel,Q2354973
Q845492,Götatunneln,road tunnel,Q2354973
Q879888,Bjørvika Tunnel,road tunnel,Q2354973
Q879934,Herren Tunnel,road tunnel,Q2354973
Q891659,Bolungarvíkurgöng,road tunnel,Q2354973
Q28220601,Zigana Tunnel,road tunnel,Q2354973
Q29025795,Banihal Qazigund Road Tunnel,road tunnel,Q2354973
Q6142370,Yamate Tunnel,road tunnel,Q2354973
Q6425928,Kohat Tunnel,road tunnel,Q2354973
Q59680462,Boring Test Tunnel,road tunnel,Q2354973
Q12777846,Horelica Tunnel,road tunnel,Q2354973
Q13648351,Menora Tunnel,road tunnel,Q2354973
Q2728238,Anton Anderson Memorial Tunnel,road tunnel,Q2354973
Q15120622,Ülemiste Tunnel,road tunnel,Q2354973
Q7114227,Ovčiarsko Tunnel,road tunnel,Q2354973
Q7313737,René Konen Tunnel,road tunnel,Q2354973
Q127425,Gubrist Tunnel,road tunnel,Q2354973
Q1626040,Homer Tunnel,road tunnel,Q2354973
Q179992,Plabutsch Tunnel,road tunnel,Q2354973
Q3441635,Brinje Tunnel,road tunnel,Q2354973
Q1129573,Detroit–Windsor Tunnel,road tunnel,Q2354973
Q302938,Maastunnel traffic tunnels,road tunnel,Q2354973
Q4000488,Kan-Etsu Tunnel,road tunnel,Q2354973
Q385627,Lowari Tunnel,road tunnel,Q2354973
Q432033,Tauern Road Tunnel,road tunnel,Q2354973
Q1509991,Markusbierg Tunnel,road tunnel,Q2354973
Q4571478,Tingstadstunneln,road tunnel,Q2354973
Q4585480,Ibestad Tunnel,road tunnel,Q2354973
Q4666996,Aberdeen Tunnel,road tunnel,Q2354973
Q837519,Lion Rock Tunnel,road tunnel,Q2354973
Q880946,Blackwall Tunnel,road tunnel,Q2354973
Q31749065,Húsavíkurhöfði Tunnel,road tunnel,Q2354973
Q5491716,Vaðlaheiðargöng,road tunnel,Q2354973
Q11192163,Sveti Ilija Tunnel,road tunnel,Q2354973
Q11993932,Operatunnelen,road tunnel,Q2354973
Q59155818,Sela Tunnel,road tunnel,Q2354973
Q12777842,Višňové Tunnel,road tunnel,Q2354973
Q6922627,Ovit Tunnel,road tunnel,Q2354973
Q7201742,Plasina Tunnel,road tunnel,Q2354973
Q7271128,Queensway Tunnel,road tunnel,Q2354973
Q7849589,Tseung Kwan O Tunnel,road tunnel,Q2354973
Q949840,Tunnel Maurice-Lemaire,road tunnel,Q2354973
Q1653953,IJ-tunnel,road tunnel,Q2354973
Q1716983,Norra länken,road tunnel,Q2354973
Q1722256,Thirrë-Kalimash Tunnel,road tunnel,Q2354973
Q1739228,Kerenzerberg Tunnel,road tunnel,Q2354973
Q1770549,Frøya Tunnel,road tunnel,Q2354973
Q201337,Craeybeckxtunnel,road tunnel,Q2354973
Q3346653,Annie Cordy Tunnel,road tunnel,Q2354973
Q3542122,Giovanni XXIII Tunnel,road tunnel,Q2354973
Q3542141,Glion Tunnel,road tunnel,Q2354973
Q276433,Tunnel de l'Étoile,road tunnel,Q2354973
Q315813,Weser Tunnel,road tunnel,Q2354973
Q2246531,Schmitten Tunnel,road tunnel,Q2354973
Q327451,Dudley Ward Way,road tunnel,Q2354973
Q337830,George Massey Tunnel,road tunnel,Q2354973
Q1450285,Rotherhithe Tunnel,road tunnel,Q2354973
Q1465364,Ivica Tunnel,road tunnel,Q2354973
Q1530450,Gleinalm Tunnel,road tunnel,Q2354973
Q1540234,Gousselerbierg Tunnel,road tunnel,Q2354973
Q4580000,Ellingsøy Tunnel,road tunnel,Q2354973
Q2459362,Tuhobić Tunnel,road tunnel,Q2354973
Q828700,Hitra Tunnel,road tunnel,Q2354973
Q12003392,Stordal Tunnel,road tunnel,Q2354973
Q12007245,Toven Tunnel,road tunnel,Q2354973
Q4980955,Brynglas Tunnels,road tunnel,Q2354973
Q5433924,Fannefjord Tunnel,road tunnel,Q2354973
Q11969841,Frafjord Tunnel,road tunnel,Q2354973
Q11974658,Heggur tunnel,road tunnel,Q2354973
Q47516798,Yerba Buena Tunnel,road tunnel,Q2354973
Q5713889,Drogden Tunnel,road tunnel,Q2354973
Q6154706,Havana Tunnel,road tunnel,Q2354973
Q6154732,Negrón Tunnel,road tunnel,Q2354973
Q6154678,Tunnel Punta Olimpica,road tunnel,Q2354973
Q116546035,Llogara Tunnel,road tunnel,Q2354973
Q11492437,Enasan Tunnel,road tunnel,Q2354973
Q6312985,Jungnyeong Tunnel,road tunnel,Q2354973
Q11656968,Shin-Kobe Tunnel,road tunnel,Q2354973
Q12777838,Lučivná Tunnel,road tunnel,Q2354973
Q4869874,Battery Park Underpass,road tunnel,Q2354973
Q137661507,Genoa Subport Tunnel,road tunnel,Q2354973
Q15894426,Svartis Tunnel,road tunnel,Q2354973
Q15911767,Tunsberg Tunnel,road tunnel,Q2354973
Q15941690,Rantaväylä tunnel,road tunnel,Q2354973
Q16508196,Grands Goulets,road tunnel,Q2354973
Q16919698,New Katraj Tunnel,road tunnel,Q2354973
Q7067437,Nozuka Pass,road tunnel,Q2354973
Q7241695,Tseung Kwan O - Lam Tin Tunnel,road tunnel,Q2354973
Q7516864,Silvertown Tunnel,road tunnel,Q2354973
Q7687929,Tate's Cairn Tunnel,road tunnel,Q2354973
Q7813271,Tohid Tunnel,road tunnel,Q2354973
Q7992318,Wheeling Tunnel,road tunnel,Q2354973
Q10817999,Blanka tunnel complex,road tunnel,Q2354973
Q1018499,Byfjord Tunnel,road tunnel,Q2354973
Q929343,Roertunnel,road tunnel,Q2354973
Q151966,Callahan Tunnel,road tunnel,Q2354973
Q1341854,Engelberg Tunnel,road tunnel,Q2354973
Q3542165,Clyde Tunnel,road tunnel,Q2354973
Q4027028,Mount Bolu Tunnel,road tunnel,Q2354973
Q4106376,Veliki Gložac Tunnel,road tunnel,Q2354973
Q1869806,Lopper Tunnel,road tunnel,Q2354973
Q1533987,Godøy Tunnel,road tunnel,Q2354973
Q4582658,Halsnøy Tunnel,road tunnel,Q2354973
Q4581245,Valderøy Tunnel,road tunnel,Q2354973
Q4587241,Fløyfjell Tunnel,road tunnel,Q2354973
Q4584098,Freifjord Tunnel,road tunnel,Q2354973
Q4588488,Innfjord Tunnel,road tunnel,Q2354973
Q4590657,Festning Tunnel,road tunnel,Q2354973
Q4643443,75th Anniversary Selatin Tunnel,road tunnel,Q2354973
Q2146993,Salland-Twente tunnel,road tunnel,Q2354973
Q1588606,Townline Tunnel,road tunnel,Q2354973
Q1591961,Maursund Tunnel,road tunnel,Q2354973
Q2467345,2nd Street Tunnel,road tunnel,Q2354973
Q2515517,Noordtunnel,road tunnel,Q2354973
Q699939,Tunnel of Arrissoules,road tunnel,Q2354973
Q875002,Rheinufer Tunnel,road tunnel,Q2354973
Q19380404,Lyshorn Tunnel,road tunnel,Q2354973
Q19382176,Mælefjell Tunnel,road tunnel,Q2354973
Q4992697,HH Tunnel,road tunnel,Q2354973
Q65219344,Göcek Tunnel,road tunnel,Q2354973
Q11969159,Fjærland Tunnel,road tunnel,Q2354973
Q11969217,Flekkerøy Tunnel,road tunnel,Q2354973
Q30693998,Z-Morh Tunnel,road tunnel,Q2354973
Q5005204,Bözberg Road Tunnel,road tunnel,Q2354973
Q5018994,Caldecott Tunnel,road tunnel,Q2354973
Q5226819,Daspoort Tunnel,road tunnel,Q2354973
Q5470888,Fort Canning Tunnel,road tunnel,Q2354973
Q11970415,Frudal Tunnel,road tunnel,Q2354973
Q11075938,Dapu Road Tunnel,road tunnel,Q2354973
Q5528328,Gaviota Tunnel,road tunnel,Q2354973
Q5612891,Grønnlifjell Tunnel,road tunnel,Q2354973
Q5694325,Heathrow Airside Road Tunnel,road tunnel,Q2354973
Q5999126,Illhøllia Tunnel,road tunnel,Q2354973
Q6113774,Jack Lynch Tunnel,road tunnel,Q2354973
Q11431590,Yumesaki Tunnel,road tunnel,Q2354973
Q11442450,Amagi Tunnel,road tunnel,Q2354973
Q3331,tunnel de la Croix-Rousse,road tunnel,Q2354973
Q6333542,New River Tunnel,road tunnel,Q2354973
Q6372787,Karmøy Tunnel,road tunnel,Q2354973
Q6414436,Kinuura Tunnel,road tunnel,Q2354973
Q6711432,Løvstakken Tunnel,road tunnel,Q2354973
Q6785609,Mastrafjord Tunnel,road tunnel,Q2354973
Q11998881,Røldal Tunnel,road tunnel,Q2354973
Q22117658,Scenic Hill Tunnel,road tunnel,Q2354973
Q25369819,Toyo Tunnel,road tunnel,Q2354973
Q25475774,Ilgaz Tunnel,road tunnel,Q2354973
Q2628830,Park Avenue Tunnel,road tunnel,Q2354973
Q15179675,Naustdal Tunnel,road tunnel,Q2354973
Q15895942,Åkrafjord Tunnel,road tunnel,Q2354973
Q15899403,Stokkviknakken Tunnel,road tunnel,Q2354973
Q15905227,Finnøy Tunnel,road tunnel,Q2354973
Q15904475,Haukeli Tunnel,road tunnel,Q2354973
Q16250915,Altstadtringtunnel,road tunnel,Q2354973
Q16736164,Cankurtaran Tunnel,road tunnel,Q2354973
Q16827016,Belkahve Tunnel,road tunnel,Q2354973
Q16968446,Zigana Tunnel,road tunnel,Q2354973
Q17001153,Banzhangshan Tunnel,road tunnel,Q2354973
Q7267681,Qiaozhong Road Tunnel,road tunnel,Q2354973
Q7270278,Queen Creek Tunnel,road tunnel,Q2354973
Q7383782,Rya Tunnel,road tunnel,Q2354973
Q7675780,Tai Lam Tunnel,road tunnel,Q2354973
Q7796618,Thorold Tunnel,road tunnel,Q2354973
Q7856823,Tussen Tunnel,road tunnel,Q2354973
Q7975632,Wawona Tunnel,road tunnel,Q2354973
Q9018696,La Línea,road tunnel,Q2354973
Q10853585,Bund Tunnel,road tunnel,Q2354973
Q28173678,Kuthiran Tunnel,road tunnel,Q2354973
Q19392616,Kjernfjell tunnel,road tunnel,Q2354973
Q1678261,Jagdbergtunnel,road tunnel,Q2354973
Q151998,Thomas P. O'Neill Jr. Tunnel,road tunnel,Q2354973
Q151956,Sumner Tunnel,road tunnel,Q2354973
Q151975,Ted Williams Tunnel,road tunnel,Q2354973
Q154657,Old Dyrskartunnel,road tunnel,Q2354973
Q176744,Kappelberg Tunnel,road tunnel,Q2354973
Q1146916,Dewey Square Tunnel,road tunnel,Q2354973
Q1934398,Milchbucktunnel,road tunnel,Q2354973
Q2360986,Piet Hein Tunnel,road tunnel,Q2354973
Q2429388,Baltimore Harbor Tunnel,road tunnel,Q2354973
Q634699,Sachseln Tunnel,road tunnel,Q2354973
Q1508499,George Wallace Tunnel,road tunnel,Q2354973
Q4698954,Airport Tunnel,road tunnel,Q2354973
Q4842147,Baguashan Tunnel,road tunnel,Q2354973
Q2546561,Drechttunnel,road tunnel,Q2354973
Q783146,Saltash Tunnel,road tunnel,Q2354973
Q807921,Papago Freeway Tunnel,road tunnel,Q2354973
Q808058,Baregg Tunnel,road tunnel,Q2354973
Q886108,Carlin Tunnel,road tunnel,Q2354973
Q886381,McCarran Airport Connector,road tunnel,Q2354973
Q19381092,Markhus Tunnel,road tunnel,Q2354973
Q11959717,Austmannali Tunnel,road tunnel,Q2354973
Q4898174,Betong Mongkhonrit Tunnel,road tunnel,Q2354973
Q4919653,Bjorøy Tunnel,road tunnel,Q2354973
Q4972532,Broadway Tunnel,road tunnel,Q2354973
Q85771293,Jinjiazhuang Tunnel,road tunnel,Q2354973
Q18085855,Bayraklı Tunnels,road tunnel,Q2354973
Q11966740,Eikefet Tunnel,road tunnel,Q2354973
Q28230503,Marys Rock Tunnel,road tunnel,Q2354973
Q41205516,Suðuroyartunnilin,road tunnel,Q2354973
Q5000022,Burnley Tunnel,road tunnel,Q2354973
Q5193893,Cumberland Gap Tunnel,road tunnel,Q2354973
Q5212970,Damsgård Tunnel,road tunnel,Q2354973
Q5289382,Dolmabahçe-Bomonti Tunnel,road tunnel,Q2354973
Q11974916,Hell Tunnel,road tunnel,Q2354973
Q11976213,Hvaler Tunnel,road tunnel,Q2354973
Q48889577,Nanjing Dinghuaimen Yangtze River Tunnel,road tunnel,Q2354973
Q105393742,Chattergala Tunnel,road tunnel,Q2354973
Q10906926,Nanjing Yingtian Avenue Yangtze River Tunnel,road tunnel,Q2354973
Q10932373,Outer Ring Tunnel,road tunnel,Q2354973
Q11124752,Wuhan Yangtze River Tunnel,road tunnel,Q2354973
Q5505143,Frodeåsen Tunnel,road tunnel,Q2354973
Q5595621,Granfoss Tunnel,road tunnel,Q2354973
Q5647762,Hanekleiv Tunnel,road tunnel,Q2354973
Q5963592,Hårskolten Tunnel,road tunnel,Q2354973
Q6036826,Konak Tunnel,road tunnel,Q2354973
Q5897408,Kandovan Tunnel,road tunnel,Q2354973
Q11425468,Sakanashi Tunnel,road tunnel,Q2354973
Q138335601,Tutiyu Tunnel,road tunnel,Q2354973
Q11982721,Kviven Tunnel,road tunnel,Q2354973
Q6381864,Kağıthane-Piyalepaşa Tunnel,road tunnel,Q2354973
Q6413735,Kingsway Tunnel,road tunnel,Q2354973
Q6421760,Knappe Tunnel,road tunnel,Q2354973
Q6509045,Foix Tunnel,road tunnel,Q2354973
Q6669062,Loma Larga Tunnel,road tunnel,Q2354973
Q6711410,Løkkeås Tunnel,road tunnel,Q2354973
Q6736175,Main Street Tunnel,road tunnel,Q2354973
Q6807429,Medway Tunnel,road tunnel,Q2354973
Q11610280,Haneda Tunnel,road tunnel,Q2354973
Q56277854,Buca Onat Tunnel,road tunnel,Q2354973
Q136360982,Tianshan Shengli Tunnel,road tunnel,Q2354973
Q11990857,Nappstraum Tunnel,road tunnel,Q2354973
Q11998599,Rullestad Tunnel,road tunnel,Q2354973
Q11998748,Ryggedal Tunnel,road tunnel,Q2354973
Q12009877,Bortne Tunnel,road tunnel,Q2354973
Q12599250,Buramsan Tunnel,road tunnel,Q2354973
Q12603140,Suraksan Tunnel,road tunnel,Q2354973
Q21705928,Aba Saleh al-Mahdi tunnel,road tunnel,Q2354973
Q24915207,Klokova Tunnel,road tunnel,Q2354973
Q4883613,Belle Chasse Tunnel,road tunnel,Q2354973
Q14683230,MacArthur Tunnel,road tunnel,Q2354973
Q14912349,Tiergarten Spreebogen Tunnel,road tunnel,Q2354973
Q15891842,Steigen Tunnel,road tunnel,Q2354973
Q16899656,Salmankaş Tunnel,road tunnel,Q2354973
Q16962146,Osmangazi Tunnel,road tunnel,Q2354973
Q6919573,Mount Baker Tunnel,road tunnel,Q2354973
Q7088591,Olsvik Tunnel,road tunnel,Q2354973
Q7417024,Sandvika Tunnel,road tunnel,Q2354973
Q7533642,Sjønståfjell Tunnel,road tunnel,Q2354973
Q7533945,Skansen Tunnel,road tunnel,Q2354973
Q7534163,Skatestraum Tunnel,road tunnel,Q2354973
Q7621257,Strand Underpass,road tunnel,Q2354973
Q7706896,Tetsuo Harano Tunnels,road tunnel,Q2354973
