qid,label,class_label,class_qid
Q249492,Delta IV Heavy,rocket,Q41291
Q660345,Soyuz-U,rocket,Q41291
Q257161,S-IVB,rocket,Q41291
Q1098208,CanSat,rocket,Q41291
Q128726,M-100,rocket,Q41291
Q1029937,S-IC,rocket,Q41291
Q130712,Viking,rocket,Q41291
Q1392495,Polyot,rocket,Q41291
Q1093699,S-II,rocket,Q41291
Q105834902,Long March 10,rocket,Q41291
Q60410,Kappa,rocket,Q41291
Q115815184,Qaem 100,rocket,Q41291
Q128697,Meteor,rocket,Q41291
Q2615678,Saturn INT-21,rocket,Q41291
Q1971919,X-41 Common Aero Vehicle,rocket,Q41291
Q1375756,T-7,rocket,Q41291
Q380098,Eridan,rocket,Q41291
Q27382,Bumper,rocket,Q41291
Q130661,Petrel,rocket,Q41291
Q105686394,Zuljanah,rocket,Q41291
Q1754556,Nike-Cajun,rocket,Q41291
Q540734,Dragon,rocket,Q41291
Q49510,Delta 0100,rocket,Q41291
Q23789,Berenice,rocket,Q41291
Q130723,Skua,rocket,Q41291
Q3556362,Vesta,rocket,Q41291
Q3305086,Monica,rocket,Q41291
Q48770740,Soyuz-7,rocket,Q41291
Q104881005,Themis,rocket,Q41291
Q1454926,Nike-Tomahawk,rocket,Q41291
Q1180765,Deacon,rocket,Q41291
Q19758,ASP,rocket,Q41291
Q130659,MR-20,rocket,Q41291
Q3305445,Canopus 2,rocket,Q41291
Q3269925,VS-30,rocket,Q41291
Q14161674,Able,rocket,Q41291
Q1419235,Orion,rocket,Q41291
Q380882,Javelin,rocket,Q41291
Q130722,MR-12,rocket,Q41291
Q6116366,S-Series (rocket family),rocket,Q41291
Q4430522,Soyuz at the Guiana Space Centre,rocket,Q41291
Q2306274,Cosmopolis XXI,rocket,Q41291
Q11242284,S-IB,rocket,Q41291
Q465096,RX-250-LPN,rocket,Q41291
Q366637,Titus,rocket,Q41291
Q49556,Delta-P,rocket,Q41291
Q39466,Private (rocket),rocket,Q41291
Q6067428,Paulet (sounding rocket),rocket,Q41291
Q12219501,Al-Abid,rocket,Q41291
Q109546061,Solid-fuel space launch vehicle,rocket,Q41291
Q472689,Kookaburra,rocket,Q41291
Q380101,S-210,rocket,Q41291
Q380114,S-160,rocket,Q41291
Q48960,Cajun,rocket,Q41291
Q39461,Cirrus,rocket,Q41291
Q116829551,Tianlong-2,rocket,Q41291
Q6794960,Max Launch Abort System,rocket,Q41291
Q2281838,Sidewinder Arcas,rocket,Q41291
Q62598236,Mission Shakti,rocket,Q41291
Q61098823,KSLV-III,rocket,Q41291
Q109786835,Space Launch System Core Stage,rocket,Q41291
Q1653329,Terrier Oriole,rocket,Q41291
Q389738,Tomahawk,rocket,Q41291
Q124963080,Maia,rocket,Q41291
Q130653,Zenit-C,rocket,Q41291
Q11344216,Maser,rocket,Q41291
Q97278931,LEX,rocket,Q41291
Q16001899,Advanced Cryogenic Evolved Stage,rocket,Q41291
Q137053008,P282 SMASH,rocket,Q41291
Q138306772,Long March 10B,rocket,Q41291
Q7438330,Scout X-1A,rocket,Q41291
Q7387063,S-III,rocket,Q41291
Q6717655,MS-II,rocket,Q41291
Q2332627,Starchaser 4,rocket,Q41291
Q134311808,Taimoor,rocket,Q41291
Q54382,Challenger,rocket,Q41291
Q54384,Discovery,rocket,Q41291
Q54381,Atlantis,rocket,Q41291
Q54383,Columbia,rocket,Q41291
Q182508,Endeavour,rocket,Q41291
Q339025,MIM-104 Patriot,rocket,Q41291
Q2548,Buran,rocket,Q41291
Q202347,Enterprise,rocket,Q41291
Q741548,Pathfinder,rocket,Q41291
Q633867,Ptichka,rocket,Q41291
Q1144839,R4M,rocket,Q41291
Q791480,Blue Steel,rocket,Q41291
Q5597534,Grasshopper,rocket,Q41291
Q18208012,Tianzhou 1,rocket,Q41291
Q6948727,Mysorean rockets,rocket,Q41291
Q367581,McDonnell Douglas DC-X,rocket,Q41291
Q701696,OK-GLI,rocket,Q41291
Q1377092,Orbiter 2.01,rocket,Q41291
Q2090730,Orbiter 2.02,rocket,Q41291
Q2090719,Orbiter 2.03,rocket,Q41291
Q994165,Independence,rocket,Q41291
Q1364106,A-002,rocket,Q41291
Q1367433,A-004,rocket,Q41291
Q2574972,VentureStar,rocket,Q41291
Q107348304,Tianzhou 3,rocket,Q41291
Q1366534,Nimrod,rocket,Q41291
Q106823153,Tianzhou 2,rocket,Q41291
Q6119291,Kosmos-1,rocket,Q41291
Q23749,Belier,rocket,Q41291
Q294352,ALAS,rocket,Q41291
Q123469921,Gravity-1,rocket,Q41291
Q112119394,Tianzhou 5,rocket,Q41291
Q2340885,al-Quds rocket,rocket,Q41291
Q7907157,VLM,rocket,Q41291
Q248551,Conestoga,rocket,Q41291
Q283021,Ares I-Y,rocket,Q41291
Q108809373,Tianzhou 4,rocket,Q41291
Q377174,2003 Alcântara VLS accident,rocket,Q41291
Q118128651,Tianzhou 6,rocket,Q41291
Q1601058,Véronique,rocket,Q41291
Q48997,Centaure,rocket,Q41291
Q366644,Dauphin,rocket,Q41291
Q380112,Topaze,rocket,Q41291
Q123822390,Tianzhou 7,rocket,Q41291
Q1419024,Rubis,rocket,Q41291
Q130377064,Tianzhou 8,rocket,Q41291
Q60411,Pencil Rocket,rocket,Q41291
Q380124,Daniel,rocket,Q41291
Q457327,Maxus,rocket,Q41291
Q55978911,B1048,rocket,Q41291
Q55978911,B1048,rocket,Q41291
Q39745,Kumulus,rocket,Q41291
Q3196199,Kholod,rocket,Q41291
Q4075513,Baikal-Angara,rocket,Q41291
Q107675778,OMTAS,rocket,Q41291
Q108127962,Ariane Next,rocket,Q41291
Q54263831,B1046,rocket,Q41291
Q54263831,B1046,rocket,Q41291
Q60753706,Karaok,rocket,Q41291
Q124715398,Tianlong-3,rocket,Q41291
Q6713957,M8,rocket,Q41291
Q7073104,OTRAG,rocket,Q41291
Q66486047,B1056,rocket,Q41291
Q66486047,B1056,rocket,Q41291
Q3054149,Saturn INT-20,rocket,Q41291
Q133575745,Rook,rocket,Q41291
Q130663,Leopard,rocket,Q41291
Q769348,Reusable Vehicle Testing,rocket,Q41291
Q112174919,B1058,rocket,Q41291
Q112174919,B1058,rocket,Q41291
Q4868621,Batar,rocket,Q41291
Q81996247,B1049,rocket,Q41291
Q81996247,B1049,rocket,Q41291
Q131903458,Drone Anti-Radar,rocket,Q41291
Q7426810,SA-500D,rocket,Q41291
Q22671470,Orion (rocket stage),rocket,Q41291
Q29405702,B1021,rocket,Q41291
Q29405702,B1021,rocket,Q41291
Q107304728,B1050,rocket,Q41291
Q107304728,B1050,rocket,Q41291
Q55754013,B1047,rocket,Q41291
Q55754013,B1047,rocket,Q41291
Q60754266,GÖKTUĞ,rocket,Q41291
Q113848267,VLS-1 V01,rocket,Q41291
Q114855082,2022 UQ1,rocket,Q41291
Q117830141,Ship 24,rocket,Q41291
Q111474874,Çakır,rocket,Q41291
Q4653915,ARS-2,rocket,Q41291
Q6137394,Super V-2,rocket,Q41291
Q63978775,B1051,rocket,Q41291
Q63978775,B1051,rocket,Q41291
Q97313034,B1060,rocket,Q41291
Q97313034,B1060,rocket,Q41291
Q131437796,Peregrine,rocket,Q41291
Q15890723,Blok DM-03,rocket,Q41291
Q7388403,SA-500F,rocket,Q41291
Q30623142,B1019,rocket,Q41291
Q30623142,B1019,rocket,Q41291
Q30682914,B1029,rocket,Q41291
Q30682914,B1029,rocket,Q41291
Q42710147,B1023,rocket,Q41291
Q42710147,B1023,rocket,Q41291
Q108824404,Ship 20,rocket,Q41291
Q109510052,Booster 4,rocket,Q41291
Q47540245,Ariane flight VA241,rocket,Q41291
Q61659120,Ariane flight VA247,rocket,Q41291
Q113864958,VLS-1 V02,rocket,Q41291
Q123464333,SN8,rocket,Q41291
Q123485096,Ship 25,rocket,Q41291
Q123485214,Booster 7,rocket,Q41291
Q123485215,Booster 9,rocket,Q41291
Q4654092,ASCAMP,rocket,Q41291
Q4789082,Ares V-Y,rocket,Q41291
Q4921507,Black Prince,rocket,Q41291
Q65049748,Ariane flight VA248,rocket,Q41291
Q66242504,Ariane flight VA249,rocket,Q41291
Q96271384,Vega flight VV16,rocket,Q41291
Q102146059,Vega flight VV17,rocket,Q41291
Q124879962,Ship 28,rocket,Q41291
Q124879865,Booster 10,rocket,Q41291
Q126409940,Ship 29,rocket,Q41291
Q126410046,Ship 30,rocket,Q41291
Q126497776,Ship 31,rocket,Q41291
Q126719750,BN3,rocket,Q41291
Q127298384,Ship 33,rocket,Q41291
Q130525367,Booster 11,rocket,Q41291
Q130525243,Booster 12,rocket,Q41291
Q131184319,SN9,rocket,Q41291
Q131292162,Booster 13,rocket,Q41291
Q131784910,Booster 14,rocket,Q41291
Q131867592,Fajr-2 (artillery rocket),rocket,Q41291
Q7572491,Inspiration,rocket,Q41291
Q133144679,Ship 34,rocket,Q41291
Q133144608,Booster 15,rocket,Q41291
Q133198280,Ship 35,rocket,Q41291
Q134572811,Falcon 9 Reusable Development Vehicle,rocket,Q41291
Q56290488,Vega flight VV01,rocket,Q41291
Q116029471,Vega-C flight VV22,rocket,Q41291
Q116029471,Vega-C flight VV22,rocket,Q41291
Q5114181,Chronology of Pakistan's rocket tests,rocket,Q41291
Q132444570,Ariane flight VA260,rocket,Q41291
Q132444583,Ariane flight VA261,rocket,Q41291
Q137669339,GIDS Sarkash,rocket,Q41291
