qid,label,class_label,class_qid
Q315796,Santa Claus,saint,Q43115
Q48438,Saint George,saint,Q43115
Q5764991,Sinterklaas,saint,Q43115
Q1580236,Father Christmas,saint,Q43115
Q1542263,Forty Martyrs of England and Wales,saint,Q43115
Q272101,Martina of Rome,saint,Q43115
Q2002789,William of Norwich,saint,Q43115
Q2080471,Little Saint Hugh of Lincoln,saint,Q43115
Q1372629,Gauchito Gil,saint,Q43115
Q6850261,Saint Nicholas,saint,Q43115
Q946904,Saint Glinglin,saint,Q43115
Q3947456,San La Muerte,saint,Q43115
Q12151190,Hieromartyrs of Cherson,saint,Q43115
Q6777753,Martyrs of Japan,saint,Q43115
Q6121928,Sarita Colonia,saint,Q43115
Q9073672,San Pascualito,saint,Q43115
Q12976197,Kaniyan Pungundranar,saint,Q43115
Q112230348,Martyrs of New Guinea,saint,Q43115
Q6256955,John Schorne,saint,Q43115
Q76486,Saints Cosmas and Damian,saint,Q43115
Q1136827,Virgin of Almudena,saint,Q43115
Q1970130,Virgin of Suyapa,saint,Q43115
Q2964920,San juan patrón,saint,Q43115
Q5681477,Bibi Seshanbe,saint,Q43115
Q66299149,Virgen de los Angeles,saint,Q43115
Q19863175,Our Lady of Miracles,saint,Q43115
Q55629241,patron saints of the Hen Ogledd,saint,Q43115
Q7068580,"Our Lady of the Most Holy Rosary, Queen of the Caracol",saint,Q43115
