qid,label,class_label,class_qid
Q425779,mail order,sales,Q194189
Q962382,direct selling,sales,Q194189
Q688702,door-to-door,sales,Q194189
Q2829432,Al-Yamamah arms deal,sales,Q194189
Q2793360,personal selling,sales,Q194189
Q7404318,sales engineering,sales,Q194189
Q106298799,livestream shopping,sales,Q194189
Q7141154,party plan,sales,Q194189
Q108661190,Polish arms sales to Republican Spain,sales,Q194189
Q4778792,Aotearapa,sales,Q194189
Q4708400,Alarums and Excursions,sales,Q194189
Q58014,Allegro,sales,Q194189
Q2805487,Catawiki,sales,Q194189
Q11567355,non-store retailing,sales,Q194189
Q16845269,Howth gun-running,sales,Q194189
Q4769695,Annual pharmaceutical drug sales,sales,Q194189
Q5434277,FAPA,sales,Q194189
Q106867849,MV Karagatan incident,sales,Q194189
Q123376457,Fear City pamphlets,sales,Q194189
Q124289317,Amrita Sher-Gil's paintings at Lahore,sales,Q194189
Q136759873,2026 Bangladesh Premier League player auction,sales,Q194189
