qid,label,class_label,class_qid
Q273535,HEC Paris,school,Q3914
Q37819,Auckland Grammar School,school,Q3914
Q174335,French Civil Aviation University,school,Q3914
Q183213,Institut Polytechnique des Sciences Avancées,school,Q3914
Q859363,Sciences Po,school,Q3914
Q1189954,Mines ParisTech,school,Q3914
Q192088,Eton College,school,Q3914
Q29293,ESCP Business School,school,Q3914
Q1136829,INSEAD,school,Q3914
Q163782,St Peter's College,school,Q3914
Q202479,Academy of Esperanto,school,Q3914
Q273638,"ESPCI Paris, PSL University",school,Q3914
Q273570,École des chartes,school,Q3914
Q49126,Harvard Business School,school,Q3914
Q273593,Beaux-Arts de Paris,school,Q3914
Q273642,ESSEC Business School,school,Q3914
Q839224,Grenoble School of Management,school,Q3914
Q1795504,Emlyon Business School,school,Q3914
Q572286,University of Sarajevo,school,Q3914
Q463055,Conservatoire de Paris,school,Q3914
Q3156522,IESEG School of Management,school,Q3914
Q1968395,Audencia Business School,school,Q3914
Q1659456,ISG Business School,school,Q3914
Q1329269,The Wharton School,school,Q3914
Q1683524,Kuehne Logistics University,school,Q3914
Q1247373,Harrow School,school,Q3914
Q16665962,NEOMA Business School,school,Q3914
Q16647785,KEDGE Business School,school,Q3914
Q3578449,PSB Paris School of Business,school,Q3914
Q3146547,ICN Business School,school,Q3914
Q2311820,Télécom Paris,school,Q3914
Q838454,ENSTA Paris,school,Q3914
Q3486229,Skema Business School,school,Q3914
Q769040,EDHEC Business School,school,Q3914
Q3117393,TBS Education,school,Q3914
Q1275372,ENSAE Paris,school,Q3914
Q1275285,EM Strasbourg Business School,school,Q3914
Q269273,Spanish Riding School,school,Q3914
Q482459,Summerhill School,school,Q3914
Q3117571,Montpellier Business School,school,Q3914
Q3578499,École Supérieure des Sciences Commerciales d’Angers,school,Q3914
Q3546588,Institut Mines-Telecom Business School,school,Q3914
Q3578436,Excelia,school,Q3914
Q3578432,Clermont School of Business,school,Q3914
Q3577891,École de management de Normandie,school,Q3914
Q46026,Indian Institutes of Management,school,Q3914
Q1061504,Stockholm School of Economics,school,Q3914
Q1059517,Winchester College,school,Q3914
Q389336,American Academy of Dramatic Arts,school,Q3914
Q273534,École du Louvre,school,Q3914
Q1132066,École Spéciale Militaire de Saint-Cyr,school,Q3914
Q10159,École Normale Supérieure de Lyon,school,Q3914
Q1127387,Conservatoire national supérieur d'art dramatique,school,Q3914
Q414464,Academy of Gondishapur,school,Q3914
Q1191344,Northern Illinois University,school,Q3914
Q3577870,School of the Air and Space,school,Q3914
Q1481050,London Business School,school,Q3914
Q546633,Hanlin Academy,school,Q3914
Q273447,École Centrale Paris,school,Q3914
Q49127,John F. Kennedy School of Government,school,Q3914
Q273493,Supélec,school,Q3914
Q877686,University of Applied Arts Vienna,school,Q3914
Q414110,"Academy of Arts, Berlin",school,Q3914
Q1341516,Westminster School,school,Q3914
Q324478,Academy of Persian Language and Literature,school,Q3914
Q797078,New York University Tisch School of the Arts,school,Q3914
Q1702850,École pour l'informatique et les techniques avancées,school,Q3914
Q495992,Le Cordon Bleu,school,Q3914
Q338523,Accademia di San Luca,school,Q3914
Q1138556,La Fémis,school,Q3914
Q2728155,Royal Galician Academy,school,Q3914
