qid,label,class_label,class_qid
Q10672931,social psychologist,scientist,Q901
Q6730151,Maggid shiur,scientist,Q901
Q15993503,Kenneth R. Shoulders,scientist,Q901
Q61061,chancellor,scientist,Q901
Q2287154,Snopes,scientist,Q901
Q4249459,Qutb,scientist,Q901
Q499143,preceptor,scientist,Q901
Q1143522,Cult of the Dead Cow,scientist,Q901
Q7378660,Ruhi Institute,scientist,Q901
Q1957497,Royal Astronomer of Ireland,scientist,Q901
Q3285887,December 1960 demonstrations in Algeria,scientist,Q901
Q6682074,Los Angeles County Department of Medical Examiner,scientist,Q901
Q55616360,LGBT people in science,scientist,Q901
Q75276690,faktograf.hr,scientist,Q901
Q124361700,President of the University of Jordan,scientist,Q901
Q19971310,Mimikama,scientist,Q901
Q7241386,President of the University of the Philippines,scientist,Q901
Q116142032,Rumor Scanner Bangladesh,scientist,Q901
Q17087639,TruthOrFiction.com,scientist,Q901
Q19563401,Sidi Bel Abbas sanctuary,scientist,Q901
Q21406629,President of Columbia University,scientist,Q901
Q28401849,Guccifer 2.0,scientist,Q901
Q39087615,Verrit,scientist,Q901
Q48893950,Q48893950,scientist,Q901
Q5070789,Chancellor of Uppsala University,scientist,Q901
Q5524437,Gartons Limited,scientist,Q901
Q108907236,Professor of Civil Engineering,scientist,Q901
Q131176537,Robinah Nansubuga,scientist,Q901
Q113513490,Banting Postdoctoral Fellowship,scientist,Q901
Q137996956,Murray Greene,scientist,Q901
Q55263662,President of the George Washington University,scientist,Q901
Q7241201,President of Imperial College London,scientist,Q901
Q7774345,The Westwood Academy,scientist,Q901
