qid,label,class_label,class_qid
Q190542,Costa Concordia,ship,Q11446
Q274924,Admiral Kuznetsov,ship,Q11446
Q192381,Oasis of the Seas,ship,Q11446
Q191888,Queen Mary 2,ship,Q11446
Q461375,Charles de Gaulle,ship,Q11446
Q215692,HMHS Britannic,ship,Q11446
Q504096,RMS Carpathia,ship,Q11446
Q155014,MV Wilhelm Gustloff,ship,Q11446
Q33209,Mary Celeste,ship,Q11446
Q372672,Granma,ship,Q11446
Q369987,USS Enterprise,ship,Q11446
Q838125,USS Hornet,ship,Q11446
Q83257,Allure of the Seas,ship,Q11446
Q741803,RMS Mauretania,ship,Q11446
Q129200,Liaoning,ship,Q11446
Q311245,USS Yorktown,ship,Q11446
Q756846,White Ship,ship,Q11446
Q752939,RMS Queen Mary,ship,Q11446
Q733293,SS Great Eastern,ship,Q11446
Q194109,Freedom of the Seas,ship,Q11446
Q832395,Oseberg ship,ship,Q11446
Q838148,USS Lexington,ship,Q11446
Q320967,Akagi,ship,Q11446
Q304703,Normandie,ship,Q11446
Q303755,Príncipe de Asturias,ship,Q11446
Q3284481,INS Vikramaditya,ship,Q11446
Q156962,German aircraft carrier Graf Zeppelin,ship,Q11446
Q1208722,Diamond Princess,ship,Q11446
Q570007,Hiryū,ship,Q11446
Q852981,USS Saratoga,ship,Q11446
Q1244204,Queen Elizabeth 2,ship,Q11446
Q1253637,MV Doña Paz,ship,Q11446
Q241858,Japanese aircraft carrier Shinano,ship,Q11446
Q212975,Deepwater Horizon,ship,Q11446
Q1444474,HMS Queen Elizabeth,ship,Q11446
Q749453,Japanese aircraft carrier Sōryū,ship,Q11446
Q593485,liberty ship,ship,Q11446
Q842494,Cavour,ship,Q11446
Q726146,Kaga,ship,Q11446
Q29654179,Chinese aircraft carrier Fujian,ship,Q11446
Q1333909,HMS Ark Royal,ship,Q11446
Q849588,Japanese aircraft carrier Shōkaku,ship,Q11446
Q228691,Japanese aircraft carrier Zuikaku,ship,Q11446
Q24174815,Chinese aircraft carrier Shandong,ship,Q11446
Q493798,SS Andrea Doria,ship,Q11446
Q562674,USS Essex,ship,Q11446
Q860057,USS Langley,ship,Q11446
Q35462,RMS Aquitania,ship,Q11446
Q1141355,USS Hornet,ship,Q11446
Q1361626,USS Bunker Hill,ship,Q11446
Q1351288,USS Intrepid,ship,Q11446
Q677346,USS Wasp,ship,Q11446
Q533218,RMS Queen Elizabeth,ship,Q11446
Q165142,SS Cap Arcona,ship,Q11446
Q475704,HMS Birkenhead,ship,Q11446
Q1044197,USS Ranger,ship,Q11446
Q946641,SS Great Western,ship,Q11446
Q14565078,INS Vikrant,ship,Q11446
Q907779,USS Midway,ship,Q11446
Q860823,Hōshō,ship,Q11446
