qid,label,class_label,class_qid
Q51112,Galleria Vittorio Emanuele II,shopping mall,Q11315
Q1066448,Mall of the Emirates,shopping mall,Q11315
Q595289,Çiçek Pasajı,shopping mall,Q11315
Q431326,Center of New Industries and Technologies,shopping mall,Q11315
Q1007726,Galleria Umberto I,shopping mall,Q11315
Q2928520,Q2928520,shopping mall,Q11315
Q685328,109,shopping mall,Q11315
Q1314020,galerie Vivienne,shopping mall,Q11315
Q3141829,passage des Panoramas,shopping mall,Q11315
Q659605,Downtown Disney,shopping mall,Q11315
Q55908607,Raffles City Chongqing,shopping mall,Q11315
Q118505,Abenobashi Terminal Building,shopping mall,Q11315
Q17741507,Palace of Youth and Sports,shopping mall,Q11315
Q3267633,Tokyo Dome City Hall,shopping mall,Q11315
Q53678081,Iran Mall,shopping mall,Q11315
Q1567455,Passage Brady,shopping mall,Q11315
Q3041894,JR Tower,shopping mall,Q11315
Q2910753,Dizengoff Center,shopping mall,Q11315
Q10620164,Parco,shopping mall,Q11315
Q2055773,Passage Jouffroy,shopping mall,Q11315
Q1373064,Galerie Véro-Dodat,shopping mall,Q11315
Q1678564,passage du Havre,shopping mall,Q11315
Q5411833,Eurodom Osijek,shopping mall,Q11315
Q7141582,Pasajul Macca-Vilacrosse,shopping mall,Q11315
Q8015602,LANDMARK,shopping mall,Q11315
Q2055787,passage Choiseul,shopping mall,Q11315
Q11280640,Palette Town,shopping mall,Q11315
Q10899202,Bopiliao,shopping mall,Q11315
Q4210050,Trans Studio Bandung,shopping mall,Q11315
Q6110328,Jabłkowski Brothers,shopping mall,Q11315
Q48752023,Tokyo Midtown Hibiya,shopping mall,Q11315
Q29368534,Design Village,shopping mall,Q11315
Q7231523,Portanova,shopping mall,Q11315
Q101166748,Galleria De Bono,shopping mall,Q11315
Q8080241,İstinye Park,shopping mall,Q11315
Q699573,Miramar Entertainment Park,shopping mall,Q11315
Q1770607,Laforet,shopping mall,Q11315
Q4903588,Bicester Village,shopping mall,Q11315
Q5654778,HarbourFront Centre,shopping mall,Q11315
Q3074946,Senayan City,shopping mall,Q11315
Q7421096,Sapporo Factory,shopping mall,Q11315
Q7190556,Piccadilly Arcade,shopping mall,Q11315
Q5132057,Cleveland Arcade,shopping mall,Q11315
Q109906715,Pavilion Bukit Jalil,shopping mall,Q11315
Q2195759,Mall Taman Anggrek,shopping mall,Q11315
Q10908826,T.S. Mall,shopping mall,Q11315
Q4818463,Santa Monica Place,shopping mall,Q11315
Q4355281,Flamingo,shopping mall,Q11315
Q3757734,Galleria del Corso,shopping mall,Q11315
Q20249846,Dixi,shopping mall,Q11315
Q19727972,Kota Kasablanka,shopping mall,Q11315
Q19738020,Gandaria City,shopping mall,Q11315
Q6743994,Mall of Indonesia,shopping mall,Q11315
Q5658181,Mylly,shopping mall,Q11315
Q5613444,Guam Premier Outlets,shopping mall,Q11315
Q5580216,Goldis Tower,shopping mall,Q11315
Q2596789,Kalverpassage,shopping mall,Q11315
Q2551707,Pondok Indah Mall,shopping mall,Q11315
Q28936439,Mall of Egypt,shopping mall,Q11315
Q11858050,Entresse,shopping mall,Q11315
Q11682033,Galería Güemes,shopping mall,Q11315
Q7421091,Sapporo ESTA,shopping mall,Q11315
Q7170209,Persian Gulf Complex,shopping mall,Q11315
Q7093026,One New Change,shopping mall,Q11315
Q7085259,Old Town,shopping mall,Q11315
Q5364655,Festivalgate,shopping mall,Q11315
Q16245602,City Centre Alexandria,shopping mall,Q11315
Q106777907,Asian Garden Mall,shopping mall,Q11315
Q50656615,Akropolis,shopping mall,Q11315
Q110920869,Mall of the North,shopping mall,Q11315
Q73524111,Avrupa Pasajı,shopping mall,Q11315
Q67933235,Mitsui Shopping Park LaLaport,shopping mall,Q11315
Q66048971,Trans Studio Cibubur,shopping mall,Q11315
Q10337451,NorteShopping RJ,shopping mall,Q11315
Q14300084,Gotemba Premium Outlets,shopping mall,Q11315
