qid,label,class_label,class_qid
Q43018,Temple of Ephesian Artemis,shrine,Q697295
Q184427,Ajanta Caves,shrine,Q697295
Q3906600,Temple in Jerusalem,shrine,Q697295
Q191763,Itsukushima Shrine,shrine,Q697295
Q125445,Temple of Heaven,shrine,Q697295
Q522862,Karnak Temple Complex,shrine,Q697295
Q205136,Cathedral of Santiago de Compostela,shrine,Q697295
Q191687,Heliopolis,shrine,Q697295
Q186282,Basilica di Santa Maria Maggiore,shrine,Q697295
Q319841,Luxor Temple,shrine,Q697295
Q940843,Lotus Temple,shrine,Q697295
Q29238,Pyramid of the Sun,shrine,Q697295
Q242741,Erechtheion,shrine,Q697295
Q216862,Ġgantija,shrine,Q697295
Q242803,Yasukuni Shrine,shrine,Q697295
Q613037,Temple of Edfu,shrine,Q697295
Q156675,Wieskirche,shrine,Q697295
Q380384,Pashupatinath Temple,shrine,Q697295
Q687168,Ise Jingū,shrine,Q697295
Q654024,Bayon,shrine,Q697295
Q174779,Batalha Monastery,shrine,Q697295
Q138388,Blue Mosque,shrine,Q697295
Q384813,Temple of Athena Nike,shrine,Q697295
Q684072,Garni Temple,shrine,Q697295
Q1128327,Temple of Kukulcan,shrine,Q697295
Q753791,Temple of Vesta,shrine,Q697295
Q408318,Bulguksa,shrine,Q697295
Q714828,Fushimi Inari-taisha,shrine,Q697295
Q4243,Sheikh Safi al-Din Khānegāh and Shrine Ensemble,shrine,Q697295
Q752318,Pilgrimage Church of Saint John of Nepomuk,shrine,Q697295
Q1123019,Temple of Olympian Zeus,shrine,Q697295
Q810684,Basilica of Our Lady of the Pillar,shrine,Q697295
Q1791841,Imam Reza Shrine,shrine,Q697295
Q1849858,Akshardham,shrine,Q697295
Q746721,Temple of Saturn,shrine,Q697295
Q135779,House of the Virgin Mary,shrine,Q697295
Q573920,Jasna Góra Monastery,shrine,Q697295
Q34485,Basilica of Candelaria,shrine,Q697295
Q752555,Temple of Antoninus and Faustina,shrine,Q697295
Q849241,Temple of Portunus,shrine,Q697295
Q797481,Temple of Bel,shrine,Q697295
Q790099,Banteay Srei,shrine,Q697295
Q586468,Temple of Jupiter Optimus Maximus,shrine,Q697295
Q739802,Sarmizegetusa Regia,shrine,Q697295
Q197019,Temple of Zeus in Olympia,shrine,Q697295
Q774021,Templo Mayor,shrine,Q697295
Q735254,Dendera Temple complex,shrine,Q697295
Q1133288,Temple of Caesar,shrine,Q697295
Q430792,Temple of Venus and Roma,shrine,Q697295
Q790118,Baphuon,shrine,Q697295
Q696362,Izumo Taisha,shrine,Q697295
Q1243401,Temple of Kom Ombo,shrine,Q697295
Q2707216,Bom Jesus do Monte,shrine,Q697295
Q669743,Mariazell Basilica,shrine,Q697295
Q928707,Esagila,shrine,Q697295
Q828143,Temple of Concord,shrine,Q697295
Q1456939,Temple of Peace,shrine,Q697295
Q714559,Kasuga-taisha,shrine,Q697295
Q7709620,Sanctuary of Our Lady of Lourdes,shrine,Q697295
Q20871005,Temple of Baalshamin,shrine,Q697295
Q576929,Temple of Hercules Victor,shrine,Q697295
Q1496690,Gaztelugatxe,shrine,Q697295
Q700448,Kamigamo Shrine,shrine,Q697295
Q1157765,Dakshineswar Kali Temple,shrine,Q697295
Q601605,Banteay Kdei,shrine,Q697295
Q305419,Basilica of Our Lady of Guadalupe,shrine,Q697295
Q731284,Temple of Vespasian and Titus,shrine,Q697295
Q1462314,Shrine of the Báb,shrine,Q697295
Q2149114,A-Ma Temple,shrine,Q697295
Q1957722,Shah Cheragh shrine,shrine,Q697295
Q521646,Serapeum of Alexandria,shrine,Q697295
Q1510389,Sanctuary of Atotonilco,shrine,Q697295
Q692714,Yasaka Shrine,shrine,Q697295
Q2088381,Basilica of Notre-Dame-d'Afrique,shrine,Q697295
Q604708,Banteay Samré,shrine,Q697295
Q1149480,Temple of All Religions,shrine,Q697295
Q789081,Baksei Chamkrong,shrine,Q697295
Q596988,Temple of Aphaea,shrine,Q697295
Q542756,Haji Ali Dargah,shrine,Q697295
Q1474792,Temple at Uppsala,shrine,Q697295
Q1462523,Serabit el-Khadim,shrine,Q697295
Q482065,Atsuta Jingū,shrine,Q697295
Q212110,Fatima Masumeh Shrine,shrine,Q697295
Q701620,Shimogamo Shrine,shrine,Q697295
Q2459870,Temple of Venus Genetrix,shrine,Q697295
Q615178,Temple of Earth,shrine,Q697295
Q187499,Shrine of Bahá'u'lláh,shrine,Q697295
Q6127154,"Jama Masjid, Fatehpur Sikri",shrine,Q697295
Q662176,Kitano Tenmangū,shrine,Q697295
Q770030,Temple of Augustus,shrine,Q697295
Q1035075,Hekatompedon temple,shrine,Q697295
Q706970,Eanna,shrine,Q697295
Q451698,Amada,shrine,Q697295
Q1640233,Temple of Augustus in Ankara,shrine,Q697295
Q803709,Baidicheng,shrine,Q697295
Q63368,Real Santuario del Cristo de La Laguna,shrine,Q697295
Q3101506,Sukuh,shrine,Q697295
Q3983202,Temple of Concordia,shrine,Q697295
Q665154,Santa Cristina de Lena,shrine,Q697295
Q770143,Romuva,shrine,Q697295
Q583589,Ujigami Shrine,shrine,Q697295
Q104868770,Quba Mere Diwane,shrine,Q697295
Q20577625,Metekhi church,shrine,Q697295
Q5222593,Ajmer Sharif Dargah,shrine,Q697295
Q683988,Old Temple of Athena,shrine,Q697295
Q2499524,Monastery of Santa Cruz,shrine,Q697295
Q1306606,Kamo Shrine,shrine,Q697295
Q633572,"Temple of Hera, Olympia",shrine,Q697295
Q1189293,National Expiatory Basilica of the Sacred Heart of Jesus,shrine,Q697295
Q600269,Po Nagar,shrine,Q697295
Q980745,Shrine of the Virgin of the Rosary of Pompei,shrine,Q697295
Q705949,Sumiyoshi Taisha,shrine,Q697295
Q1587164,Kapaleeshwarar Temple,shrine,Q697295
Q2699249,Temple of Apollo,shrine,Q697295
Q2561983,Capela dos Ossos,shrine,Q697295
Q2167317,sanctuary of Loyola,shrine,Q697295
Q680679,Temple of the Moon,shrine,Q697295
Q1324080,Mosque of Cristo de la Luz,shrine,Q697295
Q599465,West Mebon,shrine,Q697295
Q218813,Suwa taisha,shrine,Q697295
Q964720,Temple of the Sun,shrine,Q697295
Q710098,Iwashimizu Hachimangū,shrine,Q697295
Q701927,Futarasan Shrine,shrine,Q697295
Q20423672,Temple of Hercules,shrine,Q697295
Q2627029,Sanctuary of Fátima,shrine,Q697295
Q679665,Temple of Mars Ultor,shrine,Q697295
Q3537502,Chennakesava Temple at Somanathapura Mysore,shrine,Q697295
Q1171865,"Dashavatara Temple, Deogarh",shrine,Q697295
Q715632,Usa Jingū,shrine,Q697295
Q1503673,Temple of Isis in Philae,shrine,Q697295
Q1478640,Santuari de Lluc,shrine,Q697295
Q1620674,Timotesubani,shrine,Q697295
Q3517528,Temple of Isis,shrine,Q697295
Q17051553,Older Parthenon,shrine,Q697295
Q2595680,Temple of Bellona,shrine,Q697295
Q4984151,Buddha Dhatu Jadi,shrine,Q697295
Q4955510,Brahma Temple,shrine,Q697295
Q4115642,Temple of Hibis,shrine,Q697295
Q3983230,Temple of Athena Alea (Tegea),shrine,Q697295
Q3529714,Yoshino Mikumari Shrine,shrine,Q697295
Q2390081,Pura Ulun Danu Batur,shrine,Q697295
Q4501094,"Temple of Jupiter, Split",shrine,Q697295
Q2364438,Knock Shrine,shrine,Q697295
Q1287859,Mussenden Temple,shrine,Q697295
Q670049,Asakusa Shrine,shrine,Q697295
Q1219688,Temple of Vesta,shrine,Q697295
Q1991217,Temple of Bacchus,shrine,Q697295
Q3765487,Sharada Peeth,shrine,Q697295
Q1728322,Wadi es-Sebua,shrine,Q697295
Q1025465,Muktinath Temple,shrine,Q697295
Q522170,Santa Cueva de Covadonga,shrine,Q697295
Q703633,Hikawa Shrine,shrine,Q697295
Q21079381,Temple of Jupiter,shrine,Q697295
Q7698734,"Temple of Jupiter, Damascus",shrine,Q697295
Q2654754,Temple of Artemis,shrine,Q697295
Q7275290,Vithoba Temple,shrine,Q697295
Q3915491,Basilica Shrine of the Black Madonna,shrine,Q697295
Q2373648,Santuario della Madonna del Divino Amore,shrine,Q697295
Q3595240,Mahalakshmi Temple,shrine,Q697295
Q2033435,Osireion,shrine,Q697295
Q2000309,Temple of the Olympian Zeus,shrine,Q697295
Q335618,Kumano Hayatama Taisha,shrine,Q697295
Q11704302,Temple of Kalabsha,shrine,Q697295
Q1801200,Lakshmana Temple,shrine,Q697295
Q582353,Temple of Apollo Sosianus,shrine,Q697295
Q717682,Kanda-myōjin,shrine,Q697295
Q706499,Kashima Jingū,shrine,Q697295
Q705035,Kumano Hongū Taisha,shrine,Q697295
Q383609,Temple of Cybele,shrine,Q697295
Q710359,Kumano Nachi Taisha,shrine,Q697295
Q203959,Shrine of Venus Cloacina,shrine,Q697295
Q791823,Sanctuary of the Queen of Sheba,shrine,Q697295
Q6523426,Lenyadri,shrine,Q697295
Q3309400,Temple of Jupiter,shrine,Q697295
Q3142437,Temple of Apollo Patroos,shrine,Q697295
Q3109752,Royal Chapel of St. Anthony of La Florida,shrine,Q697295
Q3108092,Sanctuary of Arantzazu,shrine,Q697295
Q2767976,Mallikarjuna Temple,shrine,Q697295
Q6934358,Multan Sun Temple,shrine,Q697295
Q2288275,Temple of Isis and Serapis,shrine,Q697295
Q2185890,Tikal Temple I,shrine,Q697295
Q3630572,Banke Bihari Temple,shrine,Q697295
Q335612,Nezu Shrine,shrine,Q697295
Q322678,Our Lady of Altötting,shrine,Q697295
Q1641913,Imamzadeh Saleh,shrine,Q697295
Q705542,Ōmiwa Shrine,shrine,Q697295
Q176502,"St. Bartholomew's Church, Berchtesgaden",shrine,Q697295
Q834058,Temple of Amenhotep IV,shrine,Q697295
Q402368,Takeda Shrine,shrine,Q697295
Q713177,Yoshida Shrine,shrine,Q697295
Q28471420,"St. Alexander Nevsky's Church, Novocherkassk",shrine,Q697295
Q3481204,Shah Abdol-Azim Shrine,shrine,Q697295
Q3297735,Basilica of Begoña,shrine,Q697295
Q3271236,St Lawrence's Church,shrine,Q697295
Q2620389,Simhachalam Temple,shrine,Q697295
Q2579576,Temple of Jupiter Stator,shrine,Q697295
Q2574009,Gedong Songo,shrine,Q697295
Q12243214,Al-Sayeda Zainab Mosque,shrine,Q697295
Q6912006,Morgaon Ganesha Temple,shrine,Q697295
Q3522649,Parthasarathy Temple,shrine,Q697295
Q1992203,temple of Diana,shrine,Q697295
Q291241,Temple of Dakka,shrine,Q697295
Q773565,Precinct of Mut,shrine,Q697295
Q523765,Temple of Claudius,shrine,Q697295
Q833484,Temple of Friendship,shrine,Q697295
Q94760,Kotohira-gū,shrine,Q697295
Q807317,Barbar Temple,shrine,Q697295
Q17510290,Akshardham,shrine,Q697295
Q3517620,Shite-thaung Temple,shrine,Q697295
Q3517553,"Durga temple, Aihole",shrine,Q697295
Q6360375,Kanaka Durga Temple,shrine,Q697295
Q3517517,Temple of Ellesyia,shrine,Q697295
Q3517516,Temple of Augustus and Livia,shrine,Q697295
Q15234273,Kataragama temple,shrine,Q697295
Q5952790,Imamzadeh Husayn,shrine,Q697295
Q2738068,Madonna del Ghisallo,shrine,Q697295
Q3983167,Temple of Clitumnus,shrine,Q697295
Q2639733,Thean Hou Temple,shrine,Q697295
Q4916532,"Birla Mandir, Hyderabad",shrine,Q697295
Q2887149,"Saint-Nicolas, Saint-Nicolas-de-Port",shrine,Q697295
Q2886911,Basilica of Our Lady of the Children,shrine,Q697295
Q3536077,"Sri Srinivasa Perumal Temple, Singapore",shrine,Q697295
Q2353723,Ptghnavank,shrine,Q697295
Q2158122,Thian Hock Keng,shrine,Q697295
Q2122537,Temple of the Nymphs,shrine,Q697295
Q2118071,Temple of Aphrodite Urania,shrine,Q697295
Q2093752,Thatbyinnyu Temple,shrine,Q697295
Q2093288,Gundicha Temple,shrine,Q697295
Q3595863,Kollur Mookambika Temple,shrine,Q697295
Q656451,Hiyoshi Taisha,shrine,Q697295
Q1207545,Dhammayangyi Temple,shrine,Q697295
Q1920706,Menri Monastery,shrine,Q697295
Q1750928,Sulamani Temple,shrine,Q697295
Q1061529,Chamundeshwari Temple,shrine,Q697295
Q579874,Yue Fei Temple,shrine,Q697295
Q710086,Ikuta Shrine,shrine,Q697295
Q709079,Na Tcha Temple,shrine,Q697295
Q460230,Jaromarsburg,shrine,Q697295
Q453634,Second Temple of Hera in Paestum,shrine,Q697295
Q142565,Santa Maria de Lara,shrine,Q697295
Q704962,Munakata Taisha,shrine,Q697295
Q840967,Tsubaki Grand Shrine of America,shrine,Q697295
Q1384780,Tōgō Shrine,shrine,Q697295
Q713021,Atago Shrine,shrine,Q697295
Q28657469,Church of the Ascension,shrine,Q697295
Q28166116,Church of the Intercession,shrine,Q697295
Q19320674,Buġibba Temple,shrine,Q697295
Q6350697,Kalaram Temple,shrine,Q697295
Q28801391,Church of Christ the Savior,shrine,Q697295
Q19671049,Kankalini Temple,shrine,Q697295
Q3514403,Tal-Qadi Temple,shrine,Q697295
Q3342246,Niukanshōfu Shrine,shrine,Q697295
Q3218064,Nan Hua Temple,shrine,Q697295
Q13181099,Chinnamasta Bhagawati,shrine,Q697295
Q4419997,Musmeah Yeshua Synagogue,shrine,Q697295
Q12448686,Ranakpur Jain Temple,shrine,Q697295
Q2770925,Temple of Hercules Musarum,shrine,Q697295
Q2717827,Arya Diwaker,shrine,Q697295
Q3074203,Temple of Trajan,shrine,Q697295
Q3983242,Temple of Heracles,shrine,Q697295
Q2845916,Aqaba Church,shrine,Q697295
Q3983226,Temple of Athena,shrine,Q697295
Q3983181,Temple E at Selinunte,shrine,Q697295
Q5615319,Guhyeshwari Temple,shrine,Q697295
Q2372311,Pompeion,shrine,Q697295
Q2405583,Temple of Ares,shrine,Q697295
Q2288627,Temple of Serapis,shrine,Q697295
Q2223786,Madonna delle Lacrime Sanctuary,shrine,Q697295
Q2216953,Temple of Diana,shrine,Q697295
Q2145005,Temple of Rome and Augustus,shrine,Q697295
Q3555920,"Temple of Hera, Paestum",shrine,Q697295
Q1852046,Akshardham (Gandhinagar),shrine,Q697295
Q1982229,Nevigeser Wallfahrtsdom,shrine,Q697295
Q314092,Apollinaris Church,shrine,Q697295
Q3774277,Basilica of Our Lady of Covadonga,shrine,Q697295
Q281550,Templo de Kun Iam Tong,shrine,Q697295
Q1147328,Mahavira Hall,shrine,Q697295
Q1722063,Kalasasaya,shrine,Q697295
Q246924,Madonna del Sasso,shrine,Q697295
Q1050134,Olomouc Orthodox Church,shrine,Q697295
Q998709,Oyama Shrine,shrine,Q697295
Q708859,Isonokami Jingū,shrine,Q697295
Q705310,Hakone Shrine,shrine,Q697295
Q1466105,Hirota Shrine,shrine,Q697295
Q705154,Niutsuhime Shrine,shrine,Q697295
Q840346,Koneswaram Temple,shrine,Q697295
Q712824,Kibitsu Shrine,shrine,Q697295
Q714742,Hakozaki Shrine,shrine,Q697295
Q28651023,St. Nicholas' Church,shrine,Q697295
Q28544905,Trinity Church,shrine,Q697295
Q28465139,Church of the Intercession,shrine,Q697295
