qid,label,class_label,class_qid
Q2268003,Kill Rock 'n Roll,single,Q134556
Q763635,"Puss / Oh, the Guilt",single,Q134556
Q85811624,Feel Me,single,Q134556
Q47168918,Homesick,single,Q134556
Q15239903,Doki Doki Morning,single,Q134556
Q113292780,Ready for Love,single,Q134556
Q117474505,Zero,single,Q134556
Q118976554,Watati,single,Q134556
Q111962750,Dandelions,single,Q134556
Q17002172,Along for the Ride,single,Q134556
Q10847321,Girls: Selfish,single,Q134556
Q88548796,Dolerme,single,Q134556
Q42530260,Help Me Out,single,Q134556
Q17061185,The Looking Glass,single,Q134556
Q10915475,Heartbeat of Taiwan,single,Q134556
Q10377908,Take a Hint,single,Q134556
Q131523399,Gli sbandati hanno perso,single,Q134556
Q61013860,Happy New Year Do Re Mi,single,Q134556
Q113661055,Pulchritude,single,Q134556
Q55622611,Meaning of Life,single,Q134556
Q134194855,I Ain't Comin' Back,single,Q134556
Q131564962,Drive,single,Q134556
Q28416877,Hand in Hand,single,Q134556
Q45260952,Attraction of Sexy Lips,single,Q134556
Q122378463,World Dance,single,Q134556
Q7044285,No Hiding From the Blackbird / Burial of the Stoned Sardine,single,Q134556
Q5616371,Guilty,single,Q134556
Q5418585,Evolution,single,Q134556
Q43302969,Loopflesh / Fleshloop,single,Q134556
Q30592604,Sons of Alpha Centauri/A Death Cinematic,single,Q134556
