qid,label,class_label,class_qid
Q6922586,Mount Olympus Ski Area,ski resort,Q130003
Q207589,Val-d'Isère,ski resort,Q130003
Q35188,La Thuile,ski resort,Q130003
Q330899,Tignes,ski resort,Q130003
Q259283,Megève,ski resort,Q130003
Q659996,Sankt Anton am Arlberg,ski resort,Q130003
Q476465,Saint-Véran,ski resort,Q130003
Q530721,La Clusaz,ski resort,Q130003
Q389882,Le Grand-Bornand,ski resort,Q130003
Q624323,La Grave,ski resort,Q130003
Q877518,Risoul,ski resort,Q130003
Q933254,Montgenèvre,ski resort,Q130003
Q865733,Saint-Martin-d'Entraunes,ski resort,Q130003
Q1001887,Ifrane,ski resort,Q130003
Q534206,Saint-Gervais-les-Bains,ski resort,Q130003
Q819331,Bussang,ski resort,Q130003
Q950651,Crévoux,ski resort,Q130003
Q1112934,Selonnet,ski resort,Q130003
Q857209,Roubion,ski resort,Q130003
Q366962,Cauterets,ski resort,Q130003
Q1085709,Saint-Michel-de-Chaillol,ski resort,Q130003
Q1086670,Les Orres,ski resort,Q130003
Q1086638,Réallon,ski resort,Q130003
Q1087781,Molines-en-Queyras,ski resort,Q130003
Q567783,Aussois,ski resort,Q130003
Q696634,Chamrousse,ski resort,Q130003
Q768759,Sixt-Fer-à-Cheval,ski resort,Q130003
Q1085971,Saint-Léger-les-Mélèzes,ski resort,Q130003
Q1086218,Puy-Saint-Vincent,ski resort,Q130003
Q1219251,Albiez-Montrond,ski resort,Q130003
Q650176,Laye,ski resort,Q130003
Q1222398,Brides-les-Bains,ski resort,Q130003
Q818418,Saint-Jean-de-Sixt,ski resort,Q130003
Q829385,Combloux,ski resort,Q130003
Q840817,Cordon,ski resort,Q130003
Q844641,Manigod,ski resort,Q130003
Q845847,Morillon,ski resort,Q130003
Q331508,Abriès,ski resort,Q130003
Q214364,Alpe d'Huez,ski resort,Q130003
Q303504,La Garde,ski resort,Q130003
Q1388437,Vaujany,ski resort,Q130003
Q919685,Le Valtin,ski resort,Q130003
Q819065,Notre-Dame-de-Bellecombe,ski resort,Q130003
Q929287,Saint-Jean-d'Aulps,ski resort,Q130003
Q668034,Saint-Martin-de-Belleville,ski resort,Q130003
Q752910,Orelle,ski resort,Q130003
Q1242281,Champagny-en-Vanoise,ski resort,Q130003
Q1164471,Le Freney-d'Oisans,ski resort,Q130003
Q728230,Geilo,ski resort,Q130003
Q290817,Courchevel,ski resort,Q130003
Q592910,Kitzbühel Alps,ski resort,Q130003
Q1026835,Val Thorens,ski resort,Q130003
Q675392,Mürren,ski resort,Q130003
Q688517,Verbier,ski resort,Q130003
Q1553013,Gudauri,ski resort,Q130003
Q762945,Rukatunturi,ski resort,Q130003
Q262837,Levi,ski resort,Q130003
Q1003394,Bukovel,ski resort,Q130003
Q1335490,Rosa Khutor Alpine Resort,ski resort,Q130003
Q894120,Borovets,ski resort,Q130003
Q914361,Méribel,ski resort,Q130003
Q392483,Štrbské Pleso,ski resort,Q130003
Q2251899,Malbun,ski resort,Q130003
Q790938,Aviemore,ski resort,Q130003
Q127037,Avoriaz,ski resort,Q130003
Q645628,Hautacam,ski resort,Q130003
Q1261451,Seiser Alm,ski resort,Q130003
Q144454,Tatranská Lomnica,ski resort,Q130003
Q256064,Kvitfjell,ski resort,Q130003
Q2048727,Pamporovo,ski resort,Q130003
Q2182804,Palisades Tahoe,ski resort,Q130003
Q485409,Yongpyong Resort,ski resort,Q130003
Q736910,Beitostølen,ski resort,Q130003
Q1022292,Dombay,ski resort,Q130003
Q1137200,Cypress Mountain Ski Area,ski resort,Q130003
Q1789966,Kronplatz,ski resort,Q130003
Q433534,Alta Badia,ski resort,Q130003
Q498303,Pyeongchang Alpensia Resort,ski resort,Q130003
Q1206060,Whistler Blackcomb,ski resort,Q130003
Q688964,Hintertux Glacier,ski resort,Q130003
Q2963663,Shymbulak,ski resort,Q130003
Q259613,Dizin Ski Resort,ski resort,Q130003
Q974478,Les Deux Alpes,ski resort,Q130003
Q3088422,Kartalkaya,ski resort,Q130003
Q26270929,Courchevel,ski resort,Q130003
Q167843,Portillo,ski resort,Q130003
Q969723,La Plagne,ski resort,Q130003
Q1450764,Luz Ardiden,ski resort,Q130003
Q2909263,Bokwang Phoenix Park,ski resort,Q130003
Q2274046,Serre Chevalier,ski resort,Q130003
Q1277657,Hovden,ski resort,Q130003
Q1806472,Las Leñas,ski resort,Q130003
Q2027196,Sundance Resort,ski resort,Q130003
Q265487,Super Besse,ski resort,Q130003
Q1502252,Baqueira-Beret,ski resort,Q130003
Q3021172,Deer Valley,ski resort,Q130003
Q3051592,Valle Nevado,ski resort,Q130003
Q3090623,Oukaïmeden,ski resort,Q130003
Q3112563,Popova Šapka,ski resort,Q130003
Q18180984,La Molina,ski resort,Q130003
Q954639,Hafjell,ski resort,Q130003
Q2345828,Pra Loup,ski resort,Q130003
Q2603685,Le Markstein,ski resort,Q130003
Q1231413,Mont-Sainte-Anne,ski resort,Q130003
Q1540224,Gourette,ski resort,Q130003
Q1588256,Nakiska,ski resort,Q130003
Q841926,Grouse Mountain,ski resort,Q130003
Q3190014,Jeongseon Alpine Centre,ski resort,Q130003
Q3232074,Les Diablerets,ski resort,Q130003
Q5434853,Faraya,ski resort,Q130003
Q16602030,Masikryong Ski Resort,ski resort,Q130003
Q918282,Valfréjus,ski resort,Q130003
Q383744,Afri-Ski,ski resort,Q130003
Q530324,Flaine,ski resort,Q130003
Q776585,Auron,ski resort,Q130003
Q791836,Ax 3 Domaines,ski resort,Q130003
Q813483,Beaver Creek Resort,ski resort,Q130003
Q875914,Kreischberg,ski resort,Q130003
Q3107623,Formigal,ski resort,Q130003
Q248801,Zürs,ski resort,Q130003
Q2180837,Peyragudes,ski resort,Q130003
Q1005993,Yabuli Ski Resort,ski resort,Q130003
Q2362338,Copper Mountain,ski resort,Q130003
Q2367178,Le Lioran,ski resort,Q130003
Q980500,Silichy,ski resort,Q130003
Q988298,Charlotte Pass,ski resort,Q130003
Q356665,La Mongie,ski resort,Q130003
Q1006457,Ustaoset,ski resort,Q130003
Q1058626,La Rosière,ski resort,Q130003
Q1073123,Chimgan,ski resort,Q130003
Q534256,Sierra Nevada Ski Station,ski resort,Q130003
Q2665933,Snowbasin,ski resort,Q130003
Q588136,Candanchú ski resort,ski resort,Q130003
Q606131,Howelsen Hill Ski Area,ski resort,Q130003
Q3906252,Planica Nordic Center,ski resort,Q130003
Q1414722,Les Menuires,ski resort,Q130003
Q752368,Astún,ski resort,Q130003
Q1548153,Heavenly Mountain Resort,ski resort,Q130003
Q3179913,Masella,ski resort,Q130003
Q3224379,Le Massif,ski resort,Q130003
Q1021029,Bürgeralpe,ski resort,Q130003
Q3398641,Port del Comte,ski resort,Q130003
Q562341,Muju Resort,ski resort,Q130003
Q3528392,Tikjda,ski resort,Q130003
Q2717359,Vallter 2000,ski resort,Q130003
Q3830853,Les Saisies,ski resort,Q130003
Q4251293,Hakuba Happoone Winter Resort,ski resort,Q130003
Q4566905,La Covatilla,ski resort,Q130003
Q1456395,Sellaronda,ski resort,Q130003
Q787069,Faraya Mzaar Kfardebian,ski resort,Q130003
Q1624333,Crystal Mountain,ski resort,Q130003
Q7641858,Suomu,ski resort,Q130003
Q1629394,Perisher Ski Resort,ski resort,Q130003
Q873702,Stuben,ski resort,Q130003
Q19842286,Semmering,ski resort,Q130003
Q16953614,Brezovica Ski Resort,ski resort,Q130003
Q84055,La Tania,ski resort,Q130003
Q257350,Hoch-Ybrig,ski resort,Q130003
Q1950718,Mount Seymour,ski resort,Q130003
Q995986,Panorama Mountain Resort,ski resort,Q130003
Q364061,Axamer Lizum,ski resort,Q130003
Q3397857,Pooladkaf,ski resort,Q130003
Q3553510,Valdezcaray,ski resort,Q130003
Q2509456,Valmorel,ski resort,Q130003
Q2717352,Port Ainé,ski resort,Q130003
Q625867,Cerler,ski resort,Q130003
Q3750961,Valdesquí,ski resort,Q130003
Q693610,Flumserberg,ski resort,Q130003
Q717734,Normafa,ski resort,Q130003
Q1411685,Fiescheralp,ski resort,Q130003
Q746545,Isola 2000,ski resort,Q130003
Q1547750,Sugarloaf,ski resort,Q130003
Q872240,Niederalpl Pass,ski resort,Q130003
Q3285029,Mammoth Mountain Ski Area,ski resort,Q130003
Q5875140,Darbandsar Ski Resort,ski resort,Q130003
Q6464300,La Parva,ski resort,Q130003
Q13231225,Lake Louise Ski Resort,ski resort,Q130003
Q26822192,Kühtai,ski resort,Q130003
Q14889394,Shemshak,ski resort,Q130003
Q3320514,Bosques de Monterreal,ski resort,Q130003
Q397919,Malam Jabba,ski resort,Q130003
Q2292116,SkiWelt,ski resort,Q130003
Q2366796,Banff Sunshine,ski resort,Q130003
Q3462692,Pla d'Adet,ski resort,Q130003
Q3472549,Sant Joan de l'Erm,ski resort,Q130003
Q3497349,Mont Tremblant Resort,ski resort,Q130003
Q3497463,Stoneham Mountain Resort,ski resort,Q130003
Q3541511,Tsey,ski resort,Q130003
Q4929499,Blue Mountain,ski resort,Q130003
Q5038784,Cardrona Alpine Resort,ski resort,Q130003
Q3821979,Park City Mountain Resort,ski resort,Q130003
Q686055,Reiteralm,ski resort,Q130003
Q4737900,Alvares,ski resort,Q130003
Q764229,Le Relais,ski resort,Q130003
Q791858,Axalp,ski resort,Q130003
Q844809,Superbagnères,ski resort,Q130003
Q859485,Big White,ski resort,Q130003
Q2717381,Espot Esquí,ski resort,Q130003
Q2747063,Boí Taüll Resort,ski resort,Q130003
Q2859512,Panticosa-Los Lagos,ski resort,Q130003
Q5928571,Hudson Bay Mountain,ski resort,Q130003
Q7461503,Shahdag Mountain Resort,ski resort,Q130003
Q1798981,La Norma,ski resort,Q130003
Q1943086,Kittelfjäll,ski resort,Q130003
Q4784196,Arapahoe Basin,ski resort,Q130003
Q3322642,Monterosa Ski,ski resort,Q130003
Q3355386,Orcières Merlette 1850,ski resort,Q130003
Q3391795,Platak,ski resort,Q130003
Q3516284,Tavascan Pleta del Prat,ski resort,Q130003
Q3541934,Tuixent – la Vansa,ski resort,Q130003
Q3960702,Silver Star Mountain Resort,ski resort,Q130003
Q749825,Sun Peaks Resort,ski resort,Q130003
Q11450901,Appi Kogen Ski Resort,ski resort,Q130003
Q3268287,Naeba Ski Resort,ski resort,Q130003
Q3291410,Mariborsko Pohorje Ski Resort,ski resort,Q130003
Q5509476,Furano Ski Resort,ski resort,Q130003
Q5821498,El Colorado,ski resort,Q130003
Q5856022,Farellones,ski resort,Q130003
Q5995064,Iizuna Kogen Ski Resort,ski resort,Q130003
Q12237378,Laqlouq,ski resort,Q130003
Q14684041,Sugar Bowl Ski Resort,ski resort,Q130003
Q29830879,Palandöken Ski Center,ski resort,Q130003
Q6921185,Mount Hermon ski resort,ski resort,Q130003
Q6923029,Mount Potts,ski resort,Q130003
Q7067399,Nozawa Onsen Snow Resort,ski resort,Q130003
Q14874871,Mt Norquay,ski resort,Q130003
Q9147336,Alyeska,ski resort,Q130003
Q10726608,Åre Ski Area,ski resort,Q130003
Q203118,Zillertal Arena,ski resort,Q130003
Q4840857,Badger Pass Ski Area,ski resort,Q130003
Q3401482,Praz de Lys-Sommand,ski resort,Q130003
Q2268802,Selwyn Snow Resort,ski resort,Q130003
Q533782,Estância de Ski da Serra da Estrela,ski resort,Q130003
Q3504072,SuperDévoluy,ski resort,Q130003
Q2507894,Valberg,ski resort,Q130003
Q2717343,Vall de Núria,ski resort,Q130003
Q3569405,Winter Park Resort,ski resort,Q130003
Q1265072,Lauchernalp,ski resort,Q130003
Q691461,Brunni,ski resort,Q130003
Q7548711,Snowshoe Mountain,ski resort,Q130003
Q7558292,Solitude Mountain Resort,ski resort,Q130003
Q4144510,Gornaya Karusel,ski resort,Q130003
Q4736779,Alto Campoo,ski resort,Q130003
Q7677408,Takasu Snow Park,ski resort,Q130003
Q7835597,Trapp Family Lodge,ski resort,Q130003
Q7849301,Tsaghkadzor ski resort,ski resort,Q130003
Q11324358,Niseko Mt. Resort Grand Hirafu,ski resort,Q130003
Q2840279,Alta Ski Area,ski resort,Q130003
Q873234,Ski amadé,ski resort,Q130003
Q2865855,Artouste,ski resort,Q130003
Q3122376,Guzet-Neige,ski resort,Q130003
Q5931001,Fereydunshahr,ski resort,Q130003
Q6402050,Kicking Horse Resort,ski resort,Q130003
Q12622505,High1 Resort,ski resort,Q130003
Q14685139,Vail Ski Resort,ski resort,Q130003
Q20436619,Kopaonik ski resort,ski resort,Q130003
Q20669949,La Toussuire ski resort,ski resort,Q130003
Q6903087,Mont Orignal,ski resort,Q130003
Q7059771,Northstar California,ski resort,Q130003
Q7382688,Rusutsu Resort,ski resort,Q130003
Q7385886,Rânca,ski resort,Q130003
Q7421109,Sapporo Teine,ski resort,Q130003
Q7449691,Semkovo,ski resort,Q130003
Q31182739,Jahorina ski resort,ski resort,Q130003
Q8047625,Yamagata Zao Onsen Ski Resort,ski resort,Q130003
Q8842728,Estación de San Isidro,ski resort,Q130003
Q1905725,Mont des Brumes,ski resort,Q130003
Q2255843,Schweitzer Mountain,ski resort,Q130003
Q4774886,Antillanca ski resort,ski resort,Q130003
Q4779435,Apex Mountain Resort,ski resort,Q130003
Q4791400,Arizona Snowbowl,ski resort,Q130003
Q4878141,Beaver Mountain,ski resort,Q130003
Q3326011,Mount Bachelor ski area,ski resort,Q130003
Q3326037,Mount Shasta Ski Park,ski resort,Q130003
Q3382234,Piau Engaly,ski resort,Q130003
Q2292122,Ski Apache,ski resort,Q130003
Q2286879,Silvretta Montafon (Ski area),ski resort,Q130003
