qid,label,class_label,class_qid
Q2631701,Central Park Tower,skyscraper,Q11303
Q56409092,Mjøstårnet,skyscraper,Q11303
Q1495752,Taipei Twin Towers,skyscraper,Q11303
Q28163699,One Bloor West,skyscraper,Q11303
Q21451544,Heartland 66 Office Tower,skyscraper,Q11303
Q106298611,Ascent MKE,skyscraper,Q11303
Q85749160,Brock Commons Tallwood House,skyscraper,Q11303
Q24837257,Asia Plaza,skyscraper,Q11303
Q12495,Burj Khalifa,skyscraper,Q11303
Q9188,Empire State Building,skyscraper,Q11303
Q29294,Willis Tower,skyscraper,Q11303
Q83063,Petronas Towers,skyscraper,Q11303
Q83101,Taipei 101,skyscraper,Q11303
Q1030463,Mode Gakuen Cocoon Tower,skyscraper,Q11303
Q11274,Chrysler Building,skyscraper,Q11303
Q11245,One World Trade Center,skyscraper,Q11303
Q42258,Mirante do Vale,skyscraper,Q11303
Q16318627,Abeno Harukas,skyscraper,Q11303
Q189476,Abraj Al Bait,skyscraper,Q11303
Q80852,Shanghai World Financial Center,skyscraper,Q11303
Q18536,The Shard,skyscraper,Q11303
Q29272,Ryugyong Hotel,skyscraper,Q11303
Q18547,Shanghai Tower,skyscraper,Q11303
Q737945,Jeddah Tower,skyscraper,Q11303
Q80813,Jin Mao Tower,skyscraper,Q11303
Q223207,Oriental Pearl Tower,skyscraper,Q11303
Q167566,Palace of Culture and Science,skyscraper,Q11303
Q169420,Edifício Altino Arantes,skyscraper,Q11303
Q216357,Grande Arche,skyscraper,Q11303
Q191161,30 St Mary Axe,skyscraper,Q11303
Q170610,Edifício Itália,skyscraper,Q11303
Q323767,Montparnasse Tower,skyscraper,Q11303
Q868772,Trump Tower,skyscraper,Q11303
Q270066,7 World Trade Center,skyscraper,Q11303
Q317034,International Commerce Centre,skyscraper,Q11303
Q192680,New York Times Building,skyscraper,Q11303
Q214855,Bank of China Tower,skyscraper,Q11303
Q217652,Woolworth Building,skyscraper,Q11303
Q151765,Commerzbank Tower,skyscraper,Q11303
Q206435,Turning Torso,skyscraper,Q11303
Q745016,Kuala Lumpur Tower,skyscraper,Q11303
Q4255374,Lakhta Centre,skyscraper,Q11303
Q125846,Q1 Tower,skyscraper,Q11303
Q656743,Kingdom Centre,skyscraper,Q11303
Q245246,CITIC Plaza,skyscraper,Q11303
Q18640924,Landmark 81,skyscraper,Q11303
Q328505,Bank of America Tower,skyscraper,Q11303
Q382121,Zifeng Tower,skyscraper,Q11303
Q236201,Shun Hing Square,skyscraper,Q11303
Q59483,Mercury City Tower,skyscraper,Q11303
Q271695,Aon Center,skyscraper,Q11303
Q156198,Messeturm,skyscraper,Q11303
Q336246,Torre Glòries,skyscraper,Q11303
Q217727,875 North Michigan Avenue,skyscraper,Q11303
Q546221,Trump International Hotel and Tower,skyscraper,Q11303
Q57900,U.S. Bank Tower,skyscraper,Q11303
Q838780,Almas Tower,skyscraper,Q11303
Q216865,Transamerica Pyramid,skyscraper,Q11303
Q218305,40 Wall Street,skyscraper,Q11303
Q7969454,Merdeka 118,skyscraper,Q11303
Q557933,Al Hamra Tower,skyscraper,Q11303
Q337631,Tuntex Sky Tower,skyscraper,Q11303
Q754321,China Media Group Guanghua Road Office Area,skyscraper,Q11303
Q112640,Central Plaza,skyscraper,Q11303
Q648338,Rose Tower,skyscraper,Q11303
Q216264,23 Marina,skyscraper,Q11303
Q494895,Lotte World Tower,skyscraper,Q11303
Q80499,Flame Towers,skyscraper,Q11303
Q587108,Yokohama Landmark Tower,skyscraper,Q11303
Q262041,70 Pine Street,skyscraper,Q11303
Q1077308,Ping An Finance Centre,skyscraper,Q11303
Q1043438,Guangzhou International Finance Center,skyscraper,Q11303
Q680614,30 Rockefeller Plaza,skyscraper,Q11303
Q652452,Metropolitan Life Insurance Company Tower,skyscraper,Q11303
Q845182,Emirates Office Tower,skyscraper,Q11303
Q464482,MetLife Building,skyscraper,Q11303
Q391243,Citigroup Center,skyscraper,Q11303
Q233940,432 Park Avenue,skyscraper,Q11303
Q941908,3 World Trade Center,skyscraper,Q11303
Q19492,Princess Tower,skyscraper,Q11303
Q118214,Telekom Tower,skyscraper,Q11303
Q637389,Luxor Resort & Casino,skyscraper,Q11303
Q391648,Cayan Tower,skyscraper,Q11303
Q519568,Torre Moeve,skyscraper,Q11303
Q80367,Triumph Palace,skyscraper,Q11303
Q130478,The Center,skyscraper,Q11303
Q638512,Bitexco Financial Tower,skyscraper,Q11303
Q1049027,Jumeirah Emirates Towers Hotel,skyscraper,Q11303
Q651362,Singer Building,skyscraper,Q11303
Q844324,Trump World Tower,skyscraper,Q11303
Q845846,"The STRAT Hotel, Casino & SkyPod",skyscraper,Q11303
Q1165269,Marina 101,skyscraper,Q11303
Q737484,Seagram Building,skyscraper,Q11303
Q499486,Bank of America Plaza,skyscraper,Q11303
Q521935,Seven Sisters,skyscraper,Q11303
Q790278,Avaz Twist Tower,skyscraper,Q11303
Q1033099,Grand Lisboa,skyscraper,Q11303
Q632566,Edifício Copan,skyscraper,Q11303
Q1066676,Plaza Hotel,skyscraper,Q11303
Q1161278,Shimao International Plaza,skyscraper,Q11303
Q687413,4 Times Square,skyscraper,Q11303
Q503477,One Canada Square,skyscraper,Q11303
Q1509747,Tour First,skyscraper,Q11303
Q3142395,Hyatt Regency Paris Etoile,skyscraper,Q11303
Q25007,Bellagio Hotel & Casino,skyscraper,Q11303
Q1052475,First Canadian Place,skyscraper,Q11303
Q166882,Istanbul Sapphire,skyscraper,Q11303
Q1121971,Two Prudential Plaza,skyscraper,Q11303
Q1127212,2 World Trade Center,skyscraper,Q11303
Q520839,Nina Tower,skyscraper,Q11303
Q1351208,4 World Trade Center,skyscraper,Q11303
Q1470046,Kingkey 100,skyscraper,Q11303
