qid,label,class_label,class_qid
Q1775265,Arsenal W.F.C.,soccer club,Q476028
Q331650,FBK Kaunas,soccer club,Q476028
Q646135,New York Cosmos,soccer club,Q476028
Q642433,Chivas USA,soccer club,Q476028
Q3365295,Paris Saint-Germain Féminine,soccer club,Q476028
Q750437,Xanthi F.C.,soccer club,Q476028
Q285131,VfL Wolfsburg,soccer club,Q476028
Q824450,Levadiakos F.C.,soccer club,Q476028
Q3844288,Manchester City W.F.C.,soccer club,Q476028
Q18521,Macclesfield Town F.C.,soccer club,Q476028
Q18516,Hereford United F.C.,soccer club,Q476028
Q96791589,Real Madrid Femenino,soccer club,Q476028
Q1826908,Linköpings FC,soccer club,Q476028
Q162450,1. FFC Turbine Potsdam,soccer club,Q476028
Q1807026,FC Rosengård,soccer club,Q476028
Q421009,Tampa Bay Mutiny,soccer club,Q476028
Q1070732,Chester City F.C.,soccer club,Q476028
Q862647,Miami Fusion,soccer club,Q476028
Q1348189,G.A.S. Veria,soccer club,Q476028
Q17621653,Juventus F.C. Women,soccer club,Q476028
Q390230,FC Šiauliai,soccer club,Q476028
Q1447181,Gotham FC,soccer club,Q476028
Q4816984,Atlético de Madrid Femenino,soccer club,Q476028
Q1734002,Upton Park F.C.,soccer club,Q476028
Q1446672,Portland Thorns FC,soccer club,Q476028
Q1337348,BK Häcken FF,soccer club,Q476028
Q56084793,A.S. Roma Women,soccer club,Q476028
Q21066986,Orlando Pride,soccer club,Q476028
Q511765,Djurgårdens IF Dam,soccer club,Q476028
Q138655,HVV Den Haag,soccer club,Q476028
Q531108,Third Lanark A.C.,soccer club,Q476028
Q492419,FCR 2001 Duisburg,soccer club,Q476028
Q55602896,A.C. Milan,soccer club,Q476028
Q2783054,INAC Kobe Leonessa,soccer club,Q476028
Q478766,AFC DWS,soccer club,Q476028
Q3558590,Levante UD Women,soccer club,Q476028
Q2631868,FC Sakhalin Yuzhno-Sakhalinsk,soccer club,Q476028
Q1439076,Fortuna Hjørring,soccer club,Q476028
Q2074788,Clapham Rovers F.C.,soccer club,Q476028
Q391014,River Plate Football Club,soccer club,Q476028
Q1345161,Airdrieonians F.C.,soccer club,Q476028
Q1332206,WFC Rossiyanka,soccer club,Q476028
Q121968,SGS Essen,soccer club,Q476028
Q1387774,FC Twente,soccer club,Q476028
Q1207755,FC Edmonton,soccer club,Q476028
Q1156317,Los Angeles Aztecs,soccer club,Q476028
Q952393,Alianza Petrolera F.C.,soccer club,Q476028
Q1023236,CD Zacatepec,soccer club,Q476028
Q13405481,New York Cosmos,soccer club,Q476028
Q670603,Chicago Sting,soccer club,Q476028
Q48834322,Paris FC,soccer club,Q476028
Q28169542,North Carolina Courage,soccer club,Q476028
Q2744247,Kalamata F.C.,soccer club,Q476028
Q6334727,Ottawa Fury FC,soccer club,Q476028
Q820739,SC Freiburg,soccer club,Q476028
Q2877076,BIIK Kazygurt,soccer club,Q476028
Q748011,New Zealand Knights FC,soccer club,Q476028
Q629344,Blauw-Wit Amsterdam,soccer club,Q476028
Q419974,Boston Breakers,soccer club,Q476028
Q412433,AFC Ajax Vrouwen,soccer club,Q476028
Q7910660,Valencia Féminas CF,soccer club,Q476028
Q1140282,Northern Fury FC,soccer club,Q476028
Q60011070,S.L. Benfica (women),soccer club,Q476028
Q15849946,TSG 1899 Hoffenheim,soccer club,Q476028
Q15303416,Houston Dash,soccer club,Q476028
Q13404889,Toronto Blizzard,soccer club,Q476028
Q612387,FC Gold Pride,soccer club,Q476028
Q21211104,ACF Fiorentina Femminile,soccer club,Q476028
Q1529496,Glasgow City F.C.,soccer club,Q476028
Q1224817,Puerto Rico Islanders,soccer club,Q476028
Q1190526,Washington Diplomats,soccer club,Q476028
Q2117747,Western New York Flash,soccer club,Q476028
Q65070115,London City Lionesses,soccer club,Q476028
Q944841,Los Angeles Sol,soccer club,Q476028
Q104804155,Kansas City Current,soccer club,Q476028
Q6546792,Montreal Impact,soccer club,Q476028
Q812128,Bayer 04 Leverkusen Women,soccer club,Q476028
Q20088594,Puerto Rico FC,soccer club,Q476028
Q16245443,A.E. Kifisia F.C.,soccer club,Q476028
Q1387562,Renton F.C.,soccer club,Q476028
Q1133377,Xiamen Blue Lions F.C.,soccer club,Q476028
Q2560150,SV Werder Bremen,soccer club,Q476028
Q1095113,San Jose Earthquakes,soccer club,Q476028
Q2426022,Achilles'29,soccer club,Q476028
Q2321200,Leeds City F.C.,soccer club,Q476028
Q2041004,VVS Moscow,soccer club,Q476028
Q914527,RAP Amsterdam,soccer club,Q476028
Q972741,Fort Lauderdale Strikers,soccer club,Q476028
Q3071871,Nippon TV Tokyo Verdy Beleza,soccer club,Q476028
Q2936203,Canberra United FC,soccer club,Q476028
Q3276051,FC Kansas City,soccer club,Q476028
Q2893906,Galt F.C.,soccer club,Q476028
Q7579603,Sporting de Huelva,soccer club,Q476028
Q7300505,Reading F.C. Women,soccer club,Q476028
Q6502565,Fort Lauderdale Strikers,soccer club,Q476028
Q686676,SV Neulengbach,soccer club,Q476028
Q635812,"Dick, Kerr's Ladies F.C.",soccer club,Q476028
Q2588082,Amsterdamsche FC,soccer club,Q476028
Q10489087,Eskilstuna United DFF,soccer club,Q476028
Q19692563,FC Minsk,soccer club,Q476028
Q3594389,ŽFK Ekonomist,soccer club,Q476028
Q2509812,Rudá Hvězda Brno,soccer club,Q476028
Q5191310,Crystal Palace F.C. (Women),soccer club,Q476028
Q1442028,San Antonio Scorpions,soccer club,Q476028
Q1426276,Sportclub Enschede,soccer club,Q476028
Q1359089,Rochester Rhinos,soccer club,Q476028
Q1321034,Santos FC,soccer club,Q476028
Q1237961,Scarborough F.C.,soccer club,Q476028
Q4400851,S.S.D. Napoli Femminile,soccer club,Q476028
Q1157106,Torres Calcio Femminile,soccer club,Q476028
Q1973294,Philadelphia Independence,soccer club,Q476028
Q1972199,Tampa Bay Rowdies,soccer club,Q476028
Q1041788,Urawa Red Diamonds Ladies,soccer club,Q476028
Q956200,Seattle Sounders,soccer club,Q476028
Q2017456,San Diego Sockers,soccer club,Q476028
Q3038314,FK Sirijus Klaipėda,soccer club,Q476028
