qid,label,class_label,class_qid
Q355,Facebook,software,Q7397
Q4063270,Wikipedia:AutoWikiBrowser,software,Q7397
Q263,Wikisource,software,Q7397
Q907311,Netflix,software,Q7397
Q115564437,ChatGPT,software,Q7397
Q777,Google Chrome,software,Q7397
Q135622,Google Translate,software,Q7397
Q40984,Q40984,software,Q7397
Q12013,Q12013,software,Q7397
Q11215,Windows 7,software,Q7397
Q18168774,Q18168774,software,Q7397
Q1575,Internet Explorer,software,Q7397
Q2918660,Duolingo,software,Q7397
Q11255,Q11255,software,Q7397
Q11272,Microsoft Excel,software,Q7397
Q13166,Q13166,software,Q7397
Q11230,Q11230,software,Q7397
Q483959,PayPal,software,Q7397
Q40629,Myspace,software,Q7397
Q79576,Google Play,software,Q7397
Q5046,Q5046,software,Q7397
Q11261,Microsoft Word,software,Q7397
Q213660,LinkedIn,software,Q7397
Q461,Internet Archive,software,Q7397
Q373,Wikivoyage,software,Q7397
Q850,Q850,software,Q7397
Q107269746,Q107269746,software,Q7397
Q116933,VK,software,Q7397
Q186055,Q186055,software,Q7397
Q17458,Nupedia,software,Q7397
Q169478,MATLAB,software,Q7397
Q83370,Windows 95,software,Q7397
Q182496,Microsoft Bing,software,Q7397
Q22673,Project Gutenberg,software,Q7397
Q364,Q364,software,Q7397
Q13167,Joomla,software,Q7397
Q9589,iTunes,software,Q7397
Q22907849,Discord,software,Q7397
Q171186,Blogger,software,Q7397
Q483881,Q483881,software,Q7397
Q780442,Uber,software,Q7397
Q255381,Q255381,software,Q7397
Q180686,Q180686,software,Q7397
Q11354,Apache HTTP Server,software,Q7397
Q384060,Q384060,software,Q7397
Q1359568,Alibaba Group,software,Q7397
Q202044,Tor,software,Q7397
Q9340,Q9340,software,Q7397
Q165658,Adobe Flash,software,Q7397
Q499962,Coursera,software,Q7397
Q189021,TED,software,Q7397
Q484892,Q484892,software,Q7397
Q846596,WorldCat,software,Q7397
Q22868,RT,software,Q7397
Q83570,AutoCAD,software,Q7397
Q283233,WeChat,software,Q7397
Q170855,Q170855,software,Q7397
Q80689,Q80689,software,Q7397
Q178570,OpenGL,software,Q7397
Q118398,Q118398,software,Q7397
Q190434,Moodle,software,Q7397
Q29957041,WannaCry ransomware attack,software,Q7397
Q31181,AllMusic,software,Q7397
Q116947,Messenger,software,Q7397
Q213602,Google Street View,software,Q7397
Q486487,Q486487,software,Q7397
Q171477,Q171477,software,Q7397
Q582159,Siri,software,Q7397
Q494817,Google Scholar,software,Q7397
Q485021,Windows 2.0,software,Q7397
Q2017,Wikitravel,software,Q7397
Q756100,Node.js,software,Q7397
Q183480,Google AdSense,software,Q7397
Q19718090,Signal,software,Q7397
Q215016,Adobe Illustrator,software,Q7397
Q559020,Kiwix,software,Q7397
Q156376,Vimeo,software,Q7397
Q106827,Second Life,software,Q7397
Q201904,Qt,software,Q7397
Q80911,Microsoft Outlook,software,Q7397
Q192324,Adobe Dreamweaver,software,Q7397
Q191342,LAMP,software,Q7397
Q9344,Google Docs,software,Q7397
Q63327,Airbnb,software,Q7397
Q22906900,Brave,software,Q7397
Q283469,Q283469,software,Q7397
Q235419,Netscape Navigator,software,Q7397
Q557919,MedlinePlus,software,Q7397
Q21207,Windows Mobile,software,Q7397
Q51713,Google Talk,software,Q7397
Q220577,Google Analytics,software,Q7397
Q29904317,AliExpress,software,Q7397
Q9593,iTunes Store,software,Q7397
Q31964,Internet Broadway Database,software,Q7397
Q9376349,translatewiki.net,software,Q7397
Q1630304,Hulu,software,Q7397
Q1329181,QGIS,software,Q7397
Q309008,Polish Football Association,software,Q7397
Q188558,Wine,software,Q7397
Q488978,Windows NT 4.0,software,Q7397
Q475225,World Digital Library,software,Q7397
Q1123836,Odnoklassniki,software,Q7397
Q142539,Dropbox,software,Q7397
Q207902,Q207902,software,Q7397
Q193321,Java virtual machine,software,Q7397
Q192527,Q192527,software,Q7397
Q473873,Vevo,software,Q7397
Q114258161,Temu,software,Q7397
Q215819,Microsoft SQL Server,software,Q7397
Q491546,Windows 3.0,software,Q7397
Q4585,CouchSurfing,software,Q7397
Q17460900,Zoom Video Communications,software,Q7397
Q16958215,iNaturalist,software,Q7397
Q2858086,Q2858086,software,Q7397
Q2359213,Goodreads,software,Q7397
Q3570844,Xcas,software,Q7397
Q231396,Orkut,software,Q7397
Q242747,Q242747,software,Q7397
Q8295,Q8295,software,Q7397
Q38840,Catalogue of Life,software,Q7397
Q113070628,Midjourney,software,Q7397
Q13515725,Q13515725,software,Q7397
Q324670,Omegle,software,Q7397
Q368338,Q368338,software,Q7397
Q185179,Knol,software,Q7397
Q183169,Jakarta Server Pages,software,Q7397
Q56669074,Q56669074,software,Q7397
Q18643737,YouTube Premium,software,Q7397
Q1139550,Encyclopædia Iranica,software,Q7397
Q324286,BookCrossing,software,Q7397
Q207006,Wolfram Alpha,software,Q7397
Q24589705,Vue.js,software,Q7397
Q105078662,DALL-E,software,Q7397
Q22274379,Android Nougat,software,Q7397
Q643420,Postcrossing,software,Q7397
Q92526,Weibo,software,Q7397
Q769222,Dailymotion,software,Q7397
Q1165204,MongoDB,software,Q7397
Q1282139,Ecosia,software,Q7397
Q520154,Wired,software,Q7397
Q11393,VirtualBox,software,Q7397
Q19862344,Android Marshmallow,software,Q7397
Q16927658,Google Classroom,software,Q7397
Q741235,Standard Template Library,software,Q7397
Q667566,Visual Basic for Applications,software,Q7397
Q381047,Mosaic,software,Q7397
Q775811,Microsoft 365,software,Q7397
Q1142035,Crunchyroll,software,Q7397
Q838639,TV.com,software,Q7397
Q623332,Nmap,software,Q7397
Q509284,Google Workspace,software,Q7397
Q216192,Cygwin,software,Q7397
Q18833,Microsoft SharePoint,software,Q7397
Q62563,BeOS,software,Q7397
Q115288326,Anna's Archive,software,Q7397
Q94979732,Q94979732,software,Q7397
Q63986220,Q63986220,software,Q7397
Q721140,Pitchfork,software,Q7397
Q1830735,Samba,software,Q7397
Q623456,Google Sites,software,Q7397
Q487378,Delphi,software,Q7397
Q11341,Internet Information Services,software,Q7397
Q105607376,Android 12,software,Q7397
Q21447895,Q21447895,software,Q7397
Q22908627,Semantic Scholar,software,Q7397
Q29000531,Android Oreo,software,Q7397
Q714491,Marks & Spencer,software,Q7397
Q4037100,Deadline Hollywood,software,Q7397
Q612975,Q612975,software,Q7397
Q488244,Windows Embedded Compact,software,Q7397
Q107355971,Brave Search,software,Q7397
Q17305518,Android Lollipop,software,Q7397
Q15893711,Gboard,software,Q7397
Q917580,Marca,software,Q7397
Q1052790,Q1052790,software,Q7397
Q748319,Windows NT 3.1,software,Q7397
Q1195495,Shazam,software,Q7397
Q1172038,Dassault Systèmes,software,Q7397
Q844523,Flags of the World,software,Q7397
Q625817,The Plant List,software,Q7397
Q219885,Google Videos,software,Q7397
Q217195,eMule,software,Q7397
Q202934,Hattrick,software,Q7397
Q477690,CUDA,software,Q7397
Q9532,iLife,software,Q7397
Q55671,Q55671,software,Q7397
Q116709136,GPT-4,software,Q7397
Q110890424,Android 13,software,Q7397
Q21707789,Q21707789,software,Q7397
Q7664857,Wattpad,software,Q7397
Q2777905,Academia.edu,software,Q7397
Q492650,RPM Package Manager,software,Q7397
Q1768199,Great Russian Encyclopedia,software,Q7397
Q1770710,Tripadvisor,software,Q7397
Q390223,Club Penguin,software,Q7397
Q857640,Tencent QQ,software,Q7397
Q1164485,Flightradar24,software,Q7397
Q841685,Q841685,software,Q7397
Q4537980,Yandex Maps,software,Q7397
Q213057,Synaptic Package Manager,software,Q7397
Q479882,OpenVMS,software,Q7397
Q30637282,YouTube Kids,software,Q7397
Q17164955,Super Mario Maker,software,Q7397
Q19831807,Lichess,software,Q7397
Q22017206,Library Genesis,software,Q7397
Q18208301,Wikiwand,software,Q7397
Q165400,SourceForge,software,Q7397
Q390216,The Sydney Morning Herald,software,Q7397
Q267193,Sublime Text,software,Q7397
Q521550,Google Images,software,Q7397
Q239516,Panoramio,software,Q7397
Q306527,Q306527,software,Q7397
Q306020,iWork,software,Q7397
Q113588976,Android 14,software,Q7397
Q57013596,XNXX,software,Q7397
Q85684089,Android 11,software,Q7397
Q50364330,Android Pie,software,Q7397
Q43968444,Q43968444,software,Q7397
Q47509047,PyTorch,software,Q7397
Q16973176,Q16973176,software,Q7397
Q688317,WinZip,software,Q7397
Q737508,Windows 3.x,software,Q7397
Q131570,K3b,software,Q7397
Q329192,Delicious,software,Q7397
Q1471545,Kerbal Space Program,software,Q7397
Q2849803,AngularJS,software,Q7397
Q840820,Google Groups,software,Q7397
Q270478,Digg,software,Q7397
Q4960434,Breitbart News,software,Q7397
Q509075,OpenVPN,software,Q7397
Q9539,GarageBand,software,Q7397
Q96186334,Figma,software,Q7397
Q24575997,Q24575997,software,Q7397
Q19842747,Wikipedia:Labels,software,Q7397
Q13426339,Q13426339,software,Q7397
Q648357,FaceTime,software,Q7397
Q131522,Fluxbox,software,Q7397
Q151135,Youku,software,Q7397
Q371060,Google Reader,software,Q7397
Q1470293,OpenStack,software,Q7397
Q2117484,Taobao,software,Q7397
Q3077586,Bilibili,software,Q7397
Q2846920,Q2846920,software,Q7397
Q283438,cd,software,Q7397
Q1208798,The Big Cartoon DataBase,software,Q7397
Q1511162,WebCite,software,Q7397
Q3233970,The A.V. Club,software,Q7397
Q574992,V8,software,Q7397
Q300885,freenode,software,Q7397
Q34182,TrueOS,software,Q7397
Q124544998,Sora,software,Q7397
Q61497975,Q61497975,software,Q7397
Q20033286,Q20033286,software,Q7397
Q746261,LabVIEW,software,Q7397
Q16509734,Phabricator,software,Q7397
Q7946200,W3Schools,software,Q7397
Q159555,lernu!,software,Q7397
Q1775686,Q1775686,software,Q7397
Q431195,IBM Db2,software,Q7397
Q420506,Wix.com,software,Q7397
Q7501150,Shopify,software,Q7397
Q318421,The Million Dollar Homepage,software,Q7397
Q369089,Google Arts & Culture,software,Q7397
Q880016,BlackBerry OS,software,Q7397
Q868165,Yahoo! Mail,software,Q7397
Q848985,Microsoft Developer Network,software,Q7397
Q847062,OpenSSH,software,Q7397
Q840192,Pasporta Servo,software,Q7397
Q1140401,OpenWrt,software,Q7397
Q553173,DistroWatch,software,Q7397
Q286707,Business Insider,software,Q7397
Q565283,I2P,software,Q7397
Q305910,iGoogle,software,Q7397
Q194978,Microsoft Visio,software,Q7397
Q59083,Slashdot,software,Q7397
Q62059755,Android 10,software,Q7397
Q96231126,Q96231126,software,Q7397
Q23895358,slither.io,software,Q7397
Q22661286,Flatpak,software,Q7397
Q43295486,wikiFeet,software,Q7397
